   W            M1+
 1698.0    0.247   0.072
 1699.0    0.248   0.073
 1700.0    0.249   0.075
 1701.0    0.250   0.076
 1702.0    0.251   0.077
 1703.0    0.252   0.079
 1704.0    0.253   0.080
 1705.0    0.254   0.082
 1706.0    0.255   0.083
 1707.0    0.256   0.084
 1708.0    0.256   0.086
 1709.0    0.257   0.087
 1710.0    0.258   0.089
 1711.0    0.258   0.090
 1712.0    0.259   0.091
 1713.0    0.260   0.093
 1714.0    0.260   0.094
 1715.0    0.261   0.095
 1716.0    0.261   0.096
 1717.0    0.262   0.098
 1718.0    0.262   0.099
 1719.0    0.262   0.100
 1720.0    0.263   0.101
 1721.0    0.263   0.102
 1722.0    0.263   0.103
 1723.0    0.263   0.104
 1724.0    0.264   0.105
 1725.0    0.264   0.106
 1726.0    0.264   0.107
 1727.0    0.264   0.108
 1728.0    0.264   0.109
 1729.0    0.265   0.110
 1730.0    0.265   0.111
 1731.0    0.265   0.112
 1732.0    0.265   0.112
 1733.0    0.265   0.113
 1734.0    0.265   0.114
 1735.0    0.265   0.115
 1736.0    0.265   0.115
 1737.0    0.265   0.116
 1738.0    0.265   0.117
 1739.0    0.265   0.117
 1740.0    0.265   0.118
 1741.0    0.265   0.118
 1742.0    0.265   0.119
 1743.0    0.265   0.119
 1744.0    0.265   0.120
 1745.0    0.265   0.120
 1746.0    0.265   0.120
 1747.0    0.265   0.121
 1748.0    0.265   0.121
 1749.0    0.265   0.121
 1750.0    0.265   0.122
 1751.0    0.265   0.122
 1752.0    0.265   0.122
 1753.0    0.265   0.122
 1754.0    0.265   0.122
 1755.0    0.266   0.123
 1756.0    0.266   0.123
 1757.0    0.266   0.123
 1758.0    0.266   0.123
 1759.0    0.266   0.123
 1760.0    0.266   0.123
 1761.0    0.266   0.123
 1762.0    0.266   0.123
 1763.0    0.266   0.123
 1764.0    0.266   0.123
 1765.0    0.266   0.123
 1766.0    0.267   0.123
 1767.0    0.267   0.123
 1768.0    0.267   0.123
 1769.0    0.267   0.123
 1770.0    0.267   0.123
 1771.0    0.268   0.123
 1772.0    0.268   0.123
 1773.0    0.268   0.123
 1774.0    0.268   0.122
 1775.0    0.268   0.122
 1776.0    0.269   0.122
 1777.0    0.269   0.122
 1778.0    0.269   0.122
 1779.0    0.269   0.122
 1780.0    0.270   0.121
 1781.0    0.270   0.121
 1782.0    0.270   0.121
 1783.0    0.271   0.121
 1784.0    0.271   0.121
 1785.0    0.271   0.120
 1786.0    0.272   0.120
 1787.0    0.272   0.120
 1788.0    0.272   0.120
 1789.0    0.273   0.119
 1790.0    0.273   0.119
 1791.0    0.274   0.119
 1792.0    0.274   0.119
 1793.0    0.274   0.118
 1794.0    0.275   0.118
 1795.0    0.275   0.118
 1796.0    0.276   0.118
 1797.0    0.276   0.117
 1798.0    0.276   0.117
 1799.0    0.277   0.117
 1800.0    0.277   0.116
 1801.0    0.278   0.116
 1802.0    0.278   0.116
 1803.0    0.279   0.116
 1804.0    0.279   0.115
 1805.0    0.280   0.115
 1806.0    0.280   0.115
 1807.0    0.281   0.114
 1808.0    0.281   0.114
 1809.0    0.282   0.114
 1810.0    0.282   0.114
 1811.0    0.283   0.113
 1812.0    0.284   0.113
 1813.0    0.284   0.113
 1814.0    0.285   0.112
 1815.0    0.285   0.112
 1816.0    0.286   0.112
 1817.0    0.286   0.111
 1818.0    0.287   0.111
 1819.0    0.288   0.111
 1820.0    0.288   0.110
 1821.0    0.289   0.110
 1822.0    0.289   0.110
 1823.0    0.290   0.109
 1824.0    0.291   0.109
 1825.0    0.291   0.109
 1826.0    0.292   0.109
 1827.0    0.292   0.108
 1828.0    0.293   0.108
 1829.0    0.294   0.108
 1830.0    0.294   0.107
 1831.0    0.295   0.107
 1832.0    0.296   0.107
 1833.0    0.296   0.106
 1834.0    0.297   0.106
 1835.0    0.298   0.106
 1836.0    0.298   0.105
 1837.0    0.299   0.105
 1838.0    0.300   0.105
 1839.0    0.300   0.104
 1840.0    0.301   0.104
 1841.0    0.302   0.104
 1842.0    0.302   0.104
 1843.0    0.303   0.103
 1844.0    0.304   0.103
 1845.0    0.304   0.103
 1846.0    0.305   0.102
 1847.0    0.306   0.102
 1848.0    0.307   0.102
 1849.0    0.307   0.101
 1850.0    0.308   0.101
 1851.0    0.309   0.101
 1852.0    0.309   0.100
 1853.0    0.310   0.100
 1854.0    0.311   0.100
 1855.0    0.311   0.100
 1856.0    0.312   0.099
 1857.0    0.313   0.099
 1858.0    0.314   0.099
 1859.0    0.314   0.098
 1860.0    0.315   0.098
 1861.0    0.316   0.098
 1862.0    0.317   0.098
 1863.0    0.317   0.097
 1864.0    0.318   0.097
 1865.0    0.319   0.097
 1866.0    0.320   0.096
 1867.0    0.320   0.096
 1868.0    0.321   0.096
 1869.0    0.322   0.096
 1870.0    0.323   0.095
 1871.0    0.323   0.095
 1872.0    0.324   0.095
 1873.0    0.325   0.094
 1874.0    0.325   0.094
 1875.0    0.326   0.094
 1876.0    0.327   0.094
 1877.0    0.328   0.093
 1878.0    0.329   0.093
 1879.0    0.329   0.093
 1880.0    0.330   0.092
 1881.0    0.331   0.092
 1882.0    0.332   0.092
 1883.0    0.332   0.092
 1884.0    0.333   0.091
 1885.0    0.334   0.091
 1886.0    0.335   0.091
 1887.0    0.335   0.091
 1888.0    0.336   0.090
 1889.0    0.337   0.090
 1890.0    0.338   0.090
 1891.0    0.338   0.090
 1892.0    0.339   0.089
 1893.0    0.340   0.089
 1894.0    0.341   0.089
 1895.0    0.341   0.089
 1896.0    0.342   0.088
 1897.0    0.343   0.088
 1898.0    0.344   0.088
 1899.0    0.344   0.088
 1900.0    0.345   0.087
 1901.0    0.346   0.087
 1902.0    0.347   0.087
 1903.0    0.348   0.087
 1904.0    0.348   0.086
 1905.0    0.349   0.086
 1906.0    0.350   0.086
 1907.0    0.351   0.086
 1908.0    0.351   0.085
 1909.0    0.352   0.085
 1910.0    0.353   0.085
 1911.0    0.354   0.085
 1912.0    0.354   0.084
 1913.0    0.355   0.084
 1914.0    0.356   0.084
 1915.0    0.357   0.084
 1916.0    0.358   0.083
 1917.0    0.358   0.083
 1918.0    0.359   0.083
 1919.0    0.360   0.083
 1920.0    0.361   0.082
 1921.0    0.361   0.082
 1922.0    0.362   0.082
 1923.0    0.363   0.082
 1924.0    0.364   0.082
 1925.0    0.364   0.081
 1926.0    0.365   0.081
 1927.0    0.366   0.081
 1928.0    0.367   0.081
 1929.0    0.367   0.080
 1930.0    0.368   0.080
 1931.0    0.369   0.080
 1932.0    0.370   0.080
 1933.0    0.370   0.080
 1934.0    0.371   0.079
 1935.0    0.372   0.079
 1936.0    0.373   0.079
 1937.0    0.373   0.079
 1938.0    0.374   0.078
 1939.0    0.375   0.078
 1940.0    0.376   0.078
 1941.0    0.376   0.078
 1942.0    0.377   0.078
 1943.0    0.378   0.077
 1944.0    0.379   0.077
 1945.0    0.379   0.077
 1946.0    0.380   0.077
 1947.0    0.381   0.077
 1948.0    0.382   0.076
 1949.0    0.382   0.076
 1950.0    0.383   0.076
 1951.0    0.384   0.076
 1952.0    0.385   0.076
 1953.0    0.385   0.075
 1954.0    0.386   0.075
 1955.0    0.387   0.075
 1956.0    0.388   0.075
 1957.0    0.388   0.075
 1958.0    0.389   0.074
 1959.0    0.390   0.074
 1960.0    0.391   0.074
 1961.0    0.391   0.074
 1962.0    0.392   0.074
 1963.0    0.393   0.073
 1964.0    0.393   0.073
 1965.0    0.394   0.073
 1966.0    0.395   0.073
 1967.0    0.396   0.073
 1968.0    0.396   0.073
 1969.0    0.397   0.072
 1970.0    0.398   0.072
 1971.0    0.398   0.072
 1972.0    0.399   0.072
 1973.0    0.400   0.072
 1974.0    0.401   0.071
 1975.0    0.401   0.071
 1976.0    0.402   0.071
 1977.0    0.403   0.071
 1978.0    0.403   0.071
 1979.0    0.404   0.071
 1980.0    0.405   0.070
 1981.0    0.406   0.070
 1982.0    0.406   0.070
 1983.0    0.407   0.070
 1984.0    0.408   0.070
 1985.0    0.408   0.070
 1986.0    0.409   0.069
 1987.0    0.410   0.069
 1988.0    0.411   0.069
 1989.0    0.411   0.069
 1990.0    0.412   0.069
 1991.0    0.413   0.069
 1992.0    0.413   0.068
 1993.0    0.414   0.068
 1994.0    0.415   0.068
 1995.0    0.415   0.068
 1996.0    0.416   0.068
 1997.0    0.417   0.068
 1998.0    0.417   0.067
 1999.0    0.418   0.067
 2000.0    0.419   0.067
 2001.0    0.419   0.067
 2002.0    0.420   0.067
 2003.0    0.421   0.067
 2004.0    0.421   0.066
 2005.0    0.422   0.066
 2006.0    0.423   0.066
 2007.0    0.424   0.066
 2008.0    0.424   0.066
 2009.0    0.425   0.066
 2010.0    0.426   0.065
 2011.0    0.426   0.065
 2012.0    0.427   0.065
 2013.0    0.427   0.065
 2014.0    0.428   0.065
 2015.0    0.429   0.065
 2016.0    0.429   0.065
 2017.0    0.430   0.064
 2018.0    0.431   0.064
 2019.0    0.431   0.064
 2020.0    0.432   0.064
 2021.0    0.433   0.064
 2022.0    0.433   0.064
 2023.0    0.434   0.064
 2024.0    0.435   0.063
 2025.0    0.435   0.063
 2026.0    0.436   0.063
 2027.0    0.437   0.063
 2028.0    0.437   0.063
 2029.0    0.438   0.063
 2030.0    0.439   0.063
 2031.0    0.439   0.062
 2032.0    0.440   0.062
 2033.0    0.440   0.062
 2034.0    0.441   0.062
 2035.0    0.442   0.062
 2036.0    0.442   0.062
 2037.0    0.443   0.062
 2038.0    0.444   0.061
 2039.0    0.444   0.061
 2040.0    0.445   0.061
 2041.0    0.445   0.061
 2042.0    0.446   0.061
 2043.0    0.447   0.061
 2044.0    0.447   0.061
 2045.0    0.448   0.061
 2046.0    0.448   0.060
 2047.0    0.449   0.060
 2048.0    0.450   0.060
 2049.0    0.450   0.060
 2050.0    0.451   0.060
 2051.0    0.452   0.060
 2052.0    0.452   0.060
 2053.0    0.453   0.060
 2054.0    0.453   0.059
 2055.0    0.454   0.059
 2056.0    0.455   0.059
 2057.0    0.455   0.059
 2058.0    0.456   0.059
 2059.0    0.456   0.059
 2060.0    0.457   0.059
 2061.0    0.457   0.059
 2062.0    0.458   0.058
 2063.0    0.459   0.058
 2064.0    0.459   0.058
 2065.0    0.460   0.058
 2066.0    0.460   0.058
 2067.0    0.461   0.058
 2068.0    0.462   0.058
 2069.0    0.462   0.058
 2070.0    0.463   0.058
 2071.0    0.463   0.057
 2072.0    0.464   0.057
 2073.0    0.464   0.057
 2074.0    0.465   0.057
 2075.0    0.466   0.057
 2076.0    0.466   0.057
 2077.0    0.467   0.057
 2078.0    0.467   0.057
 2079.0    0.468   0.056
 2080.0    0.468   0.056
 2081.0    0.469   0.056
 2082.0    0.469   0.056
 2083.0    0.470   0.056
 2084.0    0.471   0.056
 2085.0    0.471   0.056
 2086.0    0.472   0.056
 2087.0    0.472   0.056
 2088.0    0.473   0.056
 2089.0    0.473   0.055
 2090.0    0.474   0.055
 2091.0    0.474   0.055
 2092.0    0.475   0.055
 2093.0    0.475   0.055
 2094.0    0.476   0.055
 2095.0    0.477   0.055
 2096.0    0.477   0.055
 2097.0    0.478   0.055
 2098.0    0.478   0.054
 2099.0    0.479   0.054
 2100.0    0.479   0.054
 2101.0    0.480   0.054
 2102.0    0.480   0.054
 2103.0    0.481   0.054
 2104.0    0.481   0.054
 2105.0    0.482   0.054
 2106.0    0.482   0.054
 2107.0    0.483   0.054
 2108.0    0.483   0.053
 2109.0    0.484   0.053
 2110.0    0.484   0.053
 2111.0    0.485   0.053
 2112.0    0.485   0.053
 2113.0    0.486   0.053
 2114.0    0.486   0.053
 2115.0    0.487   0.053
 2116.0    0.487   0.053
 2117.0    0.488   0.053
 2118.0    0.488   0.053
 2119.0    0.489   0.052
 2120.0    0.489   0.052
 2121.0    0.490   0.052
 2122.0    0.490   0.052
 2123.0    0.491   0.052
 2124.0    0.491   0.052
 2125.0    0.492   0.052
 2126.0    0.492   0.052
 2127.0    0.493   0.052
 2128.0    0.493   0.052
 2129.0    0.494   0.052
 2130.0    0.494   0.051
 2131.0    0.495   0.051
 2132.0    0.495   0.051
 2133.0    0.496   0.051
 2134.0    0.496   0.051
 2135.0    0.497   0.051
 2136.0    0.497   0.051
 2137.0    0.498   0.051
 2138.0    0.498   0.051
 2139.0    0.499   0.051
 2140.0    0.499   0.051
 2141.0    0.500   0.051
 2142.0    0.500   0.050
 2143.0    0.501   0.050
 2144.0    0.501   0.050
 2145.0    0.502   0.050
 2146.0    0.502   0.050
 2147.0    0.502   0.050
 2148.0    0.503   0.050
 2149.0    0.503   0.050
 2150.0    0.504   0.050
 2151.0    0.504   0.050
 2152.0    0.505   0.050
 2153.0    0.505   0.050
 2154.0    0.506   0.049
 2155.0    0.506   0.049
 2156.0    0.507   0.049
 2157.0    0.507   0.049
 2158.0    0.507   0.049
 2159.0    0.508   0.049
 2160.0    0.508   0.049
 2161.0    0.509   0.049
 2162.0    0.509   0.049
 2163.0    0.510   0.049
 2164.0    0.510   0.049
 2165.0    0.511   0.049
 2166.0    0.511   0.049
 2167.0    0.511   0.048
 2168.0    0.512   0.048
 2169.0    0.512   0.048
 2170.0    0.513   0.048
 2171.0    0.513   0.048
 2172.0    0.514   0.048
 2173.0    0.514   0.048
 2174.0    0.514   0.048
 2175.0    0.515   0.048
 2176.0    0.515   0.048
 2177.0    0.516   0.048
 2178.0    0.516   0.048
 2179.0    0.517   0.048
 2180.0    0.517   0.048
 2181.0    0.517   0.047
 2182.0    0.518   0.047
 2183.0    0.518   0.047
 2184.0    0.519   0.047
 2185.0    0.519   0.047
 2186.0    0.519   0.047
 2187.0    0.520   0.047
 2188.0    0.520   0.047
 2189.0    0.521   0.047
 2190.0    0.521   0.047
 2191.0    0.521   0.047
 2192.0    0.522   0.047
 2193.0    0.522   0.047
 2194.0    0.523   0.047
 2195.0    0.523   0.046
 2196.0    0.523   0.046
 2197.0    0.524   0.046
 2198.0    0.524   0.046
 2199.0    0.525   0.046
 2200.0    0.525   0.046
 2201.0    0.525   0.046
 2202.0    0.526   0.046
 2203.0    0.526   0.046
 2204.0    0.527   0.046
 2205.0    0.527   0.046
 2206.0    0.527   0.046
 2207.0    0.528   0.046
 2208.0    0.528   0.046
 2209.0    0.529   0.046
 2210.0    0.529   0.046
 2211.0    0.529   0.045
 2212.0    0.530   0.045
 2213.0    0.530   0.045
 2214.0    0.530   0.045
 2215.0    0.531   0.045
 2216.0    0.531   0.045
 2217.0    0.532   0.045
 2218.0    0.532   0.045
 2219.0    0.532   0.045
 2220.0    0.533   0.045
 2221.0    0.533   0.045
 2222.0    0.533   0.045
 2223.0    0.534   0.045
 2224.0    0.534   0.045
 2225.0    0.534   0.045
 2226.0    0.535   0.045
 2227.0    0.535   0.044
 2228.0    0.536   0.044
 2229.0    0.536   0.044
 2230.0    0.536   0.044
 2231.0    0.537   0.044
 2232.0    0.537   0.044
 2233.0    0.537   0.044
 2234.0    0.538   0.044
 2235.0    0.538   0.044
 2236.0    0.538   0.044
 2237.0    0.539   0.044
 2238.0    0.539   0.044
 2239.0    0.539   0.044
 2240.0    0.540   0.044
 2241.0    0.540   0.044
 2242.0    0.541   0.044
 2243.0    0.541   0.044
 2244.0    0.541   0.044
 2245.0    0.542   0.043
 2246.0    0.542   0.043
 2247.0    0.542   0.043
 2248.0    0.543   0.043
 2249.0    0.543   0.043
 2250.0    0.543   0.043
 2251.0    0.544   0.043
 2252.0    0.544   0.043
 2253.0    0.544   0.043
 2254.0    0.545   0.043
 2255.0    0.545   0.043
 2256.0    0.545   0.043
 2257.0    0.546   0.043
 2258.0    0.546   0.043
 2259.0    0.546   0.043
 2260.0    0.547   0.043
 2261.0    0.547   0.043
 2262.0    0.547   0.043
 2263.0    0.548   0.043
 2264.0    0.548   0.042
 2265.0    0.548   0.042
 2266.0    0.549   0.042
 2267.0    0.549   0.042
 2268.0    0.549   0.042
 2269.0    0.549   0.042
 2270.0    0.550   0.042
 2271.0    0.550   0.042
 2272.0    0.550   0.042
 2273.0    0.551   0.042
 2274.0    0.551   0.042
 2275.0    0.551   0.042
 2276.0    0.552   0.042
 2277.0    0.552   0.042
 2278.0    0.552   0.042
 2279.0    0.553   0.042
 2280.0    0.553   0.042
 2281.0    0.553   0.042
 2282.0    0.554   0.042
 2283.0    0.554   0.042
 2284.0    0.554   0.041
 2285.0    0.554   0.041
 2286.0    0.555   0.041
 2287.0    0.555   0.041
 2288.0    0.555   0.041
 2289.0    0.556   0.041
 2290.0    0.556   0.041
 2291.0    0.556   0.041
 2292.0    0.557   0.041
 2293.0    0.557   0.041
 2294.0    0.557   0.041
 2295.0    0.557   0.041
 2296.0    0.558   0.041
 2297.0    0.558   0.041
 2298.0    0.558   0.041
 2299.0    0.559   0.041
