   W            E0+
 1713.0    2.715  -2.296
 1714.0    2.719  -2.266
 1715.0    2.723  -2.237
 1716.0    2.727  -2.209
 1717.0    2.730  -2.180
 1718.0    2.732  -2.152
 1719.0    2.734  -2.124
 1720.0    2.736  -2.097
 1721.0    2.737  -2.070
 1722.0    2.738  -2.043
 1723.0    2.738  -2.016
 1724.0    2.738  -1.990
 1725.0    2.738  -1.963
 1726.0    2.737  -1.938
 1727.0    2.736  -1.912
 1728.0    2.735  -1.887
 1729.0    2.733  -1.862
 1730.0    2.731  -1.838
 1731.0    2.729  -1.814
 1732.0    2.726  -1.790
 1733.0    2.724  -1.766
 1734.0    2.720  -1.743
 1735.0    2.717  -1.720
 1736.0    2.713  -1.697
 1737.0    2.710  -1.674
 1738.0    2.705  -1.652
 1739.0    2.701  -1.631
 1740.0    2.697  -1.609
 1741.0    2.692  -1.588
 1742.0    2.687  -1.567
 1743.0    2.682  -1.546
 1744.0    2.677  -1.526
 1745.0    2.671  -1.506
 1746.0    2.666  -1.486
 1747.0    2.660  -1.466
 1748.0    2.654  -1.447
 1749.0    2.648  -1.428
 1750.0    2.642  -1.409
 1751.0    2.636  -1.391
 1752.0    2.630  -1.373
 1753.0    2.623  -1.355
 1754.0    2.617  -1.337
 1755.0    2.610  -1.320
 1756.0    2.603  -1.302
 1757.0    2.596  -1.286
 1758.0    2.589  -1.269
 1759.0    2.582  -1.252
 1760.0    2.575  -1.236
 1761.0    2.568  -1.220
 1762.0    2.561  -1.204
 1763.0    2.554  -1.189
 1764.0    2.546  -1.174
 1765.0    2.539  -1.158
 1766.0    2.532  -1.144
 1767.0    2.524  -1.129
 1768.0    2.517  -1.115
 1769.0    2.509  -1.100
 1770.0    2.502  -1.086
 1771.0    2.494  -1.072
 1772.0    2.486  -1.059
 1773.0    2.479  -1.045
 1774.0    2.471  -1.032
 1775.0    2.463  -1.019
 1776.0    2.455  -1.006
 1777.0    2.448  -0.994
 1778.0    2.440  -0.981
 1779.0    2.432  -0.969
 1780.0    2.424  -0.957
 1781.0    2.417  -0.945
 1782.0    2.409  -0.933
 1783.0    2.401  -0.921
 1784.0    2.393  -0.910
 1785.0    2.385  -0.899
 1786.0    2.378  -0.888
 1787.0    2.370  -0.877
 1788.0    2.362  -0.866
 1789.0    2.354  -0.855
 1790.0    2.347  -0.845
 1791.0    2.339  -0.834
 1792.0    2.331  -0.824
 1793.0    2.323  -0.814
 1794.0    2.316  -0.804
 1795.0    2.308  -0.794
 1796.0    2.300  -0.785
 1797.0    2.293  -0.775
 1798.0    2.285  -0.766
 1799.0    2.277  -0.757
 1800.0    2.270  -0.748
 1801.0    2.262  -0.739
 1802.0    2.255  -0.730
 1803.0    2.247  -0.721
 1804.0    2.240  -0.712
 1805.0    2.232  -0.704
 1806.0    2.225  -0.696
 1807.0    2.217  -0.687
 1808.0    2.210  -0.679
 1809.0    2.202  -0.671
 1810.0    2.195  -0.663
 1811.0    2.188  -0.655
 1812.0    2.181  -0.648
 1813.0    2.173  -0.640
 1814.0    2.166  -0.633
 1815.0    2.159  -0.625
 1816.0    2.152  -0.618
 1817.0    2.145  -0.611
 1818.0    2.138  -0.604
 1819.0    2.130  -0.597
 1820.0    2.123  -0.590
 1821.0    2.116  -0.583
 1822.0    2.110  -0.576
 1823.0    2.103  -0.570
 1824.0    2.096  -0.563
 1825.0    2.089  -0.557
 1826.0    2.082  -0.550
 1827.0    2.075  -0.544
 1828.0    2.069  -0.538
 1829.0    2.062  -0.532
 1830.0    2.055  -0.526
 1831.0    2.049  -0.520
 1832.0    2.042  -0.514
 1833.0    2.035  -0.508
 1834.0    2.029  -0.502
 1835.0    2.022  -0.497
 1836.0    2.016  -0.491
 1837.0    2.009  -0.486
 1838.0    2.003  -0.480
 1839.0    1.997  -0.475
 1840.0    1.990  -0.470
 1841.0    1.984  -0.465
 1842.0    1.978  -0.459
 1843.0    1.972  -0.454
 1844.0    1.966  -0.449
 1845.0    1.959  -0.444
 1846.0    1.953  -0.439
 1847.0    1.947  -0.435
 1848.0    1.941  -0.430
 1849.0    1.935  -0.425
 1850.0    1.929  -0.421
 1851.0    1.924  -0.416
 1852.0    1.918  -0.411
 1853.0    1.912  -0.407
 1854.0    1.906  -0.403
 1855.0    1.900  -0.398
 1856.0    1.895  -0.394
 1857.0    1.889  -0.390
 1858.0    1.883  -0.385
 1859.0    1.878  -0.381
 1860.0    1.872  -0.377
 1861.0    1.867  -0.373
 1862.0    1.861  -0.369
 1863.0    1.856  -0.365
 1864.0    1.850  -0.361
 1865.0    1.845  -0.358
 1866.0    1.840  -0.354
 1867.0    1.834  -0.350
 1868.0    1.829  -0.346
 1869.0    1.824  -0.343
 1870.0    1.818  -0.339
 1871.0    1.813  -0.336
 1872.0    1.808  -0.332
 1873.0    1.803  -0.329
 1874.0    1.798  -0.325
 1875.0    1.793  -0.322
 1876.0    1.788  -0.318
 1877.0    1.783  -0.315
 1878.0    1.778  -0.312
 1879.0    1.773  -0.309
 1880.0    1.768  -0.305
 1881.0    1.763  -0.302
 1882.0    1.759  -0.299
 1883.0    1.754  -0.296
 1884.0    1.749  -0.293
 1885.0    1.744  -0.290
 1886.0    1.740  -0.287
 1887.0    1.735  -0.284
 1888.0    1.731  -0.281
 1889.0    1.726  -0.278
 1890.0    1.721  -0.275
 1891.0    1.717  -0.273
 1892.0    1.712  -0.270
 1893.0    1.708  -0.267
 1894.0    1.704  -0.264
 1895.0    1.699  -0.262
 1896.0    1.695  -0.259
 1897.0    1.691  -0.257
 1898.0    1.686  -0.254
 1899.0    1.682  -0.251
 1900.0    1.678  -0.249
 1901.0    1.674  -0.246
 1902.0    1.669  -0.244
 1903.0    1.665  -0.242
 1904.0    1.661  -0.239
 1905.0    1.657  -0.237
 1906.0    1.653  -0.234
 1907.0    1.649  -0.232
 1908.0    1.645  -0.230
 1909.0    1.641  -0.227
 1910.0    1.637  -0.225
 1911.0    1.633  -0.223
 1912.0    1.629  -0.221
 1913.0    1.625  -0.219
 1914.0    1.622  -0.217
 1915.0    1.618  -0.214
 1916.0    1.614  -0.212
 1917.0    1.610  -0.210
 1918.0    1.607  -0.208
 1919.0    1.603  -0.206
 1920.0    1.599  -0.204
 1921.0    1.596  -0.202
 1922.0    1.592  -0.200
 1923.0    1.589  -0.198
 1924.0    1.585  -0.196
 1925.0    1.581  -0.194
 1926.0    1.578  -0.193
 1927.0    1.574  -0.191
 1928.0    1.571  -0.189
 1929.0    1.568  -0.187
 1930.0    1.564  -0.185
 1931.0    1.561  -0.184
 1932.0    1.557  -0.182
 1933.0    1.554  -0.180
 1934.0    1.551  -0.178
 1935.0    1.548  -0.177
 1936.0    1.544  -0.175
 1937.0    1.541  -0.173
 1938.0    1.538  -0.172
 1939.0    1.535  -0.170
 1940.0    1.532  -0.168
 1941.0    1.528  -0.167
 1942.0    1.525  -0.165
 1943.0    1.522  -0.164
 1944.0    1.519  -0.162
 1945.0    1.516  -0.161
 1946.0    1.513  -0.159
 1947.0    1.510  -0.158
 1948.0    1.507  -0.156
 1949.0    1.504  -0.155
 1950.0    1.501  -0.153
 1951.0    1.498  -0.152
 1952.0    1.495  -0.150
 1953.0    1.493  -0.149
 1954.0    1.490  -0.148
 1955.0    1.487  -0.146
 1956.0    1.484  -0.145
 1957.0    1.481  -0.144
 1958.0    1.478  -0.142
 1959.0    1.476  -0.141
 1960.0    1.473  -0.140
 1961.0    1.470  -0.138
 1962.0    1.468  -0.137
 1963.0    1.465  -0.136
 1964.0    1.462  -0.135
 1965.0    1.460  -0.133
 1966.0    1.457  -0.132
 1967.0    1.455  -0.131
 1968.0    1.452  -0.130
 1969.0    1.449  -0.129
 1970.0    1.447  -0.127
 1971.0    1.444  -0.126
 1972.0    1.442  -0.125
 1973.0    1.439  -0.124
 1974.0    1.437  -0.123
 1975.0    1.435  -0.122
 1976.0    1.432  -0.121
 1977.0    1.430  -0.120
 1978.0    1.427  -0.118
 1979.0    1.425  -0.117
 1980.0    1.423  -0.116
 1981.0    1.420  -0.115
 1982.0    1.418  -0.114
 1983.0    1.416  -0.113
 1984.0    1.413  -0.112
 1985.0    1.411  -0.111
 1986.0    1.409  -0.110
 1987.0    1.407  -0.109
 1988.0    1.404  -0.108
 1989.0    1.402  -0.107
 1990.0    1.400  -0.106
 1991.0    1.398  -0.105
 1992.0    1.396  -0.104
 1993.0    1.394  -0.104
 1994.0    1.392  -0.103
 1995.0    1.389  -0.102
 1996.0    1.387  -0.101
 1997.0    1.385  -0.100
 1998.0    1.383  -0.099
 1999.0    1.381  -0.098
 2000.0    1.379  -0.097
 2001.0    1.377  -0.096
 2002.0    1.375  -0.096
 2003.0    1.373  -0.095
 2004.0    1.371  -0.094
 2005.0    1.369  -0.093
 2006.0    1.367  -0.092
 2007.0    1.365  -0.091
 2008.0    1.363  -0.091
 2009.0    1.362  -0.090
 2010.0    1.360  -0.089
 2011.0    1.358  -0.088
 2012.0    1.356  -0.088
 2013.0    1.354  -0.087
 2014.0    1.352  -0.086
 2015.0    1.351  -0.085
 2016.0    1.349  -0.085
 2017.0    1.347  -0.084
 2018.0    1.345  -0.083
 2019.0    1.343  -0.082
 2020.0    1.342  -0.082
 2021.0    1.340  -0.081
 2022.0    1.338  -0.080
 2023.0    1.337  -0.080
 2024.0    1.335  -0.079
 2025.0    1.333  -0.078
 2026.0    1.331  -0.077
 2027.0    1.330  -0.077
 2028.0    1.328  -0.076
 2029.0    1.327  -0.075
 2030.0    1.325  -0.075
 2031.0    1.323  -0.074
 2032.0    1.322  -0.074
 2033.0    1.320  -0.073
 2034.0    1.319  -0.072
 2035.0    1.317  -0.072
 2036.0    1.315  -0.071
 2037.0    1.314  -0.070
 2038.0    1.312  -0.070
 2039.0    1.311  -0.069
 2040.0    1.309  -0.069
 2041.0    1.308  -0.068
 2042.0    1.306  -0.067
 2043.0    1.305  -0.067
 2044.0    1.303  -0.066
 2045.0    1.302  -0.066
 2046.0    1.301  -0.065
 2047.0    1.299  -0.065
 2048.0    1.298  -0.064
 2049.0    1.296  -0.064
 2050.0    1.295  -0.063
 2051.0    1.293  -0.062
 2052.0    1.292  -0.062
 2053.0    1.291  -0.061
 2054.0    1.289  -0.061
 2055.0    1.288  -0.060
 2056.0    1.287  -0.060
 2057.0    1.285  -0.059
 2058.0    1.284  -0.059
 2059.0    1.283  -0.058
 2060.0    1.281  -0.058
 2061.0    1.280  -0.057
 2062.0    1.279  -0.057
 2063.0    1.278  -0.056
 2064.0    1.276  -0.056
 2065.0    1.275  -0.055
 2066.0    1.274  -0.055
 2067.0    1.273  -0.055
 2068.0    1.271  -0.054
 2069.0    1.270  -0.054
 2070.0    1.269  -0.053
 2071.0    1.268  -0.053
 2072.0    1.267  -0.052
 2073.0    1.265  -0.052
 2074.0    1.264  -0.051
 2075.0    1.263  -0.051
 2076.0    1.262  -0.050
 2077.0    1.261  -0.050
 2078.0    1.260  -0.050
 2079.0    1.258  -0.049
 2080.0    1.257  -0.049
 2081.0    1.256  -0.048
 2082.0    1.255  -0.048
 2083.0    1.254  -0.048
 2084.0    1.253  -0.047
 2085.0    1.252  -0.047
 2086.0    1.251  -0.046
 2087.0    1.250  -0.046
 2088.0    1.249  -0.046
 2089.0    1.248  -0.045
 2090.0    1.246  -0.045
 2091.0    1.245  -0.044
 2092.0    1.244  -0.044
 2093.0    1.243  -0.044
 2094.0    1.242  -0.043
 2095.0    1.241  -0.043
 2096.0    1.240  -0.043
 2097.0    1.239  -0.042
 2098.0    1.238  -0.042
 2099.0    1.237  -0.042
 2100.0    1.236  -0.041
 2101.0    1.235  -0.041
 2102.0    1.234  -0.040
 2103.0    1.234  -0.040
 2104.0    1.233  -0.040
 2105.0    1.232  -0.039
 2106.0    1.231  -0.039
 2107.0    1.230  -0.039
 2108.0    1.229  -0.038
 2109.0    1.228  -0.038
 2110.0    1.227  -0.038
 2111.0    1.226  -0.037
 2112.0    1.225  -0.037
 2113.0    1.224  -0.037
 2114.0    1.223  -0.037
 2115.0    1.223  -0.036
 2116.0    1.222  -0.036
 2117.0    1.221  -0.036
 2118.0    1.220  -0.035
 2119.0    1.219  -0.035
 2120.0    1.218  -0.035
 2121.0    1.217  -0.034
 2122.0    1.217  -0.034
 2123.0    1.216  -0.034
 2124.0    1.215  -0.034
 2125.0    1.214  -0.033
 2126.0    1.213  -0.033
 2127.0    1.213  -0.033
 2128.0    1.212  -0.032
 2129.0    1.211  -0.032
 2130.0    1.210  -0.032
 2131.0    1.209  -0.032
 2132.0    1.209  -0.031
 2133.0    1.208  -0.031
 2134.0    1.207  -0.031
 2135.0    1.206  -0.030
 2136.0    1.206  -0.030
 2137.0    1.205  -0.030
 2138.0    1.204  -0.030
 2139.0    1.203  -0.029
 2140.0    1.203  -0.029
 2141.0    1.202  -0.029
 2142.0    1.201  -0.029
 2143.0    1.200  -0.028
 2144.0    1.200  -0.028
 2145.0    1.199  -0.028
 2146.0    1.198  -0.028
 2147.0    1.198  -0.027
 2148.0    1.197  -0.027
 2149.0    1.196  -0.027
 2150.0    1.196  -0.027
 2151.0    1.195  -0.026
 2152.0    1.194  -0.026
 2153.0    1.194  -0.026
 2154.0    1.193  -0.026
 2155.0    1.192  -0.026
 2156.0    1.192  -0.025
 2157.0    1.191  -0.025
 2158.0    1.190  -0.025
 2159.0    1.190  -0.025
 2160.0    1.189  -0.024
 2161.0    1.188  -0.024
 2162.0    1.188  -0.024
 2163.0    1.187  -0.024
 2164.0    1.186  -0.024
 2165.0    1.186  -0.023
 2166.0    1.185  -0.023
 2167.0    1.185  -0.023
 2168.0    1.184  -0.023
 2169.0    1.183  -0.022
 2170.0    1.183  -0.022
 2171.0    1.182  -0.022
 2172.0    1.182  -0.022
 2173.0    1.181  -0.022
 2174.0    1.180  -0.021
 2175.0    1.180  -0.021
 2176.0    1.179  -0.021
 2177.0    1.179  -0.021
 2178.0    1.178  -0.021
 2179.0    1.178  -0.021
 2180.0    1.177  -0.020
 2181.0    1.177  -0.020
 2182.0    1.176  -0.020
 2183.0    1.175  -0.020
 2184.0    1.175  -0.020
 2185.0    1.174  -0.019
 2186.0    1.174  -0.019
 2187.0    1.173  -0.019
 2188.0    1.173  -0.019
 2189.0    1.172  -0.019
 2190.0    1.172  -0.018
 2191.0    1.171  -0.018
 2192.0    1.171  -0.018
 2193.0    1.170  -0.018
 2194.0    1.170  -0.018
 2195.0    1.169  -0.018
 2196.0    1.169  -0.017
 2197.0    1.168  -0.017
 2198.0    1.168  -0.017
 2199.0    1.167  -0.017
 2200.0    1.167  -0.017
 2201.0    1.166  -0.017
 2202.0    1.166  -0.016
 2203.0    1.165  -0.016
 2204.0    1.165  -0.016
 2205.0    1.164  -0.016
 2206.0    1.164  -0.016
 2207.0    1.163  -0.016
 2208.0    1.163  -0.015
 2209.0    1.163  -0.015
 2210.0    1.162  -0.015
 2211.0    1.162  -0.015
 2212.0    1.161  -0.015
 2213.0    1.161  -0.015
 2214.0    1.160  -0.015
 2215.0    1.160  -0.014
 2216.0    1.159  -0.014
 2217.0    1.159  -0.014
 2218.0    1.159  -0.014
 2219.0    1.158  -0.014
 2220.0    1.158  -0.014
 2221.0    1.157  -0.014
 2222.0    1.157  -0.013
 2223.0    1.156  -0.013
 2224.0    1.156  -0.013
 2225.0    1.156  -0.013
 2226.0    1.155  -0.013
 2227.0    1.155  -0.013
 2228.0    1.154  -0.013
 2229.0    1.154  -0.012
 2230.0    1.154  -0.012
 2231.0    1.153  -0.012
 2232.0    1.153  -0.012
 2233.0    1.152  -0.012
 2234.0    1.152  -0.012
 2235.0    1.152  -0.012
 2236.0    1.151  -0.011
 2237.0    1.151  -0.011
 2238.0    1.151  -0.011
 2239.0    1.150  -0.011
 2240.0    1.150  -0.011
 2241.0    1.149  -0.011
 2242.0    1.149  -0.011
 2243.0    1.149  -0.011
 2244.0    1.148  -0.010
 2245.0    1.148  -0.010
 2246.0    1.148  -0.010
 2247.0    1.147  -0.010
 2248.0    1.147  -0.010
 2249.0    1.147  -0.010
 2250.0    1.146  -0.010
 2251.0    1.146  -0.010
 2252.0    1.146  -0.009
 2253.0    1.145  -0.009
 2254.0    1.145  -0.009
 2255.0    1.145  -0.009
 2256.0    1.144  -0.009
 2257.0    1.144  -0.009
 2258.0    1.144  -0.009
 2259.0    1.143  -0.009
 2260.0    1.143  -0.009
 2261.0    1.143  -0.008
 2262.0    1.142  -0.008
 2263.0    1.142  -0.008
 2264.0    1.142  -0.008
 2265.0    1.141  -0.008
 2266.0    1.141  -0.008
 2267.0    1.141  -0.008
 2268.0    1.140  -0.008
 2269.0    1.140  -0.008
 2270.0    1.140  -0.007
 2271.0    1.139  -0.007
 2272.0    1.139  -0.007
 2273.0    1.139  -0.007
 2274.0    1.139  -0.007
 2275.0    1.138  -0.007
 2276.0    1.138  -0.007
 2277.0    1.138  -0.007
 2278.0    1.137  -0.007
 2279.0    1.137  -0.006
 2280.0    1.137  -0.006
 2281.0    1.137  -0.006
 2282.0    1.136  -0.006
 2283.0    1.136  -0.006
 2284.0    1.136  -0.006
 2285.0    1.135  -0.006
 2286.0    1.135  -0.006
 2287.0    1.135  -0.006
 2288.0    1.135  -0.006
 2289.0    1.134  -0.006
 2290.0    1.134  -0.005
 2291.0    1.134  -0.005
 2292.0    1.134  -0.005
 2293.0    1.133  -0.005
 2294.0    1.133  -0.005
 2295.0    1.133  -0.005
 2296.0    1.133  -0.005
 2297.0    1.132  -0.005
 2298.0    1.132  -0.005
 2299.0    1.132  -0.005
