   W            E3-
 1727.0    0.027   0.001
 1728.0    0.027   0.001
 1729.0    0.027   0.002
 1730.0    0.027   0.002
 1731.0    0.028   0.002
 1732.0    0.028   0.002
 1733.0    0.028   0.002
 1734.0    0.029   0.002
 1735.0    0.029   0.002
 1736.0    0.029   0.002
 1737.0    0.030   0.002
 1738.0    0.030   0.002
 1739.0    0.030   0.002
 1740.0    0.031   0.002
 1741.0    0.031   0.002
 1742.0    0.031   0.002
 1743.0    0.031   0.002
 1744.0    0.032   0.002
 1745.0    0.032   0.002
 1746.0    0.032   0.002
 1747.0    0.033   0.002
 1748.0    0.033   0.002
 1749.0    0.033   0.002
 1750.0    0.034   0.002
 1751.0    0.034   0.002
 1752.0    0.034   0.002
 1753.0    0.035   0.002
 1754.0    0.035   0.002
 1755.0    0.035   0.002
 1756.0    0.036   0.002
 1757.0    0.036   0.002
 1758.0    0.036   0.002
 1759.0    0.037   0.002
 1760.0    0.037   0.002
 1761.0    0.037   0.002
 1762.0    0.038   0.002
 1763.0    0.038   0.002
 1764.0    0.038   0.002
 1765.0    0.039   0.002
 1766.0    0.039   0.002
 1767.0    0.039   0.002
 1768.0    0.039   0.002
 1769.0    0.040   0.002
 1770.0    0.040   0.002
 1771.0    0.040   0.002
 1772.0    0.041   0.002
 1773.0    0.041   0.002
 1774.0    0.041   0.002
 1775.0    0.042   0.002
 1776.0    0.042   0.002
 1777.0    0.042   0.002
 1778.0    0.043   0.002
 1779.0    0.043   0.002
 1780.0    0.043   0.002
 1781.0    0.044   0.002
 1782.0    0.044   0.002
 1783.0    0.044   0.002
 1784.0    0.045   0.003
 1785.0    0.045   0.003
 1786.0    0.045   0.003
 1787.0    0.046   0.003
 1788.0    0.046   0.003
 1789.0    0.046   0.003
 1790.0    0.047   0.003
 1791.0    0.047   0.003
 1792.0    0.047   0.003
 1793.0    0.048   0.003
 1794.0    0.048   0.003
 1795.0    0.048   0.003
 1796.0    0.049   0.003
 1797.0    0.049   0.003
 1798.0    0.049   0.003
 1799.0    0.050   0.003
 1800.0    0.050   0.003
 1801.0    0.050   0.003
 1802.0    0.051   0.003
 1803.0    0.051   0.003
 1804.0    0.051   0.003
 1805.0    0.052   0.003
 1806.0    0.052   0.003
 1807.0    0.052   0.003
 1808.0    0.053   0.003
 1809.0    0.053   0.003
 1810.0    0.054   0.003
 1811.0    0.054   0.003
 1812.0    0.054   0.003
 1813.0    0.055   0.003
 1814.0    0.055   0.003
 1815.0    0.055   0.003
 1816.0    0.056   0.003
 1817.0    0.056   0.003
 1818.0    0.056   0.003
 1819.0    0.057   0.003
 1820.0    0.057   0.003
 1821.0    0.057   0.003
 1822.0    0.058   0.003
 1823.0    0.058   0.003
 1824.0    0.058   0.003
 1825.0    0.059   0.003
 1826.0    0.059   0.003
 1827.0    0.059   0.003
 1828.0    0.060   0.003
 1829.0    0.060   0.003
 1830.0    0.060   0.003
 1831.0    0.061   0.003
 1832.0    0.061   0.003
 1833.0    0.061   0.003
 1834.0    0.062   0.003
 1835.0    0.062   0.004
 1836.0    0.062   0.004
 1837.0    0.063   0.004
 1838.0    0.063   0.004
 1839.0    0.063   0.004
 1840.0    0.064   0.004
 1841.0    0.064   0.004
 1842.0    0.065   0.004
 1843.0    0.065   0.004
 1844.0    0.065   0.004
 1845.0    0.066   0.004
 1846.0    0.066   0.004
 1847.0    0.066   0.004
 1848.0    0.067   0.004
 1849.0    0.067   0.004
 1850.0    0.067   0.004
 1851.0    0.068   0.004
 1852.0    0.068   0.004
 1853.0    0.068   0.004
 1854.0    0.069   0.004
 1855.0    0.069   0.004
 1856.0    0.069   0.004
 1857.0    0.070   0.004
 1858.0    0.070   0.004
 1859.0    0.070   0.004
 1860.0    0.071   0.004
 1861.0    0.071   0.004
 1862.0    0.072   0.004
 1863.0    0.072   0.004
 1864.0    0.072   0.004
 1865.0    0.073   0.004
 1866.0    0.073   0.004
 1867.0    0.073   0.004
 1868.0    0.074   0.004
 1869.0    0.074   0.004
 1870.0    0.074   0.004
 1871.0    0.075   0.004
 1872.0    0.075   0.004
 1873.0    0.075   0.004
 1874.0    0.076   0.004
 1875.0    0.076   0.004
 1876.0    0.076   0.004
 1877.0    0.077   0.004
 1878.0    0.077   0.004
 1879.0    0.077   0.004
 1880.0    0.078   0.004
 1881.0    0.078   0.004
 1882.0    0.079   0.004
 1883.0    0.079   0.004
 1884.0    0.079   0.004
 1885.0    0.080   0.004
 1886.0    0.080   0.005
 1887.0    0.080   0.005
 1888.0    0.081   0.005
 1889.0    0.081   0.005
 1890.0    0.081   0.005
 1891.0    0.082   0.005
 1892.0    0.082   0.005
 1893.0    0.082   0.005
 1894.0    0.083   0.005
 1895.0    0.083   0.005
 1896.0    0.083   0.005
 1897.0    0.084   0.005
 1898.0    0.084   0.005
 1899.0    0.085   0.005
 1900.0    0.085   0.005
 1901.0    0.085   0.005
 1902.0    0.086   0.005
 1903.0    0.086   0.005
 1904.0    0.086   0.005
 1905.0    0.087   0.005
 1906.0    0.087   0.005
 1907.0    0.087   0.005
 1908.0    0.088   0.005
 1909.0    0.088   0.005
 1910.0    0.088   0.005
 1911.0    0.089   0.005
 1912.0    0.089   0.005
 1913.0    0.090   0.005
 1914.0    0.090   0.005
 1915.0    0.090   0.005
 1916.0    0.091   0.005
 1917.0    0.091   0.005
 1918.0    0.091   0.005
 1919.0    0.092   0.005
 1920.0    0.092   0.005
 1921.0    0.092   0.005
 1922.0    0.093   0.005
 1923.0    0.093   0.005
 1924.0    0.093   0.005
 1925.0    0.094   0.005
 1926.0    0.094   0.005
 1927.0    0.094   0.005
 1928.0    0.095   0.005
 1929.0    0.095   0.005
 1930.0    0.096   0.005
 1931.0    0.096   0.005
 1932.0    0.096   0.005
 1933.0    0.097   0.005
 1934.0    0.097   0.005
 1935.0    0.097   0.005
 1936.0    0.098   0.006
 1937.0    0.098   0.006
 1938.0    0.098   0.006
 1939.0    0.099   0.006
 1940.0    0.099   0.006
 1941.0    0.099   0.006
 1942.0    0.100   0.006
 1943.0    0.100   0.006
 1944.0    0.101   0.006
 1945.0    0.101   0.006
 1946.0    0.101   0.006
 1947.0    0.102   0.006
 1948.0    0.102   0.006
 1949.0    0.102   0.006
 1950.0    0.103   0.006
 1951.0    0.103   0.006
 1952.0    0.103   0.006
 1953.0    0.104   0.006
 1954.0    0.104   0.006
 1955.0    0.104   0.006
 1956.0    0.105   0.006
 1957.0    0.105   0.006
 1958.0    0.105   0.006
 1959.0    0.106   0.006
 1960.0    0.106   0.006
 1961.0    0.107   0.006
 1962.0    0.107   0.006
 1963.0    0.107   0.006
 1964.0    0.108   0.006
 1965.0    0.108   0.006
 1966.0    0.108   0.006
 1967.0    0.109   0.006
 1968.0    0.109   0.006
 1969.0    0.109   0.006
 1970.0    0.110   0.006
 1971.0    0.110   0.006
 1972.0    0.110   0.006
 1973.0    0.111   0.006
 1974.0    0.111   0.006
 1975.0    0.111   0.006
 1976.0    0.112   0.006
 1977.0    0.112   0.006
 1978.0    0.113   0.006
 1979.0    0.113   0.006
 1980.0    0.113   0.006
 1981.0    0.114   0.006
 1982.0    0.114   0.006
 1983.0    0.114   0.006
 1984.0    0.115   0.006
 1985.0    0.115   0.006
 1986.0    0.115   0.006
 1987.0    0.116   0.007
 1988.0    0.116   0.007
 1989.0    0.116   0.007
 1990.0    0.117   0.007
 1991.0    0.117   0.007
 1992.0    0.117   0.007
 1993.0    0.118   0.007
 1994.0    0.118   0.007
 1995.0    0.119   0.007
 1996.0    0.119   0.007
 1997.0    0.119   0.007
 1998.0    0.120   0.007
 1999.0    0.120   0.007
 2000.0    0.120   0.007
 2001.0    0.121   0.007
 2002.0    0.121   0.007
 2003.0    0.121   0.007
 2004.0    0.122   0.007
 2005.0    0.122   0.007
 2006.0    0.122   0.007
 2007.0    0.123   0.007
 2008.0    0.123   0.007
 2009.0    0.123   0.007
 2010.0    0.124   0.007
 2011.0    0.124   0.007
 2012.0    0.125   0.007
 2013.0    0.125   0.007
 2014.0    0.125   0.007
 2015.0    0.126   0.007
 2016.0    0.126   0.007
 2017.0    0.126   0.007
 2018.0    0.127   0.007
 2019.0    0.127   0.007
 2020.0    0.127   0.007
 2021.0    0.128   0.007
 2022.0    0.128   0.007
 2023.0    0.128   0.007
 2024.0    0.129   0.007
 2025.0    0.129   0.007
 2026.0    0.129   0.007
 2027.0    0.130   0.007
 2028.0    0.130   0.007
 2029.0    0.130   0.007
 2030.0    0.131   0.007
 2031.0    0.131   0.007
 2032.0    0.131   0.007
 2033.0    0.132   0.007
 2034.0    0.132   0.007
 2035.0    0.133   0.007
 2036.0    0.133   0.007
 2037.0    0.133   0.007
 2038.0    0.134   0.007
 2039.0    0.134   0.007
 2040.0    0.134   0.007
 2041.0    0.135   0.008
 2042.0    0.135   0.008
 2043.0    0.135   0.008
 2044.0    0.136   0.008
 2045.0    0.136   0.008
 2046.0    0.136   0.008
 2047.0    0.137   0.008
 2048.0    0.137   0.008
 2049.0    0.137   0.008
 2050.0    0.138   0.008
 2051.0    0.138   0.008
 2052.0    0.138   0.008
 2053.0    0.139   0.008
 2054.0    0.139   0.008
 2055.0    0.139   0.008
 2056.0    0.140   0.008
 2057.0    0.140   0.008
 2058.0    0.141   0.008
 2059.0    0.141   0.008
 2060.0    0.141   0.008
 2061.0    0.142   0.008
 2062.0    0.142   0.008
 2063.0    0.142   0.008
 2064.0    0.143   0.008
 2065.0    0.143   0.008
 2066.0    0.143   0.008
 2067.0    0.144   0.008
 2068.0    0.144   0.008
 2069.0    0.144   0.008
 2070.0    0.145   0.008
 2071.0    0.145   0.008
 2072.0    0.145   0.008
 2073.0    0.146   0.008
 2074.0    0.146   0.008
 2075.0    0.146   0.008
 2076.0    0.147   0.008
 2077.0    0.147   0.008
 2078.0    0.147   0.008
 2079.0    0.148   0.008
 2080.0    0.148   0.008
 2081.0    0.148   0.008
 2082.0    0.149   0.008
 2083.0    0.149   0.008
 2084.0    0.149   0.008
 2085.0    0.150   0.008
 2086.0    0.150   0.008
 2087.0    0.150   0.008
 2088.0    0.151   0.008
 2089.0    0.151   0.008
 2090.0    0.151   0.008
 2091.0    0.152   0.008
 2092.0    0.152   0.008
 2093.0    0.152   0.008
 2094.0    0.153   0.008
 2095.0    0.153   0.008
 2096.0    0.154   0.009
 2097.0    0.154   0.009
 2098.0    0.154   0.009
 2099.0    0.155   0.009
 2100.0    0.155   0.009
 2101.0    0.155   0.009
 2102.0    0.156   0.009
 2103.0    0.156   0.009
 2104.0    0.156   0.009
 2105.0    0.157   0.009
 2106.0    0.157   0.009
 2107.0    0.157   0.009
 2108.0    0.158   0.009
 2109.0    0.158   0.009
 2110.0    0.158   0.009
 2111.0    0.159   0.009
 2112.0    0.159   0.009
 2113.0    0.159   0.009
 2114.0    0.160   0.009
 2115.0    0.160   0.009
 2116.0    0.160   0.009
 2117.0    0.161   0.009
 2118.0    0.161   0.009
 2119.0    0.161   0.009
 2120.0    0.162   0.009
 2121.0    0.162   0.009
 2122.0    0.162   0.009
 2123.0    0.163   0.009
 2124.0    0.163   0.009
 2125.0    0.163   0.009
 2126.0    0.164   0.009
 2127.0    0.164   0.009
 2128.0    0.164   0.009
 2129.0    0.165   0.009
 2130.0    0.165   0.009
 2131.0    0.165   0.009
 2132.0    0.166   0.009
 2133.0    0.166   0.009
 2134.0    0.166   0.009
 2135.0    0.167   0.009
 2136.0    0.167   0.009
 2137.0    0.167   0.009
 2138.0    0.168   0.009
 2139.0    0.168   0.009
 2140.0    0.168   0.009
 2141.0    0.169   0.009
 2142.0    0.169   0.009
 2143.0    0.169   0.009
 2144.0    0.170   0.009
 2145.0    0.170   0.009
 2146.0    0.170   0.009
 2147.0    0.171   0.009
 2148.0    0.171   0.009
 2149.0    0.171   0.009
 2150.0    0.172   0.009
 2151.0    0.172   0.009
 2152.0    0.172   0.009
 2153.0    0.173   0.009
 2154.0    0.173   0.009
 2155.0    0.173   0.009
 2156.0    0.174   0.010
 2157.0    0.174   0.010
 2158.0    0.174   0.010
 2159.0    0.175   0.010
 2160.0    0.175   0.010
 2161.0    0.175   0.010
 2162.0    0.176   0.010
 2163.0    0.176   0.010
 2164.0    0.176   0.010
 2165.0    0.176   0.010
 2166.0    0.177   0.010
 2167.0    0.177   0.010
 2168.0    0.177   0.010
 2169.0    0.178   0.010
 2170.0    0.178   0.010
 2171.0    0.178   0.010
 2172.0    0.179   0.010
 2173.0    0.179   0.010
 2174.0    0.179   0.010
 2175.0    0.180   0.010
 2176.0    0.180   0.010
 2177.0    0.180   0.010
 2178.0    0.181   0.010
 2179.0    0.181   0.010
 2180.0    0.181   0.010
 2181.0    0.182   0.010
 2182.0    0.182   0.010
 2183.0    0.182   0.010
 2184.0    0.183   0.010
 2185.0    0.183   0.010
 2186.0    0.183   0.010
 2187.0    0.184   0.010
 2188.0    0.184   0.010
 2189.0    0.184   0.010
 2190.0    0.185   0.010
 2191.0    0.185   0.010
 2192.0    0.185   0.010
 2193.0    0.186   0.010
 2194.0    0.186   0.010
 2195.0    0.186   0.010
 2196.0    0.187   0.010
 2197.0    0.187   0.010
 2198.0    0.187   0.010
 2199.0    0.187   0.010
 2200.0    0.188   0.010
 2201.0    0.188   0.010
 2202.0    0.188   0.010
 2203.0    0.189   0.010
 2204.0    0.189   0.010
 2205.0    0.189   0.010
 2206.0    0.190   0.010
 2207.0    0.190   0.010
 2208.0    0.190   0.010
 2209.0    0.191   0.010
 2210.0    0.191   0.010
 2211.0    0.191   0.010
 2212.0    0.192   0.010
 2213.0    0.192   0.010
 2214.0    0.192   0.010
 2215.0    0.193   0.010
 2216.0    0.193   0.010
 2217.0    0.193   0.010
 2218.0    0.193   0.010
 2219.0    0.194   0.010
 2220.0    0.194   0.011
 2221.0    0.194   0.011
 2222.0    0.195   0.011
 2223.0    0.195   0.011
 2224.0    0.195   0.011
 2225.0    0.196   0.011
 2226.0    0.196   0.011
 2227.0    0.196   0.011
 2228.0    0.197   0.011
 2229.0    0.197   0.011
 2230.0    0.197   0.011
 2231.0    0.198   0.011
 2232.0    0.198   0.011
 2233.0    0.198   0.011
 2234.0    0.198   0.011
 2235.0    0.199   0.011
 2236.0    0.199   0.011
 2237.0    0.199   0.011
 2238.0    0.200   0.011
 2239.0    0.200   0.011
 2240.0    0.200   0.011
 2241.0    0.201   0.011
 2242.0    0.201   0.011
 2243.0    0.201   0.011
 2244.0    0.202   0.011
 2245.0    0.202   0.011
 2246.0    0.202   0.011
 2247.0    0.203   0.011
 2248.0    0.203   0.011
 2249.0    0.203   0.011
 2250.0    0.203   0.011
 2251.0    0.204   0.011
 2252.0    0.204   0.011
 2253.0    0.204   0.011
 2254.0    0.205   0.011
 2255.0    0.205   0.011
 2256.0    0.205   0.011
 2257.0    0.206   0.011
 2258.0    0.206   0.011
 2259.0    0.206   0.011
 2260.0    0.207   0.011
 2261.0    0.207   0.011
 2262.0    0.207   0.011
 2263.0    0.207   0.011
 2264.0    0.208   0.011
 2265.0    0.208   0.011
 2266.0    0.208   0.011
 2267.0    0.209   0.011
 2268.0    0.209   0.011
 2269.0    0.209   0.011
 2270.0    0.210   0.011
 2271.0    0.210   0.011
 2272.0    0.210   0.011
 2273.0    0.210   0.011
 2274.0    0.211   0.011
 2275.0    0.211   0.011
 2276.0    0.211   0.011
 2277.0    0.212   0.011
 2278.0    0.212   0.011
 2279.0    0.212   0.011
 2280.0    0.213   0.011
 2281.0    0.213   0.011
 2282.0    0.213   0.011
 2283.0    0.213   0.011
 2284.0    0.214   0.011
 2285.0    0.214   0.011
 2286.0    0.214   0.011
 2287.0    0.215   0.011
 2288.0    0.215   0.011
 2289.0    0.215   0.011
 2290.0    0.216   0.012
 2291.0    0.216   0.012
 2292.0    0.216   0.012
 2293.0    0.216   0.012
 2294.0    0.217   0.012
 2295.0    0.217   0.012
 2296.0    0.217   0.012
 2297.0    0.218   0.012
 2298.0    0.218   0.012
 2299.0    0.218   0.012
