   W            E1+
 (MeV)      Re      Im
 2166.0   -0.049  -0.055
 2167.0   -0.049  -0.055
 2168.0   -0.050  -0.054
 2169.0   -0.050  -0.054
 2170.0   -0.051  -0.054
 2171.0   -0.051  -0.054
 2172.0   -0.052  -0.053
 2173.0   -0.052  -0.053
 2174.0   -0.052  -0.053
 2175.0   -0.053  -0.053
 2176.0   -0.053  -0.053
 2177.0   -0.054  -0.052
 2178.0   -0.054  -0.052
 2179.0   -0.054  -0.052
 2180.0   -0.055  -0.052
 2181.0   -0.055  -0.051
 2182.0   -0.056  -0.051
 2183.0   -0.056  -0.051
 2184.0   -0.056  -0.051
 2185.0   -0.057  -0.051
 2186.0   -0.057  -0.050
 2187.0   -0.058  -0.050
 2188.0   -0.058  -0.050
 2189.0   -0.058  -0.050
 2190.0   -0.059  -0.050
 2191.0   -0.059  -0.049
 2192.0   -0.059  -0.049
 2193.0   -0.060  -0.049
 2194.0   -0.060  -0.049
 2195.0   -0.061  -0.049
 2196.0   -0.061  -0.048
 2197.0   -0.061  -0.048
 2198.0   -0.062  -0.048
 2199.0   -0.062  -0.048
 2200.0   -0.062  -0.048
 2201.0   -0.063  -0.047
 2202.0   -0.063  -0.047
 2203.0   -0.063  -0.047
 2204.0   -0.064  -0.047
 2205.0   -0.064  -0.047
 2206.0   -0.064  -0.047
 2207.0   -0.065  -0.046
 2208.0   -0.065  -0.046
 2209.0   -0.066  -0.046
 2210.0   -0.066  -0.046
 2211.0   -0.066  -0.046
 2212.0   -0.067  -0.046
 2213.0   -0.067  -0.045
 2214.0   -0.067  -0.045
 2215.0   -0.067  -0.045
 2216.0   -0.068  -0.045
 2217.0   -0.068  -0.045
 2218.0   -0.068  -0.044
 2219.0   -0.069  -0.044
 2220.0   -0.069  -0.044
 2221.0   -0.069  -0.044
 2222.0   -0.070  -0.044
 2223.0   -0.070  -0.044
 2224.0   -0.070  -0.043
 2225.0   -0.071  -0.043
 2226.0   -0.071  -0.043
 2227.0   -0.071  -0.043
 2228.0   -0.072  -0.043
 2229.0   -0.072  -0.043
 2230.0   -0.072  -0.043
 2231.0   -0.072  -0.042
 2232.0   -0.073  -0.042
 2233.0   -0.073  -0.042
 2234.0   -0.073  -0.042
 2235.0   -0.074  -0.042
 2236.0   -0.074  -0.042
 2237.0   -0.074  -0.041
 2238.0   -0.074  -0.041
 2239.0   -0.075  -0.041
 2240.0   -0.075  -0.041
 2241.0   -0.075  -0.041
 2242.0   -0.076  -0.041
 2243.0   -0.076  -0.041
 2244.0   -0.076  -0.040
 2245.0   -0.076  -0.040
 2246.0   -0.077  -0.040
 2247.0   -0.077  -0.040
 2248.0   -0.077  -0.040
 2249.0   -0.077  -0.040
 2250.0   -0.078  -0.040
 2251.0   -0.078  -0.039
 2252.0   -0.078  -0.039
 2253.0   -0.078  -0.039
 2254.0   -0.079  -0.039
 2255.0   -0.079  -0.039
 2256.0   -0.079  -0.039
 2257.0   -0.079  -0.039
 2258.0   -0.080  -0.038
 2259.0   -0.080  -0.038
 2260.0   -0.080  -0.038
 2261.0   -0.080  -0.038
 2262.0   -0.081  -0.038
 2263.0   -0.081  -0.038
