   W            E2-
 (MeV)      Re      Im
 1986.0    0.441   0.441
 1987.0    0.441   0.442
 1988.0    0.440   0.443
 1989.0    0.440   0.444
 1990.0    0.439   0.445
 1991.0    0.439   0.446
 1992.0    0.438   0.447
 1993.0    0.438   0.448
 1994.0    0.437   0.449
 1995.0    0.437   0.449
 1996.0    0.436   0.450
 1997.0    0.436   0.451
 1998.0    0.435   0.452
 1999.0    0.435   0.453
 2000.0    0.434   0.453
 2001.0    0.434   0.454
 2002.0    0.433   0.455
 2003.0    0.433   0.455
 2004.0    0.432   0.456
 2005.0    0.432   0.456
 2006.0    0.432   0.457
 2007.0    0.431   0.457
 2008.0    0.431   0.458
 2009.0    0.431   0.458
 2010.0    0.430   0.459
 2011.0    0.430   0.459
 2012.0    0.430   0.459
 2013.0    0.429   0.460
 2014.0    0.429   0.460
 2015.0    0.429   0.460
 2016.0    0.429   0.461
 2017.0    0.428   0.461
 2018.0    0.428   0.461
 2019.0    0.428   0.462
 2020.0    0.428   0.462
 2021.0    0.428   0.462
 2022.0    0.427   0.462
 2023.0    0.427   0.462
 2024.0    0.427   0.462
 2025.0    0.427   0.462
 2026.0    0.427   0.463
 2027.0    0.427   0.463
 2028.0    0.427   0.463
 2029.0    0.427   0.463
 2030.0    0.427   0.463
 2031.0    0.427   0.463
 2032.0    0.427   0.463
 2033.0    0.426   0.463
 2034.0    0.426   0.462
 2035.0    0.426   0.462
 2036.0    0.426   0.462
 2037.0    0.426   0.462
 2038.0    0.427   0.462
 2039.0    0.427   0.462
 2040.0    0.427   0.462
 2041.0    0.427   0.461
 2042.0    0.427   0.461
 2043.0    0.427   0.461
 2044.0    0.427   0.461
 2045.0    0.427   0.460
 2046.0    0.427   0.460
 2047.0    0.427   0.460
 2048.0    0.428   0.460
 2049.0    0.428   0.459
 2050.0    0.428   0.459
 2051.0    0.428   0.459
 2052.0    0.428   0.458
 2053.0    0.428   0.458
 2054.0    0.429   0.457
 2055.0    0.429   0.457
 2056.0    0.429   0.457
 2057.0    0.429   0.456
 2058.0    0.430   0.456
 2059.0    0.430   0.455
 2060.0    0.430   0.455
 2061.0    0.431   0.454
 2062.0    0.431   0.454
 2063.0    0.431   0.453
 2064.0    0.432   0.453
 2065.0    0.432   0.452
 2066.0    0.432   0.452
 2067.0    0.433   0.451
 2068.0    0.433   0.451
 2069.0    0.433   0.450
 2070.0    0.434   0.450
 2071.0    0.434   0.449
 2072.0    0.435   0.448
 2073.0    0.435   0.448
 2074.0    0.435   0.447
 2075.0    0.436   0.447
 2076.0    0.436   0.446
 2077.0    0.437   0.445
 2078.0    0.437   0.445
 2079.0    0.438   0.444
 2080.0    0.438   0.443
 2081.0    0.439   0.443
 2082.0    0.439   0.442
 2083.0    0.440   0.441
 2084.0    0.440   0.441
 2085.0    0.441   0.440
 2086.0    0.441   0.439
 2087.0    0.442   0.438
 2088.0    0.442   0.438
 2089.0    0.443   0.437
 2090.0    0.444   0.436
 2091.0    0.444   0.435
 2092.0    0.445   0.435
 2093.0    0.445   0.434
 2094.0    0.446   0.433
 2095.0    0.447   0.432
 2096.0    0.447   0.432
 2097.0    0.448   0.431
 2098.0    0.448   0.430
 2099.0    0.449   0.429
 2100.0    0.450   0.428
 2101.0    0.450   0.428
 2102.0    0.451   0.427
 2103.0    0.452   0.426
 2104.0    0.452   0.425
 2105.0    0.453   0.424
 2106.0    0.454   0.423
 2107.0    0.454   0.423
 2108.0    0.455   0.422
 2109.0    0.456   0.421
 2110.0    0.456   0.420
 2111.0    0.457   0.419
 2112.0    0.458   0.418
 2113.0    0.459   0.417
 2114.0    0.459   0.417
 2115.0    0.460   0.416
 2116.0    0.461   0.415
 2117.0    0.462   0.414
 2118.0    0.462   0.413
 2119.0    0.463   0.412
 2120.0    0.464   0.411
 2121.0    0.465   0.410
 2122.0    0.465   0.410
 2123.0    0.466   0.409
 2124.0    0.467   0.408
 2125.0    0.468   0.407
 2126.0    0.469   0.406
 2127.0    0.469   0.405
 2128.0    0.470   0.404
 2129.0    0.471   0.403
 2130.0    0.472   0.402
 2131.0    0.473   0.401
 2132.0    0.473   0.401
 2133.0    0.474   0.400
 2134.0    0.475   0.399
 2135.0    0.476   0.398
 2136.0    0.477   0.397
 2137.0    0.478   0.396
 2138.0    0.478   0.395
 2139.0    0.479   0.394
 2140.0    0.480   0.393
 2141.0    0.481   0.392
 2142.0    0.482   0.391
 2143.0    0.483   0.390
 2144.0    0.484   0.389
 2145.0    0.485   0.388
 2146.0    0.485   0.388
 2147.0    0.486   0.387
 2148.0    0.487   0.386
 2149.0    0.488   0.385
 2150.0    0.489   0.384
 2151.0    0.490   0.383
 2152.0    0.491   0.382
 2153.0    0.492   0.381
 2154.0    0.493   0.380
 2155.0    0.493   0.379
 2156.0    0.494   0.378
 2157.0    0.495   0.377
 2158.0    0.496   0.376
 2159.0    0.497   0.375
 2160.0    0.498   0.374
 2161.0    0.499   0.373
 2162.0    0.500   0.373
 2163.0    0.501   0.372
 2164.0    0.502   0.371
 2165.0    0.503   0.370
 2166.0    0.503   0.369
 2167.0    0.504   0.368
 2168.0    0.505   0.367
 2169.0    0.506   0.366
 2170.0    0.507   0.365
 2171.0    0.508   0.364
 2172.0    0.509   0.363
 2173.0    0.510   0.362
 2174.0    0.511   0.361
 2175.0    0.512   0.360
 2176.0    0.513   0.359
 2177.0    0.514   0.358
 2178.0    0.515   0.358
 2179.0    0.516   0.357
 2180.0    0.517   0.356
 2181.0    0.518   0.355
 2182.0    0.519   0.354
 2183.0    0.519   0.353
 2184.0    0.520   0.352
 2185.0    0.521   0.351
 2186.0    0.522   0.350
 2187.0    0.523   0.349
 2188.0    0.524   0.348
 2189.0    0.525   0.347
 2190.0    0.526   0.346
 2191.0    0.527   0.346
 2192.0    0.528   0.345
 2193.0    0.529   0.344
 2194.0    0.530   0.343
 2195.0    0.531   0.342
 2196.0    0.532   0.341
 2197.0    0.533   0.340
 2198.0    0.534   0.339
 2199.0    0.535   0.338
 2200.0    0.536   0.337
 2201.0    0.537   0.336
 2202.0    0.538   0.336
 2203.0    0.539   0.335
 2204.0    0.540   0.334
 2205.0    0.541   0.333
 2206.0    0.542   0.332
 2207.0    0.542   0.331
 2208.0    0.543   0.330
 2209.0    0.544   0.329
 2210.0    0.545   0.328
 2211.0    0.546   0.328
 2212.0    0.547   0.327
 2213.0    0.548   0.326
 2214.0    0.549   0.325
 2215.0    0.550   0.324
 2216.0    0.551   0.323
 2217.0    0.552   0.322
 2218.0    0.553   0.321
 2219.0    0.554   0.321
 2220.0    0.555   0.320
 2221.0    0.556   0.319
 2222.0    0.557   0.318
 2223.0    0.558   0.317
 2224.0    0.559   0.316
 2225.0    0.560   0.315
 2226.0    0.561   0.315
 2227.0    0.562   0.314
 2228.0    0.563   0.313
 2229.0    0.564   0.312
 2230.0    0.565   0.311
 2231.0    0.566   0.310
 2232.0    0.567   0.309
 2233.0    0.567   0.309
 2234.0    0.568   0.308
 2235.0    0.569   0.307
 2236.0    0.570   0.306
 2237.0    0.571   0.305
 2238.0    0.572   0.304
 2239.0    0.573   0.304
 2240.0    0.574   0.303
 2241.0    0.575   0.302
 2242.0    0.576   0.301
 2243.0    0.577   0.300
 2244.0    0.578   0.299
 2245.0    0.579   0.299
 2246.0    0.580   0.298
 2247.0    0.581   0.297
 2248.0    0.582   0.296
 2249.0    0.583   0.295
 2250.0    0.584   0.295
 2251.0    0.585   0.294
 2252.0    0.585   0.293
 2253.0    0.586   0.292
 2254.0    0.587   0.291
 2255.0    0.588   0.291
 2256.0    0.589   0.290
 2257.0    0.590   0.289
 2258.0    0.591   0.288
 2259.0    0.592   0.288
 2260.0    0.593   0.287
