   W            M2-
 (MeV)      Re      Im
 1961.0    0.031   0.938
 1962.0    0.029   0.935
 1963.0    0.027   0.932
 1964.0    0.025   0.929
 1965.0    0.023   0.926
 1966.0    0.021   0.923
 1967.0    0.019   0.920
 1968.0    0.017   0.917
 1969.0    0.015   0.914
 1970.0    0.013   0.911
 1971.0    0.011   0.908
 1972.0    0.010   0.905
 1973.0    0.008   0.902
 1974.0    0.006   0.899
 1975.0    0.005   0.895
 1976.0    0.003   0.892
 1977.0    0.001   0.889
 1978.0    0.000   0.886
 1979.0   -0.002   0.883
 1980.0   -0.003   0.880
 1981.0   -0.004   0.876
 1982.0   -0.006   0.873
 1983.0   -0.007   0.870
 1984.0   -0.009   0.867
 1985.0   -0.010   0.864
 1986.0   -0.011   0.860
 1987.0   -0.012   0.857
 1988.0   -0.013   0.854
 1989.0   -0.015   0.851
 1990.0   -0.016   0.847
 1991.0   -0.017   0.844
 1992.0   -0.018   0.841
 1993.0   -0.019   0.838
 1994.0   -0.020   0.834
 1995.0   -0.021   0.831
 1996.0   -0.022   0.828
 1997.0   -0.022   0.825
 1998.0   -0.023   0.821
 1999.0   -0.024   0.818
 2000.0   -0.025   0.815
 2001.0   -0.026   0.811
 2002.0   -0.026   0.808
 2003.0   -0.027   0.805
 2004.0   -0.028   0.801
 2005.0   -0.028   0.798
 2006.0   -0.029   0.795
 2007.0   -0.030   0.792
 2008.0   -0.030   0.788
 2009.0   -0.031   0.785
 2010.0   -0.031   0.782
 2011.0   -0.032   0.778
 2012.0   -0.032   0.775
 2013.0   -0.033   0.772
 2014.0   -0.033   0.769
 2015.0   -0.034   0.765
 2016.0   -0.034   0.762
 2017.0   -0.034   0.759
 2018.0   -0.035   0.755
 2019.0   -0.035   0.752
 2020.0   -0.035   0.749
 2021.0   -0.035   0.746
 2022.0   -0.036   0.742
 2023.0   -0.036   0.739
 2024.0   -0.036   0.736
 2025.0   -0.036   0.733
 2026.0   -0.036   0.729
 2027.0   -0.037   0.726
 2028.0   -0.037   0.723
 2029.0   -0.037   0.720
 2030.0   -0.037   0.717
 2031.0   -0.037   0.713
 2032.0   -0.037   0.710
 2033.0   -0.037   0.707
 2034.0   -0.037   0.704
 2035.0   -0.037   0.701
 2036.0   -0.037   0.697
 2037.0   -0.037   0.694
 2038.0   -0.037   0.691
 2039.0   -0.037   0.688
 2040.0   -0.037   0.685
 2041.0   -0.037   0.682
 2042.0   -0.037   0.679
 2043.0   -0.036   0.676
 2044.0   -0.036   0.672
 2045.0   -0.036   0.669
 2046.0   -0.036   0.666
 2047.0   -0.036   0.663
 2048.0   -0.036   0.660
 2049.0   -0.035   0.657
 2050.0   -0.035   0.654
 2051.0   -0.035   0.651
 2052.0   -0.035   0.648
 2053.0   -0.034   0.645
 2054.0   -0.034   0.642
 2055.0   -0.034   0.639
 2056.0   -0.033   0.636
 2057.0   -0.033   0.633
 2058.0   -0.033   0.630
 2059.0   -0.032   0.627
 2060.0   -0.032   0.624
 2061.0   -0.032   0.621
 2062.0   -0.031   0.618
 2063.0   -0.031   0.615
 2064.0   -0.031   0.612
 2065.0   -0.030   0.609
 2066.0   -0.030   0.606
 2067.0   -0.029   0.603
 2068.0   -0.029   0.601
 2069.0   -0.029   0.598
 2070.0   -0.028   0.595
 2071.0   -0.028   0.592
 2072.0   -0.027   0.589
 2073.0   -0.027   0.586
 2074.0   -0.026   0.584
 2075.0   -0.026   0.581
 2076.0   -0.025   0.578
 2077.0   -0.025   0.575
 2078.0   -0.024   0.572
 2079.0   -0.024   0.570
 2080.0   -0.023   0.567
 2081.0   -0.023   0.564
 2082.0   -0.022   0.561
 2083.0   -0.022   0.559
 2084.0   -0.021   0.556
 2085.0   -0.021   0.553
 2086.0   -0.020   0.551
 2087.0   -0.019   0.548
 2088.0   -0.019   0.545
 2089.0   -0.018   0.543
 2090.0   -0.018   0.540
 2091.0   -0.017   0.537
 2092.0   -0.017   0.535
 2093.0   -0.016   0.532
 2094.0   -0.015   0.530
 2095.0   -0.015   0.527
 2096.0   -0.014   0.524
 2097.0   -0.014   0.522
 2098.0   -0.013   0.519
