   W            M1-
 1705.0    0.335   1.316
 1706.0    0.307   1.322
 1707.0    0.279   1.327
 1708.0    0.251   1.330
 1709.0    0.224   1.333
 1710.0    0.196   1.334
 1711.0    0.169   1.334
 1712.0    0.142   1.333
 1713.0    0.115   1.331
 1714.0    0.089   1.328
 1715.0    0.063   1.324
 1716.0    0.038   1.319
 1717.0    0.013   1.313
 1718.0   -0.011   1.307
 1719.0   -0.035   1.299
 1720.0   -0.057   1.291
 1721.0   -0.080   1.282
 1722.0   -0.101   1.273
 1723.0   -0.122   1.263
 1724.0   -0.142   1.253
 1725.0   -0.161   1.242
 1726.0   -0.180   1.231
 1727.0   -0.198   1.219
 1728.0   -0.215   1.207
 1729.0   -0.232   1.195
 1730.0   -0.248   1.182
 1731.0   -0.263   1.170
 1732.0   -0.278   1.157
 1733.0   -0.292   1.144
 1734.0   -0.305   1.131
 1735.0   -0.318   1.118
 1736.0   -0.330   1.104
 1737.0   -0.342   1.091
 1738.0   -0.353   1.078
 1739.0   -0.363   1.065
 1740.0   -0.373   1.051
 1741.0   -0.383   1.038
 1742.0   -0.392   1.025
 1743.0   -0.401   1.012
 1744.0   -0.409   0.999
 1745.0   -0.416   0.986
 1746.0   -0.424   0.974
 1747.0   -0.430   0.961
 1748.0   -0.437   0.949
 1749.0   -0.443   0.936
 1750.0   -0.449   0.924
 1751.0   -0.454   0.912
 1752.0   -0.459   0.900
 1753.0   -0.464   0.888
 1754.0   -0.469   0.877
 1755.0   -0.473   0.865
 1756.0   -0.477   0.854
 1757.0   -0.481   0.843
 1758.0   -0.484   0.832
 1759.0   -0.488   0.821
 1760.0   -0.491   0.811
 1761.0   -0.494   0.800
 1762.0   -0.496   0.790
 1763.0   -0.499   0.780
 1764.0   -0.501   0.770
 1765.0   -0.503   0.760
 1766.0   -0.505   0.751
 1767.0   -0.507   0.741
 1768.0   -0.509   0.732
 1769.0   -0.510   0.723
 1770.0   -0.512   0.714
 1771.0   -0.513   0.705
 1772.0   -0.514   0.696
 1773.0   -0.516   0.688
 1774.0   -0.517   0.679
 1775.0   -0.517   0.671
 1776.0   -0.518   0.663
 1777.0   -0.519   0.655
 1778.0   -0.520   0.647
 1779.0   -0.520   0.639
 1780.0   -0.521   0.632
 1781.0   -0.521   0.624
 1782.0   -0.521   0.617
 1783.0   -0.522   0.610
 1784.0   -0.522   0.602
 1785.0   -0.522   0.595
 1786.0   -0.522   0.589
 1787.0   -0.522   0.582
 1788.0   -0.522   0.575
 1789.0   -0.522   0.569
 1790.0   -0.522   0.562
 1791.0   -0.522   0.556
 1792.0   -0.522   0.550
 1793.0   -0.522   0.544
 1794.0   -0.521   0.538
 1795.0   -0.521   0.532
 1796.0   -0.521   0.526
 1797.0   -0.521   0.520
 1798.0   -0.520   0.514
 1799.0   -0.520   0.509
 1800.0   -0.519   0.503
 1801.0   -0.519   0.498
 1802.0   -0.519   0.493
 1803.0   -0.518   0.487
 1804.0   -0.518   0.482
 1805.0   -0.517   0.477
 1806.0   -0.517   0.472
 1807.0   -0.516   0.467
 1808.0   -0.516   0.463
 1809.0   -0.515   0.458
 1810.0   -0.515   0.453
 1811.0   -0.514   0.448
 1812.0   -0.514   0.444
 1813.0   -0.513   0.439
 1814.0   -0.513   0.435
 1815.0   -0.512   0.431
 1816.0   -0.512   0.426
 1817.0   -0.511   0.422
 1818.0   -0.511   0.418
 1819.0   -0.510   0.414
 1820.0   -0.510   0.410
 1821.0   -0.509   0.406
 1822.0   -0.508   0.402
 1823.0   -0.508   0.398
 1824.0   -0.507   0.394
 1825.0   -0.507   0.390
 1826.0   -0.506   0.386
 1827.0   -0.506   0.383
 1828.0   -0.505   0.379
 1829.0   -0.505   0.376
 1830.0   -0.504   0.372
 1831.0   -0.503   0.368
 1832.0   -0.503   0.365
 1833.0   -0.502   0.362
 1834.0   -0.502   0.358
 1835.0   -0.501   0.355
 1836.0   -0.501   0.352
 1837.0   -0.500   0.348
 1838.0   -0.500   0.345
 1839.0   -0.499   0.342
 1840.0   -0.499   0.339
 1841.0   -0.498   0.336
 1842.0   -0.498   0.333
 1843.0   -0.497   0.330
 1844.0   -0.497   0.327
 1845.0   -0.496   0.324
 1846.0   -0.496   0.321
 1847.0   -0.495   0.318
 1848.0   -0.495   0.315
 1849.0   -0.495   0.312
 1850.0   -0.494   0.310
 1851.0   -0.494   0.307
 1852.0   -0.493   0.304
 1853.0   -0.493   0.301
 1854.0   -0.492   0.299
 1855.0   -0.492   0.296
 1856.0   -0.492   0.294
 1857.0   -0.491   0.291
 1858.0   -0.491   0.289
 1859.0   -0.491   0.286
 1860.0   -0.490   0.284
 1861.0   -0.490   0.281
 1862.0   -0.490   0.279
 1863.0   -0.489   0.276
 1864.0   -0.489   0.274
 1865.0   -0.489   0.272
 1866.0   -0.488   0.269
 1867.0   -0.488   0.267
 1868.0   -0.488   0.265
 1869.0   -0.487   0.262
 1870.0   -0.487   0.260
 1871.0   -0.487   0.258
 1872.0   -0.487   0.256
 1873.0   -0.486   0.254
 1874.0   -0.486   0.252
 1875.0   -0.486   0.249
 1876.0   -0.486   0.247
 1877.0   -0.485   0.245
 1878.0   -0.485   0.243
 1879.0   -0.485   0.241
 1880.0   -0.485   0.239
 1881.0   -0.485   0.237
 1882.0   -0.484   0.235
 1883.0   -0.484   0.233
 1884.0   -0.484   0.231
 1885.0   -0.484   0.229
 1886.0   -0.484   0.228
 1887.0   -0.484   0.226
 1888.0   -0.484   0.224
 1889.0   -0.483   0.222
 1890.0   -0.483   0.220
 1891.0   -0.483   0.218
 1892.0   -0.483   0.217
 1893.0   -0.483   0.215
 1894.0   -0.483   0.213
 1895.0   -0.483   0.211
 1896.0   -0.483   0.210
 1897.0   -0.483   0.208
 1898.0   -0.483   0.206
 1899.0   -0.483   0.204
 1900.0   -0.483   0.203
 1901.0   -0.483   0.201
 1902.0   -0.483   0.199
 1903.0   -0.483   0.198
 1904.0   -0.483   0.196
 1905.0   -0.483   0.195
 1906.0   -0.483   0.193
 1907.0   -0.483   0.192
 1908.0   -0.483   0.190
 1909.0   -0.483   0.188
 1910.0   -0.483   0.187
 1911.0   -0.483   0.185
 1912.0   -0.483   0.184
 1913.0   -0.483   0.182
 1914.0   -0.483   0.181
 1915.0   -0.483   0.180
 1916.0   -0.483   0.178
 1917.0   -0.483   0.177
 1918.0   -0.483   0.175
 1919.0   -0.484   0.174
 1920.0   -0.484   0.172
 1921.0   -0.484   0.171
 1922.0   -0.484   0.170
 1923.0   -0.484   0.168
 1924.0   -0.484   0.167
 1925.0   -0.484   0.166
 1926.0   -0.485   0.164
 1927.0   -0.485   0.163
 1928.0   -0.485   0.162
 1929.0   -0.485   0.160
 1930.0   -0.485   0.159
 1931.0   -0.486   0.158
 1932.0   -0.486   0.157
 1933.0   -0.486   0.155
 1934.0   -0.486   0.154
 1935.0   -0.486   0.153
 1936.0   -0.487   0.152
 1937.0   -0.487   0.150
 1938.0   -0.487   0.149
 1939.0   -0.487   0.148
 1940.0   -0.488   0.147
 1941.0   -0.488   0.146
 1942.0   -0.488   0.144
 1943.0   -0.489   0.143
 1944.0   -0.489   0.142
 1945.0   -0.489   0.141
 1946.0   -0.489   0.140
 1947.0   -0.490   0.139
 1948.0   -0.490   0.138
 1949.0   -0.490   0.137
 1950.0   -0.491   0.135
 1951.0   -0.491   0.134
 1952.0   -0.491   0.133
 1953.0   -0.492   0.132
 1954.0   -0.492   0.131
 1955.0   -0.492   0.130
 1956.0   -0.493   0.129
 1957.0   -0.493   0.128
 1958.0   -0.493   0.127
 1959.0   -0.494   0.126
 1960.0   -0.494   0.125
 1961.0   -0.495   0.124
 1962.0   -0.495   0.123
 1963.0   -0.495   0.122
 1964.0   -0.496   0.121
 1965.0   -0.496   0.120
 1966.0   -0.497   0.119
 1967.0   -0.497   0.118
 1968.0   -0.498   0.117
 1969.0   -0.498   0.116
 1970.0   -0.498   0.115
 1971.0   -0.499   0.114
 1972.0   -0.499   0.113
 1973.0   -0.500   0.112
 1974.0   -0.500   0.112
 1975.0   -0.501   0.111
 1976.0   -0.501   0.110
 1977.0   -0.502   0.109
 1978.0   -0.502   0.108
 1979.0   -0.503   0.107
 1980.0   -0.503   0.106
 1981.0   -0.504   0.105
 1982.0   -0.504   0.105
 1983.0   -0.505   0.104
 1984.0   -0.505   0.103
 1985.0   -0.506   0.102
 1986.0   -0.506   0.101
 1987.0   -0.507   0.100
 1988.0   -0.507   0.099
 1989.0   -0.508   0.099
 1990.0   -0.508   0.098
 1991.0   -0.509   0.097
 1992.0   -0.509   0.096
 1993.0   -0.510   0.095
 1994.0   -0.510   0.095
 1995.0   -0.511   0.094
 1996.0   -0.512   0.093
 1997.0   -0.512   0.092
 1998.0   -0.513   0.092
 1999.0   -0.513   0.091
 2000.0   -0.514   0.090
 2001.0   -0.515   0.089
 2002.0   -0.515   0.089
 2003.0   -0.516   0.088
 2004.0   -0.516   0.087
 2005.0   -0.517   0.086
 2006.0   -0.518   0.086
 2007.0   -0.518   0.085
 2008.0   -0.519   0.084
 2009.0   -0.519   0.083
 2010.0   -0.520   0.083
 2011.0   -0.521   0.082
 2012.0   -0.521   0.081
 2013.0   -0.522   0.081
 2014.0   -0.523   0.080
 2015.0   -0.523   0.079
 2016.0   -0.524   0.079
 2017.0   -0.524   0.078
 2018.0   -0.525   0.077
 2019.0   -0.526   0.077
 2020.0   -0.526   0.076
 2021.0   -0.527   0.075
 2022.0   -0.528   0.075
 2023.0   -0.528   0.074
 2024.0   -0.529   0.073
 2025.0   -0.530   0.073
 2026.0   -0.530   0.072
 2027.0   -0.531   0.071
 2028.0   -0.532   0.071
 2029.0   -0.532   0.070
 2030.0   -0.533   0.070
 2031.0   -0.534   0.069
 2032.0   -0.535   0.068
 2033.0   -0.535   0.068
 2034.0   -0.536   0.067
 2035.0   -0.537   0.067
 2036.0   -0.537   0.066
 2037.0   -0.538   0.065
 2038.0   -0.539   0.065
 2039.0   -0.540   0.064
 2040.0   -0.540   0.064
 2041.0   -0.541   0.063
 2042.0   -0.542   0.062
 2043.0   -0.542   0.062
 2044.0   -0.543   0.061
 2045.0   -0.544   0.061
 2046.0   -0.545   0.060
 2047.0   -0.545   0.060
 2048.0   -0.546   0.059
 2049.0   -0.547   0.059
 2050.0   -0.548   0.058
 2051.0   -0.548   0.058
 2052.0   -0.549   0.057
 2053.0   -0.550   0.056
 2054.0   -0.551   0.056
 2055.0   -0.551   0.055
 2056.0   -0.552   0.055
 2057.0   -0.553   0.054
 2058.0   -0.554   0.054
 2059.0   -0.554   0.053
 2060.0   -0.555   0.053
 2061.0   -0.556   0.052
 2062.0   -0.557   0.052
 2063.0   -0.558   0.051
 2064.0   -0.558   0.051
 2065.0   -0.559   0.050
 2066.0   -0.560   0.050
 2067.0   -0.561   0.049
 2068.0   -0.562   0.049
 2069.0   -0.562   0.048
 2070.0   -0.563   0.048
 2071.0   -0.564   0.047
 2072.0   -0.565   0.047
 2073.0   -0.565   0.047
 2074.0   -0.566   0.046
 2075.0   -0.567   0.046
 2076.0   -0.568   0.045
 2077.0   -0.569   0.045
 2078.0   -0.570   0.044
 2079.0   -0.570   0.044
 2080.0   -0.571   0.043
 2081.0   -0.572   0.043
 2082.0   -0.573   0.042
 2083.0   -0.574   0.042
 2084.0   -0.574   0.042
 2085.0   -0.575   0.041
 2086.0   -0.576   0.041
 2087.0   -0.577   0.040
 2088.0   -0.578   0.040
 2089.0   -0.579   0.039
 2090.0   -0.579   0.039
 2091.0   -0.580   0.039
 2092.0   -0.581   0.038
 2093.0   -0.582   0.038
 2094.0   -0.583   0.037
 2095.0   -0.584   0.037
 2096.0   -0.584   0.037
 2097.0   -0.585   0.036
 2098.0   -0.586   0.036
 2099.0   -0.587   0.035
 2100.0   -0.588   0.035
 2101.0   -0.589   0.035
 2102.0   -0.589   0.034
 2103.0   -0.590   0.034
 2104.0   -0.591   0.033
 2105.0   -0.592   0.033
 2106.0   -0.593   0.033
 2107.0   -0.594   0.032
 2108.0   -0.594   0.032
 2109.0   -0.595   0.032
 2110.0   -0.596   0.031
 2111.0   -0.597   0.031
 2112.0   -0.598   0.030
 2113.0   -0.599   0.030
 2114.0   -0.600   0.030
 2115.0   -0.600   0.029
 2116.0   -0.601   0.029
 2117.0   -0.602   0.029
 2118.0   -0.603   0.028
 2119.0   -0.604   0.028
 2120.0   -0.605   0.028
 2121.0   -0.606   0.027
 2122.0   -0.607   0.027
 2123.0   -0.607   0.027
 2124.0   -0.608   0.026
 2125.0   -0.609   0.026
 2126.0   -0.610   0.026
 2127.0   -0.611   0.025
 2128.0   -0.612   0.025
 2129.0   -0.613   0.025
 2130.0   -0.613   0.024
 2131.0   -0.614   0.024
 2132.0   -0.615   0.024
 2133.0   -0.616   0.023
 2134.0   -0.617   0.023
 2135.0   -0.618   0.023
 2136.0   -0.619   0.022
 2137.0   -0.620   0.022
 2138.0   -0.620   0.022
 2139.0   -0.621   0.021
 2140.0   -0.622   0.021
 2141.0   -0.623   0.021
 2142.0   -0.624   0.020
 2143.0   -0.625   0.020
 2144.0   -0.626   0.020
 2145.0   -0.627   0.019
 2146.0   -0.627   0.019
 2147.0   -0.628   0.019
 2148.0   -0.629   0.019
 2149.0   -0.630   0.018
 2150.0   -0.631   0.018
 2151.0   -0.632   0.018
 2152.0   -0.633   0.017
 2153.0   -0.634   0.017
 2154.0   -0.635   0.017
 2155.0   -0.635   0.017
 2156.0   -0.636   0.016
 2157.0   -0.637   0.016
 2158.0   -0.638   0.016
 2159.0   -0.639   0.015
 2160.0   -0.640   0.015
 2161.0   -0.641   0.015
 2162.0   -0.642   0.015
 2163.0   -0.643   0.014
 2164.0   -0.643   0.014
 2165.0   -0.644   0.014
 2166.0   -0.645   0.014
 2167.0   -0.646   0.013
 2168.0   -0.647   0.013
 2169.0   -0.648   0.013
 2170.0   -0.649   0.012
 2171.0   -0.650   0.012
 2172.0   -0.651   0.012
 2173.0   -0.651   0.012
 2174.0   -0.652   0.011
 2175.0   -0.653   0.011
 2176.0   -0.654   0.011
 2177.0   -0.655   0.011
 2178.0   -0.656   0.010
 2179.0   -0.657   0.010
 2180.0   -0.658   0.010
 2181.0   -0.658   0.010
 2182.0   -0.659   0.009
 2183.0   -0.660   0.009
 2184.0   -0.661   0.009
 2185.0   -0.662   0.009
 2186.0   -0.663   0.009
 2187.0   -0.664   0.008
 2188.0   -0.665   0.008
 2189.0   -0.666   0.008
 2190.0   -0.666   0.008
 2191.0   -0.667   0.007
 2192.0   -0.668   0.007
 2193.0   -0.669   0.007
 2194.0   -0.670   0.007
 2195.0   -0.671   0.006
 2196.0   -0.672   0.006
 2197.0   -0.673   0.006
 2198.0   -0.674   0.006
 2199.0   -0.674   0.006
 2200.0   -0.675   0.005
 2201.0   -0.676   0.005
 2202.0   -0.677   0.005
 2203.0   -0.678   0.005
 2204.0   -0.679   0.004
 2205.0   -0.680   0.004
 2206.0   -0.681   0.004
 2207.0   -0.682   0.004
 2208.0   -0.682   0.004
 2209.0   -0.683   0.003
 2210.0   -0.684   0.003
 2211.0   -0.685   0.003
 2212.0   -0.686   0.003
 2213.0   -0.687   0.003
 2214.0   -0.688   0.002
 2215.0   -0.689   0.002
 2216.0   -0.689   0.002
 2217.0   -0.690   0.002
 2218.0   -0.691   0.002
 2219.0   -0.692   0.001
 2220.0   -0.693   0.001
 2221.0   -0.694   0.001
 2222.0   -0.695   0.001
 2223.0   -0.696   0.001
 2224.0   -0.697   0.000
 2225.0   -0.697   0.000
 2226.0   -0.698   0.000
 2227.0   -0.699   0.000
 2228.0   -0.700   0.000
 2229.0   -0.701  -0.001
 2230.0   -0.702  -0.001
 2231.0   -0.703  -0.001
 2232.0   -0.704  -0.001
 2233.0   -0.704  -0.001
 2234.0   -0.705  -0.002
 2235.0   -0.706  -0.002
 2236.0   -0.707  -0.002
 2237.0   -0.708  -0.002
 2238.0   -0.709  -0.002
 2239.0   -0.710  -0.002
 2240.0   -0.711  -0.003
 2241.0   -0.711  -0.003
 2242.0   -0.712  -0.003
 2243.0   -0.713  -0.003
 2244.0   -0.714  -0.003
 2245.0   -0.715  -0.003
 2246.0   -0.716  -0.004
 2247.0   -0.717  -0.004
 2248.0   -0.717  -0.004
 2249.0   -0.718  -0.004
 2250.0   -0.719  -0.004
 2251.0   -0.720  -0.004
 2252.0   -0.721  -0.005
 2253.0   -0.722  -0.005
 2254.0   -0.723  -0.005
 2255.0   -0.723  -0.005
 2256.0   -0.724  -0.005
 2257.0   -0.725  -0.005
 2258.0   -0.726  -0.006
 2259.0   -0.727  -0.006
 2260.0   -0.728  -0.006
 2261.0   -0.729  -0.006
 2262.0   -0.729  -0.006
 2263.0   -0.730  -0.006
 2264.0   -0.731  -0.007
 2265.0   -0.732  -0.007
 2266.0   -0.733  -0.007
 2267.0   -0.734  -0.007
 2268.0   -0.735  -0.007
 2269.0   -0.735  -0.007
 2270.0   -0.736  -0.008
 2271.0   -0.737  -0.008
 2272.0   -0.738  -0.008
 2273.0   -0.739  -0.008
 2274.0   -0.740  -0.008
 2275.0   -0.741  -0.008
 2276.0   -0.741  -0.008
 2277.0   -0.742  -0.009
 2278.0   -0.743  -0.009
 2279.0   -0.744  -0.009
 2280.0   -0.745  -0.009
 2281.0   -0.746  -0.009
 2282.0   -0.746  -0.009
 2283.0   -0.747  -0.009
 2284.0   -0.748  -0.010
 2285.0   -0.749  -0.010
 2286.0   -0.750  -0.010
 2287.0   -0.751  -0.010
 2288.0   -0.751  -0.010
 2289.0   -0.752  -0.010
 2290.0   -0.753  -0.010
 2291.0   -0.754  -0.011
 2292.0   -0.755  -0.011
 2293.0   -0.756  -0.011
 2294.0   -0.757  -0.011
 2295.0   -0.757  -0.011
 2296.0   -0.758  -0.011
 2297.0   -0.759  -0.011
 2298.0   -0.760  -0.011
 2299.0   -0.761  -0.012
