   W            M2+
 1794.0    0.083   0.005
 1795.0    0.084   0.005
 1796.0    0.084   0.005
 1797.0    0.085   0.005
 1798.0    0.085   0.005
 1799.0    0.085   0.005
 1800.0    0.086   0.005
 1801.0    0.086   0.005
 1802.0    0.086   0.005
 1803.0    0.087   0.005
 1804.0    0.087   0.005
 1805.0    0.088   0.005
 1806.0    0.088   0.005
 1807.0    0.088   0.005
 1808.0    0.089   0.005
 1809.0    0.089   0.005
 1810.0    0.090   0.005
 1811.0    0.090   0.005
 1812.0    0.090   0.005
 1813.0    0.091   0.005
 1814.0    0.091   0.005
 1815.0    0.092   0.005
 1816.0    0.092   0.005
 1817.0    0.092   0.005
 1818.0    0.093   0.005
 1819.0    0.093   0.005
 1820.0    0.093   0.005
 1821.0    0.094   0.005
 1822.0    0.094   0.005
 1823.0    0.095   0.005
 1824.0    0.095   0.005
 1825.0    0.095   0.005
 1826.0    0.096   0.005
 1827.0    0.096   0.005
 1828.0    0.096   0.005
 1829.0    0.097   0.005
 1830.0    0.097   0.005
 1831.0    0.098   0.005
 1832.0    0.098   0.005
 1833.0    0.098   0.005
 1834.0    0.099   0.005
 1835.0    0.099   0.005
 1836.0    0.099   0.005
 1837.0    0.100   0.005
 1838.0    0.100   0.005
 1839.0    0.101   0.005
 1840.0    0.101   0.005
 1841.0    0.101   0.005
 1842.0    0.102   0.005
 1843.0    0.102   0.005
 1844.0    0.102   0.006
 1845.0    0.103   0.006
 1846.0    0.103   0.006
 1847.0    0.103   0.006
 1848.0    0.104   0.006
 1849.0    0.104   0.006
 1850.0    0.105   0.006
 1851.0    0.105   0.006
 1852.0    0.105   0.006
 1853.0    0.106   0.006
 1854.0    0.106   0.006
 1855.0    0.106   0.006
 1856.0    0.107   0.006
 1857.0    0.107   0.006
 1858.0    0.107   0.006
 1859.0    0.108   0.006
 1860.0    0.108   0.006
 1861.0    0.109   0.006
 1862.0    0.109   0.006
 1863.0    0.109   0.006
 1864.0    0.110   0.006
 1865.0    0.110   0.006
 1866.0    0.110   0.006
 1867.0    0.111   0.006
 1868.0    0.111   0.006
 1869.0    0.111   0.006
 1870.0    0.112   0.006
 1871.0    0.112   0.006
 1872.0    0.112   0.006
 1873.0    0.113   0.006
 1874.0    0.113   0.006
 1875.0    0.113   0.006
 1876.0    0.114   0.006
 1877.0    0.114   0.006
 1878.0    0.115   0.006
 1879.0    0.115   0.006
 1880.0    0.115   0.006
 1881.0    0.116   0.006
 1882.0    0.116   0.006
 1883.0    0.116   0.006
 1884.0    0.117   0.006
 1885.0    0.117   0.006
 1886.0    0.117   0.006
 1887.0    0.118   0.006
 1888.0    0.118   0.006
 1889.0    0.118   0.006
 1890.0    0.119   0.006
 1891.0    0.119   0.006
 1892.0    0.119   0.006
 1893.0    0.120   0.006
 1894.0    0.120   0.006
 1895.0    0.120   0.006
 1896.0    0.121   0.006
 1897.0    0.121   0.006
 1898.0    0.121   0.006
 1899.0    0.122   0.006
 1900.0    0.122   0.006
 1901.0    0.122   0.006
 1902.0    0.123   0.006
 1903.0    0.123   0.007
 1904.0    0.123   0.007
 1905.0    0.124   0.007
 1906.0    0.124   0.007
 1907.0    0.124   0.007
 1908.0    0.125   0.007
 1909.0    0.125   0.007
 1910.0    0.125   0.007
 1911.0    0.126   0.007
 1912.0    0.126   0.007
 1913.0    0.126   0.007
 1914.0    0.127   0.007
 1915.0    0.127   0.007
 1916.0    0.127   0.007
 1917.0    0.128   0.007
 1918.0    0.128   0.007
 1919.0    0.128   0.007
 1920.0    0.129   0.007
 1921.0    0.129   0.007
 1922.0    0.129   0.007
 1923.0    0.130   0.007
 1924.0    0.130   0.007
 1925.0    0.130   0.007
 1926.0    0.131   0.007
 1927.0    0.131   0.007
 1928.0    0.131   0.007
 1929.0    0.131   0.007
 1930.0    0.132   0.007
 1931.0    0.132   0.007
 1932.0    0.132   0.007
 1933.0    0.133   0.007
 1934.0    0.133   0.007
 1935.0    0.133   0.007
 1936.0    0.134   0.007
 1937.0    0.134   0.007
 1938.0    0.134   0.007
 1939.0    0.135   0.007
 1940.0    0.135   0.007
 1941.0    0.135   0.007
 1942.0    0.136   0.007
 1943.0    0.136   0.007
 1944.0    0.136   0.007
 1945.0    0.137   0.007
 1946.0    0.137   0.007
 1947.0    0.137   0.007
 1948.0    0.137   0.007
 1949.0    0.138   0.007
 1950.0    0.138   0.007
 1951.0    0.138   0.007
 1952.0    0.139   0.007
 1953.0    0.139   0.007
 1954.0    0.139   0.007
 1955.0    0.140   0.007
 1956.0    0.140   0.007
 1957.0    0.140   0.007
 1958.0    0.140   0.007
 1959.0    0.141   0.007
 1960.0    0.141   0.007
 1961.0    0.141   0.007
 1962.0    0.142   0.007
 1963.0    0.142   0.007
 1964.0    0.142   0.007
 1965.0    0.143   0.007
 1966.0    0.143   0.007
 1967.0    0.143   0.007
 1968.0    0.143   0.007
 1969.0    0.144   0.007
 1970.0    0.144   0.007
 1971.0    0.144   0.007
 1972.0    0.145   0.007
 1973.0    0.145   0.008
 1974.0    0.145   0.008
 1975.0    0.146   0.008
 1976.0    0.146   0.008
 1977.0    0.146   0.008
 1978.0    0.146   0.008
 1979.0    0.147   0.008
 1980.0    0.147   0.008
 1981.0    0.147   0.008
 1982.0    0.148   0.008
 1983.0    0.148   0.008
 1984.0    0.148   0.008
 1985.0    0.148   0.008
 1986.0    0.149   0.008
 1987.0    0.149   0.008
 1988.0    0.149   0.008
 1989.0    0.150   0.008
 1990.0    0.150   0.008
 1991.0    0.150   0.008
 1992.0    0.151   0.008
 1993.0    0.151   0.008
 1994.0    0.151   0.008
 1995.0    0.151   0.008
 1996.0    0.152   0.008
 1997.0    0.152   0.008
 1998.0    0.152   0.008
 1999.0    0.153   0.008
 2000.0    0.153   0.008
 2001.0    0.153   0.008
 2002.0    0.153   0.008
 2003.0    0.154   0.008
 2004.0    0.154   0.008
 2005.0    0.154   0.008
 2006.0    0.154   0.008
 2007.0    0.155   0.008
 2008.0    0.155   0.008
 2009.0    0.155   0.008
 2010.0    0.156   0.008
 2011.0    0.156   0.008
 2012.0    0.156   0.008
 2013.0    0.156   0.008
 2014.0    0.157   0.008
 2015.0    0.157   0.008
 2016.0    0.157   0.008
 2017.0    0.158   0.008
 2018.0    0.158   0.008
 2019.0    0.158   0.008
 2020.0    0.158   0.008
 2021.0    0.159   0.008
 2022.0    0.159   0.008
 2023.0    0.159   0.008
 2024.0    0.159   0.008
 2025.0    0.160   0.008
 2026.0    0.160   0.008
 2027.0    0.160   0.008
 2028.0    0.161   0.008
 2029.0    0.161   0.008
 2030.0    0.161   0.008
 2031.0    0.161   0.008
 2032.0    0.162   0.008
 2033.0    0.162   0.008
 2034.0    0.162   0.008
 2035.0    0.162   0.008
 2036.0    0.163   0.008
 2037.0    0.163   0.008
 2038.0    0.163   0.008
 2039.0    0.163   0.008
 2040.0    0.164   0.008
 2041.0    0.164   0.008
 2042.0    0.164   0.008
 2043.0    0.164   0.008
 2044.0    0.165   0.008
 2045.0    0.165   0.008
 2046.0    0.165   0.008
 2047.0    0.166   0.008
 2048.0    0.166   0.008
 2049.0    0.166   0.008
 2050.0    0.166   0.008
 2051.0    0.167   0.008
 2052.0    0.167   0.008
 2053.0    0.167   0.008
 2054.0    0.167   0.008
 2055.0    0.168   0.008
 2056.0    0.168   0.008
 2057.0    0.168   0.009
 2058.0    0.168   0.009
 2059.0    0.169   0.009
 2060.0    0.169   0.009
 2061.0    0.169   0.009
 2062.0    0.169   0.009
 2063.0    0.170   0.009
 2064.0    0.170   0.009
 2065.0    0.170   0.009
 2066.0    0.170   0.009
 2067.0    0.171   0.009
 2068.0    0.171   0.009
 2069.0    0.171   0.009
 2070.0    0.171   0.009
 2071.0    0.172   0.009
 2072.0    0.172   0.009
 2073.0    0.172   0.009
 2074.0    0.172   0.009
 2075.0    0.173   0.009
 2076.0    0.173   0.009
 2077.0    0.173   0.009
 2078.0    0.173   0.009
 2079.0    0.174   0.009
 2080.0    0.174   0.009
 2081.0    0.174   0.009
 2082.0    0.174   0.009
 2083.0    0.175   0.009
 2084.0    0.175   0.009
 2085.0    0.175   0.009
 2086.0    0.175   0.009
 2087.0    0.176   0.009
 2088.0    0.176   0.009
 2089.0    0.176   0.009
 2090.0    0.176   0.009
 2091.0    0.177   0.009
 2092.0    0.177   0.009
 2093.0    0.177   0.009
 2094.0    0.177   0.009
 2095.0    0.178   0.009
 2096.0    0.178   0.009
 2097.0    0.178   0.009
 2098.0    0.178   0.009
 2099.0    0.178   0.009
 2100.0    0.179   0.009
 2101.0    0.179   0.009
 2102.0    0.179   0.009
 2103.0    0.179   0.009
 2104.0    0.180   0.009
 2105.0    0.180   0.009
 2106.0    0.180   0.009
 2107.0    0.180   0.009
 2108.0    0.181   0.009
 2109.0    0.181   0.009
 2110.0    0.181   0.009
 2111.0    0.181   0.009
 2112.0    0.182   0.009
 2113.0    0.182   0.009
 2114.0    0.182   0.009
 2115.0    0.182   0.009
 2116.0    0.182   0.009
 2117.0    0.183   0.009
 2118.0    0.183   0.009
 2119.0    0.183   0.009
 2120.0    0.183   0.009
 2121.0    0.184   0.009
 2122.0    0.184   0.009
 2123.0    0.184   0.009
 2124.0    0.184   0.009
 2125.0    0.185   0.009
 2126.0    0.185   0.009
 2127.0    0.185   0.009
 2128.0    0.185   0.009
 2129.0    0.185   0.009
 2130.0    0.186   0.009
 2131.0    0.186   0.009
 2132.0    0.186   0.009
 2133.0    0.186   0.009
 2134.0    0.187   0.009
 2135.0    0.187   0.009
 2136.0    0.187   0.009
 2137.0    0.187   0.009
 2138.0    0.187   0.009
 2139.0    0.188   0.009
 2140.0    0.188   0.009
 2141.0    0.188   0.009
 2142.0    0.188   0.009
 2143.0    0.189   0.009
 2144.0    0.189   0.009
 2145.0    0.189   0.009
 2146.0    0.189   0.009
 2147.0    0.189   0.009
 2148.0    0.190   0.009
 2149.0    0.190   0.009
 2150.0    0.190   0.009
 2151.0    0.190   0.009
 2152.0    0.191   0.009
 2153.0    0.191   0.009
 2154.0    0.191   0.009
 2155.0    0.191   0.009
 2156.0    0.191   0.009
 2157.0    0.192   0.009
 2158.0    0.192   0.009
 2159.0    0.192   0.009
 2160.0    0.192   0.009
 2161.0    0.192   0.009
 2162.0    0.193   0.009
 2163.0    0.193   0.009
 2164.0    0.193   0.009
 2165.0    0.193   0.009
 2166.0    0.193   0.009
 2167.0    0.194   0.010
 2168.0    0.194   0.010
 2169.0    0.194   0.010
 2170.0    0.194   0.010
 2171.0    0.195   0.010
 2172.0    0.195   0.010
 2173.0    0.195   0.010
 2174.0    0.195   0.010
 2175.0    0.195   0.010
 2176.0    0.196   0.010
 2177.0    0.196   0.010
 2178.0    0.196   0.010
 2179.0    0.196   0.010
 2180.0    0.196   0.010
 2181.0    0.197   0.010
 2182.0    0.197   0.010
 2183.0    0.197   0.010
 2184.0    0.197   0.010
 2185.0    0.197   0.010
 2186.0    0.198   0.010
 2187.0    0.198   0.010
 2188.0    0.198   0.010
 2189.0    0.198   0.010
 2190.0    0.198   0.010
 2191.0    0.199   0.010
 2192.0    0.199   0.010
 2193.0    0.199   0.010
 2194.0    0.199   0.010
 2195.0    0.199   0.010
 2196.0    0.200   0.010
 2197.0    0.200   0.010
 2198.0    0.200   0.010
 2199.0    0.200   0.010
 2200.0    0.200   0.010
 2201.0    0.201   0.010
 2202.0    0.201   0.010
 2203.0    0.201   0.010
 2204.0    0.201   0.010
 2205.0    0.201   0.010
 2206.0    0.202   0.010
 2207.0    0.202   0.010
 2208.0    0.202   0.010
 2209.0    0.202   0.010
 2210.0    0.202   0.010
 2211.0    0.203   0.010
 2212.0    0.203   0.010
 2213.0    0.203   0.010
 2214.0    0.203   0.010
 2215.0    0.203   0.010
 2216.0    0.204   0.010
 2217.0    0.204   0.010
 2218.0    0.204   0.010
 2219.0    0.204   0.010
 2220.0    0.204   0.010
 2221.0    0.205   0.010
 2222.0    0.205   0.010
 2223.0    0.205   0.010
 2224.0    0.205   0.010
 2225.0    0.205   0.010
 2226.0    0.206   0.010
 2227.0    0.206   0.010
 2228.0    0.206   0.010
 2229.0    0.206   0.010
 2230.0    0.206   0.010
 2231.0    0.206   0.010
 2232.0    0.207   0.010
 2233.0    0.207   0.010
 2234.0    0.207   0.010
 2235.0    0.207   0.010
 2236.0    0.207   0.010
 2237.0    0.208   0.010
 2238.0    0.208   0.010
 2239.0    0.208   0.010
 2240.0    0.208   0.010
 2241.0    0.208   0.010
 2242.0    0.209   0.010
 2243.0    0.209   0.010
 2244.0    0.209   0.010
 2245.0    0.209   0.010
 2246.0    0.209   0.010
 2247.0    0.209   0.010
 2248.0    0.210   0.010
 2249.0    0.210   0.010
 2250.0    0.210   0.010
 2251.0    0.210   0.010
 2252.0    0.210   0.010
 2253.0    0.211   0.010
 2254.0    0.211   0.010
 2255.0    0.211   0.010
 2256.0    0.211   0.010
 2257.0    0.211   0.010
 2258.0    0.211   0.010
 2259.0    0.212   0.010
 2260.0    0.212   0.010
 2261.0    0.212   0.010
 2262.0    0.212   0.010
 2263.0    0.212   0.010
 2264.0    0.212   0.010
 2265.0    0.213   0.010
 2266.0    0.213   0.010
 2267.0    0.213   0.010
 2268.0    0.213   0.010
 2269.0    0.213   0.010
 2270.0    0.214   0.010
 2271.0    0.214   0.010
 2272.0    0.214   0.010
 2273.0    0.214   0.010
 2274.0    0.214   0.010
 2275.0    0.214   0.010
 2276.0    0.215   0.010
 2277.0    0.215   0.010
 2278.0    0.215   0.010
 2279.0    0.215   0.010
 2280.0    0.215   0.010
 2281.0    0.215   0.010
 2282.0    0.216   0.010
 2283.0    0.216   0.010
 2284.0    0.216   0.010
 2285.0    0.216   0.010
 2286.0    0.216   0.010
 2287.0    0.216   0.010
 2288.0    0.217   0.010
 2289.0    0.217   0.010
 2290.0    0.217   0.010
 2291.0    0.217   0.010
 2292.0    0.217   0.010
 2293.0    0.218   0.010
 2294.0    0.218   0.010
 2295.0    0.218   0.010
 2296.0    0.218   0.010
 2297.0    0.218   0.010
 2298.0    0.218   0.010
 2299.0    0.219   0.010
