   W         M3+(pi0_p)
 (MeV)      Re      Im
 1584.0    0.274   0.058
 1585.0    0.275   0.059
 1586.0    0.277   0.060
 1587.0    0.278   0.060
 1588.0    0.279   0.061
 1589.0    0.281   0.062
 1590.0    0.282   0.062
 1591.0    0.283   0.063
 1592.0    0.285   0.064
 1593.0    0.286   0.064
 1594.0    0.288   0.065
 1595.0    0.289   0.066
 1596.0    0.290   0.066
 1597.0    0.292   0.067
 1598.0    0.293   0.068
 1599.0    0.294   0.069
 1600.0    0.296   0.069
 1601.0    0.297   0.070
 1602.0    0.299   0.071
 1603.0    0.300   0.071
 1604.0    0.302   0.072
 1605.0    0.303   0.073
 1606.0    0.304   0.074
 1607.0    0.306   0.075
 1608.0    0.307   0.075
 1609.0    0.309   0.076
 1610.0    0.310   0.077
 1611.0    0.312   0.078
 1612.0    0.313   0.079
 1613.0    0.315   0.079
 1614.0    0.316   0.080
 1615.0    0.317   0.081
 1616.0    0.319   0.082
 1617.0    0.320   0.083
 1618.0    0.322   0.084
 1619.0    0.323   0.085
 1620.0    0.325   0.086
 1621.0    0.326   0.086
 1622.0    0.328   0.087
 1623.0    0.329   0.088
 1624.0    0.331   0.089
 1625.0    0.333   0.090
 1626.0    0.334   0.091
 1627.0    0.336   0.092
 1628.0    0.337   0.093
 1629.0    0.339   0.094
 1630.0    0.340   0.095
 1631.0    0.342   0.096
 1632.0    0.343   0.097
 1633.0    0.345   0.098
 1634.0    0.346   0.099
 1635.0    0.348   0.100
 1636.0    0.349   0.101
 1637.0    0.351   0.102
 1638.0    0.353   0.104
 1639.0    0.354   0.105
 1640.0    0.356   0.106
 1641.0    0.357   0.107
 1642.0    0.359   0.108
 1643.0    0.361   0.109
 1644.0    0.362   0.110
 1645.0    0.364   0.112
 1646.0    0.365   0.113
 1647.0    0.367   0.114
 1648.0    0.369   0.115
 1649.0    0.370   0.116
 1650.0    0.372   0.118
 1651.0    0.374   0.119
 1652.0    0.375   0.120
 1653.0    0.377   0.121
 1654.0    0.378   0.123
 1655.0    0.380   0.124
 1656.0    0.382   0.125
 1657.0    0.383   0.127
 1658.0    0.385   0.128
 1659.0    0.387   0.129
 1660.0    0.388   0.131
 1661.0    0.390   0.132
 1662.0    0.392   0.134
 1663.0    0.393   0.135
 1664.0    0.395   0.136
 1665.0    0.397   0.138
 1666.0    0.398   0.139
 1667.0    0.400   0.141
 1668.0    0.402   0.142
 1669.0    0.403   0.144
 1670.0    0.405   0.145
 1671.0    0.407   0.147
 1672.0    0.409   0.148
 1673.0    0.410   0.150
 1674.0    0.412   0.152
 1675.0    0.414   0.153
 1676.0    0.415   0.155
 1677.0    0.417   0.157
 1678.0    0.419   0.158
 1679.0    0.421   0.160
 1680.0    0.422   0.162
 1681.0    0.424   0.163
 1682.0    0.426   0.165
 1683.0    0.427   0.167
 1684.0    0.429   0.169
 1685.0    0.431   0.170
 1686.0    0.433   0.172
 1687.0    0.434   0.174
 1688.0    0.436   0.176
 1689.0    0.438   0.178
 1690.0    0.440   0.180
 1691.0    0.441   0.182
 1692.0    0.443   0.183
 1693.0    0.445   0.185
 1694.0    0.447   0.187
 1695.0    0.448   0.189
 1696.0    0.450   0.191
 1697.0    0.452   0.193
 1698.0    0.453   0.196
 1699.0    0.455   0.198
 1700.0    0.457   0.200
 1701.0    0.459   0.202
 1702.0    0.460   0.204
 1703.0    0.462   0.206
 1704.0    0.464   0.208
 1705.0    0.466   0.211
 1706.0    0.467   0.213
 1707.0    0.469   0.215
 1708.0    0.471   0.217
 1709.0    0.472   0.220
 1710.0    0.474   0.222
 1711.0    0.476   0.225
 1712.0    0.478   0.227
 1713.0    0.479   0.229
 1714.0    0.481   0.232
 1715.0    0.483   0.234
 1716.0    0.485   0.237
 1717.0    0.486   0.239
 1718.0    0.488   0.242
 1719.0    0.490   0.245
 1720.0    0.491   0.247
 1721.0    0.493   0.250
 1722.0    0.495   0.252
 1723.0    0.496   0.255
 1724.0    0.498   0.258
 1725.0    0.500   0.261
 1726.0    0.501   0.263
 1727.0    0.503   0.266
 1728.0    0.505   0.269
 1729.0    0.506   0.272
 1730.0    0.508   0.275
 1731.0    0.509   0.278
 1732.0    0.511   0.281
 1733.0    0.513   0.284
 1734.0    0.514   0.287
 1735.0    0.516   0.290
