   W         M1-(pi0_p)
 (MeV)      Re      Im
 1397.0   -1.679   2.984
 1398.0   -1.688   2.988
 1399.0   -1.697   2.991
 1400.0   -1.706   2.994
 1401.0   -1.714   2.996
 1402.0   -1.722   2.998
 1403.0   -1.730   2.999
 1404.0   -1.738   3.000
 1405.0   -1.746   3.001
 1406.0   -1.753   3.001
 1407.0   -1.761   3.001
 1408.0   -1.768   3.000
 1409.0   -1.775   2.999
 1410.0   -1.781   2.998
 1411.0   -1.788   2.996
 1412.0   -1.794   2.994
 1413.0   -1.800   2.992
 1414.0   -1.806   2.989
 1415.0   -1.812   2.986
 1416.0   -1.818   2.982
 1417.0   -1.823   2.979
 1418.0   -1.828   2.975
 1419.0   -1.832   2.970
 1420.0   -1.837   2.966
 1421.0   -1.841   2.961
 1422.0   -1.845   2.956
 1423.0   -1.848   2.950
 1424.0   -1.852   2.944
 1425.0   -1.855   2.938
 1426.0   -1.857   2.932
 1427.0   -1.860   2.926
 1428.0   -1.862   2.919
 1429.0   -1.864   2.912
 1430.0   -1.866   2.905
 1431.0   -1.868   2.898
 1432.0   -1.869   2.891
 1433.0   -1.870   2.883
 1434.0   -1.871   2.875
 1435.0   -1.872   2.868
 1436.0   -1.873   2.860
 1437.0   -1.873   2.851
 1438.0   -1.873   2.843
 1439.0   -1.873   2.835
 1440.0   -1.872   2.826
 1441.0   -1.872   2.818
 1442.0   -1.871   2.809
 1443.0   -1.870   2.800
 1444.0   -1.869   2.791
 1445.0   -1.867   2.782
 1446.0   -1.865   2.772
 1447.0   -1.863   2.763
 1448.0   -1.861   2.754
 1449.0   -1.859   2.744
 1450.0   -1.856   2.735
 1451.0   -1.854   2.725
 1452.0   -1.851   2.715
 1453.0   -1.847   2.706
 1454.0   -1.844   2.696
 1455.0   -1.841   2.686
 1456.0   -1.837   2.676
 1457.0   -1.833   2.666
 1458.0   -1.829   2.656
 1459.0   -1.825   2.646
 1460.0   -1.820   2.636
 1461.0   -1.816   2.626
 1462.0   -1.811   2.616
 1463.0   -1.806   2.606
 1464.0   -1.801   2.595
 1465.0   -1.796   2.585
 1466.0   -1.790   2.575
 1467.0   -1.785   2.565
 1468.0   -1.780   2.554
 1469.0   -1.774   2.544
 1470.0   -1.768   2.534
 1471.0   -1.762   2.524
 1472.0   -1.757   2.513
 1473.0   -1.751   2.503
 1474.0   -1.745   2.493
 1475.0   -1.739   2.483
 1476.0   -1.732   2.473
 1477.0   -1.726   2.462
 1478.0   -1.719   2.452
 1479.0   -1.713   2.442
 1480.0   -1.706   2.432
 1481.0   -1.699   2.422
 1482.0   -1.692   2.411
 1483.0   -1.685   2.401
 1484.0   -1.678   2.391
 1485.0   -1.670   2.381
 1486.0   -1.663   2.371
 1487.0   -1.655   2.361
 1488.0   -1.648   2.350
 1489.0   -1.640   2.340
 1490.0   -1.632   2.330
 1491.0   -1.624   2.320
 1492.0   -1.616   2.310
 1493.0   -1.608   2.300
 1494.0   -1.600   2.290
 1495.0   -1.591   2.280
 1496.0   -1.583   2.270
 1497.0   -1.575   2.260
 1498.0   -1.566   2.250
 1499.0   -1.558   2.240
 1500.0   -1.549   2.230
 1501.0   -1.541   2.220
 1502.0   -1.532   2.211
 1503.0   -1.524   2.201
 1504.0   -1.515   2.191
 1505.0   -1.506   2.181
 1506.0   -1.498   2.172
 1507.0   -1.489   2.162
 1508.0   -1.480   2.152
 1509.0   -1.471   2.143
 1510.0   -1.462   2.133
 1511.0   -1.452   2.123
 1512.0   -1.443   2.114
 1513.0   -1.433   2.104
 1514.0   -1.424   2.094
 1515.0   -1.414   2.085
 1516.0   -1.405   2.075
 1517.0   -1.395   2.066
 1518.0   -1.386   2.056
 1519.0   -1.376   2.047
 1520.0   -1.367   2.038
 1521.0   -1.357   2.028
 1522.0   -1.348   2.019
 1523.0   -1.339   2.010
 1524.0   -1.329   2.001
 1525.0   -1.320   1.991
 1526.0   -1.310   1.982
 1527.0   -1.301   1.973
 1528.0   -1.291   1.964
 1529.0   -1.282   1.955
 1530.0   -1.272   1.946
 1531.0   -1.262   1.937
 1532.0   -1.253   1.928
 1533.0   -1.243   1.919
 1534.0   -1.233   1.910
 1535.0   -1.223   1.901
 1536.0   -1.213   1.892
 1537.0   -1.203   1.883
 1538.0   -1.192   1.874
 1539.0   -1.182   1.865
 1540.0   -1.172   1.856
 1541.0   -1.162   1.847
 1542.0   -1.152   1.838
 1543.0   -1.142   1.830
 1544.0   -1.132   1.821
 1545.0   -1.122   1.812
 1546.0   -1.112   1.803
 1547.0   -1.102   1.795
 1548.0   -1.092   1.786
 1549.0   -1.082   1.777
 1550.0   -1.072   1.769
 1551.0   -1.062   1.760
 1552.0   -1.051   1.752
 1553.0   -1.041   1.743
 1554.0   -1.031   1.735
 1555.0   -1.021   1.726
 1556.0   -1.011   1.718
 1557.0   -1.001   1.710
 1558.0   -0.991   1.701
