hB ChPT p^4 PRL111

     elab           Re E0+        Im E0+         Re P1        Re P2         Re P3         Re E1+        Re M1+        Re M1- 
    193.0000       -0.9654        1.4851       10.2096      -12.1297       14.9083       -0.3200        8.6926       -2.4770
    193.5000       -0.9725        1.4892       10.2076      -12.1407       14.9590       -0.3222        8.7111       -2.4631
    194.0000       -0.9796        1.4932       10.2057      -12.1518       15.0097       -0.3244        8.7295       -2.4493
    194.5000       -0.9867        1.4970       10.2037      -12.1629       15.0604       -0.3265        8.7479       -2.4354
    195.0000       -0.9938        1.5007       10.2017      -12.1739       15.1110       -0.3287        8.7663       -2.4215
    195.5000       -1.0009        1.5042       10.1998      -12.1850       15.1617       -0.3309        8.7847       -2.4077
    196.0000       -1.0080        1.5077       10.1978      -12.1961       15.2124       -0.3330        8.8031       -2.3938
    196.5000       -1.0151        1.5110       10.1958      -12.2071       15.2631       -0.3352        8.8215       -2.3799
    197.0000       -1.0222        1.5143       10.1938      -12.2182       15.3138       -0.3374        8.8399       -2.3661
    197.5000       -1.0293        1.5174       10.1919      -12.2293       15.3645       -0.3396        8.8584       -2.3522
    198.0000       -1.0363        1.5204       10.1899      -12.2404       15.4152       -0.3417        8.8768       -2.3384
    198.5000       -1.0434        1.5233       10.1879      -12.2514       15.4659       -0.3439        8.8952       -2.3245
    199.0000       -1.0505        1.5260       10.1860      -12.2625       15.5166       -0.3461        8.9136       -2.3106
    199.5000       -1.0576        1.5287       10.1840      -12.2736       15.5673       -0.3483        8.9320       -2.2968
    200.0000       -1.0647        1.5312       10.1820      -12.2846       15.6180       -0.3504        8.9504       -2.2829
