   W         M1+(pi+_n)
 (MeV)      Re         Im
 1447.0    0.78755   -0.85624
 1448.0    0.76855   -0.84290
 1449.0    0.74954   -0.83090
 1450.0    0.72987   -0.81790
 1451.0    0.71087   -0.80623
 1452.0    0.69219   -0.79356
 1453.0    0.67252   -0.78222
 1454.0    0.65418   -0.77088
 1455.0    0.63551   -0.75888
 1456.0    0.61584   -0.74788
 1457.0    0.59750   -0.73621
 1458.0    0.57916   -0.72554
 1459.0    0.55982   -0.71520
 1460.0    0.54148   -0.70420
 1461.0    0.52248   -0.69419
 1462.0    0.50447   -0.68419
 1463.0    0.48614   -0.67352
 1464.0    0.46813   -0.66419
 1465.0    0.44946   -0.65485
 1466.0    0.43145   -0.64451
 1467.0    0.41378   -0.63551
 1468.0    0.39611   -0.62651
 1469.0    0.37744   -0.61784
 1470.0    0.35977   -0.60850
 1471.0    0.34210   -0.59983
 1472.0    0.32376   -0.59183
 1473.0    0.30642   -0.58383
 1474.0    0.28908   -0.57483
 1475.0    0.27208   -0.56716
 1476.0    0.25374   -0.55949
 1477.0    0.23673   -0.55215
 1478.0    0.21973   -0.54482
 1479.0    0.20306   -0.53648
 1480.0    0.18505   -0.52948
 1481.0    0.16838   -0.52281
 1482.0    0.15171   -0.51614
 1483.0    0.13504   -0.50948
 1484.0    0.11770   -0.50314
 1485.0    0.10136   -0.49681
 1486.0    0.08502   -0.48947
 1487.0    0.06869   -0.48380
 1488.0    0.05268   -0.47780
 1489.0    0.03668   -0.47213
 1490.0    0.01967   -0.46646
 1491.0    0.00367   -0.46113
 1492.0   -0.01200   -0.45579
 1493.0   -0.02767   -0.45079
 1494.0   -0.04335   -0.44579
 1495.0   -0.05868   -0.43979
 1496.0   -0.07502   -0.43512
 1497.0   -0.09036   -0.43045
 1498.0   -0.10536   -0.42579
 1499.0   -0.12070   -0.42145
 1500.0   -0.13570   -0.41712
 1501.0   -0.15038   -0.41312
 1502.0   -0.16505   -0.40911
 1503.0   -0.17972   -0.40545
 1504.0   -0.19439   -0.40145
 1505.0   -0.20873   -0.39811
 1506.0   -0.22306   -0.39444
 1507.0   -0.23740   -0.39111
 1508.0   -0.25140   -0.38778
 1509.0   -0.26541   -0.38377
