   W          E2-(pi0_p)
 (MeV)       Re        Im
 1122.60   -0.46606   0.00614
 1122.70   -0.46675   0.00616
 1122.80   -0.46744   0.00618
 1122.90   -0.46812   0.00620
 1123.00   -0.46881   0.00622
 1123.10   -0.46949   0.00624
 1123.20   -0.47018   0.00626
 1123.30   -0.47086   0.00628
 1123.40   -0.47154   0.00631
 1123.50   -0.47222   0.00633
 1123.60   -0.47291   0.00635
 1123.70   -0.47358   0.00637
 1123.80   -0.47426   0.00639
 1123.90   -0.47494   0.00641
 1124.00   -0.47562   0.00643
 1124.10   -0.47629   0.00645
 1124.20   -0.47697   0.00647
 1124.30   -0.47764   0.00649
 1124.40   -0.47832   0.00652
 1124.50   -0.47899   0.00654
 1124.60   -0.47966   0.00656
 1124.70   -0.48033   0.00658
 1124.80   -0.48100   0.00660
 1124.90   -0.48167   0.00662
 1125.00   -0.48234   0.00664
 1125.10   -0.48301   0.00666
 1125.20   -0.48368   0.00669
 1125.30   -0.48434   0.00671
 1125.40   -0.48501   0.00673
 1125.50   -0.48567   0.00675
 1125.60   -0.48634   0.00677
 1125.70   -0.48700   0.00679
 1125.80   -0.48766   0.00682
 1125.90   -0.48832   0.00684
 1126.00   -0.48898   0.00686
 1126.10   -0.48964   0.00688
 1126.20   -0.49030   0.00690
 1126.30   -0.49096   0.00692
 1126.40   -0.49162   0.00695
 1126.50   -0.49227   0.00697
 1126.60   -0.49293   0.00699
 1126.70   -0.49358   0.00701
 1126.80   -0.49424   0.00703
 1126.90   -0.49489   0.00706
 1127.00   -0.49554   0.00708
 1127.10   -0.49619   0.00710
 1127.20   -0.49684   0.00712
 1127.30   -0.49749   0.00715
 1127.40   -0.49814   0.00717
 1127.50   -0.49879   0.00719
 1127.60   -0.49944   0.00721
 1127.70   -0.50009   0.00724
 1127.80   -0.50073   0.00726
 1127.90   -0.50138   0.00728
 1128.00   -0.50202   0.00730
 1128.10   -0.50266   0.00733
 1128.20   -0.50331   0.00735
 1128.30   -0.50395   0.00737
 1128.40   -0.50459   0.00739
 1128.50   -0.50523   0.00742
 1128.60   -0.50587   0.00744
 1128.70   -0.50651   0.00746
 1128.80   -0.50714   0.00749
 1128.90   -0.50778   0.00751
 1129.00   -0.50842   0.00753
 1129.10   -0.50905   0.00755
 1129.20   -0.50969   0.00758
 1129.30   -0.51032   0.00760
 1129.40   -0.51095   0.00762
 1129.50   -0.51158   0.00765
 1129.60   -0.51221   0.00767
 1129.70   -0.51284   0.00769
 1129.80   -0.51347   0.00772
 1129.90   -0.51410   0.00774
 1130.00   -0.51473   0.00776
 1130.10   -0.51536   0.00779
 1130.20   -0.51598   0.00781
 1130.30   -0.51661   0.00783
 1130.40   -0.51723   0.00786
 1130.50   -0.51786   0.00788
 1130.60   -0.51848   0.00790
 1130.70   -0.51910   0.00793
 1130.80   -0.51973   0.00795
 1130.90   -0.52035   0.00798
 1131.00   -0.52097   0.00800
 1131.10   -0.52159   0.00802
 1131.20   -0.52220   0.00805
 1131.30   -0.52282   0.00807
 1131.40   -0.52344   0.00810
 1131.50   -0.52405   0.00812
 1131.60   -0.52467   0.00814
 1131.70   -0.52528   0.00817
 1131.80   -0.52590   0.00819
 1131.90   -0.52651   0.00822
 1132.00   -0.52712   0.00824
 1132.10   -0.52773   0.00826
 1132.20   -0.52835   0.00829
 1132.30   -0.52895   0.00831
 1132.40   -0.52956   0.00834
 1132.50   -0.53017   0.00836
 1132.60   -0.53078   0.00839
 1132.70   -0.53139   0.00841
 1132.80   -0.53199   0.00844
 1132.90   -0.53260   0.00846
 1133.00   -0.53320   0.00848
 1133.10   -0.53381   0.00851
 1133.20   -0.53441   0.00853
 1133.30   -0.53501   0.00856
 1133.40   -0.53561   0.00858
 1133.50   -0.53621   0.00861
 1133.60   -0.53681   0.00863
 1133.70   -0.53741   0.00866
 1133.80   -0.53801   0.00868
 1133.90   -0.53861   0.00871
 1134.00   -0.53920   0.00873
 1134.10   -0.53980   0.00876
 1134.20   -0.54039   0.00878
 1134.30   -0.54099   0.00881
 1134.40   -0.54158   0.00883
 1134.50   -0.54217   0.00886
 1134.60   -0.54277   0.00888
 1134.70   -0.54336   0.00891
 1134.80   -0.54395   0.00893
 1134.90   -0.54454   0.00896
 1135.00   -0.54513   0.00899
 1135.10   -0.54571   0.00901
 1135.20   -0.54630   0.00904
 1135.30   -0.54689   0.00906
 1135.40   -0.54747   0.00909
 1135.50   -0.54806   0.00911
 1135.60   -0.54864   0.00914
 1135.70   -0.54923   0.00916
 1135.80   -0.54981   0.00919
 1135.90   -0.55039   0.00922
 1136.00   -0.55097   0.00924
 1136.10   -0.55155   0.00927
 1136.20   -0.55213   0.00929
 1136.30   -0.55271   0.00932
 1136.40   -0.55329   0.00935
 1136.50   -0.55387   0.00937
 1136.60   -0.55445   0.00940
 1136.70   -0.55502   0.00942
 1136.80   -0.55560   0.00945
 1136.90   -0.55617   0.00948
 1137.00   -0.55674   0.00950
 1137.10   -0.55732   0.00953
 1137.20   -0.55789   0.00956
 1137.30   -0.55846   0.00958
 1137.40   -0.55903   0.00961
 1137.50   -0.55960   0.00964
 1137.60   -0.56017   0.00966
 1137.70   -0.56074   0.00969
 1137.80   -0.56131   0.00972
 1137.90   -0.56187   0.00974
 1138.00   -0.56244   0.00977
 1138.10   -0.56301   0.00980
 1138.20   -0.56357   0.00982
 1138.30   -0.56414   0.00985
 1138.40   -0.56470   0.00988
 1138.50   -0.56526   0.00990
 1138.60   -0.56582   0.00993
 1138.70   -0.56638   0.00996
 1138.80   -0.56694   0.00998
 1138.90   -0.56750   0.01001
 1139.00   -0.56806   0.01004
 1139.10   -0.56862   0.01007
 1139.20   -0.56918   0.01009
 1139.30   -0.56973   0.01012
 1139.40   -0.57029   0.01015
 1139.50   -0.57085   0.01018
 1139.60   -0.57140   0.01020
 1139.70   -0.57195   0.01023
 1139.80   -0.57251   0.01026
 1139.90   -0.57306   0.01029
 1140.00   -0.57361   0.01031
 1140.10   -0.57416   0.01034
 1140.20   -0.57471   0.01037
 1140.30   -0.57526   0.01040
 1140.40   -0.57581   0.01042
 1140.50   -0.57636   0.01045
 1140.60   -0.57690   0.01048
 1140.70   -0.57745   0.01051
 1140.80   -0.57800   0.01054
 1140.90   -0.57854   0.01056
 1141.00   -0.57908   0.01059
 1141.10   -0.57963   0.01062
 1141.20   -0.58017   0.01065
 1141.30   -0.58071   0.01068
 1141.40   -0.58125   0.01070
 1141.50   -0.58179   0.01073
 1141.60   -0.58233   0.01076
 1141.70   -0.58287   0.01079
 1141.80   -0.58341   0.01082
 1141.90   -0.58395   0.01085
 1142.00   -0.58449   0.01088
 1142.10   -0.58502   0.01090
 1142.20   -0.58556   0.01093
 1142.30   -0.58609   0.01096
 1142.40   -0.58663   0.01099
 1142.50   -0.58716   0.01102
 1142.60   -0.58769   0.01105
 1142.70   -0.58822   0.01108
 1142.80   -0.58876   0.01110
 1142.90   -0.58929   0.01113
 1143.00   -0.58982   0.01116
 1143.10   -0.59034   0.01119
 1143.20   -0.59087   0.01122
 1143.30   -0.59140   0.01125
 1143.40   -0.59193   0.01128
 1143.50   -0.59245   0.01131
 1143.60   -0.59298   0.01134
 1143.70   -0.59350   0.01137
 1143.80   -0.59403   0.01140
 1143.90   -0.59455   0.01143
 1144.00   -0.59507   0.01145
 1144.10   -0.59559   0.01148
 1144.20   -0.59612   0.01151
 1144.30   -0.59664   0.01154
 1144.40   -0.59716   0.01157
 1144.50   -0.59767   0.01160
 1144.60   -0.59819   0.01163
 1144.70   -0.59871   0.01166
 1144.80   -0.59923   0.01169
 1144.90   -0.59974   0.01172
 1145.00   -0.60026   0.01175
 1145.10   -0.60077   0.01178
 1145.20   -0.60129   0.01181
 1145.30   -0.60180   0.01184
 1145.40   -0.60231   0.01187
 1145.50   -0.60282   0.01190
 1145.60   -0.60334   0.01193
 1145.70   -0.60385   0.01196
 1145.80   -0.60436   0.01199
 1145.90   -0.60486   0.01202
 1146.00   -0.60537   0.01205
 1146.10   -0.60588   0.01208
 1146.20   -0.60639   0.01211
 1146.30   -0.60689   0.01214
 1146.40   -0.60740   0.01217
 1146.50   -0.60790   0.01220
 1146.60   -0.60841   0.01224
 1146.70   -0.60891   0.01227
 1146.80   -0.60941   0.01230
 1146.90   -0.60992   0.01233
 1147.00   -0.61042   0.01236
 1147.10   -0.61092   0.01239
 1147.20   -0.61142   0.01242
 1147.30   -0.61192   0.01245
 1147.40   -0.61242   0.01248
 1147.50   -0.61291   0.01251
 1147.60   -0.61341   0.01254
 1147.70   -0.61391   0.01258
 1147.80   -0.61440   0.01261
 1147.90   -0.61490   0.01264
 1148.00   -0.61539   0.01267
 1148.10   -0.61589   0.01270
 1148.20   -0.61638   0.01273
 1148.30   -0.61687   0.01276
 1148.40   -0.61736   0.01279
 1148.50   -0.61785   0.01283
 1148.60   -0.61834   0.01286
 1148.70   -0.61883   0.01289
 1148.80   -0.61932   0.01292
 1148.90   -0.61981   0.01295
 1149.00   -0.62030   0.01298
 1149.10   -0.62079   0.01302
 1149.20   -0.62127   0.01305
 1149.30   -0.62176   0.01308
 1149.40   -0.62224   0.01311
 1149.50   -0.62273   0.01314
 1149.60   -0.62321   0.01318
 1149.70   -0.62369   0.01321
 1149.80   -0.62417   0.01324
 1149.90   -0.62465   0.01327
 1150.00   -0.62514   0.01330
 1150.10   -0.62562   0.01334
 1150.20   -0.62609   0.01337
 1150.30   -0.62657   0.01340
 1150.40   -0.62705   0.01343
 1150.50   -0.62753   0.01347
 1150.60   -0.62800   0.01350
 1150.70   -0.62848   0.01353
 1150.80   -0.62896   0.01356
 1150.90   -0.62943   0.01360
 1151.00   -0.62990   0.01363
 1151.10   -0.63038   0.01366
 1151.20   -0.63085   0.01369
 1151.30   -0.63132   0.01373
 1151.40   -0.63179   0.01376
 1151.50   -0.63226   0.01379
 1151.60   -0.63273   0.01383
 1151.70   -0.63320   0.01386
 1151.80   -0.63367   0.01389
 1151.90   -0.63414   0.01392
 1152.00   -0.63460   0.01396
 1152.10   -0.63507   0.01399
 1152.20   -0.63554   0.01402
 1152.30   -0.63600   0.01406
 1152.40   -0.63647   0.01409
 1152.50   -0.63693   0.01412
 1152.60   -0.63739   0.01416
 1152.70   -0.63785   0.01419
 1152.80   -0.63832   0.01422
 1152.90   -0.63878   0.01426
 1153.00   -0.63924   0.01429
 1153.10   -0.63970   0.01433
 1153.20   -0.64016   0.01436
 1153.30   -0.64061   0.01439
 1153.40   -0.64107   0.01443
 1153.50   -0.64153   0.01446
 1153.60   -0.64198   0.01450
 1153.70   -0.64244   0.01453
 1153.80   -0.64290   0.01456
 1153.90   -0.64335   0.01460
 1154.00   -0.64380   0.01463
 1154.10   -0.64426   0.01467
 1154.20   -0.64471   0.01470
 1154.30   -0.64516   0.01473
 1154.40   -0.64561   0.01477
 1154.50   -0.64606   0.01480
 1154.60   -0.64651   0.01484
 1154.70   -0.64696   0.01487
 1154.80   -0.64741   0.01491
 1154.90   -0.64786   0.01494
 1155.00   -0.64830   0.01498
