   W          M1-(p)
 1598.0    0.171  -0.097
 1599.0    0.169  -0.099
 1600.0    0.167  -0.101
 1601.0    0.164  -0.104
 1602.0    0.162  -0.106
 1603.0    0.159  -0.108
 1604.0    0.157  -0.111
 1605.0    0.154  -0.113
 1606.0    0.152  -0.116
 1607.0    0.149  -0.119
 1608.0    0.146  -0.122
 1609.0    0.143  -0.124
 1610.0    0.141  -0.127
 1611.0    0.138  -0.130
 1612.0    0.135  -0.133
 1613.0    0.132  -0.137
 1614.0    0.129  -0.140
 1615.0    0.126  -0.143
 1616.0    0.122  -0.147
 1617.0    0.119  -0.150
 1618.0    0.116  -0.154
 1619.0    0.113  -0.157
 1620.0    0.109  -0.161
 1621.0    0.106  -0.165
 1622.0    0.102  -0.169
 1623.0    0.099  -0.173
 1624.0    0.095  -0.178
 1625.0    0.092  -0.182
 1626.0    0.088  -0.187
 1627.0    0.084  -0.191
 1628.0    0.080  -0.196
 1629.0    0.077  -0.201
 1630.0    0.073  -0.206
 1631.0    0.069  -0.211
 1632.0    0.065  -0.216
 1633.0    0.061  -0.222
 1634.0    0.057  -0.228
 1635.0    0.053  -0.233
 1636.0    0.049  -0.239
 1637.0    0.045  -0.246
 1638.0    0.041  -0.252
 1639.0    0.037  -0.258
 1640.0    0.032  -0.265
 1641.0    0.028  -0.272
 1642.0    0.024  -0.279
 1643.0    0.020  -0.287
 1644.0    0.016  -0.294
 1645.0    0.011  -0.302
 1646.0    0.007  -0.310
 1647.0    0.003  -0.318
 1648.0   -0.001  -0.327
 1649.0   -0.005  -0.335
 1650.0   -0.009  -0.344
 1651.0   -0.013  -0.354
 1652.0   -0.017  -0.363
 1653.0   -0.021  -0.373
 1654.0   -0.025  -0.383
 1655.0   -0.029  -0.394
 1656.0   -0.033  -0.404
 1657.0   -0.036  -0.415
 1658.0   -0.040  -0.427
 1659.0   -0.043  -0.438
 1660.0   -0.046  -0.450
 1661.0   -0.049  -0.463
 1662.0   -0.052  -0.475
 1663.0   -0.055  -0.488
 1664.0   -0.057  -0.502
 1665.0   -0.060  -0.515
 1666.0   -0.062  -0.529
 1667.0   -0.063  -0.544
 1668.0   -0.065  -0.559
 1669.0   -0.066  -0.574
 1670.0   -0.067  -0.589
 1671.0   -0.067  -0.605
 1672.0   -0.067  -0.621
 1673.0   -0.067  -0.638
 1674.0   -0.066  -0.655
 1675.0   -0.065  -0.672
 1676.0   -0.063  -0.690
 1677.0   -0.060  -0.708
 1678.0   -0.057  -0.726
 1679.0   -0.054  -0.745
 1680.0   -0.050  -0.763
 1681.0   -0.045  -0.782
 1682.0   -0.039  -0.802
 1683.0   -0.033  -0.821
 1684.0   -0.026  -0.841
 1685.0   -0.018  -0.860
 1686.0   -0.010  -0.880
 1687.0    0.000  -0.900
 1688.0    0.010  -0.920
 1689.0    0.021  -0.940
 1690.0    0.033  -0.959
 1691.0    0.047  -0.979
 1692.0    0.061  -0.998
 1693.0    0.075  -1.017
 1694.0    0.091  -1.036
 1695.0    0.108  -1.055
 1696.0    0.126  -1.072
 1697.0    0.145  -1.090
 1698.0    0.164  -1.107
 1699.0    0.185  -1.123
 1700.0    0.206  -1.138
 1701.0    0.228  -1.153
 1702.0    0.251  -1.166
 1703.0    0.274  -1.179
 1704.0    0.299  -1.191
 1705.0    0.324  -1.202
 1706.0    0.349  -1.212
 1707.0    0.375  -1.220
 1708.0    0.401  -1.228
 1709.0    0.428  -1.234
 1710.0    0.455  -1.240
 1711.0    0.482  -1.244
 1712.0    0.509  -1.246
 1713.0    0.536  -1.248
 1714.0    0.563  -1.248
 1715.0    0.590  -1.247
 1716.0    0.617  -1.245
 1717.0    0.643  -1.242
 1718.0    0.670  -1.238
 1719.0    0.695  -1.233
 1720.0    0.720  -1.226
 1721.0    0.745  -1.219
 1722.0    0.769  -1.211
 1723.0    0.792  -1.202
 1724.0    0.815  -1.192
 1725.0    0.837  -1.181
 1726.0    0.858  -1.170
 1727.0    0.878  -1.158
 1728.0    0.898  -1.145
 1729.0    0.917  -1.132
 1730.0    0.934  -1.118
 1731.0    0.952  -1.104
 1732.0    0.968  -1.090
 1733.0    0.983  -1.075
 1734.0    0.998  -1.060
 1735.0    1.012  -1.045
 1736.0    1.025  -1.030
 1737.0    1.037  -1.014
 1738.0    1.048  -0.999
 1739.0    1.059  -0.983
 1740.0    1.069  -0.968
 1741.0    1.078  -0.952
 1742.0    1.087  -0.937
 1743.0    1.095  -0.921
 1744.0    1.102  -0.906
 1745.0    1.109  -0.891
 1746.0    1.115  -0.876
 1747.0    1.121  -0.862
 1748.0    1.126  -0.847
 1749.0    1.131  -0.833
 1750.0    1.135  -0.819
 1751.0    1.139  -0.805
 1752.0    1.142  -0.791
 1753.0    1.145  -0.778
 1754.0    1.147  -0.765
 1755.0    1.149  -0.752
 1756.0    1.151  -0.740
 1757.0    1.153  -0.728
 1758.0    1.154  -0.716
 1759.0    1.155  -0.704
 1760.0    1.155  -0.692
 1761.0    1.156  -0.681
 1762.0    1.156  -0.670
 1763.0    1.156  -0.660
 1764.0    1.155  -0.649
 1765.0    1.155  -0.639
 1766.0    1.154  -0.630
 1767.0    1.154  -0.620
 1768.0    1.153  -0.611
 1769.0    1.152  -0.602
 1770.0    1.151  -0.593
 1771.0    1.149  -0.584
 1772.0    1.148  -0.576
 1773.0    1.147  -0.568
 1774.0    1.145  -0.560
 1775.0    1.144  -0.552
 1776.0    1.142  -0.545
 1777.0    1.141  -0.538
 1778.0    1.139  -0.531
 1779.0    1.137  -0.524
 1780.0    1.136  -0.517
 1781.0    1.134  -0.511
 1782.0    1.132  -0.504
 1783.0    1.131  -0.498
 1784.0    1.129  -0.492
 1785.0    1.127  -0.486
 1786.0    1.126  -0.481
 1787.0    1.124  -0.475
 1788.0    1.122  -0.470
 1789.0    1.121  -0.464
 1790.0    1.119  -0.459
 1791.0    1.118  -0.454
 1792.0    1.116  -0.449
 1793.0    1.115  -0.444
 1794.0    1.113  -0.440
 1795.0    1.112  -0.435
 1796.0    1.110  -0.430
 1797.0    1.109  -0.425
 1798.0    1.108  -0.421
 1799.0    1.106  -0.416
 1800.0    1.105  -0.412
 1801.0    1.104  -0.408
 1802.0    1.102  -0.403
 1803.0    1.101  -0.399
 1804.0    1.100  -0.395
 1805.0    1.099  -0.390
 1806.0    1.098  -0.386
 1807.0    1.096  -0.382
 1808.0    1.095  -0.378
 1809.0    1.094  -0.374
 1810.0    1.093  -0.369
 1811.0    1.092  -0.365
 1812.0    1.090  -0.361
 1813.0    1.089  -0.357
 1814.0    1.088  -0.353
 1815.0    1.087  -0.349
 1816.0    1.085  -0.345
 1817.0    1.084  -0.341
 1818.0    1.083  -0.337
 1819.0    1.081  -0.333
 1820.0    1.080  -0.329
 1821.0    1.078  -0.325
 1822.0    1.077  -0.321
 1823.0    1.075  -0.317
 1824.0    1.074  -0.313
 1825.0    1.072  -0.309
 1826.0    1.071  -0.306
 1827.0    1.069  -0.302
 1828.0    1.067  -0.298
 1829.0    1.065  -0.294
 1830.0    1.064  -0.291
 1831.0    1.062  -0.287
 1832.0    1.060  -0.284
 1833.0    1.058  -0.280
 1834.0    1.056  -0.277
 1835.0    1.055  -0.273
 1836.0    1.053  -0.270
 1837.0    1.051  -0.266
 1838.0    1.049  -0.263
 1839.0    1.047  -0.260
 1840.0    1.045  -0.257
 1841.0    1.043  -0.253
 1842.0    1.040  -0.250
 1843.0    1.038  -0.247
 1844.0    1.036  -0.244
 1845.0    1.034  -0.241
 1846.0    1.032  -0.238
 1847.0    1.030  -0.235
 1848.0    1.028  -0.232
 1849.0    1.026  -0.230
 1850.0    1.023  -0.227
 1851.0    1.021  -0.224
 1852.0    1.019  -0.221
 1853.0    1.017  -0.219
 1854.0    1.015  -0.216
 1855.0    1.012  -0.214
 1856.0    1.010  -0.211
 1857.0    1.008  -0.209
 1858.0    1.006  -0.206
 1859.0    1.003  -0.204
 1860.0    1.001  -0.202
 1861.0    0.999  -0.199
 1862.0    0.997  -0.197
 1863.0    0.994  -0.195
 1864.0    0.992  -0.193
 1865.0    0.990  -0.190
 1866.0    0.988  -0.188
 1867.0    0.985  -0.186
 1868.0    0.983  -0.184
 1869.0    0.981  -0.182
 1870.0    0.979  -0.180
 1871.0    0.976  -0.178
 1872.0    0.974  -0.176
 1873.0    0.972  -0.174
 1874.0    0.970  -0.173
 1875.0    0.968  -0.171
 1876.0    0.965  -0.169
 1877.0    0.963  -0.167
 1878.0    0.961  -0.166
 1879.0    0.959  -0.164
 1880.0    0.957  -0.162
 1881.0    0.954  -0.161
 1882.0    0.952  -0.159
 1883.0    0.950  -0.157
 1884.0    0.948  -0.156
 1885.0    0.946  -0.154
 1886.0    0.944  -0.153
 1887.0    0.941  -0.151
 1888.0    0.939  -0.150
 1889.0    0.937  -0.148
 1890.0    0.935  -0.147
 1891.0    0.933  -0.146
 1892.0    0.931  -0.144
 1893.0    0.929  -0.143
 1894.0    0.927  -0.141
 1895.0    0.925  -0.140
 1896.0    0.923  -0.139
 1897.0    0.920  -0.138
 1898.0    0.918  -0.136
 1899.0    0.916  -0.135
 1900.0    0.914  -0.134
 1901.0    0.912  -0.133
 1902.0    0.910  -0.132
 1903.0    0.908  -0.130
 1904.0    0.906  -0.129
 1905.0    0.904  -0.128
 1906.0    0.902  -0.127
 1907.0    0.900  -0.126
 1908.0    0.898  -0.125
 1909.0    0.896  -0.124
 1910.0    0.894  -0.123
 1911.0    0.892  -0.122
 1912.0    0.890  -0.121
 1913.0    0.889  -0.120
 1914.0    0.887  -0.119
 1915.0    0.885  -0.118
 1916.0    0.883  -0.117
 1917.0    0.881  -0.116
 1918.0    0.879  -0.115
 1919.0    0.877  -0.114
 1920.0    0.875  -0.113
 1921.0    0.873  -0.112
 1922.0    0.871  -0.111
 1923.0    0.869  -0.110
 1924.0    0.868  -0.109
 1925.0    0.866  -0.109
 1926.0    0.864  -0.108
 1927.0    0.862  -0.107
 1928.0    0.860  -0.106
 1929.0    0.858  -0.105
 1930.0    0.857  -0.104
 1931.0    0.855  -0.104
 1932.0    0.853  -0.103
 1933.0    0.851  -0.102
 1934.0    0.849  -0.101
 1935.0    0.848  -0.101
 1936.0    0.846  -0.100
 1937.0    0.844  -0.099
 1938.0    0.842  -0.098
 1939.0    0.840  -0.098
 1940.0    0.839  -0.097
 1941.0    0.837  -0.096
 1942.0    0.835  -0.096
 1943.0    0.833  -0.095
 1944.0    0.832  -0.094
 1945.0    0.830  -0.094
 1946.0    0.828  -0.093
 1947.0    0.826  -0.092
 1948.0    0.825  -0.092
 1949.0    0.823  -0.091
 1950.0    0.821  -0.090
 1951.0    0.820  -0.090
 1952.0    0.818  -0.089
 1953.0    0.816  -0.088
 1954.0    0.815  -0.088
 1955.0    0.813  -0.087
 1956.0    0.811  -0.087
 1957.0    0.810  -0.086
 1958.0    0.808  -0.086
 1959.0    0.806  -0.085
 1960.0    0.805  -0.084
 1961.0    0.803  -0.084
 1962.0    0.801  -0.083
 1963.0    0.800  -0.083
 1964.0    0.798  -0.082
 1965.0    0.796  -0.082
 1966.0    0.795  -0.081
 1967.0    0.793  -0.081
 1968.0    0.791  -0.080
 1969.0    0.790  -0.080
 1970.0    0.788  -0.079
 1971.0    0.787  -0.079
 1972.0    0.785  -0.078
 1973.0    0.783  -0.078
 1974.0    0.782  -0.077
 1975.0    0.780  -0.077
 1976.0    0.779  -0.076
 1977.0    0.777  -0.076
 1978.0    0.776  -0.075
 1979.0    0.774  -0.075
 1980.0    0.772  -0.074
 1981.0    0.771  -0.074
 1982.0    0.769  -0.073
 1983.0    0.768  -0.073
 1984.0    0.766  -0.073
 1985.0    0.765  -0.072
 1986.0    0.763  -0.072
 1987.0    0.762  -0.071
 1988.0    0.760  -0.071
 1989.0    0.758  -0.070
 1990.0    0.757  -0.070
 1991.0    0.755  -0.070
 1992.0    0.754  -0.069
 1993.0    0.752  -0.069
 1994.0    0.751  -0.068
 1995.0    0.749  -0.068
 1996.0    0.748  -0.068
 1997.0    0.746  -0.067
 1998.0    0.745  -0.067
 1999.0    0.743  -0.067
 2000.0    0.742  -0.066
 2001.0    0.740  -0.066
 2002.0    0.739  -0.065
 2003.0    0.737  -0.065
 2004.0    0.736  -0.065
 2005.0    0.734  -0.064
 2006.0    0.733  -0.064
 2007.0    0.731  -0.064
 2008.0    0.730  -0.063
 2009.0    0.729  -0.063
 2010.0    0.727  -0.063
 2011.0    0.726  -0.062
 2012.0    0.724  -0.062
 2013.0    0.723  -0.062
 2014.0    0.721  -0.061
 2015.0    0.720  -0.061
 2016.0    0.718  -0.061
 2017.0    0.717  -0.060
 2018.0    0.715  -0.060
 2019.0    0.714  -0.060
 2020.0    0.713  -0.059
 2021.0    0.711  -0.059
 2022.0    0.710  -0.059
 2023.0    0.708  -0.058
 2024.0    0.707  -0.058
 2025.0    0.705  -0.058
 2026.0    0.704  -0.057
 2027.0    0.703  -0.057
 2028.0    0.701  -0.057
 2029.0    0.700  -0.057
 2030.0    0.698  -0.056
 2031.0    0.697  -0.056
 2032.0    0.696  -0.056
 2033.0    0.694  -0.055
 2034.0    0.693  -0.055
 2035.0    0.691  -0.055
 2036.0    0.690  -0.055
 2037.0    0.689  -0.054
 2038.0    0.687  -0.054
 2039.0    0.686  -0.054
 2040.0    0.684  -0.054
 2041.0    0.683  -0.053
 2042.0    0.682  -0.053
 2043.0    0.680  -0.053
 2044.0    0.679  -0.053
 2045.0    0.678  -0.052
 2046.0    0.676  -0.052
 2047.0    0.675  -0.052
 2048.0    0.673  -0.052
 2049.0    0.672  -0.051
 2050.0    0.671  -0.051
 2051.0    0.669  -0.051
 2052.0    0.668  -0.051
 2053.0    0.667  -0.050
 2054.0    0.665  -0.050
 2055.0    0.664  -0.050
 2056.0    0.663  -0.050
 2057.0    0.661  -0.049
 2058.0    0.660  -0.049
 2059.0    0.659  -0.049
 2060.0    0.657  -0.049
 2061.0    0.656  -0.048
 2062.0    0.655  -0.048
 2063.0    0.653  -0.048
 2064.0    0.652  -0.048
 2065.0    0.651  -0.048
 2066.0    0.649  -0.047
 2067.0    0.648  -0.047
 2068.0    0.647  -0.047
 2069.0    0.645  -0.047
 2070.0    0.644  -0.047
 2071.0    0.643  -0.046
 2072.0    0.641  -0.046
 2073.0    0.640  -0.046
 2074.0    0.639  -0.046
 2075.0    0.637  -0.045
 2076.0    0.636  -0.045
 2077.0    0.635  -0.045
 2078.0    0.634  -0.045
 2079.0    0.632  -0.045
 2080.0    0.631  -0.045
 2081.0    0.630  -0.044
 2082.0    0.628  -0.044
 2083.0    0.627  -0.044
 2084.0    0.626  -0.044
 2085.0    0.624  -0.044
 2086.0    0.623  -0.043
 2087.0    0.622  -0.043
 2088.0    0.621  -0.043
 2089.0    0.619  -0.043
 2090.0    0.618  -0.043
 2091.0    0.617  -0.042
 2092.0    0.615  -0.042
 2093.0    0.614  -0.042
 2094.0    0.613  -0.042
 2095.0    0.612  -0.042
 2096.0    0.610  -0.042
 2097.0    0.609  -0.041
 2098.0    0.608  -0.041
 2099.0    0.607  -0.041
 2100.0    0.605  -0.041
 2101.0    0.604  -0.041
 2102.0    0.603  -0.041
 2103.0    0.602  -0.040
 2104.0    0.600  -0.040
 2105.0    0.599  -0.040
 2106.0    0.598  -0.040
 2107.0    0.597  -0.040
 2108.0    0.595  -0.040
 2109.0    0.594  -0.039
 2110.0    0.593  -0.039
 2111.0    0.592  -0.039
 2112.0    0.590  -0.039
 2113.0    0.589  -0.039
 2114.0    0.588  -0.039
 2115.0    0.587  -0.038
 2116.0    0.585  -0.038
 2117.0    0.584  -0.038
 2118.0    0.583  -0.038
 2119.0    0.582  -0.038
 2120.0    0.580  -0.038
 2121.0    0.579  -0.038
 2122.0    0.578  -0.037
 2123.0    0.577  -0.037
 2124.0    0.575  -0.037
 2125.0    0.574  -0.037
 2126.0    0.573  -0.037
 2127.0    0.572  -0.037
 2128.0    0.571  -0.036
 2129.0    0.569  -0.036
 2130.0    0.568  -0.036
 2131.0    0.567  -0.036
 2132.0    0.566  -0.036
 2133.0    0.564  -0.036
 2134.0    0.563  -0.036
 2135.0    0.562  -0.036
 2136.0    0.561  -0.035
 2137.0    0.560  -0.035
 2138.0    0.558  -0.035
 2139.0    0.557  -0.035
 2140.0    0.556  -0.035
 2141.0    0.555  -0.035
 2142.0    0.554  -0.035
 2143.0    0.552  -0.034
 2144.0    0.551  -0.034
 2145.0    0.550  -0.034
 2146.0    0.549  -0.034
 2147.0    0.548  -0.034
 2148.0    0.546  -0.034
 2149.0    0.545  -0.034
 2150.0    0.544  -0.034
 2151.0    0.543  -0.033
 2152.0    0.542  -0.033
 2153.0    0.540  -0.033
 2154.0    0.539  -0.033
 2155.0    0.538  -0.033
 2156.0    0.537  -0.033
 2157.0    0.536  -0.033
 2158.0    0.534  -0.033
 2159.0    0.533  -0.032
 2160.0    0.532  -0.032
 2161.0    0.531  -0.032
 2162.0    0.530  -0.032
 2163.0    0.529  -0.032
 2164.0    0.527  -0.032
 2165.0    0.526  -0.032
 2166.0    0.525  -0.032
 2167.0    0.524  -0.032
 2168.0    0.523  -0.031
 2169.0    0.521  -0.031
 2170.0    0.520  -0.031
 2171.0    0.519  -0.031
 2172.0    0.518  -0.031
 2173.0    0.517  -0.031
 2174.0    0.516  -0.031
 2175.0    0.514  -0.031
 2176.0    0.513  -0.031
 2177.0    0.512  -0.030
 2178.0    0.511  -0.030
 2179.0    0.510  -0.030
 2180.0    0.509  -0.030
 2181.0    0.508  -0.030
 2182.0    0.506  -0.030
 2183.0    0.505  -0.030
 2184.0    0.504  -0.030
 2185.0    0.503  -0.030
 2186.0    0.502  -0.030
 2187.0    0.501  -0.029
 2188.0    0.499  -0.029
 2189.0    0.498  -0.029
 2190.0    0.497  -0.029
 2191.0    0.496  -0.029
 2192.0    0.495  -0.029
 2193.0    0.494  -0.029
 2194.0    0.493  -0.029
 2195.0    0.491  -0.029
 2196.0    0.490  -0.029
 2197.0    0.489  -0.028
 2198.0    0.488  -0.028
 2199.0    0.487  -0.028
 2200.0    0.486  -0.028
