   W          M2-(p)
 1690.0   -0.190  -0.153
 1691.0   -0.187  -0.154
 1692.0   -0.184  -0.155
 1693.0   -0.181  -0.156
 1694.0   -0.178  -0.156
 1695.0   -0.174  -0.157
 1696.0   -0.171  -0.157
 1697.0   -0.169  -0.158
 1698.0   -0.166  -0.158
 1699.0   -0.163  -0.159
 1700.0   -0.160  -0.159
 1701.0   -0.157  -0.160
 1702.0   -0.154  -0.160
 1703.0   -0.152  -0.160
 1704.0   -0.149  -0.161
 1705.0   -0.146  -0.161
 1706.0   -0.144  -0.161
 1707.0   -0.141  -0.161
 1708.0   -0.139  -0.162
 1709.0   -0.136  -0.162
 1710.0   -0.134  -0.162
 1711.0   -0.132  -0.162
 1712.0   -0.129  -0.162
 1713.0   -0.127  -0.163
 1714.0   -0.125  -0.163
 1715.0   -0.123  -0.163
 1716.0   -0.121  -0.163
 1717.0   -0.118  -0.163
 1718.0   -0.116  -0.163
 1719.0   -0.114  -0.164
 1720.0   -0.112  -0.164
 1721.0   -0.110  -0.164
 1722.0   -0.108  -0.164
 1723.0   -0.107  -0.164
 1724.0   -0.105  -0.165
 1725.0   -0.103  -0.165
 1726.0   -0.101  -0.165
 1727.0   -0.099  -0.165
 1728.0   -0.098  -0.166
 1729.0   -0.096  -0.166
 1730.0   -0.094  -0.166
 1731.0   -0.093  -0.166
 1732.0   -0.091  -0.167
 1733.0   -0.089  -0.167
 1734.0   -0.088  -0.167
 1735.0   -0.086  -0.168
 1736.0   -0.085  -0.168
 1737.0   -0.083  -0.169
 1738.0   -0.082  -0.169
 1739.0   -0.080  -0.170
 1740.0   -0.079  -0.170
 1741.0   -0.077  -0.171
 1742.0   -0.076  -0.171
 1743.0   -0.074  -0.172
 1744.0   -0.073  -0.172
 1745.0   -0.071  -0.173
 1746.0   -0.070  -0.173
 1747.0   -0.069  -0.174
 1748.0   -0.067  -0.175
 1749.0   -0.066  -0.176
 1750.0   -0.064  -0.176
 1751.0   -0.063  -0.177
 1752.0   -0.062  -0.178
 1753.0   -0.060  -0.179
 1754.0   -0.059  -0.179
 1755.0   -0.057  -0.180
 1756.0   -0.056  -0.181
 1757.0   -0.054  -0.182
 1758.0   -0.053  -0.183
 1759.0   -0.052  -0.184
 1760.0   -0.050  -0.185
 1761.0   -0.049  -0.186
 1762.0   -0.047  -0.187
 1763.0   -0.046  -0.188
 1764.0   -0.044  -0.189
 1765.0   -0.042  -0.190
 1766.0   -0.041  -0.191
 1767.0   -0.039  -0.192
 1768.0   -0.038  -0.194
 1769.0   -0.036  -0.195
 1770.0   -0.034  -0.196
 1771.0   -0.032  -0.197
 1772.0   -0.031  -0.198
 1773.0   -0.029  -0.199
 1774.0   -0.027  -0.201
 1775.0   -0.025  -0.202
 1776.0   -0.023  -0.203
 1777.0   -0.022  -0.204
 1778.0   -0.020  -0.206
 1779.0   -0.018  -0.207
 1780.0   -0.016  -0.208
 1781.0   -0.014  -0.209
 1782.0   -0.011  -0.210
 1783.0   -0.009  -0.212
 1784.0   -0.007  -0.213
 1785.0   -0.005  -0.214
 1786.0   -0.003  -0.215
 1787.0    0.000  -0.216
 1788.0    0.002  -0.218
 1789.0    0.004  -0.219
 1790.0    0.007  -0.220
 1791.0    0.009  -0.221
 1792.0    0.011  -0.222
 1793.0    0.014  -0.223
 1794.0    0.017  -0.224
 1795.0    0.019  -0.225
 1796.0    0.022  -0.226
 1797.0    0.024  -0.227
 1798.0    0.027  -0.228
 1799.0    0.030  -0.229
 1800.0    0.032  -0.229
 1801.0    0.035  -0.230
 1802.0    0.038  -0.231
 1803.0    0.041  -0.232
 1804.0    0.043  -0.232
 1805.0    0.046  -0.233
 1806.0    0.049  -0.233
 1807.0    0.052  -0.234
 1808.0    0.055  -0.234
 1809.0    0.058  -0.235
 1810.0    0.061  -0.235
 1811.0    0.063  -0.235
 1812.0    0.066  -0.236
 1813.0    0.069  -0.236
 1814.0    0.072  -0.236
 1815.0    0.075  -0.236
 1816.0    0.078  -0.236
 1817.0    0.081  -0.236
 1818.0    0.084  -0.236
 1819.0    0.087  -0.236
 1820.0    0.090  -0.236
 1821.0    0.092  -0.236
 1822.0    0.095  -0.235
 1823.0    0.098  -0.235
 1824.0    0.101  -0.235
 1825.0    0.104  -0.234
 1826.0    0.106  -0.234
 1827.0    0.109  -0.234
 1828.0    0.112  -0.233
 1829.0    0.115  -0.232
 1830.0    0.117  -0.232
 1831.0    0.120  -0.231
 1832.0    0.122  -0.230
 1833.0    0.125  -0.230
 1834.0    0.128  -0.229
 1835.0    0.130  -0.228
 1836.0    0.133  -0.227
 1837.0    0.135  -0.226
 1838.0    0.137  -0.226
 1839.0    0.140  -0.225
 1840.0    0.142  -0.224
 1841.0    0.144  -0.223
 1842.0    0.146  -0.222
 1843.0    0.149  -0.221
 1844.0    0.151  -0.220
 1845.0    0.153  -0.219
 1846.0    0.155  -0.217
 1847.0    0.157  -0.216
 1848.0    0.159  -0.215
 1849.0    0.161  -0.214
 1850.0    0.163  -0.213
 1851.0    0.165  -0.212
 1852.0    0.166  -0.211
 1853.0    0.168  -0.209
 1854.0    0.170  -0.208
 1855.0    0.172  -0.207
 1856.0    0.173  -0.206
 1857.0    0.175  -0.205
 1858.0    0.177  -0.204
 1859.0    0.178  -0.202
 1860.0    0.180  -0.201
 1861.0    0.181  -0.200
 1862.0    0.182  -0.199
 1863.0    0.184  -0.198
 1864.0    0.185  -0.196
 1865.0    0.186  -0.195
 1866.0    0.188  -0.194
 1867.0    0.189  -0.193
 1868.0    0.190  -0.192
 1869.0    0.191  -0.191
 1870.0    0.192  -0.189
 1871.0    0.194  -0.188
 1872.0    0.195  -0.187
 1873.0    0.196  -0.186
 1874.0    0.197  -0.185
 1875.0    0.198  -0.184
 1876.0    0.199  -0.183
 1877.0    0.200  -0.182
 1878.0    0.200  -0.181
 1879.0    0.201  -0.180
 1880.0    0.202  -0.179
 1881.0    0.203  -0.178
 1882.0    0.204  -0.177
 1883.0    0.204  -0.176
 1884.0    0.205  -0.175
 1885.0    0.206  -0.174
 1886.0    0.207  -0.173
 1887.0    0.207  -0.172
 1888.0    0.208  -0.171
 1889.0    0.209  -0.170
 1890.0    0.209  -0.169
 1891.0    0.210  -0.168
 1892.0    0.210  -0.168
 1893.0    0.211  -0.167
 1894.0    0.211  -0.166
 1895.0    0.212  -0.165
 1896.0    0.212  -0.164
 1897.0    0.213  -0.164
 1898.0    0.213  -0.163
 1899.0    0.214  -0.162
 1900.0    0.214  -0.162
 1901.0    0.215  -0.161
 1902.0    0.215  -0.160
 1903.0    0.215  -0.160
 1904.0    0.216  -0.159
 1905.0    0.216  -0.159
 1906.0    0.217  -0.158
 1907.0    0.217  -0.157
 1908.0    0.217  -0.157
 1909.0    0.217  -0.156
 1910.0    0.218  -0.156
 1911.0    0.218  -0.155
 1912.0    0.218  -0.155
 1913.0    0.219  -0.155
 1914.0    0.219  -0.154
 1915.0    0.219  -0.154
 1916.0    0.219  -0.153
 1917.0    0.220  -0.153
 1918.0    0.220  -0.153
 1919.0    0.220  -0.152
 1920.0    0.220  -0.152
 1921.0    0.221  -0.152
 1922.0    0.221  -0.152
 1923.0    0.221  -0.151
 1924.0    0.221  -0.151
 1925.0    0.221  -0.151
 1926.0    0.222  -0.151
 1927.0    0.222  -0.151
 1928.0    0.222  -0.150
 1929.0    0.222  -0.150
 1930.0    0.222  -0.150
 1931.0    0.223  -0.150
 1932.0    0.223  -0.150
 1933.0    0.223  -0.150
 1934.0    0.223  -0.150
 1935.0    0.223  -0.150
 1936.0    0.223  -0.150
 1937.0    0.224  -0.150
 1938.0    0.224  -0.150
 1939.0    0.224  -0.150
 1940.0    0.224  -0.150
 1941.0    0.224  -0.150
 1942.0    0.224  -0.150
 1943.0    0.225  -0.151
 1944.0    0.225  -0.151
 1945.0    0.225  -0.151
 1946.0    0.225  -0.151
 1947.0    0.225  -0.151
 1948.0    0.225  -0.151
 1949.0    0.226  -0.152
 1950.0    0.226  -0.152
 1951.0    0.226  -0.152
 1952.0    0.226  -0.153
 1953.0    0.226  -0.153
 1954.0    0.227  -0.153
 1955.0    0.227  -0.154
 1956.0    0.227  -0.154
 1957.0    0.227  -0.154
 1958.0    0.228  -0.155
 1959.0    0.228  -0.155
 1960.0    0.228  -0.155
 1961.0    0.228  -0.156
 1962.0    0.229  -0.156
 1963.0    0.229  -0.157
 1964.0    0.229  -0.157
 1965.0    0.229  -0.158
 1966.0    0.230  -0.158
 1967.0    0.230  -0.159
 1968.0    0.230  -0.159
 1969.0    0.231  -0.160
 1970.0    0.231  -0.161
 1971.0    0.231  -0.161
 1972.0    0.232  -0.162
 1973.0    0.232  -0.162
 1974.0    0.233  -0.163
 1975.0    0.233  -0.164
 1976.0    0.233  -0.164
 1977.0    0.234  -0.165
 1978.0    0.234  -0.166
 1979.0    0.235  -0.166
 1980.0    0.235  -0.167
 1981.0    0.236  -0.168
 1982.0    0.236  -0.169
 1983.0    0.237  -0.169
 1984.0    0.237  -0.170
 1985.0    0.238  -0.171
 1986.0    0.238  -0.172
 1987.0    0.239  -0.172
 1988.0    0.240  -0.173
 1989.0    0.240  -0.174
 1990.0    0.241  -0.175
 1991.0    0.241  -0.176
 1992.0    0.242  -0.177
 1993.0    0.243  -0.177
 1994.0    0.243  -0.178
 1995.0    0.244  -0.179
 1996.0    0.245  -0.180
 1997.0    0.246  -0.181
 1998.0    0.246  -0.182
 1999.0    0.247  -0.183
 2000.0    0.248  -0.184
 2001.0    0.249  -0.184
 2002.0    0.250  -0.185
 2003.0    0.251  -0.186
 2004.0    0.252  -0.187
 2005.0    0.252  -0.188
 2006.0    0.253  -0.189
 2007.0    0.254  -0.190
 2008.0    0.255  -0.191
 2009.0    0.256  -0.192
 2010.0    0.257  -0.193
 2011.0    0.258  -0.194
 2012.0    0.260  -0.194
 2013.0    0.261  -0.195
 2014.0    0.262  -0.196
 2015.0    0.263  -0.197
 2016.0    0.264  -0.198
 2017.0    0.265  -0.199
 2018.0    0.266  -0.200
 2019.0    0.268  -0.201
 2020.0    0.269  -0.202
 2021.0    0.270  -0.202
 2022.0    0.271  -0.203
 2023.0    0.273  -0.204
 2024.0    0.274  -0.205
 2025.0    0.276  -0.206
 2026.0    0.277  -0.207
 2027.0    0.278  -0.207
 2028.0    0.280  -0.208
 2029.0    0.281  -0.209
 2030.0    0.283  -0.210
 2031.0    0.284  -0.211
 2032.0    0.286  -0.211
 2033.0    0.287  -0.212
 2034.0    0.289  -0.213
 2035.0    0.290  -0.214
 2036.0    0.292  -0.214
 2037.0    0.294  -0.215
 2038.0    0.295  -0.216
 2039.0    0.297  -0.216
 2040.0    0.298  -0.217
 2041.0    0.300  -0.217
 2042.0    0.302  -0.218
 2043.0    0.304  -0.218
 2044.0    0.305  -0.219
 2045.0    0.307  -0.220
 2046.0    0.309  -0.220
 2047.0    0.311  -0.221
 2048.0    0.312  -0.221
 2049.0    0.314  -0.221
 2050.0    0.316  -0.222
 2051.0    0.318  -0.222
 2052.0    0.320  -0.223
 2053.0    0.321  -0.223
 2054.0    0.323  -0.223
 2055.0    0.325  -0.223
 2056.0    0.327  -0.224
 2057.0    0.329  -0.224
 2058.0    0.331  -0.224
 2059.0    0.333  -0.224
 2060.0    0.335  -0.224
 2061.0    0.336  -0.225
 2062.0    0.338  -0.225
 2063.0    0.340  -0.225
 2064.0    0.342  -0.225
 2065.0    0.344  -0.225
 2066.0    0.346  -0.225
 2067.0    0.348  -0.225
 2068.0    0.350  -0.225
 2069.0    0.352  -0.225
 2070.0    0.354  -0.225
 2071.0    0.356  -0.224
 2072.0    0.357  -0.224
 2073.0    0.359  -0.224
 2074.0    0.361  -0.224
 2075.0    0.363  -0.224
 2076.0    0.365  -0.223
 2077.0    0.367  -0.223
 2078.0    0.369  -0.223
 2079.0    0.371  -0.222
 2080.0    0.373  -0.222
 2081.0    0.374  -0.222
 2082.0    0.376  -0.221
 2083.0    0.378  -0.221
 2084.0    0.380  -0.220
 2085.0    0.382  -0.220
 2086.0    0.383  -0.219
 2087.0    0.385  -0.219
 2088.0    0.387  -0.218
 2089.0    0.389  -0.218
 2090.0    0.391  -0.217
 2091.0    0.392  -0.216
 2092.0    0.394  -0.216
 2093.0    0.396  -0.215
 2094.0    0.397  -0.214
 2095.0    0.399  -0.214
 2096.0    0.401  -0.213
 2097.0    0.402  -0.212
 2098.0    0.404  -0.211
 2099.0    0.406  -0.211
 2100.0    0.407  -0.210
 2101.0    0.409  -0.209
 2102.0    0.410  -0.208
 2103.0    0.412  -0.207
 2104.0    0.413  -0.207
 2105.0    0.415  -0.206
 2106.0    0.416  -0.205
 2107.0    0.418  -0.204
 2108.0    0.419  -0.203
 2109.0    0.421  -0.202
 2110.0    0.422  -0.201
 2111.0    0.424  -0.200
 2112.0    0.425  -0.199
 2113.0    0.426  -0.198
 2114.0    0.428  -0.197
 2115.0    0.429  -0.196
 2116.0    0.430  -0.195
 2117.0    0.432  -0.194
 2118.0    0.433  -0.193
 2119.0    0.434  -0.192
 2120.0    0.435  -0.191
 2121.0    0.437  -0.190
 2122.0    0.438  -0.189
 2123.0    0.439  -0.188
 2124.0    0.440  -0.187
 2125.0    0.441  -0.186
 2126.0    0.442  -0.185
 2127.0    0.443  -0.184
 2128.0    0.444  -0.183
 2129.0    0.446  -0.182
 2130.0    0.447  -0.181
 2131.0    0.448  -0.180
 2132.0    0.449  -0.179
 2133.0    0.450  -0.178
 2134.0    0.451  -0.177
 2135.0    0.451  -0.175
 2136.0    0.452  -0.174
 2137.0    0.453  -0.173
 2138.0    0.454  -0.172
 2139.0    0.455  -0.171
 2140.0    0.456  -0.170
 2141.0    0.457  -0.169
 2142.0    0.458  -0.168
 2143.0    0.458  -0.167
 2144.0    0.459  -0.166
 2145.0    0.460  -0.165
 2146.0    0.461  -0.164
 2147.0    0.462  -0.163
 2148.0    0.462  -0.161
 2149.0    0.463  -0.160
 2150.0    0.464  -0.159
 2151.0    0.464  -0.158
 2152.0    0.465  -0.157
 2153.0    0.466  -0.156
 2154.0    0.466  -0.155
 2155.0    0.467  -0.154
 2156.0    0.468  -0.153
 2157.0    0.468  -0.152
 2158.0    0.469  -0.151
 2159.0    0.469  -0.150
 2160.0    0.470  -0.149
 2161.0    0.470  -0.148
 2162.0    0.471  -0.147
 2163.0    0.472  -0.146
 2164.0    0.472  -0.145
 2165.0    0.473  -0.144
 2166.0    0.473  -0.143
 2167.0    0.474  -0.142
 2168.0    0.474  -0.141
 2169.0    0.474  -0.140
 2170.0    0.475  -0.139
 2171.0    0.475  -0.138
 2172.0    0.476  -0.137
 2173.0    0.476  -0.136
 2174.0    0.477  -0.135
 2175.0    0.477  -0.134
 2176.0    0.477  -0.133
 2177.0    0.478  -0.132
 2178.0    0.478  -0.131
 2179.0    0.478  -0.130
 2180.0    0.479  -0.129
 2181.0    0.479  -0.128
 2182.0    0.479  -0.127
 2183.0    0.480  -0.127
 2184.0    0.480  -0.126
 2185.0    0.480  -0.125
 2186.0    0.481  -0.124
 2187.0    0.481  -0.123
 2188.0    0.481  -0.122
 2189.0    0.481  -0.121
 2190.0    0.482  -0.120
 2191.0    0.482  -0.119
 2192.0    0.482  -0.119
 2193.0    0.482  -0.118
 2194.0    0.483  -0.117
 2195.0    0.483  -0.116
 2196.0    0.483  -0.115
 2197.0    0.483  -0.114
 2198.0    0.484  -0.114
 2199.0    0.484  -0.113
 2200.0    0.484  -0.112
