   W          M3-(p)
 (MeV)      Re      Im
 1958.0    0.075  -0.077
 1959.0    0.075  -0.077
 1960.0    0.076  -0.077
 1961.0    0.077  -0.076
 1962.0    0.077  -0.076
 1963.0    0.078  -0.076
 1964.0    0.078  -0.076
 1965.0    0.079  -0.076
 1966.0    0.079  -0.076
 1967.0    0.080  -0.076
 1968.0    0.080  -0.075
 1969.0    0.081  -0.075
 1970.0    0.081  -0.075
 1971.0    0.082  -0.075
 1972.0    0.082  -0.075
 1973.0    0.083  -0.075
 1974.0    0.083  -0.074
 1975.0    0.084  -0.074
 1976.0    0.084  -0.074
 1977.0    0.085  -0.074
 1978.0    0.085  -0.074
 1979.0    0.086  -0.073
 1980.0    0.086  -0.073
 1981.0    0.087  -0.073
 1982.0    0.087  -0.073
 1983.0    0.088  -0.073
 1984.0    0.088  -0.073
 1985.0    0.089  -0.072
 1986.0    0.089  -0.072
 1987.0    0.090  -0.072
 1988.0    0.090  -0.072
 1989.0    0.090  -0.072
 1990.0    0.091  -0.072
 1991.0    0.091  -0.071
 1992.0    0.092  -0.071
 1993.0    0.092  -0.071
 1994.0    0.093  -0.071
 1995.0    0.093  -0.071
 1996.0    0.094  -0.070
 1997.0    0.094  -0.070
 1998.0    0.094  -0.070
 1999.0    0.095  -0.070
 2000.0    0.095  -0.070
 2001.0    0.096  -0.070
 2002.0    0.096  -0.069
 2003.0    0.097  -0.069
 2004.0    0.097  -0.069
 2005.0    0.097  -0.069
 2006.0    0.098  -0.069
 2007.0    0.098  -0.068
 2008.0    0.099  -0.068
 2009.0    0.099  -0.068
 2010.0    0.099  -0.068
 2011.0    0.100  -0.068
 2012.0    0.100  -0.068
 2013.0    0.101  -0.067
 2014.0    0.101  -0.067
 2015.0    0.101  -0.067
 2016.0    0.102  -0.067
 2017.0    0.102  -0.067
 2018.0    0.103  -0.067
 2019.0    0.103  -0.066
 2020.0    0.103  -0.066
 2021.0    0.104  -0.066
 2022.0    0.104  -0.066
 2023.0    0.104  -0.066
 2024.0    0.105  -0.065
 2025.0    0.105  -0.065
 2026.0    0.106  -0.065
 2027.0    0.106  -0.065
 2028.0    0.106  -0.065
 2029.0    0.107  -0.065
 2030.0    0.107  -0.064
 2031.0    0.107  -0.064
 2032.0    0.108  -0.064
 2033.0    0.108  -0.064
 2034.0    0.108  -0.064
 2035.0    0.109  -0.064
 2036.0    0.109  -0.063
 2037.0    0.109  -0.063
 2038.0    0.110  -0.063
 2039.0    0.110  -0.063
 2040.0    0.110  -0.063
 2041.0    0.111  -0.063
 2042.0    0.111  -0.062
 2043.0    0.111  -0.062
 2044.0    0.112  -0.062
 2045.0    0.112  -0.062
 2046.0    0.112  -0.062
 2047.0    0.113  -0.062
 2048.0    0.113  -0.061
 2049.0    0.113  -0.061
 2050.0    0.114  -0.061
 2051.0    0.114  -0.061
 2052.0    0.114  -0.061
 2053.0    0.115  -0.061
 2054.0    0.115  -0.060
 2055.0    0.115  -0.060
 2056.0    0.116  -0.060
 2057.0    0.116  -0.060
 2058.0    0.116  -0.060
 2059.0    0.117  -0.060
 2060.0    0.117  -0.059
 2061.0    0.117  -0.059
 2062.0    0.118  -0.059
 2063.0    0.118  -0.059
 2064.0    0.118  -0.059
 2065.0    0.118  -0.059
 2066.0    0.119  -0.058
 2067.0    0.119  -0.058
 2068.0    0.119  -0.058
 2069.0    0.120  -0.058
 2070.0    0.120  -0.058
 2071.0    0.120  -0.058
 2072.0    0.121  -0.057
 2073.0    0.121  -0.057
 2074.0    0.121  -0.057
 2075.0    0.121  -0.057
 2076.0    0.122  -0.057
 2077.0    0.122  -0.057
 2078.0    0.122  -0.057
 2079.0    0.123  -0.056
 2080.0    0.123  -0.056
 2081.0    0.123  -0.056
 2082.0    0.123  -0.056
 2083.0    0.124  -0.056
 2084.0    0.124  -0.056
 2085.0    0.124  -0.056
 2086.0    0.125  -0.055
 2087.0    0.125  -0.055
 2088.0    0.125  -0.055
 2089.0    0.125  -0.055
 2090.0    0.126  -0.055
 2091.0    0.126  -0.055
 2092.0    0.126  -0.055
 2093.0    0.126  -0.054
 2094.0    0.127  -0.054
 2095.0    0.127  -0.054
 2096.0    0.127  -0.054
 2097.0    0.128  -0.054
 2098.0    0.128  -0.054
 2099.0    0.128  -0.054
 2100.0    0.128  -0.053
 2101.0    0.129  -0.053
 2102.0    0.129  -0.053
 2103.0    0.129  -0.053
 2104.0    0.129  -0.053
 2105.0    0.130  -0.053
 2106.0    0.130  -0.053
 2107.0    0.130  -0.052
 2108.0    0.130  -0.052
 2109.0    0.131  -0.052
 2110.0    0.131  -0.052
 2111.0    0.131  -0.052
 2112.0    0.131  -0.052
 2113.0    0.132  -0.052
 2114.0    0.132  -0.051
 2115.0    0.132  -0.051
 2116.0    0.132  -0.051
 2117.0    0.133  -0.051
 2118.0    0.133  -0.051
 2119.0    0.133  -0.051
 2120.0    0.133  -0.051
