   W           M1+(p)
 (MeV)       Re      Im
 1920.0     0.976   0.953
 1921.0     0.971   0.953
 1922.0     0.966   0.953
 1923.0     0.961   0.952
 1924.0     0.956   0.952
 1925.0     0.951   0.952
 1926.0     0.946   0.952
 1927.0     0.941   0.951
 1928.0     0.936   0.951
 1929.0     0.931   0.951
 1930.0     0.926   0.950
 1931.0     0.921   0.950
 1932.0     0.916   0.949
 1933.0     0.911   0.948
 1934.0     0.906   0.948
 1935.0     0.901   0.947
 1936.0     0.897   0.946
 1937.0     0.892   0.946
 1938.0     0.887   0.945
 1939.0     0.882   0.944
 1940.0     0.878   0.943
 1941.0     0.873   0.942
 1942.0     0.868   0.941
 1943.0     0.863   0.940
 1944.0     0.859   0.939
 1945.0     0.854   0.938
 1946.0     0.850   0.937
 1947.0     0.845   0.935
 1948.0     0.841   0.934
 1949.0     0.836   0.933
 1950.0     0.832   0.931
 1951.0     0.827   0.930
 1952.0     0.823   0.929
 1953.0     0.818   0.927
 1954.0     0.814   0.926
 1955.0     0.810   0.924
 1956.0     0.806   0.923
 1957.0     0.801   0.921
 1958.0     0.797   0.920
 1959.0     0.793   0.918
 1960.0     0.789   0.916
 1961.0     0.785   0.915
 1962.0     0.780   0.913
 1963.0     0.776   0.911
 1964.0     0.772   0.910
 1965.0     0.768   0.908
 1966.0     0.764   0.906
 1967.0     0.760   0.904
 1968.0     0.757   0.902
 1969.0     0.753   0.900
 1970.0     0.749   0.898
 1971.0     0.745   0.897
 1972.0     0.741   0.895
 1973.0     0.738   0.893
 1974.0     0.734   0.891
 1975.0     0.730   0.888
 1976.0     0.727   0.886
 1977.0     0.723   0.884
 1978.0     0.719   0.882
 1979.0     0.716   0.880
 1980.0     0.712   0.878
 1981.0     0.709   0.876
 1982.0     0.705   0.874
 1983.0     0.702   0.871
 1984.0     0.699   0.869
 1985.0     0.695   0.867
 1986.0     0.692   0.865
 1987.0     0.689   0.862
 1988.0     0.685   0.860
 1989.0     0.682   0.858
 1990.0     0.679   0.855
 1991.0     0.676   0.853
 1992.0     0.673   0.851
 1993.0     0.669   0.848
 1994.0     0.666   0.846
 1995.0     0.663   0.844
 1996.0     0.660   0.841
