   W          E0+(p)
 (MeV)      Re      Im
 1842.0   -2.027   1.161
 1843.0   -2.025   1.151
 1844.0   -2.022   1.141
 1845.0   -2.020   1.131
 1846.0   -2.017   1.120
 1847.0   -2.015   1.110
 1848.0   -2.012   1.099
 1849.0   -2.009   1.088
 1850.0   -2.006   1.077
 1851.0   -2.003   1.066
 1852.0   -2.000   1.055
 1853.0   -1.997   1.043
 1854.0   -1.994   1.032
 1855.0   -1.991   1.020
 1856.0   -1.987   1.008
 1857.0   -1.984   0.996
 1858.0   -1.980   0.984
 1859.0   -1.976   0.972
 1860.0   -1.972   0.959
 1861.0   -1.968   0.946
 1862.0   -1.963   0.934
 1863.0   -1.958   0.921
 1864.0   -1.954   0.907
 1865.0   -1.948   0.894
 1866.0   -1.943   0.881
 1867.0   -1.937   0.867
 1868.0   -1.931   0.853
 1869.0   -1.924   0.839
 1870.0   -1.917   0.825
 1871.0   -1.910   0.811
 1872.0   -1.902   0.797
 1873.0   -1.894   0.783
 1874.0   -1.886   0.769
 1875.0   -1.877   0.754
 1876.0   -1.867   0.740
 1877.0   -1.857   0.726
 1878.0   -1.847   0.712
 1879.0   -1.835   0.698
 1880.0   -1.824   0.684
 1881.0   -1.812   0.671
 1882.0   -1.799   0.657
 1883.0   -1.786   0.644
 1884.0   -1.772   0.632
 1885.0   -1.757   0.619
 1886.0   -1.742   0.607
 1887.0   -1.727   0.596
 1888.0   -1.711   0.585
 1889.0   -1.695   0.575
 1890.0   -1.678   0.565
 1891.0   -1.661   0.556
 1892.0   -1.644   0.548
 1893.0   -1.626   0.540
 1894.0   -1.608   0.533
 1895.0   -1.590   0.527
 1896.0   -1.572   0.522
 1897.0   -1.554   0.517
 1898.0   -1.536   0.513
 1899.0   -1.518   0.510
 1900.0   -1.500   0.508
 1901.0   -1.482   0.507
 1902.0   -1.465   0.506
 1903.0   -1.448   0.506
 1904.0   -1.431   0.507
 1905.0   -1.415   0.508
 1906.0   -1.399   0.510
 1907.0   -1.383   0.512
 1908.0   -1.368   0.515
 1909.0   -1.354   0.518
 1910.0   -1.340   0.522
 1911.0   -1.326   0.526
 1912.0   -1.314   0.530
 1913.0   -1.301   0.535
 1914.0   -1.290   0.540
 1915.0   -1.279   0.545
 1916.0   -1.268   0.550
 1917.0   -1.258   0.555
 1918.0   -1.248   0.561
 1919.0   -1.239   0.566
 1920.0   -1.231   0.572
 1921.0   -1.223   0.577
 1922.0   -1.215   0.582
 1923.0   -1.208   0.588
 1924.0   -1.201   0.593
 1925.0   -1.195   0.598
 1926.0   -1.189   0.603
 1927.0   -1.183   0.608
 1928.0   -1.178   0.612
 1929.0   -1.173   0.617
 1930.0   -1.168   0.621
 1931.0   -1.164   0.625
 1932.0   -1.160   0.630
 1933.0   -1.156   0.633
 1934.0   -1.152   0.637
 1935.0   -1.149   0.641
 1936.0   -1.145   0.644
 1937.0   -1.142   0.647
 1938.0   -1.139   0.650
 1939.0   -1.136   0.653
 1940.0   -1.133   0.656
 1941.0   -1.131   0.659
 1942.0   -1.128   0.661
 1943.0   -1.126   0.663
 1944.0   -1.124   0.665
 1945.0   -1.122   0.667
 1946.0   -1.120   0.669
 1947.0   -1.117   0.671
 1948.0   -1.116   0.672
 1949.0   -1.114   0.674
 1950.0   -1.112   0.675
 1951.0   -1.110   0.676
 1952.0   -1.108   0.677
 1953.0   -1.107   0.678
 1954.0   -1.105   0.679
 1955.0   -1.103   0.680
 1956.0   -1.102   0.680
 1957.0   -1.100   0.681
 1958.0   -1.098   0.681
 1959.0   -1.097   0.682
 1960.0   -1.095   0.682
 1961.0   -1.094   0.682
 1962.0   -1.092   0.682
 1963.0   -1.091   0.682
 1964.0   -1.089   0.682
 1965.0   -1.088   0.682
 1966.0   -1.086   0.681
 1967.0   -1.085   0.681
 1968.0   -1.083   0.681
 1969.0   -1.082   0.680
 1970.0   -1.080   0.680
 1971.0   -1.079   0.679
 1972.0   -1.077   0.679
 1973.0   -1.076   0.678
 1974.0   -1.074   0.677
 1975.0   -1.073   0.677
 1976.0   -1.071   0.676
 1977.0   -1.070   0.675
 1978.0   -1.068   0.674
 1979.0   -1.067   0.673
 1980.0   -1.065   0.672
 1981.0   -1.064   0.671
 1982.0   -1.062   0.670
 1983.0   -1.061   0.669
 1984.0   -1.059   0.668
 1985.0   -1.058   0.667
 1986.0   -1.056   0.666
 1987.0   -1.054   0.665
 1988.0   -1.053   0.664
 1989.0   -1.051   0.662
 1990.0   -1.050   0.661
 1991.0   -1.048   0.660
 1992.0   -1.046   0.659
 1993.0   -1.045   0.657
 1994.0   -1.043   0.656
 1995.0   -1.042   0.655
 1996.0   -1.040   0.653
 1997.0   -1.038   0.652
 1998.0   -1.037   0.650
 1999.0   -1.035   0.649
 2000.0   -1.033   0.648
 2001.0   -1.032   0.646
 2002.0   -1.030   0.645
 2003.0   -1.028   0.643
 2004.0   -1.027   0.642
 2005.0   -1.025   0.640
 2006.0   -1.023   0.639
 2007.0   -1.021   0.637
 2008.0   -1.020   0.636
 2009.0   -1.018   0.634
 2010.0   -1.016   0.633
 2011.0   -1.015   0.631
 2012.0   -1.013   0.629
 2013.0   -1.011   0.628
 2014.0   -1.009   0.626
 2015.0   -1.008   0.625
 2016.0   -1.006   0.623
 2017.0   -1.004   0.622
 2018.0   -1.002   0.620
 2019.0   -1.001   0.618
 2020.0   -0.999   0.617
 2021.0   -0.997   0.615
 2022.0   -0.995   0.613
 2023.0   -0.993   0.612
 2024.0   -0.992   0.610
 2025.0   -0.990   0.609
 2026.0   -0.988   0.607
 2027.0   -0.986   0.605
 2028.0   -0.984   0.604
 2029.0   -0.983   0.602
 2030.0   -0.981   0.600
 2031.0   -0.979   0.599
 2032.0   -0.977   0.597
 2033.0   -0.975   0.596
 2034.0   -0.974   0.594
 2035.0   -0.972   0.592
 2036.0   -0.970   0.591
 2037.0   -0.968   0.589
 2038.0   -0.966   0.587
 2039.0   -0.964   0.586
 2040.0   -0.963   0.584
 2041.0   -0.961   0.583
 2042.0   -0.959   0.581
 2043.0   -0.957   0.579
 2044.0   -0.955   0.578
 2045.0   -0.954   0.576
 2046.0   -0.952   0.574
 2047.0   -0.950   0.573
 2048.0   -0.948   0.571
 2049.0   -0.946   0.570
 2050.0   -0.944   0.568
 2051.0   -0.943   0.566
 2052.0   -0.941   0.565
 2053.0   -0.939   0.563
 2054.0   -0.937   0.561
 2055.0   -0.935   0.560
 2056.0   -0.933   0.558
 2057.0   -0.932   0.557
 2058.0   -0.930   0.555
 2059.0   -0.928   0.553
 2060.0   -0.926   0.552
 2061.0   -0.924   0.550
 2062.0   -0.922   0.549
 2063.0   -0.921   0.547
 2064.0   -0.919   0.546
 2065.0   -0.917   0.544
 2066.0   -0.915   0.542
 2067.0   -0.913   0.541
 2068.0   -0.911   0.539
 2069.0   -0.910   0.538
 2070.0   -0.908   0.536
 2071.0   -0.906   0.535
 2072.0   -0.904   0.533
 2073.0   -0.902   0.532
 2074.0   -0.900   0.530
 2075.0   -0.899   0.528
 2076.0   -0.897   0.527
 2077.0   -0.895   0.525
 2078.0   -0.893   0.524
 2079.0   -0.891   0.522
 2080.0   -0.890   0.521
 2081.0   -0.888   0.519
 2082.0   -0.886   0.518
 2083.0   -0.884   0.516
 2084.0   -0.882   0.515
 2085.0   -0.881   0.513
 2086.0   -0.879   0.512
 2087.0   -0.877   0.510
 2088.0   -0.875   0.509
 2089.0   -0.873   0.507
 2090.0   -0.872   0.506
 2091.0   -0.870   0.504
 2092.0   -0.868   0.503
 2093.0   -0.866   0.502
 2094.0   -0.864   0.500
 2095.0   -0.863   0.499
 2096.0   -0.861   0.497
 2097.0   -0.859   0.496
 2098.0   -0.857   0.494
 2099.0   -0.855   0.493
 2100.0   -0.854   0.491
 2101.0   -0.852   0.490
 2102.0   -0.850   0.489
 2103.0   -0.848   0.487
 2104.0   -0.847   0.486
 2105.0   -0.845   0.484
 2106.0   -0.843   0.483
 2107.0   -0.841   0.482
 2108.0   -0.840   0.480
 2109.0   -0.838   0.479
 2110.0   -0.836   0.477
 2111.0   -0.834   0.476
 2112.0   -0.833   0.475
 2113.0   -0.831   0.473
 2114.0   -0.829   0.472
 2115.0   -0.827   0.470
 2116.0   -0.826   0.469
 2117.0   -0.824   0.468
 2118.0   -0.822   0.466
 2119.0   -0.821   0.465
 2120.0   -0.819   0.464
 2121.0   -0.817   0.462
 2122.0   -0.815   0.461
 2123.0   -0.814   0.460
 2124.0   -0.812   0.458
 2125.0   -0.810   0.457
 2126.0   -0.809   0.456
 2127.0   -0.807   0.454
 2128.0   -0.805   0.453
 2129.0   -0.804   0.452
 2130.0   -0.802   0.451
 2131.0   -0.800   0.449
 2132.0   -0.798   0.448
 2133.0   -0.797   0.447
 2134.0   -0.795   0.445
 2135.0   -0.793   0.444
 2136.0   -0.792   0.443
 2137.0   -0.790   0.442
 2138.0   -0.788   0.440
 2139.0   -0.787   0.439
 2140.0   -0.785   0.438
 2141.0   -0.783   0.437
 2142.0   -0.782   0.435
 2143.0   -0.780   0.434
 2144.0   -0.779   0.433
 2145.0   -0.777   0.432
 2146.0   -0.775   0.430
 2147.0   -0.774   0.429
 2148.0   -0.772   0.428
 2149.0   -0.770   0.427
 2150.0   -0.769   0.426
 2151.0   -0.767   0.424
 2152.0   -0.765   0.423
 2153.0   -0.764   0.422
 2154.0   -0.762   0.421
 2155.0   -0.761   0.420
 2156.0   -0.759   0.418
 2157.0   -0.757   0.417
 2158.0   -0.756   0.416
 2159.0   -0.754   0.415
 2160.0   -0.753   0.414
 2161.0   -0.751   0.413
 2162.0   -0.749   0.411
 2163.0   -0.748   0.410
 2164.0   -0.746   0.409
 2165.0   -0.745   0.408
 2166.0   -0.743   0.407
 2167.0   -0.742   0.406
 2168.0   -0.740   0.405
 2169.0   -0.738   0.403
 2170.0   -0.737   0.402
 2171.0   -0.735   0.401
 2172.0   -0.734   0.400
 2173.0   -0.732   0.399
 2174.0   -0.731   0.398
 2175.0   -0.729   0.397
 2176.0   -0.728   0.396
 2177.0   -0.726   0.394
 2178.0   -0.725   0.393
 2179.0   -0.723   0.392
 2180.0   -0.721   0.391
 2181.0   -0.720   0.390
 2182.0   -0.718   0.389
 2183.0   -0.717   0.388
 2184.0   -0.715   0.387
 2185.0   -0.714   0.386
 2186.0   -0.712   0.385
 2187.0   -0.711   0.384
 2188.0   -0.709   0.383
 2189.0   -0.708   0.382
 2190.0   -0.706   0.381
 2191.0   -0.705   0.379
 2192.0   -0.703   0.378
 2193.0   -0.702   0.377
 2194.0   -0.700   0.376
 2195.0   -0.699   0.375
 2196.0   -0.698   0.374
 2197.0   -0.696   0.373
 2198.0   -0.695   0.372
 2199.0   -0.693   0.371
 2200.0   -0.692   0.370
