   W          M2+(p)
 (MeV)      Re      Im
 2006.0    0.146   0.122
 2007.0    0.146   0.122
 2008.0    0.145   0.122
 2009.0    0.144   0.122
 2010.0    0.144   0.122
 2011.0    0.143   0.122
 2012.0    0.142   0.121
 2013.0    0.142   0.121
 2014.0    0.141   0.121
 2015.0    0.140   0.121
 2016.0    0.140   0.121
 2017.0    0.139   0.121
 2018.0    0.139   0.120
 2019.0    0.138   0.120
 2020.0    0.137   0.120
 2021.0    0.137   0.120
 2022.0    0.136   0.120
 2023.0    0.136   0.119
 2024.0    0.135   0.119
 2025.0    0.135   0.119
 2026.0    0.134   0.119
 2027.0    0.133   0.119
 2028.0    0.133   0.118
 2029.0    0.132   0.118
 2030.0    0.132   0.118
 2031.0    0.131   0.118
 2032.0    0.131   0.117
 2033.0    0.130   0.117
 2034.0    0.130   0.117
 2035.0    0.129   0.117
 2036.0    0.129   0.117
 2037.0    0.128   0.116
 2038.0    0.127   0.116
 2039.0    0.127   0.116
 2040.0    0.126   0.116
 2041.0    0.126   0.115
 2042.0    0.125   0.115
 2043.0    0.125   0.115
 2044.0    0.124   0.115
 2045.0    0.124   0.114
 2046.0    0.124   0.114
 2047.0    0.123   0.114
 2048.0    0.123   0.114
 2049.0    0.122   0.113
 2050.0    0.122   0.113
 2051.0    0.121   0.113
 2052.0    0.121   0.113
 2053.0    0.120   0.112
 2054.0    0.120   0.112
 2055.0    0.119   0.112
 2056.0    0.119   0.112
 2057.0    0.118   0.111
 2058.0    0.118   0.111
 2059.0    0.118   0.111
 2060.0    0.117   0.111
 2061.0    0.117   0.110
 2062.0    0.116   0.110
 2063.0    0.116   0.110
 2064.0    0.116   0.109
 2065.0    0.115   0.109
 2066.0    0.115   0.109
 2067.0    0.114   0.109
 2068.0    0.114   0.108
 2069.0    0.114   0.108
 2070.0    0.113   0.108
 2071.0    0.113   0.108
 2072.0    0.112   0.107
 2073.0    0.112   0.107
 2074.0    0.112   0.107
 2075.0    0.111   0.106
 2076.0    0.111   0.106
 2077.0    0.111   0.106
 2078.0    0.110   0.106
 2079.0    0.110   0.105
 2080.0    0.109   0.105
 2081.0    0.109   0.105
 2082.0    0.109   0.105
 2083.0    0.108   0.104
 2084.0    0.108   0.104
 2085.0    0.108   0.104
 2086.0    0.107   0.103
 2087.0    0.107   0.103
 2088.0    0.107   0.103
 2089.0    0.106   0.103
 2090.0    0.106   0.102
 2091.0    0.106   0.102
 2092.0    0.105   0.102
 2093.0    0.105   0.101
 2094.0    0.105   0.101
 2095.0    0.105   0.101
 2096.0    0.104   0.101
 2097.0    0.104   0.100
 2098.0    0.104   0.100
 2099.0    0.103   0.100
 2100.0    0.103   0.099
 2101.0    0.103   0.099
 2102.0    0.103   0.099
 2103.0    0.102   0.099
 2104.0    0.102   0.098
 2105.0    0.102   0.098
 2106.0    0.101   0.098
 2107.0    0.101   0.098
 2108.0    0.101   0.097
 2109.0    0.101   0.097
 2110.0    0.100   0.097
 2111.0    0.100   0.096
 2112.0    0.100   0.096
 2113.0    0.100   0.096
 2114.0    0.099   0.096
 2115.0    0.099   0.095
 2116.0    0.099   0.095
 2117.0    0.099   0.095
 2118.0    0.098   0.094
 2119.0    0.098   0.094
 2120.0    0.098   0.094
 2121.0    0.098   0.094
 2122.0    0.097   0.093
 2123.0    0.097   0.093
 2124.0    0.097   0.093
 2125.0    0.097   0.093
 2126.0    0.097   0.092
 2127.0    0.096   0.092
 2128.0    0.096   0.092
 2129.0    0.096   0.091
 2130.0    0.096   0.091
 2131.0    0.095   0.091
 2132.0    0.095   0.091
 2133.0    0.095   0.090
 2134.0    0.095   0.090
 2135.0    0.095   0.090
 2136.0    0.094   0.090
 2137.0    0.094   0.089
 2138.0    0.094   0.089
 2139.0    0.094   0.089
 2140.0    0.094   0.089
 2141.0    0.093   0.088
 2142.0    0.093   0.088
 2143.0    0.093   0.088
 2144.0    0.093   0.087
 2145.0    0.093   0.087
 2146.0    0.093   0.087
 2147.0    0.092   0.087
 2148.0    0.092   0.086
 2149.0    0.092   0.086
 2150.0    0.092   0.086
 2151.0    0.092   0.086
 2152.0    0.092   0.085
 2153.0    0.091   0.085
 2154.0    0.091   0.085
 2155.0    0.091   0.085
 2156.0    0.091   0.084
 2157.0    0.091   0.084
 2158.0    0.091   0.084
 2159.0    0.090   0.084
 2160.0    0.090   0.083
 2161.0    0.090   0.083
 2162.0    0.090   0.083
 2163.0    0.090   0.083
 2164.0    0.090   0.082
 2165.0    0.089   0.082
 2166.0    0.089   0.082
 2167.0    0.089   0.082
 2168.0    0.089   0.081
 2169.0    0.089   0.081
 2170.0    0.089   0.081
 2171.0    0.089   0.081
 2172.0    0.089   0.080
 2173.0    0.088   0.080
 2174.0    0.088   0.080
 2175.0    0.088   0.080
 2176.0    0.088   0.079
 2177.0    0.088   0.079
 2178.0    0.088   0.079
 2179.0    0.088   0.079
 2180.0    0.087   0.078
 2181.0    0.087   0.078
 2182.0    0.087   0.078
 2183.0    0.087   0.078
 2184.0    0.087   0.077
 2185.0    0.087   0.077
 2186.0    0.087   0.077
 2187.0    0.087   0.077
 2188.0    0.087   0.077
 2189.0    0.086   0.076
 2190.0    0.086   0.076
 2191.0    0.086   0.076
 2192.0    0.086   0.076
 2193.0    0.086   0.075
 2194.0    0.086   0.075
 2195.0    0.086   0.075
 2196.0    0.086   0.075
 2197.0    0.086   0.074
 2198.0    0.085   0.074
 2199.0    0.085   0.074
 2200.0    0.085   0.074
