   W         E1+(p)
 (MeV)     Re      Im
 1862.0   0.150   0.112
 1863.0   0.150   0.113
 1864.0   0.149   0.113
 1865.0   0.149   0.114
 1866.0   0.148   0.114
 1867.0   0.148   0.114
 1868.0   0.147   0.115
 1869.0   0.147   0.115
 1870.0   0.146   0.116
 1871.0   0.146   0.116
 1872.0   0.145   0.116
 1873.0   0.145   0.117
 1874.0   0.144   0.117
 1875.0   0.144   0.118
 1876.0   0.143   0.118
 1877.0   0.143   0.118
 1878.0   0.142   0.119
 1879.0   0.142   0.119
 1880.0   0.141   0.119
 1881.0   0.140   0.120
 1882.0   0.140   0.120
 1883.0   0.139   0.120
 1884.0   0.139   0.120
 1885.0   0.138   0.121
 1886.0   0.138   0.121
 1887.0   0.137   0.121
 1888.0   0.137   0.121
 1889.0   0.136   0.122
 1890.0   0.136   0.122
 1891.0   0.135   0.122
 1892.0   0.134   0.122
 1893.0   0.134   0.123
 1894.0   0.133   0.123
 1895.0   0.133   0.123
 1896.0   0.132   0.123
 1897.0   0.132   0.123
 1898.0   0.131   0.124
 1899.0   0.131   0.124
 1900.0   0.130   0.124
 1901.0   0.130   0.124
 1902.0   0.129   0.124
 1903.0   0.128   0.124
 1904.0   0.128   0.124
 1905.0   0.127   0.125
 1906.0   0.127   0.125
 1907.0   0.126   0.125
 1908.0   0.126   0.125
 1909.0   0.125   0.125
 1910.0   0.125   0.125
 1911.0   0.124   0.125
 1912.0   0.124   0.125
 1913.0   0.123   0.125
 1914.0   0.122   0.125
 1915.0   0.122   0.125
 1916.0   0.121   0.125
 1917.0   0.121   0.125
 1918.0   0.120   0.125
 1919.0   0.120   0.125
 1920.0   0.119   0.125
 1921.0   0.119   0.125
 1922.0   0.118   0.125
 1923.0   0.118   0.125
 1924.0   0.117   0.125
 1925.0   0.117   0.125
 1926.0   0.116   0.125
 1927.0   0.116   0.125
 1928.0   0.115   0.125
 1929.0   0.115   0.125
 1930.0   0.114   0.125
 1931.0   0.114   0.125
 1932.0   0.113   0.125
 1933.0   0.113   0.125
 1934.0   0.112   0.125
 1935.0   0.112   0.125
 1936.0   0.111   0.125
 1937.0   0.111   0.124
 1938.0   0.110   0.124
 1939.0   0.110   0.124
 1940.0   0.109   0.124
 1941.0   0.109   0.124
 1942.0   0.108   0.124
 1943.0   0.108   0.124
 1944.0   0.107   0.124
 1945.0   0.107   0.123
 1946.0   0.107   0.123
 1947.0   0.106   0.123
 1948.0   0.106   0.123
 1949.0   0.105   0.123
 1950.0   0.105   0.123
 1951.0   0.104   0.122
 1952.0   0.104   0.122
 1953.0   0.103   0.122
 1954.0   0.103   0.122
 1955.0   0.103   0.122
 1956.0   0.102   0.122
 1957.0   0.102   0.121
 1958.0   0.101   0.121
 1959.0   0.101   0.121
 1960.0   0.101   0.121
 1961.0   0.100   0.120
 1962.0   0.100   0.120
 1963.0   0.099   0.120
 1964.0   0.099   0.120
 1965.0   0.099   0.120
 1966.0   0.098   0.119
 1967.0   0.098   0.119
 1968.0   0.098   0.119
 1969.0   0.097   0.119
 1970.0   0.097   0.118
 1971.0   0.097   0.118
 1972.0   0.096   0.118
 1973.0   0.096   0.118
 1974.0   0.096   0.117
 1975.0   0.095   0.117
 1976.0   0.095   0.117
 1977.0   0.095   0.116
 1978.0   0.094   0.116
 1979.0   0.094   0.116
 1980.0   0.094   0.116
 1981.0   0.093   0.115
 1982.0   0.093   0.115
 1983.0   0.093   0.115
 1984.0   0.092   0.114
 1985.0   0.092   0.114
 1986.0   0.092   0.114
 1987.0   0.092   0.114
 1988.0   0.091   0.113
 1989.0   0.091   0.113
 1990.0   0.091   0.113
 1991.0   0.091   0.112
 1992.0   0.090   0.112
 1993.0   0.090   0.112
 1994.0   0.090   0.111
 1995.0   0.089   0.111
 1996.0   0.089   0.111
 1997.0   0.089   0.110
 1998.0   0.089   0.110
 1999.0   0.089   0.110
 2000.0   0.088   0.109
 2001.0   0.088   0.109
 2002.0   0.088   0.109
 2003.0   0.088   0.108
 2004.0   0.087   0.108
 2005.0   0.087   0.108
 2006.0   0.087   0.107
 2007.0   0.087   0.107
 2008.0   0.087   0.107
 2009.0   0.086   0.106
 2010.0   0.086   0.106
 2011.0   0.086   0.106
 2012.0   0.086   0.105
 2013.0   0.086   0.105
 2014.0   0.086   0.105
 2015.0   0.085   0.104
 2016.0   0.085   0.104
 2017.0   0.085   0.104
 2018.0   0.085   0.103
 2019.0   0.085   0.103
 2020.0   0.085   0.103
 2021.0   0.084   0.102
 2022.0   0.084   0.102
 2023.0   0.084   0.102
 2024.0   0.084   0.101
 2025.0   0.084   0.101
 2026.0   0.084   0.101
 2027.0   0.084   0.100
 2028.0   0.084   0.100
 2029.0   0.083   0.100
 2030.0   0.083   0.099
 2031.0   0.083   0.099
 2032.0   0.083   0.099
 2033.0   0.083   0.098
 2034.0   0.083   0.098
 2035.0   0.083   0.098
 2036.0   0.083   0.097
 2037.0   0.083   0.097
 2038.0   0.083   0.097
 2039.0   0.082   0.096
 2040.0   0.082   0.096
 2041.0   0.082   0.095
 2042.0   0.082   0.095
 2043.0   0.082   0.095
 2044.0   0.082   0.094
 2045.0   0.082   0.094
 2046.0   0.082   0.094
 2047.0   0.082   0.093
 2048.0   0.082   0.093
 2049.0   0.082   0.093
 2050.0   0.082   0.092
 2051.0   0.082   0.092
 2052.0   0.082   0.092
 2053.0   0.082   0.091
 2054.0   0.082   0.091
 2055.0   0.082   0.091
 2056.0   0.082   0.090
 2057.0   0.082   0.090
 2058.0   0.082   0.090
 2059.0   0.081   0.089
 2060.0   0.081   0.089
 2061.0   0.081   0.089
 2062.0   0.081   0.088
 2063.0   0.081   0.088
 2064.0   0.081   0.088
 2065.0   0.081   0.087
 2066.0   0.081   0.087
 2067.0   0.081   0.087
 2068.0   0.081   0.086
 2069.0   0.081   0.086
 2070.0   0.081   0.086
 2071.0   0.081   0.085
 2072.0   0.081   0.085
 2073.0   0.081   0.085
 2074.0   0.081   0.084
 2075.0   0.081   0.084
 2076.0   0.081   0.084
 2077.0   0.081   0.083
 2078.0   0.082   0.083
 2079.0   0.082   0.083
 2080.0   0.082   0.082
 2081.0   0.082   0.082
 2082.0   0.082   0.082
 2083.0   0.082   0.081
 2084.0   0.082   0.081
 2085.0   0.082   0.081
 2086.0   0.082   0.080
 2087.0   0.082   0.080
 2088.0   0.082   0.080
 2089.0   0.082   0.079
 2090.0   0.082   0.079
 2091.0   0.082   0.079
 2092.0   0.082   0.079
 2093.0   0.082   0.078
 2094.0   0.082   0.078
 2095.0   0.082   0.078
 2096.0   0.082   0.077
 2097.0   0.082   0.077
 2098.0   0.082   0.077
 2099.0   0.082   0.076
 2100.0   0.083   0.076
 2101.0   0.083   0.076
 2102.0   0.083   0.075
 2103.0   0.083   0.075
 2104.0   0.083   0.075
 2105.0   0.083   0.075
 2106.0   0.083   0.074
 2107.0   0.083   0.074
 2108.0   0.083   0.074
 2109.0   0.083   0.073
 2110.0   0.083   0.073
 2111.0   0.083   0.073
 2112.0   0.083   0.072
 2113.0   0.084   0.072
 2114.0   0.084   0.072
 2115.0   0.084   0.072
 2116.0   0.084   0.071
 2117.0   0.084   0.071
 2118.0   0.084   0.071
 2119.0   0.084   0.070
 2120.0   0.084   0.070
 2121.0   0.084   0.070
 2122.0   0.084   0.070
 2123.0   0.084   0.069
 2124.0   0.085   0.069
 2125.0   0.085   0.069
 2126.0   0.085   0.068
 2127.0   0.085   0.068
 2128.0   0.085   0.068
 2129.0   0.085   0.068
 2130.0   0.085   0.067
 2131.0   0.085   0.067
 2132.0   0.085   0.067
 2133.0   0.085   0.067
 2134.0   0.086   0.066
 2135.0   0.086   0.066
 2136.0   0.086   0.066
 2137.0   0.086   0.065
 2138.0   0.086   0.065
 2139.0   0.086   0.065
 2140.0   0.086   0.065
 2141.0   0.086   0.064
 2142.0   0.087   0.064
 2143.0   0.087   0.064
 2144.0   0.087   0.064
 2145.0   0.087   0.063
 2146.0   0.087   0.063
 2147.0   0.087   0.063
 2148.0   0.087   0.063
 2149.0   0.087   0.062
 2150.0   0.088   0.062
 2151.0   0.088   0.062
 2152.0   0.088   0.062
 2153.0   0.088   0.061
 2154.0   0.088   0.061
 2155.0   0.088   0.061
 2156.0   0.088   0.061
 2157.0   0.088   0.060
 2158.0   0.089   0.060
 2159.0   0.089   0.060
 2160.0   0.089   0.060
 2161.0   0.089   0.059
 2162.0   0.089   0.059
 2163.0   0.089   0.059
 2164.0   0.089   0.059
 2165.0   0.090   0.058
 2166.0   0.090   0.058
 2167.0   0.090   0.058
 2168.0   0.090   0.058
 2169.0   0.090   0.058
 2170.0   0.090   0.057
 2171.0   0.090   0.057
 2172.0   0.091   0.057
 2173.0   0.091   0.057
 2174.0   0.091   0.056
 2175.0   0.091   0.056
 2176.0   0.091   0.056
 2177.0   0.091   0.056
 2178.0   0.091   0.055
 2179.0   0.092   0.055
 2180.0   0.092   0.055
 2181.0   0.092   0.055
 2182.0   0.092   0.055
 2183.0   0.092   0.054
 2184.0   0.092   0.054
 2185.0   0.093   0.054
 2186.0   0.093   0.054
 2187.0   0.093   0.053
 2188.0   0.093   0.053
 2189.0   0.093   0.053
 2190.0   0.093   0.053
 2191.0   0.093   0.053
 2192.0   0.094   0.052
 2193.0   0.094   0.052
 2194.0   0.094   0.052
 2195.0   0.094   0.052
 2196.0   0.094   0.052
 2197.0   0.094   0.051
 2198.0   0.095   0.051
 2199.0   0.095   0.051
 2200.0   0.095   0.051
