   W          E2-(p)
 1675.0   -0.220   0.397
 1676.0   -0.221   0.396
 1677.0   -0.221   0.395
 1678.0   -0.222   0.394
 1679.0   -0.222   0.393
 1680.0   -0.222   0.392
 1681.0   -0.223   0.391
 1682.0   -0.223   0.389
 1683.0   -0.223   0.388
 1684.0   -0.224   0.387
 1685.0   -0.224   0.386
 1686.0   -0.224   0.384
 1687.0   -0.225   0.383
 1688.0   -0.225   0.381
 1689.0   -0.225   0.380
 1690.0   -0.225   0.379
 1691.0   -0.225   0.377
 1692.0   -0.226   0.376
 1693.0   -0.226   0.374
 1694.0   -0.226   0.373
 1695.0   -0.226   0.371
 1696.0   -0.226   0.370
 1697.0   -0.226   0.368
 1698.0   -0.226   0.366
 1699.0   -0.226   0.365
 1700.0   -0.226   0.363
 1701.0   -0.226   0.361
 1702.0   -0.226   0.360
 1703.0   -0.226   0.358
 1704.0   -0.226   0.356
 1705.0   -0.226   0.355
 1706.0   -0.226   0.353
 1707.0   -0.226   0.351
 1708.0   -0.226   0.349
 1709.0   -0.226   0.347
 1710.0   -0.226   0.346
 1711.0   -0.225   0.344
 1712.0   -0.225   0.342
 1713.0   -0.225   0.340
 1714.0   -0.225   0.338
 1715.0   -0.224   0.336
 1716.0   -0.224   0.334
 1717.0   -0.224   0.332
 1718.0   -0.223   0.330
 1719.0   -0.223   0.328
 1720.0   -0.222   0.326
 1721.0   -0.222   0.324
 1722.0   -0.222   0.322
 1723.0   -0.221   0.320
 1724.0   -0.221   0.318
 1725.0   -0.220   0.316
 1726.0   -0.219   0.314
 1727.0   -0.219   0.312
 1728.0   -0.218   0.310
 1729.0   -0.218   0.308
 1730.0   -0.217   0.306
 1731.0   -0.216   0.304
 1732.0   -0.215   0.302
 1733.0   -0.215   0.299
 1734.0   -0.214   0.297
 1735.0   -0.213   0.295
 1736.0   -0.212   0.293
 1737.0   -0.211   0.291
 1738.0   -0.210   0.288
 1739.0   -0.209   0.286
 1740.0   -0.208   0.284
 1741.0   -0.207   0.282
 1742.0   -0.206   0.279
 1743.0   -0.205   0.277
 1744.0   -0.204   0.275
 1745.0   -0.203   0.272
 1746.0   -0.202   0.270
 1747.0   -0.201   0.268
 1748.0   -0.199   0.265
 1749.0   -0.198   0.263
 1750.0   -0.197   0.260
 1751.0   -0.195   0.258
 1752.0   -0.194   0.256
 1753.0   -0.193   0.253
 1754.0   -0.191   0.251
 1755.0   -0.190   0.248
 1756.0   -0.188   0.246
 1757.0   -0.186   0.243
 1758.0   -0.185   0.241
 1759.0   -0.183   0.239
 1760.0   -0.181   0.236
 1761.0   -0.179   0.234
 1762.0   -0.177   0.231
 1763.0   -0.176   0.229
 1764.0   -0.174   0.226
 1765.0   -0.172   0.224
 1766.0   -0.169   0.221
 1767.0   -0.167   0.219
 1768.0   -0.165   0.216
 1769.0   -0.163   0.214
 1770.0   -0.161   0.211
 1771.0   -0.158   0.209
 1772.0   -0.156   0.206
 1773.0   -0.153   0.204
 1774.0   -0.151   0.201
 1775.0   -0.148   0.199
 1776.0   -0.146   0.197
 1777.0   -0.143   0.194
 1778.0   -0.140   0.192
 1779.0   -0.137   0.190
 1780.0   -0.134   0.187
 1781.0   -0.131   0.185
 1782.0   -0.128   0.183
 1783.0   -0.125   0.181
 1784.0   -0.122   0.178
 1785.0   -0.119   0.176
 1786.0   -0.116   0.174
 1787.0   -0.112   0.172
 1788.0   -0.109   0.170
 1789.0   -0.106   0.168
 1790.0   -0.102   0.166
 1791.0   -0.099   0.164
 1792.0   -0.095   0.162
 1793.0   -0.091   0.160
 1794.0   -0.088   0.158
 1795.0   -0.084   0.157
 1796.0   -0.080   0.155
 1797.0   -0.076   0.153
 1798.0   -0.072   0.152
 1799.0   -0.068   0.150
 1800.0   -0.064   0.149
 1801.0   -0.060   0.148
 1802.0   -0.056   0.146
 1803.0   -0.052   0.145
 1804.0   -0.048   0.144
 1805.0   -0.043   0.143
 1806.0   -0.039   0.142
 1807.0   -0.035   0.141
 1808.0   -0.031   0.140
 1809.0   -0.026   0.139
 1810.0   -0.022   0.139
 1811.0   -0.017   0.138
 1812.0   -0.013   0.137
 1813.0   -0.009   0.137
 1814.0   -0.004   0.137
 1815.0    0.000   0.136
 1816.0    0.005   0.136
 1817.0    0.009   0.136
 1818.0    0.014   0.136
 1819.0    0.018   0.136
 1820.0    0.023   0.136
 1821.0    0.027   0.136
 1822.0    0.032   0.136
 1823.0    0.036   0.137
 1824.0    0.041   0.137
 1825.0    0.045   0.137
 1826.0    0.049   0.138
 1827.0    0.054   0.138
 1828.0    0.058   0.139
 1829.0    0.063   0.140
 1830.0    0.067   0.141
 1831.0    0.071   0.142
 1832.0    0.076   0.143
 1833.0    0.080   0.144
 1834.0    0.084   0.145
 1835.0    0.088   0.146
 1836.0    0.093   0.147
 1837.0    0.097   0.148
 1838.0    0.101   0.149
 1839.0    0.105   0.151
 1840.0    0.109   0.152
 1841.0    0.113   0.154
 1842.0    0.117   0.155
 1843.0    0.121   0.157
 1844.0    0.125   0.158
 1845.0    0.129   0.160
 1846.0    0.133   0.162
 1847.0    0.137   0.164
 1848.0    0.141   0.165
 1849.0    0.145   0.167
 1850.0    0.148   0.169
 1851.0    0.152   0.171
 1852.0    0.156   0.173
 1853.0    0.159   0.175
 1854.0    0.163   0.177
 1855.0    0.166   0.179
 1856.0    0.170   0.181
 1857.0    0.173   0.183
 1858.0    0.177   0.185
 1859.0    0.180   0.188
 1860.0    0.184   0.190
 1861.0    0.187   0.192
 1862.0    0.190   0.194
 1863.0    0.194   0.197
 1864.0    0.197   0.199
 1865.0    0.200   0.201
 1866.0    0.203   0.204
 1867.0    0.206   0.206
 1868.0    0.210   0.209
 1869.0    0.213   0.211
 1870.0    0.216   0.213
 1871.0    0.219   0.216
 1872.0    0.222   0.218
 1873.0    0.225   0.221
 1874.0    0.228   0.223
 1875.0    0.231   0.226
 1876.0    0.233   0.229
 1877.0    0.236   0.231
 1878.0    0.239   0.234
 1879.0    0.242   0.236
 1880.0    0.245   0.239
 1881.0    0.248   0.242
 1882.0    0.250   0.244
 1883.0    0.253   0.247
 1884.0    0.256   0.250
 1885.0    0.258   0.253
 1886.0    0.261   0.255
 1887.0    0.264   0.258
 1888.0    0.266   0.261
 1889.0    0.269   0.264
 1890.0    0.271   0.267
 1891.0    0.274   0.269
 1892.0    0.276   0.272
 1893.0    0.279   0.275
 1894.0    0.281   0.278
 1895.0    0.284   0.281
 1896.0    0.286   0.284
 1897.0    0.288   0.287
 1898.0    0.291   0.290
 1899.0    0.293   0.293
 1900.0    0.295   0.296
 1901.0    0.298   0.299
 1902.0    0.300   0.302
 1903.0    0.302   0.305
 1904.0    0.305   0.308
 1905.0    0.307   0.311
 1906.0    0.309   0.314
 1907.0    0.311   0.318
 1908.0    0.313   0.321
 1909.0    0.316   0.324
 1910.0    0.318   0.327
 1911.0    0.320   0.330
 1912.0    0.322   0.334
 1913.0    0.324   0.337
 1914.0    0.326   0.340
 1915.0    0.328   0.344
 1916.0    0.330   0.347
 1917.0    0.332   0.350
 1918.0    0.334   0.354
 1919.0    0.336   0.357
 1920.0    0.338   0.361
 1921.0    0.340   0.364
 1922.0    0.342   0.368
 1923.0    0.344   0.371
 1924.0    0.346   0.375
 1925.0    0.347   0.378
 1926.0    0.349   0.382
 1927.0    0.351   0.386
 1928.0    0.353   0.389
 1929.0    0.355   0.393
 1930.0    0.356   0.397
 1931.0    0.358   0.400
 1932.0    0.360   0.404
 1933.0    0.361   0.408
 1934.0    0.363   0.412
 1935.0    0.365   0.416
 1936.0    0.366   0.420
 1937.0    0.368   0.424
 1938.0    0.369   0.428
 1939.0    0.371   0.432
 1940.0    0.372   0.436
 1941.0    0.374   0.440
 1942.0    0.375   0.444
 1943.0    0.376   0.448
 1944.0    0.378   0.452
 1945.0    0.379   0.456
 1946.0    0.380   0.460
 1947.0    0.381   0.465
 1948.0    0.383   0.469
 1949.0    0.384   0.473
 1950.0    0.385   0.478
 1951.0    0.386   0.482
 1952.0    0.387   0.487
 1953.0    0.388   0.491
 1954.0    0.389   0.496
 1955.0    0.390   0.500
 1956.0    0.391   0.505
 1957.0    0.392   0.509
 1958.0    0.392   0.514
 1959.0    0.393   0.519
 1960.0    0.394   0.523
 1961.0    0.395   0.528
 1962.0    0.395   0.533
 1963.0    0.396   0.538
 1964.0    0.396   0.542
 1965.0    0.397   0.547
 1966.0    0.397   0.552
 1967.0    0.397   0.557
 1968.0    0.398   0.562
 1969.0    0.398   0.567
 1970.0    0.398   0.572
 1971.0    0.398   0.577
 1972.0    0.398   0.582
 1973.0    0.398   0.587
 1974.0    0.398   0.592
 1975.0    0.398   0.598
 1976.0    0.398   0.603
 1977.0    0.398   0.608
 1978.0    0.397   0.613
 1979.0    0.397   0.619
 1980.0    0.397   0.624
 1981.0    0.396   0.629
 1982.0    0.395   0.635
 1983.0    0.395   0.640
 1984.0    0.394   0.645
 1985.0    0.393   0.651
 1986.0    0.392   0.656
 1987.0    0.391   0.662
 1988.0    0.390   0.667
 1989.0    0.389   0.673
 1990.0    0.388   0.678
 1991.0    0.387   0.684
 1992.0    0.385   0.689
 1993.0    0.384   0.695
 1994.0    0.382   0.700
 1995.0    0.381   0.706
 1996.0    0.379   0.711
 1997.0    0.377   0.717
 1998.0    0.375   0.723
 1999.0    0.373   0.728
 2000.0    0.371   0.734
 2001.0    0.369   0.739
 2002.0    0.367   0.745
 2003.0    0.364   0.751
 2004.0    0.362   0.756
 2005.0    0.359   0.762
 2006.0    0.357   0.767
 2007.0    0.354   0.773
 2008.0    0.351   0.778
 2009.0    0.348   0.784
 2010.0    0.345   0.789
 2011.0    0.342   0.795
 2012.0    0.339   0.800
 2013.0    0.336   0.805
 2014.0    0.332   0.811
 2015.0    0.329   0.816
 2016.0    0.325   0.822
 2017.0    0.321   0.827
 2018.0    0.317   0.832
 2019.0    0.314   0.837
 2020.0    0.310   0.842
 2021.0    0.305   0.847
 2022.0    0.301   0.853
 2023.0    0.297   0.858
 2024.0    0.292   0.862
 2025.0    0.288   0.867
 2026.0    0.283   0.872
 2027.0    0.279   0.877
 2028.0    0.274   0.882
 2029.0    0.269   0.886
 2030.0    0.264   0.891
 2031.0    0.259   0.895
 2032.0    0.254   0.900
 2033.0    0.248   0.904
 2034.0    0.243   0.908
 2035.0    0.238   0.913
 2036.0    0.232   0.917
 2037.0    0.227   0.921
 2038.0    0.221   0.925
 2039.0    0.215   0.929
 2040.0    0.209   0.932
 2041.0    0.203   0.936
 2042.0    0.197   0.940
 2043.0    0.191   0.943
 2044.0    0.185   0.946
 2045.0    0.179   0.950
 2046.0    0.173   0.953
 2047.0    0.166   0.956
 2048.0    0.160   0.959
 2049.0    0.154   0.962
 2050.0    0.147   0.964
 2051.0    0.140   0.967
 2052.0    0.134   0.970
 2053.0    0.127   0.972
 2054.0    0.121   0.974
 2055.0    0.114   0.976
 2056.0    0.107   0.978
 2057.0    0.100   0.980
 2058.0    0.093   0.982
 2059.0    0.087   0.984
 2060.0    0.080   0.985
 2061.0    0.073   0.987
 2062.0    0.066   0.988
 2063.0    0.059   0.989
 2064.0    0.052   0.990
 2065.0    0.045   0.991
 2066.0    0.038   0.992
 2067.0    0.031   0.993
 2068.0    0.024   0.993
 2069.0    0.017   0.994
 2070.0    0.010   0.994
 2071.0    0.003   0.994
 2072.0   -0.004   0.994
 2073.0   -0.011   0.994
 2074.0   -0.018   0.994
 2075.0   -0.025   0.994
 2076.0   -0.032   0.994
 2077.0   -0.039   0.993
 2078.0   -0.046   0.993
 2079.0   -0.052   0.992
 2080.0   -0.059   0.991
 2081.0   -0.066   0.990
 2082.0   -0.073   0.989
 2083.0   -0.079   0.988
 2084.0   -0.086   0.986
 2085.0   -0.093   0.985
 2086.0   -0.099   0.983
 2087.0   -0.106   0.982
 2088.0   -0.112   0.980
 2089.0   -0.118   0.978
 2090.0   -0.125   0.976
 2091.0   -0.131   0.974
 2092.0   -0.137   0.972
 2093.0   -0.144   0.970
 2094.0   -0.150   0.968
 2095.0   -0.156   0.966
 2096.0   -0.162   0.963
 2097.0   -0.168   0.961
 2098.0   -0.173   0.958
 2099.0   -0.179   0.955
 2100.0   -0.185   0.952
 2101.0   -0.191   0.950
 2102.0   -0.196   0.947
 2103.0   -0.202   0.944
 2104.0   -0.207   0.941
 2105.0   -0.213   0.937
 2106.0   -0.218   0.934
 2107.0   -0.223   0.931
 2108.0   -0.228   0.928
 2109.0   -0.233   0.924
 2110.0   -0.238   0.921
 2111.0   -0.243   0.917
 2112.0   -0.248   0.914
 2113.0   -0.253   0.910
 2114.0   -0.257   0.907
 2115.0   -0.262   0.903
 2116.0   -0.266   0.899
 2117.0   -0.271   0.896
 2118.0   -0.275   0.892
 2119.0   -0.279   0.888
 2120.0   -0.284   0.884
 2121.0   -0.288   0.880
 2122.0   -0.292   0.876
 2123.0   -0.296   0.872
 2124.0   -0.299   0.868
 2125.0   -0.303   0.864
 2126.0   -0.307   0.860
 2127.0   -0.311   0.856
 2128.0   -0.314   0.852
 2129.0   -0.318   0.848
 2130.0   -0.321   0.844
 2131.0   -0.324   0.840
 2132.0   -0.328   0.835
 2133.0   -0.331   0.831
 2134.0   -0.334   0.827
 2135.0   -0.337   0.823
 2136.0   -0.340   0.819
 2137.0   -0.343   0.814
 2138.0   -0.346   0.810
 2139.0   -0.348   0.806
 2140.0   -0.351   0.802
 2141.0   -0.354   0.798
 2142.0   -0.356   0.793
 2143.0   -0.359   0.789
 2144.0   -0.361   0.785
 2145.0   -0.363   0.781
 2146.0   -0.366   0.776
 2147.0   -0.368   0.772
 2148.0   -0.370   0.768
 2149.0   -0.372   0.764
 2150.0   -0.374   0.760
 2151.0   -0.376   0.755
 2152.0   -0.378   0.751
 2153.0   -0.380   0.747
 2154.0   -0.382   0.743
 2155.0   -0.383   0.739
 2156.0   -0.385   0.734
 2157.0   -0.387   0.730
 2158.0   -0.388   0.726
 2159.0   -0.390   0.722
 2160.0   -0.391   0.718
 2161.0   -0.392   0.714
 2162.0   -0.394   0.710
 2163.0   -0.395   0.706
 2164.0   -0.396   0.702
 2165.0   -0.398   0.698
 2166.0   -0.399   0.694
 2167.0   -0.400   0.690
 2168.0   -0.401   0.686
 2169.0   -0.402   0.682
 2170.0   -0.403   0.678
 2171.0   -0.404   0.674
 2172.0   -0.405   0.670
 2173.0   -0.406   0.666
 2174.0   -0.406   0.663
 2175.0   -0.407   0.659
 2176.0   -0.408   0.655
 2177.0   -0.408   0.651
 2178.0   -0.409   0.647
 2179.0   -0.410   0.644
 2180.0   -0.410   0.640
 2181.0   -0.411   0.636
 2182.0   -0.411   0.633
 2183.0   -0.412   0.629
 2184.0   -0.412   0.625
 2185.0   -0.413   0.622
 2186.0   -0.413   0.618
 2187.0   -0.413   0.615
 2188.0   -0.414   0.611
 2189.0   -0.414   0.608
 2190.0   -0.414   0.604
 2191.0   -0.414   0.601
 2192.0   -0.414   0.597
 2193.0   -0.415   0.594
 2194.0   -0.415   0.590
 2195.0   -0.415   0.587
 2196.0   -0.415   0.584
 2197.0   -0.415   0.580
 2198.0   -0.415   0.577
 2199.0   -0.415   0.574
 2200.0   -0.415   0.571
