   W          E3-(p)
 (MeV)      Re      Im
 2163.0    0.034  -0.035
 2164.0    0.034  -0.035
 2165.0    0.035  -0.035
 2166.0    0.035  -0.035
 2167.0    0.035  -0.035
 2168.0    0.035  -0.035
 2169.0    0.035  -0.035
 2170.0    0.035  -0.035
 2171.0    0.035  -0.034
 2172.0    0.036  -0.034
 2173.0    0.036  -0.034
 2174.0    0.036  -0.034
 2175.0    0.036  -0.034
 2176.0    0.036  -0.034
 2177.0    0.036  -0.034
 2178.0    0.037  -0.034
 2179.0    0.037  -0.034
 2180.0    0.037  -0.034
 2181.0    0.037  -0.034
 2182.0    0.037  -0.034
 2183.0    0.037  -0.033
 2184.0    0.037  -0.033
 2185.0    0.038  -0.033
 2186.0    0.038  -0.033
 2187.0    0.038  -0.033
 2188.0    0.038  -0.033
 2189.0    0.038  -0.033
 2190.0    0.038  -0.033
 2191.0    0.038  -0.033
 2192.0    0.039  -0.033
 2193.0    0.039  -0.033
 2194.0    0.039  -0.033
 2195.0    0.039  -0.033
 2196.0    0.039  -0.032
 2197.0    0.039  -0.032
 2198.0    0.039  -0.032
 2199.0    0.039  -0.032
 2200.0    0.040  -0.032
