   W         E2-(pi0_p)
 (MeV)      Re      Im
 1381.0   -1.299   0.000
 1382.0   -1.300   0.000
 1383.0   -1.301   0.000
 1384.0   -1.301   0.000
 1385.0   -1.302   0.000
 1386.0   -1.303   0.000
 1387.0   -1.303   0.000
 1388.0   -1.304   0.000
 1389.0   -1.304   0.000
 1390.0   -1.305   0.000
 1391.0   -1.305   0.000
 1392.0   -1.306   0.000
 1393.0   -1.306   0.000
 1394.0   -1.307   0.000
 1395.0   -1.307   0.000
 1396.0   -1.308   0.000
 1397.0   -1.308   0.000
 1398.0   -1.309   0.000
 1399.0   -1.309   0.000
 1400.0   -1.310   0.000
 1401.0   -1.310   0.000
 1402.0   -1.311   0.000
 1403.0   -1.311   0.000
 1404.0   -1.311   0.000
 1405.0   -1.312   0.000
 1406.0   -1.312   0.000
 1407.0   -1.313   0.000
 1408.0   -1.313   0.000
 1409.0   -1.313   0.000
 1410.0   -1.314   0.000
 1411.0   -1.314   0.000
 1412.0   -1.315   0.000
 1413.0   -1.315   0.000
 1414.0   -1.315   0.000
 1415.0   -1.316   0.000
 1416.0   -1.316   0.000
 1417.0   -1.316   0.000
 1418.0   -1.316   0.000
 1419.0   -1.317   0.000
 1420.0   -1.317   0.000
 1421.0   -1.317   0.000
 1422.0   -1.318   0.000
 1423.0   -1.318   0.000
 1424.0   -1.318   0.000
 1425.0   -1.318   0.000
 1426.0   -1.319   0.000
 1427.0   -1.319   0.000
 1428.0   -1.319   0.000
 1429.0   -1.319   0.000
 1430.0   -1.320   0.000
 1431.0   -1.320   0.000
 1432.0   -1.320   0.000
 1433.0   -1.320   0.000
 1434.0   -1.320   0.000
 1435.0   -1.320   0.000
 1436.0   -1.321   0.000
 1437.0   -1.321   0.000
 1438.0   -1.321   0.000
 1439.0   -1.321   0.000
 1440.0   -1.321   0.000
 1441.0   -1.321   0.000
 1442.0   -1.321   0.000
 1443.0   -1.322   0.000
 1444.0   -1.322   0.000
 1445.0   -1.322   0.000
 1446.0   -1.322   0.000
 1447.0   -1.322   0.000
 1448.0   -1.322   0.000
 1449.0   -1.322   0.000
 1450.0   -1.322   0.000
 1451.0   -1.322   0.000
 1452.0   -1.322   0.000
 1453.0   -1.322   0.000
 1454.0   -1.322   0.000
 1455.0   -1.322   0.000
 1456.0   -1.322   0.000
 1457.0   -1.322   0.000
 1458.0   -1.323   0.000
 1459.0   -1.323   0.000
 1460.0   -1.323   0.000
 1461.0   -1.323   0.000
 1462.0   -1.323   0.000
 1463.0   -1.322   0.000
 1464.0   -1.322   0.000
 1465.0   -1.322   0.000
 1466.0   -1.322   0.000
 1467.0   -1.322   0.000
 1468.0   -1.322   0.000
 1469.0   -1.322   0.000
 1470.0   -1.322   0.000
 1471.0   -1.322   0.000
 1472.0   -1.322   0.000
 1473.0   -1.322   0.000
 1474.0   -1.322   0.000
 1475.0   -1.322   0.000
 1476.0   -1.322   0.000
 1477.0   -1.322   0.000
 1478.0   -1.322   0.000
 1479.0   -1.321   0.000
 1480.0   -1.321   0.000
 1481.0   -1.321   0.000
 1482.0   -1.321   0.000
 1483.0   -1.321   0.000
 1484.0   -1.321   0.000
 1485.0   -1.321   0.000
 1486.0   -1.320   0.000
 1487.0   -1.320   0.000
 1488.0   -1.320   0.000
 1489.0   -1.320   0.000
 1490.0   -1.320   0.000
 1491.0   -1.320   0.000
 1492.0   -1.319   0.000
 1493.0   -1.319   0.000
 1494.0   -1.319   0.000
 1495.0   -1.319   0.000
 1496.0   -1.319   0.000
 1497.0   -1.318   0.000
 1498.0   -1.318   0.000
 1499.0   -1.318   0.000
 1500.0   -1.318   0.000
 1501.0   -1.318   0.000
 1502.0   -1.317   0.000
 1503.0   -1.317   0.000
 1504.0   -1.317   0.000
 1505.0   -1.317   0.000
 1506.0   -1.316   0.000
 1507.0   -1.316   0.000
 1508.0   -1.316   0.000
 1509.0   -1.316   0.000
 1510.0   -1.315   0.000
 1511.0   -1.315   0.000
 1512.0   -1.315   0.000
 1513.0   -1.314   0.000
 1514.0   -1.314   0.000
 1515.0   -1.314   0.000
 1516.0   -1.314   0.000
 1517.0   -1.313   0.000
 1518.0   -1.313   0.000
 1519.0   -1.313   0.000
 1520.0   -1.312   0.000
 1521.0   -1.312   0.000
 1522.0   -1.312   0.000
 1523.0   -1.311   0.000
 1524.0   -1.311   0.000
 1525.0   -1.311   0.000
 1526.0   -1.310   0.000
 1527.0   -1.310   0.000
 1528.0   -1.310   0.000
 1529.0   -1.309   0.000
 1530.0   -1.309   0.000
 1531.0   -1.309   0.000
 1532.0   -1.308   0.000
 1533.0   -1.308   0.000
 1534.0   -1.307   0.000
 1535.0   -1.307   0.000
 1536.0   -1.307   0.000
 1537.0   -1.306   0.000
 1538.0   -1.306   0.000
 1539.0   -1.305   0.000
 1540.0   -1.305   0.000
 1541.0   -1.305   0.000
 1542.0   -1.304   0.000
 1543.0   -1.304   0.000
 1544.0   -1.303   0.000
 1545.0   -1.303   0.000
 1546.0   -1.303   0.000
 1547.0   -1.302   0.000
 1548.0   -1.302   0.000
 1549.0   -1.301   0.000
 1550.0   -1.301   0.000
 1551.0   -1.300   0.000
 1552.0   -1.300   0.000
 1553.0   -1.299   0.000
 1554.0   -1.299   0.000
 1555.0   -1.299   0.000
 1556.0   -1.298   0.000
 1557.0   -1.298   0.000
 1558.0   -1.297   0.000
 1559.0   -1.297   0.000
 1560.0   -1.296   0.000
 1561.0   -1.296   0.000
 1562.0   -1.295   0.000
 1563.0   -1.295   0.000
 1564.0   -1.294   0.000
 1565.0   -1.294   0.000
 1566.0   -1.293   0.000
 1567.0   -1.293   0.000
 1568.0   -1.292   0.000
 1569.0   -1.292   0.000
 1570.0   -1.291   0.000
 1571.0   -1.291   0.000
 1572.0   -1.290   0.000
 1573.0   -1.290   0.000
 1574.0   -1.289   0.000
 1575.0   -1.289   0.000
 1576.0   -1.288   0.000
 1577.0   -1.287   0.000
 1578.0   -1.287   0.000
 1579.0   -1.286   0.000
 1580.0   -1.286   0.000
 1581.0   -1.285   0.000
 1582.0   -1.285   0.000
 1583.0   -1.284   0.000
 1584.0   -1.284   0.000
 1585.0   -1.283   0.000
 1586.0   -1.282   0.000
 1587.0   -1.282   0.000
 1588.0   -1.281   0.000
 1589.0   -1.281   0.000
 1590.0   -1.280   0.000
 1591.0   -1.280   0.000
 1592.0   -1.279   0.000
 1593.0   -1.278   0.000
 1594.0   -1.278   0.000
 1595.0   -1.277   0.000
 1596.0   -1.277   0.000
 1597.0   -1.276   0.000
 1598.0   -1.275   0.000
 1599.0   -1.275   0.000
 1600.0   -1.274   0.000
 1601.0   -1.274   0.000
 1602.0   -1.273   0.000
 1603.0   -1.272   0.000
 1604.0   -1.272   0.000
 1605.0   -1.271   0.000
 1606.0   -1.271   0.000
 1607.0   -1.270   0.000
 1608.0   -1.269   0.000
 1609.0   -1.269   0.000
 1610.0   -1.268   0.000
 1611.0   -1.267   0.000
 1612.0   -1.267   0.000
 1613.0   -1.266   0.000
 1614.0   -1.265   0.000
 1615.0   -1.265   0.000
 1616.0   -1.264   0.000
 1617.0   -1.264   0.000
 1618.0   -1.263   0.000
 1619.0   -1.262   0.000
 1620.0   -1.262   0.000
 1621.0   -1.261   0.000
 1622.0   -1.260   0.000
 1623.0   -1.260   0.000
 1624.0   -1.259   0.000
 1625.0   -1.258   0.000
 1626.0   -1.258   0.000
 1627.0   -1.257   0.000
 1628.0   -1.256   0.000
 1629.0   -1.255   0.000
 1630.0   -1.255   0.000
 1631.0   -1.254   0.000
 1632.0   -1.253   0.000
 1633.0   -1.253   0.000
 1634.0   -1.252   0.000
 1635.0   -1.251   0.000
 1636.0   -1.251   0.000
 1637.0   -1.250   0.000
 1638.0   -1.249   0.000
 1639.0   -1.249   0.000
 1640.0   -1.248   0.000
 1641.0   -1.247   0.000
 1642.0   -1.246   0.000
 1643.0   -1.246   0.000
 1644.0   -1.245   0.000
 1645.0   -1.244   0.000
 1646.0   -1.244   0.000
 1647.0   -1.243   0.000
 1648.0   -1.242   0.000
 1649.0   -1.241   0.000
 1650.0   -1.241   0.000
 1651.0   -1.240   0.000
 1652.0   -1.239   0.000
 1653.0   -1.238   0.000
 1654.0   -1.238   0.000
 1655.0   -1.237   0.000
 1656.0   -1.236   0.000
 1657.0   -1.235   0.000
 1658.0   -1.235   0.000
 1659.0   -1.234   0.000
 1660.0   -1.233   0.000
 1661.0   -1.233   0.000
 1662.0   -1.232   0.000
 1663.0   -1.231   0.000
 1664.0   -1.230   0.000
 1665.0   -1.229   0.000
 1666.0   -1.229   0.000
 1667.0   -1.228   0.000
 1668.0   -1.227   0.000
 1669.0   -1.226   0.000
 1670.0   -1.226   0.000
 1671.0   -1.225   0.000
 1672.0   -1.224   0.000
 1673.0   -1.223   0.000
 1674.0   -1.223   0.000
 1675.0   -1.222   0.000
 1676.0   -1.221   0.000
 1677.0   -1.220   0.000
 1678.0   -1.219   0.000
 1679.0   -1.219   0.000
 1680.0   -1.218   0.000
 1681.0   -1.217   0.000
 1682.0   -1.216   0.000
 1683.0   -1.216   0.000
 1684.0   -1.215   0.000
 1685.0   -1.214   0.000
 1686.0   -1.213   0.000
 1687.0   -1.212   0.000
 1688.0   -1.212   0.000
 1689.0   -1.211   0.000
 1690.0   -1.210   0.000
 1691.0   -1.209   0.000
 1692.0   -1.208   0.000
 1693.0   -1.208   0.000
 1694.0   -1.207   0.000
 1695.0   -1.206   0.000
 1696.0   -1.205   0.000
 1697.0   -1.204   0.000
 1698.0   -1.204   0.000
 1699.0   -1.203   0.000
 1700.0   -1.202   0.000
 1701.0   -1.201   0.000
 1702.0   -1.200   0.000
 1703.0   -1.199   0.000
 1704.0   -1.199   0.000
 1705.0   -1.198   0.000
 1706.0   -1.197   0.000
 1707.0   -1.196   0.000
 1708.0   -1.195   0.000
 1709.0   -1.194   0.000
 1710.0   -1.194   0.000
 1711.0   -1.193   0.000
 1712.0   -1.192   0.000
 1713.0   -1.191   0.000
 1714.0   -1.190   0.000
 1715.0   -1.189   0.000
 1716.0   -1.189   0.000
 1717.0   -1.188   0.000
 1718.0   -1.187   0.000
 1719.0   -1.186   0.000
 1720.0   -1.185   0.000
