   W         M2-(pi0_p)
 (MeV)      Re      Im
 1635.0    1.466   0.000
 1636.0    1.470   0.000
 1637.0    1.474   0.000
 1638.0    1.478   0.000
 1639.0    1.481   0.000
 1640.0    1.485   0.000
 1641.0    1.489   0.000
 1642.0    1.493   0.000
 1643.0    1.497   0.000
 1644.0    1.501   0.000
 1645.0    1.504   0.000
 1646.0    1.508   0.000
 1647.0    1.512   0.000
 1648.0    1.516   0.000
 1649.0    1.520   0.000
 1650.0    1.524   0.000
 1651.0    1.528   0.000
 1652.0    1.531   0.000
 1653.0    1.535   0.000
 1654.0    1.539   0.000
 1655.0    1.543   0.000
 1656.0    1.547   0.000
 1657.0    1.551   0.000
 1658.0    1.555   0.000
 1659.0    1.558   0.000
 1660.0    1.562   0.000
 1661.0    1.566   0.000
 1662.0    1.570   0.000
 1663.0    1.574   0.000
 1664.0    1.578   0.000
 1665.0    1.582   0.000
 1666.0    1.585   0.000
 1667.0    1.589   0.000
 1668.0    1.593   0.000
 1669.0    1.597   0.000
 1670.0    1.601   0.000
 1671.0    1.605   0.000
 1672.0    1.608   0.000
 1673.0    1.612   0.000
 1674.0    1.616   0.000
 1675.0    1.620   0.000
 1676.0    1.624   0.000
 1677.0    1.628   0.000
 1678.0    1.632   0.000
 1679.0    1.635   0.000
 1680.0    1.639   0.000
 1681.0    1.643   0.000
 1682.0    1.647   0.000
 1683.0    1.651   0.000
 1684.0    1.655   0.000
 1685.0    1.659   0.000
 1686.0    1.662   0.000
 1687.0    1.666   0.000
 1688.0    1.670   0.000
 1689.0    1.674   0.000
 1690.0    1.678   0.000
 1691.0    1.682   0.000
 1692.0    1.686   0.000
 1693.0    1.689   0.000
 1694.0    1.693   0.000
 1695.0    1.697   0.000
 1696.0    1.701   0.000
 1697.0    1.705   0.000
 1698.0    1.709   0.000
 1699.0    1.713   0.000
 1700.0    1.716   0.000
 1701.0    1.720   0.000
 1702.0    1.724   0.000
 1703.0    1.728   0.000
 1704.0    1.732   0.000
 1705.0    1.736   0.000
 1706.0    1.739   0.000
 1707.0    1.743   0.000
 1708.0    1.747   0.000
 1709.0    1.751   0.000
 1710.0    1.755   0.000
 1711.0    1.759   0.000
 1712.0    1.763   0.000
 1713.0    1.766   0.000
