   W         E1+(pi0_p)
 (MeV)      Re      Im
 1516.0    0.154   0.206
 1517.0    0.155   0.205
 1518.0    0.156   0.204
 1519.0    0.156   0.204
 1520.0    0.157   0.203
 1521.0    0.158   0.202
 1522.0    0.159   0.202
 1523.0    0.160   0.201
 1524.0    0.161   0.200
 1525.0    0.161   0.200
 1526.0    0.162   0.199
 1527.0    0.163   0.199
 1528.0    0.164   0.198
 1529.0    0.165   0.197
 1530.0    0.166   0.197
 1531.0    0.167   0.196
 1532.0    0.168   0.196
 1533.0    0.169   0.195
 1534.0    0.170   0.195
 1535.0    0.171   0.194
 1536.0    0.172   0.194
 1537.0    0.173   0.194
 1538.0    0.174   0.193
 1539.0    0.175   0.193
 1540.0    0.176   0.192
 1541.0    0.177   0.192
 1542.0    0.178   0.192
 1543.0    0.179   0.191
 1544.0    0.180   0.191
 1545.0    0.182   0.191
 1546.0    0.183   0.191
 1547.0    0.184   0.190
 1548.0    0.185   0.190
 1549.0    0.187   0.190
 1550.0    0.188   0.190
 1551.0    0.189   0.190
 1552.0    0.190   0.190
 1553.0    0.192   0.189
 1554.0    0.193   0.189
 1555.0    0.194   0.189
 1556.0    0.196   0.189
 1557.0    0.197   0.189
 1558.0    0.198   0.189
 1559.0    0.200   0.189
 1560.0    0.201   0.189
 1561.0    0.202   0.189
 1562.0    0.204   0.189
 1563.0    0.205   0.190
 1564.0    0.207   0.190
 1565.0    0.208   0.190
 1566.0    0.210   0.190
 1567.0    0.211   0.190
 1568.0    0.212   0.191
 1569.0    0.214   0.191
 1570.0    0.215   0.191
 1571.0    0.217   0.192
 1572.0    0.218   0.192
 1573.0    0.220   0.192
 1574.0    0.222   0.193
 1575.0    0.223   0.193
 1576.0    0.225   0.194
 1577.0    0.226   0.194
 1578.0    0.228   0.195
 1579.0    0.229   0.195
 1580.0    0.231   0.196
 1581.0    0.233   0.197
 1582.0    0.234   0.197
 1583.0    0.236   0.198
 1584.0    0.237   0.199
 1585.0    0.239   0.199
 1586.0    0.241   0.200
 1587.0    0.242   0.201
 1588.0    0.244   0.202
 1589.0    0.246   0.203
 1590.0    0.247   0.204
 1591.0    0.249   0.205
 1592.0    0.251   0.206
 1593.0    0.252   0.207
 1594.0    0.254   0.208
 1595.0    0.256   0.209
 1596.0    0.257   0.210
 1597.0    0.259   0.211
 1598.0    0.260   0.213
 1599.0    0.262   0.214
 1600.0    0.264   0.215
 1601.0    0.265   0.217
 1602.0    0.267   0.218
