   W         M2-(pi0_p)
 (MeV)      Re      Im
 1506.0    0.055   2.357
 1507.0    0.012   2.357
 1508.0   -0.030   2.356
 1509.0   -0.073   2.352
 1510.0   -0.116   2.348
 1511.0   -0.158   2.341
 1512.0   -0.200   2.333
 1513.0   -0.241   2.323
 1514.0   -0.282   2.311
 1515.0   -0.322   2.298
 1516.0   -0.361   2.284
 1517.0   -0.400   2.268
 1518.0   -0.437   2.251
 1519.0   -0.474   2.233
 1520.0   -0.509   2.213
 1521.0   -0.543   2.192
 1522.0   -0.577   2.170
 1523.0   -0.609   2.147
 1524.0   -0.640   2.123
 1525.0   -0.669   2.098
 1526.0   -0.698   2.072
 1527.0   -0.725   2.046
 1528.0   -0.750   2.018
 1529.0   -0.774   1.991
 1530.0   -0.797   1.962
 1531.0   -0.818   1.934
 1532.0   -0.838   1.905
 1533.0   -0.857   1.876
 1534.0   -0.874   1.847
 1535.0   -0.891   1.818
 1536.0   -0.906   1.788
 1537.0   -0.920   1.759
 1538.0   -0.932   1.730
 1539.0   -0.944   1.701
 1540.0   -0.954   1.672
 1541.0   -0.964   1.644
 1542.0   -0.972   1.616
 1543.0   -0.979   1.588
 1544.0   -0.986   1.560
 1545.0   -0.991   1.533
 1546.0   -0.995   1.506
 1547.0   -0.999   1.480
 1548.0   -1.002   1.454
 1549.0   -1.004   1.428
 1550.0   -1.005   1.403
 1551.0   -1.006   1.379
 1552.0   -1.006   1.355
 1553.0   -1.005   1.332
 1554.0   -1.004   1.309
 1555.0   -1.002   1.286
 1556.0   -1.000   1.265
 1557.0   -0.997   1.243
 1558.0   -0.994   1.223
 1559.0   -0.991   1.202
 1560.0   -0.987   1.183
 1561.0   -0.983   1.164
 1562.0   -0.978   1.145
 1563.0   -0.973   1.127
 1564.0   -0.968   1.109
 1565.0   -0.963   1.092
 1566.0   -0.957   1.076
 1567.0   -0.951   1.060
 1568.0   -0.945   1.044
 1569.0   -0.939   1.029
 1570.0   -0.933   1.014
 1571.0   -0.926   1.000
 1572.0   -0.920   0.986
 1573.0   -0.913   0.973
 1574.0   -0.906   0.960
 1575.0   -0.899   0.948
 1576.0   -0.893   0.936
 1577.0   -0.886   0.924
 1578.0   -0.879   0.913
 1579.0   -0.871   0.902
 1580.0   -0.864   0.892
 1581.0   -0.857   0.882
 1582.0   -0.850   0.872
 1583.0   -0.843   0.863
 1584.0   -0.836   0.854
 1585.0   -0.829   0.845
 1586.0   -0.823   0.837
 1587.0   -0.816   0.829
 1588.0   -0.809   0.821
 1589.0   -0.802   0.814
 1590.0   -0.795   0.806
 1591.0   -0.789   0.800
 1592.0   -0.782   0.793
 1593.0   -0.776   0.787
 1594.0   -0.769   0.780
 1595.0   -0.763   0.775
 1596.0   -0.757   0.769
 1597.0   -0.751   0.764
 1598.0   -0.745   0.758
 1599.0   -0.739   0.754
 1600.0   -0.733   0.749
 1601.0   -0.727   0.744
 1602.0   -0.722   0.740
 1603.0   -0.716   0.736
 1604.0   -0.711   0.732
 1605.0   -0.706   0.728
 1606.0   -0.701   0.724
 1607.0   -0.696   0.721
 1608.0   -0.691   0.718
 1609.0   -0.686   0.714
 1610.0   -0.681   0.711
 1611.0   -0.677   0.708
 1612.0   -0.673   0.706
 1613.0   -0.668   0.703
 1614.0   -0.664   0.700
 1615.0   -0.660   0.698
 1616.0   -0.656   0.696
 1617.0   -0.653   0.693
 1618.0   -0.649   0.691
 1619.0   -0.645   0.689
 1620.0   -0.642   0.687
 1621.0   -0.639   0.685
 1622.0   -0.636   0.683
 1623.0   -0.633   0.681
 1624.0   -0.630   0.679
 1625.0   -0.627   0.678
 1626.0   -0.624   0.676
 1627.0   -0.622   0.674
 1628.0   -0.619   0.673
 1629.0   -0.617   0.671
 1630.0   -0.615   0.670
 1631.0   -0.613   0.668
 1632.0   -0.611   0.667
 1633.0   -0.609   0.665
 1634.0   -0.608   0.664
 1635.0   -0.606   0.662
 1636.0   -0.604   0.661
 1637.0   -0.603   0.659
 1638.0   -0.602   0.658
 1639.0   -0.601   0.657
 1640.0   -0.599   0.655
 1641.0   -0.598   0.654
 1642.0   -0.597   0.652
 1643.0   -0.597   0.651
 1644.0   -0.596   0.649
 1645.0   -0.595   0.648
 1646.0   -0.594   0.646
 1647.0   -0.594   0.644
 1648.0   -0.593   0.643
 1649.0   -0.593   0.641
 1650.0   -0.592   0.639
 1651.0   -0.592   0.638
 1652.0   -0.592   0.636
 1653.0   -0.592   0.634
 1654.0   -0.591   0.632
 1655.0   -0.591   0.630
 1656.0   -0.591   0.628
 1657.0   -0.591   0.626
 1658.0   -0.591   0.624
 1659.0   -0.591   0.622
 1660.0   -0.591   0.620
 1661.0   -0.592   0.618
 1662.0   -0.592   0.616
 1663.0   -0.592   0.613
 1664.0   -0.592   0.611
 1665.0   -0.592   0.609
 1666.0   -0.593   0.606
 1667.0   -0.593   0.604
 1668.0   -0.593   0.601
 1669.0   -0.594   0.599
 1670.0   -0.594   0.596
 1671.0   -0.594   0.594
 1672.0   -0.595   0.591
 1673.0   -0.595   0.588
 1674.0   -0.595   0.585
 1675.0   -0.595   0.583
 1676.0   -0.596   0.580
 1677.0   -0.596   0.577
 1678.0   -0.596   0.574
 1679.0   -0.597   0.571
 1680.0   -0.597   0.568
 1681.0   -0.597   0.565
 1682.0   -0.597   0.562
 1683.0   -0.598   0.559
 1684.0   -0.598   0.556
 1685.0   -0.598   0.552
 1686.0   -0.598   0.549
 1687.0   -0.599   0.546
 1688.0   -0.599   0.543
 1689.0   -0.599   0.539
 1690.0   -0.599   0.536
 1691.0   -0.598   0.533
 1692.0   -0.598   0.529
 1693.0   -0.597   0.526
 1694.0   -0.597   0.522
 1695.0   -0.596   0.519
 1696.0   -0.595   0.515
 1697.0   -0.595   0.512
 1698.0   -0.594   0.508
 1699.0   -0.593   0.505
 1700.0   -0.592   0.501
 1701.0   -0.591   0.497
 1702.0   -0.590   0.494
 1703.0   -0.590   0.490
 1704.0   -0.589   0.486
 1705.0   -0.588   0.483
 1706.0   -0.587   0.479
 1707.0   -0.586   0.475
 1708.0   -0.585   0.472
 1709.0   -0.583   0.468
 1710.0   -0.582   0.464
 1711.0   -0.581   0.461
 1712.0   -0.580   0.457
 1713.0   -0.579   0.453
 1714.0   -0.577   0.450
 1715.0   -0.576   0.446
 1716.0   -0.575   0.442
 1717.0   -0.573   0.438
 1718.0   -0.572   0.435
 1719.0   -0.571   0.431
 1720.0   -0.569   0.427
 1721.0   -0.568   0.424
 1722.0   -0.566   0.420
 1723.0   -0.565   0.417
 1724.0   -0.563   0.413
 1725.0   -0.562   0.409
 1726.0   -0.560   0.406
 1727.0   -0.558   0.402
 1728.0   -0.557   0.399
 1729.0   -0.555   0.395
 1730.0   -0.553   0.392
 1731.0   -0.552   0.388
 1732.0   -0.550   0.384
 1733.0   -0.548   0.381
 1734.0   -0.546   0.377
 1735.0   -0.544   0.374
 1736.0   -0.543   0.370
 1737.0   -0.541   0.367
 1738.0   -0.539   0.363
 1739.0   -0.537   0.360
 1740.0   -0.535   0.357
 1741.0   -0.533   0.353
 1742.0   -0.531   0.350
 1743.0   -0.529   0.346
 1744.0   -0.527   0.343
 1745.0   -0.525   0.340
 1746.0   -0.523   0.337
 1747.0   -0.521   0.333
 1748.0   -0.519   0.330
 1749.0   -0.517   0.327
 1750.0   -0.515   0.324
 1751.0   -0.513   0.320
 1752.0   -0.511   0.317
 1753.0   -0.509   0.314
 1754.0   -0.507   0.311
 1755.0   -0.505   0.308
 1756.0   -0.503   0.305
 1757.0   -0.501   0.302
 1758.0   -0.499   0.299
 1759.0   -0.497   0.296
 1760.0   -0.494   0.293
 1761.0   -0.492   0.290
 1762.0   -0.490   0.287
 1763.0   -0.488   0.284
 1764.0   -0.486   0.281
 1765.0   -0.484   0.278
 1766.0   -0.481   0.275
 1767.0   -0.479   0.272
 1768.0   -0.477   0.270
 1769.0   -0.475   0.267
 1770.0   -0.473   0.264
 1771.0   -0.470   0.261
 1772.0   -0.468   0.258
 1773.0   -0.466   0.256
 1774.0   -0.464   0.253
 1775.0   -0.462   0.250
 1776.0   -0.460   0.248
 1777.0   -0.457   0.245
 1778.0   -0.455   0.242
 1779.0   -0.453   0.240
 1780.0   -0.451   0.237
 1781.0   -0.449   0.235
 1782.0   -0.447   0.232
 1783.0   -0.444   0.230
 1784.0   -0.442   0.227
 1785.0   -0.440   0.225
 1786.0   -0.438   0.222
 1787.0   -0.436   0.220
