   W         E2-(pi0_p)
 (MeV)      Re      Im
 1464.0   -0.831   2.653
 1465.0   -0.855   2.698
 1466.0   -0.879   2.743
 1467.0   -0.906   2.788
 1468.0   -0.934   2.834
 1469.0   -0.963   2.880
 1470.0   -0.995   2.927
 1471.0   -1.028   2.973
 1472.0   -1.063   3.020
 1473.0   -1.100   3.066
 1474.0   -1.139   3.112
 1475.0   -1.180   3.159
 1476.0   -1.224   3.205
 1477.0   -1.269   3.250
 1478.0   -1.316   3.296
 1479.0   -1.366   3.340
 1480.0   -1.417   3.384
 1481.0   -1.471   3.428
 1482.0   -1.527   3.470
 1483.0   -1.586   3.512
 1484.0   -1.647   3.553
 1485.0   -1.710   3.592
 1486.0   -1.775   3.630
 1487.0   -1.843   3.666
 1488.0   -1.913   3.701
 1489.0   -1.985   3.734
 1490.0   -2.059   3.765
 1491.0   -2.136   3.795
 1492.0   -2.214   3.821
 1493.0   -2.295   3.846
 1494.0   -2.377   3.868
 1495.0   -2.462   3.888
 1496.0   -2.548   3.904
 1497.0   -2.636   3.918
 1498.0   -2.725   3.929
 1499.0   -2.815   3.936
 1500.0   -2.907   3.941
 1501.0   -3.000   3.941
 1502.0   -3.093   3.939
 1503.0   -3.187   3.933
 1504.0   -3.282   3.923
 1505.0   -3.377   3.910
 1506.0   -3.472   3.893
 1507.0   -3.567   3.872
 1508.0   -3.662   3.848
 1509.0   -3.756   3.820
 1510.0   -3.850   3.789
 1511.0   -3.943   3.753
 1512.0   -4.035   3.714
 1513.0   -4.125   3.671
 1514.0   -4.214   3.625
 1515.0   -4.301   3.576
 1516.0   -4.386   3.523
 1517.0   -4.469   3.468
 1518.0   -4.549   3.410
 1519.0   -4.627   3.349
 1520.0   -4.703   3.285
 1521.0   -4.777   3.219
 1522.0   -4.847   3.151
 1523.0   -4.915   3.080
 1524.0   -4.981   3.007
 1525.0   -5.043   2.932
 1526.0   -5.102   2.855
 1527.0   -5.158   2.777
 1528.0   -5.211   2.697
 1529.0   -5.261   2.616
 1530.0   -5.307   2.534
 1531.0   -5.351   2.451
 1532.0   -5.392   2.368
 1533.0   -5.430   2.285
 1534.0   -5.465   2.201
 1535.0   -5.497   2.117
 1536.0   -5.527   2.032
 1537.0   -5.554   1.948
 1538.0   -5.578   1.864
 1539.0   -5.600   1.780
 1540.0   -5.619   1.696
 1541.0   -5.636   1.613
 1542.0   -5.650   1.531
 1543.0   -5.662   1.449
 1544.0   -5.672   1.367
 1545.0   -5.679   1.286
 1546.0   -5.685   1.206
 1547.0   -5.688   1.127
 1548.0   -5.690   1.049
 1549.0   -5.690   0.971
 1550.0   -5.688   0.894
 1551.0   -5.684   0.819
 1552.0   -5.679   0.744
 1553.0   -5.672   0.670
 1554.0   -5.664   0.597
 1555.0   -5.655   0.525
 1556.0   -5.644   0.454
 1557.0   -5.632   0.384
 1558.0   -5.618   0.315
 1559.0   -5.604   0.247
 1560.0   -5.588   0.180
 1561.0   -5.572   0.114
 1562.0   -5.554   0.049
 1563.0   -5.536  -0.015
 1564.0   -5.516  -0.078
 1565.0   -5.496  -0.140
 1566.0   -5.475  -0.202
 1567.0   -5.453  -0.262
 1568.0   -5.431  -0.322
 1569.0   -5.407  -0.380
 1570.0   -5.383  -0.438
 1571.0   -5.358  -0.495
 1572.0   -5.333  -0.551
 1573.0   -5.307  -0.606
 1574.0   -5.280  -0.660
 1575.0   -5.253  -0.714
 1576.0   -5.225  -0.767
 1577.0   -5.197  -0.819
 1578.0   -5.168  -0.870
 1579.0   -5.139  -0.920
 1580.0   -5.109  -0.970
 1581.0   -5.079  -1.019
 1582.0   -5.048  -1.067
 1583.0   -5.017  -1.115
 1584.0   -4.985  -1.161
 1585.0   -4.953  -1.207
 1586.0   -4.920  -1.253
 1587.0   -4.887  -1.298
 1588.0   -4.854  -1.342
 1589.0   -4.820  -1.385
 1590.0   -4.786  -1.428
 1591.0   -4.752  -1.470
 1592.0   -4.717  -1.512
 1593.0   -4.681  -1.552
 1594.0   -4.646  -1.593
 1595.0   -4.610  -1.632
 1596.0   -4.573  -1.671
 1597.0   -4.537  -1.710
 1598.0   -4.500  -1.748
 1599.0   -4.462  -1.785
 1600.0   -4.424  -1.821
 1601.0   -4.386  -1.857
 1602.0   -4.347  -1.892
 1603.0   -4.308  -1.927
 1604.0   -4.269  -1.961
 1605.0   -4.230  -1.994
 1606.0   -4.190  -2.027
 1607.0   -4.149  -2.059
 1608.0   -4.109  -2.091
 1609.0   -4.068  -2.122
 1610.0   -4.027  -2.152
 1611.0   -3.986  -2.181
 1612.0   -3.944  -2.210
 1613.0   -3.902  -2.239
 1614.0   -3.860  -2.266
 1615.0   -3.817  -2.294
 1616.0   -3.775  -2.320
 1617.0   -3.731  -2.346
 1618.0   -3.688  -2.371
 1619.0   -3.645  -2.395
 1620.0   -3.601  -2.419
 1621.0   -3.557  -2.442
 1622.0   -3.512  -2.464
 1623.0   -3.468  -2.486
 1624.0   -3.423  -2.507
 1625.0   -3.378  -2.527
 1626.0   -3.333  -2.547
 1627.0   -3.288  -2.566
 1628.0   -3.242  -2.584
 1629.0   -3.197  -2.601
 1630.0   -3.151  -2.618
 1631.0   -3.105  -2.634
 1632.0   -3.060  -2.649
 1633.0   -3.014  -2.664
 1634.0   -2.968  -2.678
 1635.0   -2.922  -2.691
 1636.0   -2.876  -2.703
 1637.0   -2.829  -2.715
 1638.0   -2.783  -2.726
 1639.0   -2.737  -2.736
 1640.0   -2.691  -2.745
 1641.0   -2.645  -2.754
 1642.0   -2.599  -2.761
 1643.0   -2.553  -2.769
 1644.0   -2.507  -2.775
 1645.0   -2.461  -2.781
 1646.0   -2.415  -2.786
 1647.0   -2.369  -2.790
 1648.0   -2.324  -2.793
 1649.0   -2.278  -2.796
 1650.0   -2.233  -2.798
 1651.0   -2.188  -2.800
 1652.0   -2.143  -2.800
 1653.0   -2.098  -2.800
 1654.0   -2.053  -2.800
 1655.0   -2.009  -2.798
