  727.2000  12
    0.9160    0.0445    0.0221
  838.5000  12
   -0.9160    0.0749    0.0196
   -0.7500    0.1860    0.0190
   -0.5830    0.2300    0.0194
   -0.4160    0.2298    0.0232
   -0.2500    0.1262    0.0249
   -0.0830    0.1094    0.0240
    0.0830    0.1035    0.0215
    0.2500    0.1019    0.0210
    0.4160    0.0813    0.0224
    0.5830    0.0134    0.0352
    0.7500    0.0773    0.0214
    0.9160    0.0493    0.0221
  842.5000  12
   -0.9160    0.0746    0.0194
   -0.7500    0.1786    0.0180
   -0.5830    0.2324    0.0196
   -0.4160    0.2267    0.0229
   -0.2500    0.1364    0.0250
   -0.0830    0.1133    0.0225
    0.0830    0.1116    0.0216
    0.2500    0.1199    0.0219
    0.4160    0.0843    0.0223
    0.5830    0.0246    0.0359
    0.7500    0.0808    0.0203
    0.9160    0.0546    0.0227
  846.6000  12
   -0.9160    0.0773    0.0199
   -0.7500    0.1874    0.0182
   -0.5830    0.2310    0.0191
   -0.4160    0.2304    0.0230
   -0.2500    0.1388    0.0236
   -0.0830    0.1296    0.0230
    0.0830    0.1190    0.0212
    0.2500    0.1299    0.0209
    0.4160    0.0858    0.0217
    0.5830    0.0354    0.0341
    0.7500    0.0845    0.0192
    0.9160    0.0561    0.0219
  850.6000  12
   -0.9160    0.0754    0.0191
   -0.7500    0.1771    0.0169
   -0.5830    0.2254    0.0186
   -0.4160    0.2218    0.0221
   -0.2500    0.1508    0.0239
   -0.0830    0.1360    0.0218
    0.0830    0.1222    0.0201
    0.2500    0.1428    0.0206
    0.4160    0.0784    0.0190
    0.5830    0.0468    0.0331
    0.7500    0.0962    0.0199
    0.9160    0.0537    0.0199
  854.6000  12
   -0.9160    0.0726    0.0180
   -0.7500    0.1841    0.0172
   -0.5830    0.2359    0.0193
   -0.4160    0.2250    0.0223
   -0.2500    0.1554    0.0230
   -0.0830    0.1558    0.0227
    0.0830    0.1294    0.0196
    0.2500    0.1521    0.0198
    0.4160    0.0874    0.0204
    0.5830    0.0597    0.0331
    0.7500    0.1015    0.0194
    0.9160    0.0564    0.0198
  858.7000  12
   -0.9160    0.0756    0.0182
   -0.7500    0.1895    0.0171
   -0.5830    0.2212    0.0179
   -0.4160    0.2103    0.0206
   -0.2500    0.1665    0.0230
   -0.0830    0.1550    0.0206
    0.0830    0.1353    0.0189
    0.2500    0.1602    0.0191
    0.4160    0.0854    0.0192
    0.5830    0.0684    0.0310
    0.7500    0.1030    0.0182
    0.9160    0.0594    0.0198
  862.7000  12
   -0.9160    0.0753    0.0175
   -0.7500    0.1856    0.0165
   -0.5830    0.2335    0.0190
   -0.4160    0.2139    0.0209
   -0.2500    0.1816    0.0237
   -0.0830    0.1664    0.0205
    0.0830    0.1526    0.0200
    0.2500    0.1662    0.0185
    0.4160    0.0826    0.0181
    0.5830    0.0831    0.0320
    0.7500    0.1127    0.0187
    0.9160    0.0587    0.0186
  866.7000  12
   -0.9160    0.0767    0.0172
   -0.7500    0.1965    0.0169
   -0.5830    0.2153    0.0174
   -0.4160    0.2162    0.0208
   -0.2500    0.1796    0.0223
   -0.0830    0.1812    0.0209
    0.0830    0.1525    0.0188
    0.2500    0.1740    0.0182
    0.4160    0.0831    0.0176
    0.5830    0.0951    0.0321
    0.7500    0.1096    0.0172
    0.9160    0.0623    0.0187
  870.7000  12
   -0.9160    0.0784    0.0169
   -0.7500    0.1912    0.0165
   -0.5830    0.2287    0.0184
   -0.4160    0.2097    0.0202
   -0.2500    0.1909    0.0229
   -0.0830    0.1913    0.0211
    0.0830    0.1601    0.0189
    0.2500    0.1877    0.0190
    0.4160    0.0841    0.0175
    0.5830    0.0991    0.0300
    0.7500    0.1169    0.0177
    0.9160    0.0628    0.0177
  874.7000  12
   -0.9160    0.0794    0.0165
   -0.7500    0.1910    0.0160
   -0.5830    0.2156    0.0172
   -0.4160    0.2018    0.0193
   -0.2500    0.1789    0.0208
   -0.0830    0.1784    0.0190
    0.0830    0.1614    0.0182
    0.2500    0.1859    0.0182
    0.4160    0.0837    0.0171
    0.5830    0.1015    0.0282
    0.7500    0.1085    0.0159
    0.9160    0.0642    0.0169
  878.7000  12
   -0.9160    0.0830    0.0195
   -0.7500    0.1869    0.0181
   -0.5830    0.2057    0.0200
   -0.4160    0.2029    0.0234
   -0.2500    0.1764    0.0211
   -0.0830    0.1791    0.0197
    0.0830    0.1615    0.0197
    0.2500    0.1703    0.0185
    0.4160    0.0848    0.0193
    0.5830    0.1088    0.0234
    0.7500    0.1069    0.0421
    0.9160    0.0651    0.0196
  882.7000  12
   -0.9160    0.0783    0.0177
   -0.7500    0.1834    0.0177
   -0.5830    0.2047    0.0200
   -0.4160    0.2017    0.0233
   -0.2500    0.1798    0.0213
   -0.0830    0.1823    0.0200
    0.0830    0.1559    0.0187
    0.2500    0.1669    0.0184
    0.4160    0.0805    0.0183
    0.5830    0.1090    0.0223
    0.7500    0.1085    0.0423
    0.9160    0.0691    0.0192
  886.7000  12
   -0.9160    0.0864    0.0186
   -0.7500    0.1833    0.0175
   -0.5830    0.1994    0.0193
   -0.4160    0.1872    0.0215
   -0.2500    0.1812    0.0213
   -0.0830    0.1783    0.0195
    0.0830    0.1492    0.0177
    0.2500    0.1560    0.0178
    0.4160    0.0775    0.0176
    0.5830    0.1146    0.0226
    0.7500    0.1033    0.0404
    0.9160    0.0741    0.0189
  890.6000  12
   -0.9160    0.0826    0.0171
   -0.7500    0.1801    0.0170
   -0.5830    0.1973    0.0189
   -0.4160    0.1802    0.0206
   -0.2500    0.1747    0.0205
   -0.0830    0.1630    0.0181
    0.0830    0.1534    0.0179
    0.2500    0.1447    0.0170
    0.4160    0.0730    0.0166
    0.5830    0.1145    0.0219
    0.7500    0.0989    0.0390
    0.9160    0.0789    0.0186
  894.6000  12
   -0.9160    0.0871    0.0173
   -0.7500    0.1820    0.0170
   -0.5830    0.1937    0.0183
   -0.4160    0.1845    0.0210
   -0.2500    0.1640    0.0194
   -0.0830    0.1609    0.0182
    0.0830    0.1540    0.0180
    0.2500    0.1376    0.0170
    0.4160    0.0762    0.0173
    0.5830    0.1045    0.0196
    0.7500    0.0983    0.0393
    0.9160    0.0816    0.0178
  898.5000  12
   -0.9160    0.0883    0.0170
   -0.7500    0.1780    0.0169
   -0.5830    0.1982    0.0189
   -0.4160    0.1895    0.0215
   -0.2500    0.1557    0.0187
   -0.0830    0.1581    0.0184
    0.0830    0.1433    0.0170
    0.2500    0.1327    0.0174
    0.4160    0.0764    0.0174
    0.5830    0.1058    0.0198
    0.7500    0.0894    0.0366
    0.9160    0.0951    0.0193
  902.5000  12
   -0.9160    0.0881    0.0163
   -0.7500    0.1788    0.0166
   -0.5830    0.1931    0.0180
   -0.4160    0.1803    0.0203
   -0.2500    0.1486    0.0180
   -0.0830    0.1487    0.0177
    0.0830    0.1413    0.0168
    0.2500    0.1108    0.0157
    0.4160    0.0709    0.0161
    0.5830    0.0957    0.0178
    0.7500    0.0906    0.0379
    0.9160    0.0902    0.0170
  906.5000  12
   -0.9160    0.0894    0.0161
   -0.7500    0.1649    0.0155
   -0.5830    0.1854    0.0172
   -0.4160    0.1680    0.0189
   -0.2500    0.1416    0.0174
   -0.0830    0.1372    0.0169
    0.0830    0.1340    0.0161
    0.2500    0.1011    0.0155
    0.4160    0.0639    0.0144
    0.5830    0.0938    0.0174
    0.7500    0.0738    0.0318
    0.9160    0.0886    0.0157
  910.4000  12
   -0.9160    0.0926    0.0162
   -0.7500    0.1629    0.0152
   -0.5830    0.1875    0.0172
   -0.4160    0.1740    0.0195
   -0.2500    0.1431    0.0179
   -0.0830    0.1278    0.0162
    0.0830    0.1330    0.0161
    0.2500    0.0893    0.0150
    0.4160    0.0690    0.0154
    0.5830    0.0945    0.0176
    0.7500    0.0732    0.0324
    0.9160    0.0818    0.0138
  914.3000  12
   -0.9160    0.0869    0.0149
   -0.7500    0.1538    0.0142
   -0.5830    0.1750    0.0159
   -0.4160    0.1631    0.0180
   -0.2500    0.1289    0.0163
   -0.0830    0.1172    0.0152
    0.0830    0.1191    0.0146
    0.2500    0.0808    0.0149
    0.4160    0.0625    0.0137
    0.5830    0.0905    0.0169
    0.7500    0.0701    0.0317
    0.9160    0.0923    0.0146
  918.3000  12
   -0.9160    0.0839    0.0142
   -0.7500    0.1433    0.0132
   -0.5830    0.1739    0.0156
   -0.4160    0.1582    0.0174
   -0.2500    0.1281    0.0165
   -0.0830    0.1121    0.0148
    0.0830    0.1118    0.0139
    0.2500    0.0673    0.0138
    0.4160    0.0617    0.0132
    0.5830    0.0800    0.0152
    0.7500    0.0639    0.0296
    0.9160    0.0834    0.0127
  922.2000  12
   -0.9160    0.0844    0.0141
   -0.7500    0.1455    0.0134
   -0.5830    0.1731    0.0152
   -0.4160    0.1544    0.0167
   -0.2500    0.1223    0.0158
   -0.0830    0.1123    0.0150
    0.0830    0.1069    0.0135
    0.2500    0.0540    0.0122
    0.4160    0.0616    0.0127
    0.5830    0.0752    0.0144
    0.7500    0.0563    0.0266
    0.9160    0.0882    0.0126
  926.1000  12
   -0.9160    0.0778    0.0156
   -0.7500    0.1393    0.0159
   -0.5830    0.1621    0.0182
   -0.4160    0.1445    0.0197
   -0.2500    0.1113    0.0166
   -0.0830    0.0980    0.0167
    0.0830    0.1046    0.0172
    0.2500    0.0492    0.0164
    0.4160    0.0596    0.0155
    0.5830    0.0750    0.0173
    0.7500    0.0558    0.0272
    0.9160    0.0843    0.0254
  930.0000  12
   -0.9160    0.0749    0.0151
   -0.7500    0.1398    0.0161
   -0.5830    0.1632    0.0180
   -0.4160    0.1530    0.0206
   -0.2500    0.1056    0.0159
   -0.0830    0.0950    0.0160
    0.0830    0.0914    0.0151
    0.2500    0.0440    0.0159
    0.4160    0.0622    0.0154
    0.5830    0.0711    0.0166
    0.7500    0.0515    0.0253
    0.9160    0.0761    0.0222
  933.9000  12
   -0.9160    0.0731    0.0148
   -0.7500    0.1293    0.0148
   -0.5830    0.1608    0.0174
   -0.4160    0.1498    0.0198
   -0.2500    0.1111    0.0168
   -0.0830    0.0977    0.0161
    0.0830    0.0966    0.0160
    0.2500    0.0408    0.0156
    0.4160    0.0622    0.0145
    0.5830    0.0661    0.0156
    0.7500    0.0460    0.0226
    0.9160    0.0775    0.0218
  937.8000  12
   -0.9160    0.0696    0.0143
   -0.7500    0.1324    0.0150
   -0.5830    0.1604    0.0172
   -0.4160    0.1487    0.0195
   -0.2500    0.1031    0.0156
   -0.0830    0.1056    0.0169
    0.0830    0.0877    0.0146
    0.2500    0.0375    0.0148
