   W            E0+(pi0_p)
 (MeV)        Re          Im
1122.136    -0.994405    1.993878
1122.294    -0.996350    1.996560
1122.452    -0.998291    1.999233
1122.610    -1.000230    2.001897
1122.767    -1.002165    2.004551
1122.925    -1.004098    2.007197
1123.083    -1.006028    2.009834
1123.240    -1.007954    2.012462
1123.398    -1.009878    2.015081
1123.556    -1.011798    2.017692
1123.713    -1.013716    2.020294
1123.871    -1.015631    2.022887
1124.028    -1.017543    2.025471
1124.186    -1.019451    2.028047
1124.344    -1.021357    2.030615
1124.501    -1.023260    2.033174
1124.659    -1.025160    2.035725
1124.816    -1.027057    2.038267
1124.973    -1.028951    2.040801
1125.131    -1.030842    2.043327
1125.288    -1.032731    2.045845
1125.446    -1.034616    2.048354
1125.603    -1.036499    2.050855
1125.760    -1.038378    2.053349
1125.918    -1.040255    2.055834
1126.075    -1.042129    2.058311
1126.232    -1.044000    2.060780
1126.389    -1.045868    2.063242
1126.547    -1.047733    2.065695
1126.704    -1.049595    2.068141
1126.861    -1.051455    2.070579
1127.018    -1.053312    2.073010
1127.175    -1.055165    2.075432
1127.332    -1.057016    2.077847
1127.490    -1.058864    2.080255
1127.647    -1.060710    2.082655
1127.804    -1.062552    2.085047
1127.961    -1.064392    2.087432
1128.118    -1.066229    2.089809
1128.275    -1.068063    2.092180
1128.432    -1.069894    2.094542
1128.589    -1.071722    2.096898
1128.746    -1.073548    2.099246
1128.902    -1.075371    2.101587
1129.059    -1.077191    2.103921
1129.216    -1.079008    2.106247
1129.373    -1.080823    2.108567
1129.530    -1.082635    2.110879
1129.687    -1.084444    2.113185
1129.843    -1.086250    2.115483
1130.000    -1.088053    2.117775
1130.157    -1.089854    2.120059
1130.313    -1.091652    2.122337
1130.470    -1.093448    2.124608
1130.627    -1.095240    2.126871
1130.783    -1.097030    2.129129
1130.940    -1.098817    2.131379
1131.097    -1.100601    2.133623
1131.253    -1.102383    2.135860
1131.410    -1.104162    2.138090
1131.566    -1.105938    2.140314
1131.723    -1.107712    2.142531
1131.879    -1.109483    2.144742
1132.036    -1.111251    2.146946
1132.192    -1.113017    2.149144
1132.349    -1.114780    2.151335
1132.505    -1.116540    2.153520
1132.661    -1.118297    2.155698
1132.818    -1.120052    2.157870
1132.974    -1.121804    2.160036
1133.130    -1.123554    2.162196
1133.287    -1.125301    2.164349
1133.443    -1.127045    2.166496
1133.599    -1.128787    2.168637
1133.755    -1.130526    2.170771
1133.912    -1.132262    2.172900
1134.068    -1.133996    2.175022
1134.224    -1.135727    2.177139
1134.380    -1.137456    2.179249
1134.536    -1.139182    2.181353
1134.692    -1.140905    2.183452
1134.848    -1.142626    2.185544
1135.004    -1.144344    2.187630
1135.160    -1.146060    2.189711
1135.316    -1.147773    2.191786
1135.472    -1.149483    2.193855
1135.628    -1.151191    2.195918
1135.784    -1.152896    2.197975
1135.940    -1.154599    2.200027
1136.096    -1.156299    2.202072
1136.252    -1.157997    2.204112
1136.408    -1.159692    2.206147
1136.564    -1.161384    2.208176
1136.720    -1.163074    2.210199
1136.875    -1.164762    2.212216
1137.031    -1.166447    2.214229
1137.187    -1.168129    2.216235
