  727.2000  10
    0.2011    0.2506    0.0172
   -0.0001    0.2677    0.0163
   -0.1970    0.2690    0.0190
   -0.4022    0.2467    0.0183
   -0.6070    0.2208    0.0115
   -0.8019    0.1289    0.0112
   -0.9428    0.0396    0.0073
  898.5000  10
    0.7772    0.1338    0.0164
    0.5934    0.1722    0.0120
    0.4022    0.1850    0.0153
    0.2011    0.2500    0.0173
   -0.0001    0.2738    0.0169
   -0.1970    0.2578    0.0184
   -0.4022    0.2489    0.0189
   -0.6070    0.2305    0.0125
   -0.8019    0.1256    0.0109
   -0.9428    0.0410    0.0073
  902.5000  10
    0.7772    0.1392    0.0166
    0.5934    0.1573    0.0106
    0.4022    0.1725    0.0140
    0.2011    0.2354    0.0161
   -0.0001    0.2742    0.0164
   -0.1970    0.2535    0.0177
   -0.4022    0.2370    0.0179
   -0.6070    0.2235    0.0116
   -0.8019    0.1274    0.0108
   -0.9428    0.0417    0.0071
  906.5000  10
    0.7772    0.1209    0.0145
    0.5934    0.1561    0.0105
    0.4022    0.1580    0.0130
    0.2011    0.2275    0.0156
   -0.0001    0.2781    0.0164
   -0.1970    0.2414    0.0169
   -0.4022    0.2190    0.0168
   -0.6070    0.2139    0.0112
   -0.8019    0.1242    0.0104
   -0.9428    0.0427    0.0070
  910.4000  10
    0.7772    0.1186    0.0136
    0.5934    0.1622    0.0108
    0.4022    0.1729    0.0139
    0.2011    0.2321    0.0160
   -0.0001    0.2724    0.0158
   -0.1970    0.2449    0.0171
   -0.4022    0.2221    0.0172
   -0.6070    0.2186    0.0113
   -0.8019    0.1250    0.0100
   -0.9428    0.0454    0.0071
  914.3000  10
    0.7772    0.1241    0.0138
    0.5934    0.1557    0.0103
    0.4022    0.1554    0.0123
    0.2011    0.2254    0.0150
   -0.0001    0.2654    0.0152
   -0.1970    0.2246    0.0154
   -0.4022    0.2055    0.0158
   -0.6070    0.2058    0.0106
   -0.8019    0.1208    0.0094
   -0.9428    0.0431    0.0065
  918.3000  10
    0.7772    0.1179    0.0129
    0.5934    0.1426    0.0095
    0.4022    0.1522    0.0120
    0.2011    0.2273    0.0152
   -0.0001    0.2473    0.0141
   -0.1970    0.2336    0.0159
   -0.4022    0.1952    0.0151
   -0.6070    0.2070    0.0104
   -0.8019    0.1173    0.0090
   -0.9428    0.0417    0.0061
  922.2000  10
    0.7772    0.1100    0.0119
    0.5934    0.1385    0.0092
    0.4022    0.1489    0.0113
    0.2011    0.2035    0.0134
   -0.0001    0.2535    0.0145
   -0.1970    0.2362    0.0154
   -0.4022    0.1910    0.0145
   -0.6070    0.2009    0.0100
   -0.8019    0.1197    0.0089
   -0.9428    0.0444    0.0062
  926.1000  10
    0.7772    0.1127    0.0119
    0.5934    0.1425    0.0093
    0.4022    0.1456    0.0113
    0.2011    0.2030    0.0133
   -0.0001    0.2348    0.0133
   -0.1970    0.2194    0.0144
   -0.4022    0.1801    0.0140
   -0.6070    0.1875    0.0096
   -0.8019    0.1207    0.0088
   -0.9428    0.0405    0.0055
  930.0000  10
    0.7772    0.1058    0.0117
    0.5934    0.1390    0.0112
    0.4022    0.1465    0.0159
    0.2011    0.1963    0.0138
   -0.0001    0.2210    0.0143
   -0.1970    0.2087    0.0158
   -0.4022    0.1879    0.0138
   -0.6070    0.1919    0.0122
   -0.8019    0.1198    0.0096
   -0.9428    0.0408    0.0075
  933.9000  10
    0.7772    0.0978    0.0105
    0.5934    0.1343    0.0107
    0.4022    0.1431    0.0151
    0.2011    0.1962    0.0139
   -0.0001    0.2314    0.0144
   -0.1970    0.2284    0.0169
   -0.4022    0.1843    0.0132
   -0.6070    0.1829    0.0116
   -0.8019    0.1166    0.0091
   -0.9428    0.0415    0.0074
  937.8000  10
    0.7772    0.1078    0.0113
    0.5934    0.1336    0.0108
    0.4022    0.1455    0.0151
    0.2011    0.1937    0.0135
   -0.0001    0.2286    0.0145
   -0.1970    0.2183    0.0160
   -0.4022    0.1824    0.0131
   -0.6070    0.1826    0.0117
   -0.8019    0.1187    0.0091
   -0.9428    0.0412    0.0071
  941.6000  10
    0.7772    0.1058    0.0111
    0.5934    0.1267    0.0102
    0.4022    0.1433    0.0145
    0.2011    0.1909    0.0133
   -0.0001    0.2180    0.0138
   -0.1970    0.2088    0.0153
   -0.4022    0.1725    0.0123
   -0.6070    0.1834    0.0115
   -0.8019    0.1164    0.0090
   -0.9428    0.0425    0.0072
  945.5000  10
    0.7772    0.0996    0.0100
    0.5934    0.1319    0.0104
    0.4022    0.1307    0.0131
    0.2011    0.1798    0.0122
   -0.0001    0.2149    0.0139
   -0.1970    0.2144    0.0151
   -0.4022    0.1766    0.0122
   -0.6070    0.1709    0.0109
   -0.8019    0.1166    0.0086
   -0.9428    0.0405    0.0067
  949.4000  10
    0.7772    0.1089    0.0107
    0.5934    0.1190    0.0095
    0.4022    0.1327    0.0132
    0.2011    0.1847    0.0126
   -0.0001    0.2070    0.0130
   -0.1970    0.2022    0.0144
   -0.4022    0.1684    0.0118
   -0.6070    0.1720    0.0107
   -0.8019    0.1085    0.0081
   -0.9428    0.0418    0.0068
  953.2000  10
    0.7772    0.0876    0.0090
    0.5934    0.1078    0.0088
    0.4022    0.1444    0.0138
    0.2011    0.1657    0.0118
   -0.0001    0.1963    0.0129
   -0.1970    0.2053    0.0145
   -0.4022    0.1648    0.0115
   -0.6070    0.1646    0.0102
   -0.8019    0.1164    0.0084
   -0.9428    0.0381    0.0061
  957.1000  10
    0.7772    0.0985    0.0098
    0.5934    0.1209    0.0096
    0.4022    0.1241    0.0120
    0.2011    0.1744    0.0121
   -0.0001    0.1947    0.0128
   -0.1970    0.2028    0.0143
   -0.4022    0.1644    0.0112
   -0.6070    0.1577    0.0101
   -0.8019    0.1144    0.0083
   -0.9428    0.0404    0.0063
  960.9000  10
    0.7772    0.0914    0.0091
    0.5934    0.1136    0.0087
    0.4022    0.1364    0.0127
    0.2011    0.1634    0.0114
   -0.0001    0.1775    0.0116
   -0.1970    0.2033    0.0140
   -0.4022    0.1695    0.0113
   -0.6070    0.1526    0.0095
   -0.8019    0.1191    0.0084
   -0.9428    0.0380    0.0059
  964.8000  10
    0.7772    0.0827    0.0086
    0.5934    0.1095    0.0092
    0.4022    0.1326    0.0120
    0.2011    0.1606    0.0116
   -0.0001    0.1810    0.0120
   -0.1970    0.1861    0.0133
   -0.4022    0.1532    0.0103
   -0.6070    0.1424    0.0095
   -0.8019    0.1043    0.0075
   -0.9428    0.0379    0.0057
  968.6000  10
    0.7772    0.0835    0.0084
    0.5934    0.1101    0.0090
    0.4022    0.1319    0.0124
    0.2011    0.1563    0.0115
   -0.0001    0.1750    0.0115
   -0.1970    0.1662    0.0124
   -0.4022    0.1520    0.0106
   -0.6070    0.1420    0.0093
   -0.8019    0.1088    0.0076
   -0.9428    0.0357    0.0053
  972.4000  10
    0.7772    0.0861    0.0088
    0.5934    0.1067    0.0086
    0.4022    0.1271    0.0112
    0.2011    0.1516    0.0103
   -0.0001    0.1624    0.0108
   -0.1970    0.1792    0.0122
   -0.4022    0.1449    0.0096
   -0.6070    0.1335    0.0087
   -0.8019    0.0920    0.0069
   -0.9428    0.0347    0.0051
  976.2000  10
    0.7772    0.0903    0.0091
    0.5934    0.1123    0.0092
    0.4022    0.1368    0.0122
    0.2011    0.1671    0.0118
   -0.0001    0.1717    0.0114
   -0.1970    0.1768    0.0128
   -0.4022    0.1608    0.0107
   -0.6070    0.1333    0.0089
   -0.8019    0.0975    0.0071
   -0.9428    0.0340    0.0050
  980.0000  10
    0.7772    0.0940    0.0089
    0.5934    0.1037    0.0090
    0.4022    0.1320    0.0116
    0.2011    0.1569    0.0112
   -0.0001    0.1574    0.0106
   -0.1970    0.1698    0.0123
   -0.4022    0.1341    0.0093
   -0.6070    0.1267    0.0087
   -0.8019    0.0991    0.0071
   -0.9428    0.0347    0.0050
  983.6000  10
    0.7772    0.0863    0.0095
    0.5934    0.1091    0.0089
    0.4022    0.1211    0.0111
    0.2011    0.1359    0.0102
   -0.0001    0.1465    0.0102
   -0.1970    0.1574    0.0114
   -0.4022    0.1398    0.0095
   -0.6070    0.1218    0.0083
   -0.8019    0.0924    0.0070
   -0.9428    0.0311    0.0045
  987.7000  10
    0.7772    0.0803    0.0103
    0.5934    0.1107    0.0099
    0.4022    0.1348    0.0128
    0.2011    0.1441    0.0121
   -0.0001    0.1488    0.0113
   -0.1970    0.1651    0.0129
   -0.4022    0.1404    0.0103
   -0.6070    0.1189    0.0086
   -0.8019    0.0802    0.0068
   -0.9428    0.0309    0.0045
  991.3000  10
    0.7772    0.0710    0.0091
    0.5934    0.1010    0.0086
    0.4022    0.1302    0.0121
    0.2011    0.1384    0.0111
   -0.0001    0.1414    0.0103
   -0.1970    0.1565    0.0115
   -0.4022    0.1346    0.0105
   -0.6070    0.1087    0.0079
   -0.8019    0.0781    0.0068
   -0.9428    0.0305    0.0057
  995.1000  10
    0.7772    0.0821    0.0097
    0.5934    0.0964    0.0087
    0.4022    0.1288    0.0117
    0.2011    0.1465    0.0118
   -0.0001    0.1245    0.0097
   -0.1970    0.1391    0.0109
   -0.4022    0.1264    0.0098
   -0.6070    0.1080    0.0079
   -0.8019    0.0784    0.0069
   -0.9428    0.0291    0.0054
  998.9000  10
    0.7772    0.0968    0.0099
    0.5934    0.1058    0.0095
    0.4022    0.1440    0.0123
    0.2011    0.1396    0.0119
   -0.0001    0.1328    0.0100
   -0.1970    0.1404    0.0113
   -0.4022    0.1245    0.0098
   -0.6070    0.0947    0.0075
   -0.8019    0.0784    0.0068
   -0.9428    0.0318    0.0059
 1002.6000  10
    0.7772    0.0936    0.0103
    0.5934    0.1208    0.0104
    0.4022    0.1274    0.0116
    0.2011    0.1221    0.0105
   -0.0001    0.1281    0.0098
   -0.1970    0.1402    0.0108
   -0.4022    0.1201    0.0096
   -0.6070    0.0862    0.0073
   -0.8019    0.0649    0.0061
   -0.9428    0.0278    0.0051
