   W          M2+(pi0_p)
 (MeV)       Re        Im
 1100.70   -0.03224   0.00000
 1100.80   -0.03236   0.00000
 1100.90   -0.03248   0.00000
 1101.00   -0.03261   0.00000
 1101.10   -0.03273   0.00000
 1101.20   -0.03285   0.00000
 1101.30   -0.03298   0.00000
 1101.40   -0.03310   0.00000
 1101.50   -0.03322   0.00000
 1101.60   -0.03335   0.00000
 1101.70   -0.03347   0.00000
 1101.80   -0.03359   0.00000
 1101.90   -0.03372   0.00000
 1102.00   -0.03384   0.00000
 1102.10   -0.03397   0.00000
 1102.20   -0.03409   0.00000
 1102.30   -0.03421   0.00000
 1102.40   -0.03434   0.00000
 1102.50   -0.03446   0.00000
 1102.60   -0.03458   0.00000
 1102.70   -0.03471   0.00000
 1102.80   -0.03483   0.00000
 1102.90   -0.03496   0.00000
 1103.00   -0.03508   0.00000
 1103.10   -0.03521   0.00000
 1103.20   -0.03533   0.00000
 1103.30   -0.03545   0.00000
 1103.40   -0.03558   0.00000
 1103.50   -0.03570   0.00000
 1103.60   -0.03583   0.00000
 1103.70   -0.03595   0.00000
 1103.80   -0.03608   0.00000
 1103.90   -0.03620   0.00000
 1104.00   -0.03633   0.00000
 1104.10   -0.03645   0.00000
 1104.20   -0.03657   0.00000
 1104.30   -0.03670   0.00000
 1104.40   -0.03682   0.00000
 1104.50   -0.03695   0.00000
 1104.60   -0.03707   0.00000
 1104.70   -0.03720   0.00000
 1104.80   -0.03732   0.00000
 1104.90   -0.03745   0.00000
 1105.00   -0.03757   0.00000
 1105.10   -0.03770   0.00000
 1105.20   -0.03782   0.00000
 1105.30   -0.03795   0.00000
 1105.40   -0.03807   0.00000
 1105.50   -0.03820   0.00000
 1105.60   -0.03832   0.00000
 1105.70   -0.03845   0.00000
 1105.80   -0.03857   0.00000
 1105.90   -0.03870   0.00000
 1106.00   -0.03882   0.00000
 1106.10   -0.03895   0.00000
 1106.20   -0.03908   0.00000
 1106.30   -0.03920   0.00000
 1106.40   -0.03933   0.00000
 1106.50   -0.03945   0.00000
 1106.60   -0.03958   0.00000
 1106.70   -0.03970   0.00000
 1106.80   -0.03983   0.00000
 1106.90   -0.03995   0.00000
 1107.00   -0.04008   0.00000
 1107.10   -0.04021   0.00000
 1107.20   -0.04033   0.00000
 1107.30   -0.04046   0.00000
 1107.40   -0.04058   0.00000
 1107.50   -0.04071   0.00000
 1107.60   -0.04084   0.00000
 1107.70   -0.04096   0.00000
 1107.80   -0.04109   0.00000
 1107.90   -0.04121   0.00000
 1108.00   -0.04134   0.00000
 1108.10   -0.04147   0.00000
 1108.20   -0.04159   0.00000
 1108.30   -0.04172   0.00000
 1108.40   -0.04185   0.00000
 1108.50   -0.04197   0.00000
 1108.60   -0.04210   0.00000
 1108.70   -0.04222   0.00000
 1108.80   -0.04235   0.00000
 1108.90   -0.04248   0.00000
 1109.00   -0.04260   0.00000
 1109.10   -0.04273   0.00000
 1109.20   -0.04286   0.00000
 1109.30   -0.04298   0.00000
 1109.40   -0.04311   0.00000
 1109.50   -0.04324   0.00000
 1109.60   -0.04336   0.00000
 1109.70   -0.04349   0.00000
 1109.80   -0.04362   0.00000
 1109.90   -0.04374   0.00000
 1110.00   -0.04387   0.00000
 1110.10   -0.04400   0.00000
 1110.20   -0.04413   0.00000
 1110.30   -0.04425   0.00000
 1110.40   -0.04438   0.00000
 1110.50   -0.04451   0.00000
 1110.60   -0.04463   0.00000
 1110.70   -0.04476   0.00000
 1110.80   -0.04489   0.00000
 1110.90   -0.04502   0.00000
 1111.00   -0.04514   0.00000
 1111.10   -0.04527   0.00000
 1111.20   -0.04540   0.00000
 1111.30   -0.04552   0.00000
 1111.40   -0.04565   0.00000
 1111.50   -0.04578   0.00000
 1111.60   -0.04591   0.00000
 1111.70   -0.04603   0.00000
 1111.80   -0.04616   0.00000
 1111.90   -0.04629   0.00000
 1112.00   -0.04642   0.00000
 1112.10   -0.04655   0.00000
 1112.20   -0.04667   0.00000
 1112.30   -0.04680   0.00000
 1112.40   -0.04693   0.00000
 1112.50   -0.04706   0.00000
 1112.60   -0.04718   0.00000
 1112.70   -0.04731   0.00000
 1112.80   -0.04744   0.00000
 1112.90   -0.04757   0.00000
 1113.00   -0.04770   0.00000
 1113.10   -0.04782   0.00000
 1113.20   -0.04795   0.00000
 1113.30   -0.04808   0.00000
 1113.40   -0.04821   0.00000
 1113.50   -0.04834   0.00000
 1113.60   -0.04847   0.00000
 1113.70   -0.04859   0.00000
 1113.80   -0.04872   0.00000
 1113.90   -0.04885   0.00000
 1114.00   -0.04898   0.00000
 1114.10   -0.04911   0.00000
 1114.20   -0.04924   0.00000
 1114.30   -0.04936   0.00000
 1114.40   -0.04949   0.00000
 1114.50   -0.04962   0.00000
