   W                 M3-_3/2
 (MeV)      Re       DRe      Im       DIm
1502.277   -0.405    0.090   -0.075    0.059
1502.515   -0.374    0.054   -0.028    0.044
1504.231   -0.467    0.099   -0.103    0.053
1505.141   -0.391    0.055   -0.018    0.045
1506.188   -0.388    0.095   -0.097    0.064
1507.882   -0.399    0.053   -0.024    0.042
1508.112   -0.418    0.102   -0.092    0.055
1510.014   -0.384    0.096   -0.091    0.066
1510.549   -0.423    0.056   -0.028    0.042
1511.921   -0.445    0.112   -0.097    0.052
1513.217   -0.497    0.057    0.024    0.043
1513.887   -0.513    0.090   -0.068    0.053
1515.875   -0.332    0.053   -0.090    0.041
1515.918   -0.336    0.074   -0.143    0.052
1518.015   -0.310    0.072   -0.191    0.049
1518.528   -0.335    0.055   -0.098    0.040
1520.171   -0.352    0.072   -0.174    0.049
1521.176   -0.364    0.055   -0.119    0.040
1522.360   -0.435    0.084   -0.136    0.050
1523.814   -0.358    0.057   -0.099    0.042
1524.553   -0.349    0.074   -0.169    0.049
1526.724   -0.439    0.085   -0.162    0.050
1528.843   -0.407    0.081   -0.147    0.052
1529.070   -0.345    0.054   -0.128    0.043
1530.891   -0.351    0.076   -0.198    0.050
1531.681   -0.329    0.056   -0.139    0.042
1532.857   -0.352    0.072   -0.200    0.049
1534.307   -0.319    0.053   -0.066    0.041
1534.705   -0.264    0.068   -0.119    0.045
1536.452   -0.283    0.067   -0.130    0.047
1536.843   -0.294    0.052   -0.084    0.040
1538.069   -0.319    0.075   -0.112    0.047
1539.502   -0.314    0.054   -0.079    0.039
1539.911   -0.291    0.073   -0.117    0.049
1542.078   -0.258    0.055   -0.088    0.037
1544.662   -0.262    0.079   -0.092    0.046
1547.235   -0.283    0.053   -0.101    0.040
1549.804   -0.327    0.054   -0.120    0.042
1552.363   -0.165    0.040   -0.042    0.038
1554.912   -0.172    0.040   -0.053    0.042
1557.462   -0.180    0.039   -0.083    0.041
1559.996   -0.164    0.038   -0.080    0.042
1562.532   -0.154    0.036   -0.103    0.042
1565.004   -0.195    0.037   -0.108    0.041
1567.574   -0.154    0.035   -0.116    0.040
1570.074   -0.262    0.034   -0.142    0.038
1573.823   -0.209    0.041   -0.140    0.046
1577.556   -0.187    0.031   -0.144    0.045
1580.035   -0.150    0.029   -0.139    0.049
1582.509   -0.144    0.029   -0.147    0.050
1584.973   -0.175    0.029   -0.206    0.051
1587.428   -0.136    0.025   -0.210    0.051
1589.891   -0.165    0.038   -0.182    0.047
1592.273   -0.136    0.030   -0.134    0.048
1594.764   -0.153    0.030   -0.113    0.048
1597.186   -0.159    0.031   -0.225    0.052
1599.605   -0.168    0.031   -0.210    0.050
1602.020   -0.150    0.029   -0.204    0.049
1604.425   -0.153    0.027   -0.215    0.045
1606.821   -0.101    0.035   -0.177    0.047
1609.213   -0.102    0.036   -0.166    0.048
1611.596   -0.126    0.039   -0.232    0.041
1613.970   -0.183    0.042   -0.226    0.045
1616.346   -0.177    0.041   -0.221    0.042
1618.654   -0.139    0.046   -0.235    0.051
1621.058   -0.143    0.048   -0.215    0.051
1623.395   -0.054    0.044   -0.203    0.047
1625.734   -0.011    0.048   -0.373    0.050
1628.064   -0.008    0.044   -0.359    0.046
1630.385   -0.124    0.053   -0.266    0.043
1632.702   -0.034    0.060   -0.220    0.049
1635.011    0.030    0.047   -0.234    0.044
1637.311   -0.056    0.051   -0.208    0.043
1639.601    0.072    0.056   -0.380    0.043
1641.894    0.029    0.062   -0.310    0.041
1644.121    0.037    0.066   -0.267    0.041
1646.442    0.049    0.064   -0.260    0.042
1648.692   -0.085    0.068   -0.225    0.035
1650.950   -0.115    0.069   -0.194    0.034
1653.193   -0.129    0.076   -0.202    0.034
1655.433    0.186    0.074   -0.292    0.037
1657.665    0.129    0.054   -0.158    0.042
1659.888    0.090    0.055   -0.163    0.044
1662.102    0.083    0.060   -0.161    0.048
1664.308    0.022    0.056   -0.146    0.045
1666.517   -0.079    0.070   -0.167    0.033
1668.660    0.146    0.071   -0.157    0.034
1670.891    0.067    0.072   -0.150    0.033
1673.063    0.055    0.071   -0.149    0.034
1675.232    0.058    0.077   -0.057    0.034
1677.392    0.098    0.074   -0.095    0.034
1679.545    0.060    0.073   -0.110    0.034
1681.694    0.058    0.070   -0.097    0.029
1683.829    0.016    0.067   -0.141    0.026
1685.957    0.223    0.067   -0.000    0.026
1688.087    0.221    0.066   -0.009    0.026
1690.159    0.070    0.073    0.019    0.031
1692.306    0.064    0.071    0.043    0.033
1694.400    0.036    0.069    0.016    0.033
1696.492   -0.041    0.066   -0.035    0.039
1698.576    0.074    0.067    0.084    0.040
1700.646    0.072    0.064    0.018    0.039
1702.714    0.052    0.063    0.002    0.039
1704.773    0.025    0.062   -0.030    0.040
1706.825    0.037    0.061   -0.042    0.041
1708.874   -0.053    0.066   -0.129    0.040
1710.872    0.005    0.064    0.005    0.039
1712.938    0.005    0.061   -0.014    0.038
1714.953   -0.008    0.059   -0.043    0.039
1716.965    0.045    0.058   -0.079    0.045
1718.969    0.076    0.060   -0.075    0.049
1724.930    0.096    0.048    0.039    0.045
1726.904    0.089    0.049    0.045    0.046
1730.827    0.046    0.045   -0.062    0.039
1735.678    0.056    0.045   -0.087    0.038
1739.528    0.063    0.038   -0.078    0.038
1745.241    0.144    0.032   -0.181    0.046
1749.001    0.132    0.034   -0.191    0.045
1753.678    0.306    0.030   -0.440    0.033
1759.212    0.320    0.032   -0.423    0.037
1763.766    0.299    0.042   -0.356    0.046
1767.385    0.282    0.040   -0.275    0.049
1770.965    0.293    0.041   -0.258    0.046
1774.511    0.276    0.050   -0.251    0.053
1778.029    0.086    0.039    0.174    0.044
1781.509    0.289    0.045   -0.168    0.048
1784.971    0.322    0.043   -0.163    0.046
1790.094    0.209    0.033    0.012    0.044
1793.471    0.220    0.032   -0.007    0.045
1796.806    0.237    0.033    0.016    0.044
1800.129    0.330    0.052   -0.101    0.052
1803.415    0.326    0.053   -0.067    0.055
1806.669    0.174    0.048    0.135    0.050
1809.896    0.162    0.058    0.092    0.042
1813.082    0.196    0.057    0.083    0.052
1816.251    0.163    0.050    0.093    0.047
1819.390    0.116    0.047    0.100    0.050
1822.497    0.136    0.041    0.226    0.049
1825.562    0.215    0.046    0.156    0.052
1828.623    0.214    0.047    0.154    0.055
1831.643    0.220    0.046    0.157    0.053
1834.637    0.225    0.048    0.158    0.054
1838.336    0.121    0.073    0.063    0.060
1841.997    0.153    0.070    0.077    0.055
1844.898    0.123    0.072    0.073    0.056
1847.754    0.040    0.037    0.149    0.038
1852.035    0.023    0.045    0.159    0.046
1854.976    0.040    0.048    0.159    0.048
1858.008    0.051    0.049    0.165    0.049
1861.147    0.059    0.051    0.166    0.050
1864.365    0.020    0.054    0.177    0.051
1869.276    0.043    0.034    0.238    0.034
1872.541    0.052    0.040    0.209    0.045
1875.750   -0.014    0.041    0.253    0.048
1878.864   -0.031    0.041    0.256    0.040
1887.394   -0.012    0.050    0.256    0.043
1889.902   -0.052    0.053    0.263    0.048
1894.385    0.049    0.036    0.162    0.028
