   W                 E3-_3/2
 (MeV)      Re       DRe      Im       DIm
1397.359   -0.742    0.148   -0.738    0.104
1398.158   -0.741    0.094   -0.653    0.085
1398.788   -0.745    0.148   -0.751    0.096
1400.189   -0.947    0.130   -0.577    0.124
1401.107   -0.825    0.080   -0.672    0.082
1401.589   -0.905    0.141   -0.638    0.118
1403.001   -0.890    0.143   -0.692    0.092
1404.371   -0.947    0.128   -0.659    0.099
1405.787   -0.587    0.114    0.209    0.137
1407.168   -0.606    0.121    0.191    0.153
1408.548   -0.580    0.120    0.210    0.147
1409.892   -0.805    0.074    0.305    0.113
1409.919   -0.611    0.129    0.357    0.154
1411.296   -0.634    0.133    0.369    0.160
1412.658   -0.546    0.131    0.421    0.120
1412.811   -0.723    0.080    0.375    0.091
1414.019   -0.536    0.126    0.473    0.115
1415.379   -0.670    0.131    0.429    0.117
1416.730   -0.643    0.132    0.438    0.112
1418.048   -0.678    0.129    0.438    0.108
1418.623   -0.754    0.076    0.381    0.085
1419.417   -0.670    0.131    0.442    0.109
1420.745   -0.683    0.124    0.241    0.151
1421.517   -0.778    0.071   -0.111    0.095
1422.078   -1.025    0.112   -0.306    0.130
1423.397   -1.148    0.101   -0.260    0.100
1424.722   -1.110    0.115   -0.290    0.107
1426.038   -1.090    0.124   -0.279    0.115
1427.294   -0.868    0.075   -0.108    0.088
1427.347   -0.757    0.085    0.007    0.088
1428.654   -0.856    0.116    0.042    0.089
1429.961   -0.716    0.081    0.079    0.095
1430.171   -0.828    0.063    0.038    0.074
1431.226   -0.762    0.108    0.057    0.095
1432.537   -0.752    0.108    0.043    0.097
1433.035   -0.821    0.069    0.044    0.078
1433.814   -0.794    0.117    0.059    0.095
1435.096   -0.737    0.082    0.090    0.091
1435.913   -0.853    0.085    0.055    0.083
1436.370   -0.765    0.100    0.031    0.094
1437.650   -0.822    0.102    0.034    0.089
1438.902   -0.748    0.099    0.023    0.096
1440.160   -0.604    0.110    0.057    0.099
1441.424   -0.665    0.094    0.010    0.094
1441.612   -0.693    0.072   -0.139    0.063
