   W                 E3+_3/2
 (MeV)      Re       DRe      Im       DIm
1441.424   -0.094    0.035   -0.002    0.032
1441.612   -0.162    0.024   -0.013    0.023
1442.647   -0.172    0.028   -0.031    0.032
1443.902   -0.214    0.037    0.041    0.027
1444.441   -0.164    0.025    0.010    0.024
1445.142   -0.206    0.041    0.037    0.027
1446.998   -0.183    0.032    0.007    0.023
1447.277   -0.145    0.022    0.039    0.026
1449.453   -0.165    0.030    0.012    0.023
1450.107   -0.246    0.014    0.117    0.017
1451.885   -0.155    0.029    0.003    0.023
1452.925   -0.243    0.013    0.104    0.017
1454.281   -0.233    0.031    0.006    0.023
1455.738   -0.100    0.021   -0.012    0.020
1456.679   -0.111    0.022   -0.020    0.023
1458.546   -0.217    0.014    0.110    0.014
1459.047   -0.221    0.014   -0.010    0.015
1461.348   -0.225    0.011    0.002    0.015
1461.393   -0.134    0.022   -0.026    0.021
1463.721   -0.123    0.023   -0.039    0.021
1464.138   -0.222    0.011   -0.005    0.014
1466.034   -0.228    0.015   -0.022    0.015
1466.923   -0.220    0.011   -0.007    0.014
1468.323   -0.217    0.015   -0.019    0.014
1469.715   -0.209    0.011   -0.015    0.014
1470.590   -0.220    0.016   -0.022    0.015
1472.413   -0.229    0.012   -0.003    0.015
1472.840   -0.234    0.016   -0.036    0.015
1475.062   -0.123    0.021   -0.023    0.020
1475.253   -0.221    0.011   -0.001    0.015
1477.280   -0.124    0.021   -0.027    0.020
1477.998   -0.214    0.011   -0.001    0.016
1479.463   -0.200    0.014    0.025    0.013
1480.750   -0.198    0.012    0.039    0.012
1481.631   -0.206    0.015    0.027    0.014
1483.491   -0.201    0.012    0.040    0.012
1483.782   -0.206    0.016    0.021    0.014
1485.906   -0.216    0.016    0.025    0.014
1488.026   -0.229    0.018    0.009    0.014
1488.959   -0.216    0.013    0.024    0.013
1490.111   -0.214    0.018    0.004    0.014
1491.685   -0.213    0.013    0.023    0.013
1492.188   -0.212    0.017    0.012    0.015
1494.236   -0.222    0.017    0.003    0.014
1494.400   -0.218    0.012    0.023    0.013
1496.282   -0.224    0.017    0.003    0.014
