   W                 E1+_p1/2
 (MeV)      Re       DRe      Im       DIm
1477.280    0.929    0.126    0.424    0.177
1477.998    0.722    0.189    0.280    0.145
1479.463    0.753    0.190    0.306    0.145
1480.750    0.641    0.125    0.475    0.135
1481.631    0.635    0.127    0.478    0.136
1483.491    0.900    0.091    0.281    0.134
1483.782    0.892    0.094    0.277    0.134
1485.906    0.891    0.095    0.279    0.134
1488.026    0.924    0.117    0.344    0.131
1488.959    0.950    0.113    0.349    0.130
1490.111    0.944    0.116    0.344    0.131
1491.685    0.948    0.113    0.347    0.130
1492.188    0.942    0.116    0.347    0.131
1494.236    0.735    0.099    0.434    0.138
1494.400    0.744    0.094    0.443    0.138
1496.282    0.731    0.099    0.437    0.139
1497.109    0.656    0.090    0.382    0.139
1498.293    0.646    0.094    0.369    0.140
1499.814    0.803    0.095    0.105    0.119
1500.290    0.790    0.103    0.092    0.120
1502.277    0.810    0.103    0.105    0.121
1502.515    0.826    0.096    0.115    0.119
1504.231    0.927    0.107    0.131    0.155
1505.141    0.939    0.100    0.163    0.154
1506.188    0.942    0.109    0.172    0.155
1507.882    0.887    0.096    0.003    0.145
1508.112    0.877    0.106    0.003    0.146
1510.014    0.889    0.107    0.019    0.147
1510.549    0.808    0.093    0.018    0.104
1511.921    0.786    0.105    0.016    0.107
1513.217    0.736    0.080   -0.028    0.097
1513.887    0.742    0.094   -0.050    0.119
1515.875    0.838    0.083   -0.020    0.118
1515.918    0.841    0.089   -0.005    0.120
1518.015    0.763    0.081   -0.013    0.101
1518.528    0.770    0.071   -0.040    0.098
1520.171    0.759    0.080   -0.024    0.101
1521.176    0.746    0.071   -0.053    0.099
1522.360    1.057    0.116    0.040    0.145
1523.814    1.085    0.111    0.040    0.144
1524.553    1.074    0.116    0.063    0.146
1526.724    0.780    0.080   -0.147    0.088
1528.843    0.799    0.079   -0.136    0.089
1529.070    0.823    0.072   -0.134    0.086
1530.891    0.962    0.084   -0.202    0.087
1531.681    1.001    0.074   -0.217    0.083
1532.857    0.983    0.081   -0.201    0.086
1534.307    1.046    0.075   -0.195    0.083
1534.705    1.075    0.081   -0.139    0.087
1536.452    0.980    0.082   -0.170    0.088
1536.843    0.989    0.075   -0.193    0.084
1538.069    0.979    0.082   -0.165    0.089
1539.502    0.981    0.075   -0.198    0.084
1539.911    0.968    0.083   -0.174    0.090
1542.078    0.942    0.078   -0.227    0.072
1544.662    0.864    0.089   -0.196    0.075
1547.235    0.855    0.081   -0.214    0.074
1549.804    0.800    0.098   -0.216    0.081
1552.363    0.842    0.095   -0.204    0.080
1554.912    0.779    0.095   -0.231    0.080
1557.462    0.909    0.059   -0.208    0.059
1559.996    0.910    0.058   -0.215    0.060
1562.532    1.065    0.055   -0.119    0.067
1565.004    1.053    0.055   -0.127    0.068
1567.574    1.059    0.054   -0.126    0.068
1570.074    1.025    0.082    0.162    0.097
1573.823    1.059    0.081    0.150    0.098
1577.556    1.093    0.079    0.105    0.091
1580.035    1.100    0.079    0.073    0.091
1582.509    1.103    0.079    0.081    0.091
1584.973    0.947    0.074    0.046    0.092
1587.428    0.950    0.073    0.030    0.091
1589.891    1.055    0.055   -0.155    0.064
1592.273    1.053    0.056   -0.088    0.067
1594.764    1.021    0.056   -0.061    0.066
1597.186    1.020    0.050    0.020    0.061
1599.605    1.008    0.050    0.028    0.061
1602.020    1.008    0.049    0.020    0.061
1604.425    1.038    0.045   -0.004    0.062
1606.821    1.046    0.045   -0.043    0.060
1609.213    1.041    0.045   -0.042    0.060
1611.596    0.901    0.045    0.191    0.055
1613.970    0.874    0.045    0.212    0.055
1616.346    0.879    0.045    0.201    0.055
1618.654    0.937    0.051    0.023    0.064
1621.058    0.934    0.052    0.022    0.064
1623.395    0.945    0.053    0.007    0.063
1625.734    0.870    0.057    0.064    0.069
1628.064    0.874    0.057    0.066    0.069
1630.385    0.876    0.056    0.081    0.069
1632.702    0.886    0.056    0.090    0.069
1635.011    0.905    0.056    0.061    0.069
1637.311    0.889    0.056    0.088    0.069
1639.601    0.830    0.054    0.301    0.065
1641.894    0.810    0.054    0.306    0.065
1644.121    0.827    0.055    0.311    0.065
