   W                 M1+_3/2
 (MeV)      Re       DRe      Im       DIm
1386.310   -7.640    0.468    4.465    0.400
1387.318   -7.594    0.497    4.417    0.519
1388.771   -7.381    0.462    4.325    0.511
1389.278   -7.280    0.430    4.229    0.389
1390.183   -7.325    0.501    4.217    0.611
1391.660   -7.653    0.460    4.408    0.474
1392.246   -7.175    0.431    4.234    0.389
1393.088   -7.491    0.514    4.635    0.512
1394.522   -7.445    0.509    4.327    0.563
1395.202   -7.199    0.475    4.432    0.403
1395.941   -7.507    0.512    4.553    0.518
1397.359   -6.787    0.480    3.773    0.519
1398.158   -6.716    0.404    3.786    0.341
1398.788   -6.671    0.478    3.737    0.514
1400.189   -7.046    0.468    3.577    0.535
1401.107   -6.791    0.401    3.551    0.344
1401.589   -6.933    0.478    3.571    0.532
1403.001   -6.687    0.545    3.452    0.550
1404.371   -6.779    0.529    3.377    0.560
1405.787   -6.870    0.520    3.253    0.557
1407.168   -6.926    0.493    3.290    0.515
1408.548   -6.867    0.494    3.223    0.530
1409.892   -6.670    0.511    3.211    0.375
1409.919   -6.697    0.558    3.278    0.538
1411.296   -6.631    0.558    3.251    0.535
1412.658   -6.500    0.560    3.231    0.527
1412.811   -6.551    0.512    3.162    0.378
1414.019   -6.289    0.395    3.395    0.488
1415.379   -6.428    0.387    3.391    0.501
1416.730   -6.325    0.387    3.387    0.493
1418.048   -5.826    0.397    2.716    0.503
1418.623   -5.852    0.341    2.718    0.334
1419.417   -5.841    0.400    2.744    0.502
1420.745   -5.805    0.401    2.533    0.514
1421.517   -5.266    0.354    2.579    0.305
1422.078   -5.379    0.392    2.469    0.436
1423.397   -5.485    0.575    2.060    0.553
1424.722   -5.267    0.576    2.161    0.504
1426.038   -5.287    0.580    2.137    0.512
1427.294   -5.274    0.540    2.233    0.384
1427.347   -4.784    0.521    2.215    0.430
1428.654   -4.949    0.535    2.045    0.450
1429.961   -4.646    0.479    2.228    0.422
1430.171   -4.809    0.447    2.122    0.373
1431.226   -4.664    0.503    2.158    0.444
1432.537   -4.478    0.452    2.315    0.418
1433.035   -4.514    0.396    2.228    0.356
1433.814   -4.516    0.454    2.276    0.427
1435.096   -4.372    0.437    2.330    0.409
1435.913   -4.508    0.417    2.183    0.404
1436.370   -4.721    0.528    2.109    0.459
1437.650   -4.680    0.522    1.981    0.454
1438.902   -4.654    0.534    2.122    0.465
1440.160   -4.500    0.555    1.639    0.437
1441.424   -3.616    0.390    2.217    0.420
1441.612   -3.535    0.358    2.446    0.343
1442.647   -3.406    0.416    2.426    0.407
1443.902   -3.870    0.475    2.357    0.402
1444.441   -4.274    0.386    2.121    0.351
1445.142   -3.837    0.492    2.306    0.407
1446.998   -4.737    0.504    1.712    0.434
1447.277   -4.646    0.491    1.764    0.376
1449.453   -4.594    0.382    2.080    0.393
1450.107   -3.821    0.342    1.953    0.323
1451.885   -4.531    0.372    2.045    0.368
1452.925   -3.807    0.340    1.739    0.327
1454.281   -3.755    0.358    2.668    0.344
1455.738   -3.899    0.323    2.450    0.292
1456.679   -3.914    0.369    2.429    0.303
1458.546   -3.492    0.404    2.015    0.388
1459.047   -2.859    0.413    1.783    0.416
1461.348   -2.827    0.403    1.784    0.384
1461.393   -3.204    0.433    2.185    0.394
1463.721   -3.183    0.337    2.207    0.352
1464.138   -2.837    0.293    1.666    0.344
1466.034   -2.912    0.313    1.605    0.393
1466.923   -2.508    0.348    1.201    0.369
1468.323   -2.523    0.361    1.086    0.406
1469.715   -2.418    0.277    1.342    0.325
1470.590   -2.470    0.298    1.287    0.376
1472.413   -2.294    0.282    1.261    0.333
1472.840   -2.168    0.332    1.197    0.377
1475.062   -2.590    0.352    1.957    0.356
1475.253   -1.997    0.320    1.541    0.341
1477.280   -2.501    0.351    1.915    0.357
1477.998   -2.364    0.299    1.368    0.388
1479.463   -2.027    0.322    1.390    0.438
1480.750   -2.197    0.259    1.672    0.345
1481.631   -2.257    0.288    1.701    0.398
1483.491   -2.047    0.243    1.746    0.298
1483.782   -2.120    0.281    1.754    0.366
1485.906   -2.119    0.281    1.655    0.378
1488.026   -2.400    0.299    1.790    0.402
1488.959   -2.245    0.255    1.704    0.331
1490.111   -2.368    0.292    1.755    0.397
1491.685   -2.291    0.259    1.807    0.329
1492.188   -2.368    0.295    1.819    0.389
1494.236   -2.353    0.277    1.813    0.397
1494.400   -2.268    0.231    1.833    0.333
1496.282   -2.407    0.279    1.793    0.403
1497.109   -1.921    0.226    1.479    0.293
1498.293   -2.151    0.276    1.543    0.381
1499.814   -1.351    0.252    1.278    0.367
1500.290   -1.581    0.326    1.402    0.461
1502.277   -1.445    0.317    1.419    0.469
1502.515   -1.271    0.262    1.446    0.383
1504.231   -1.670    0.316    1.218    0.458
1505.141   -1.464    0.254    1.296    0.374
1506.188   -1.569    0.307    1.364    0.493
1507.882   -1.521    0.235    1.184    0.339
1508.112   -1.669    0.306    1.191    0.465
1510.014   -1.609    0.298    1.223    0.490
1510.549   -2.475    0.220    1.037    0.314
1511.921   -2.635    0.307    0.952    0.455
1513.217   -2.472    0.232    0.456    0.373
1513.887   -1.827    0.314    0.637    0.467
1515.875   -1.224    0.251    1.188    0.390
1515.918   -1.347    0.286    1.215    0.460
1518.015   -1.917    0.272    1.245    0.381
1518.528   -1.741    0.237    1.135    0.310
1520.171   -1.907    0.272    1.085    0.381
1521.176   -1.830    0.237    0.963    0.307
1522.360   -1.714    0.306    0.349    0.492
1523.814   -1.500    0.276    0.507    0.433
1524.553   -1.655    0.305    0.502    0.480
1526.724   -1.515    0.276    0.206    0.385
1528.843   -1.455    0.276    0.301    0.381
1529.070   -1.292    0.239    0.495    0.299
1530.891   -1.047    0.282    0.561    0.372
1531.681   -0.799    0.250    0.658    0.296
1532.857   -0.980    0.278    0.544    0.361
1534.307   -0.678    0.252    0.583    0.282
1534.705   -0.852    0.282    0.763    0.334
1536.452   -0.974    0.280    0.315    0.333
1536.843   -0.829    0.249    0.385    0.277
1538.069   -0.951    0.284    0.292    0.352
1539.502   -0.792    0.245    0.275    0.283
1539.911   -0.961    0.285    0.171    0.340
1542.078   -0.958    0.232    0.743    0.272
1544.662   -0.713    0.302    0.620    0.366
1547.235   -0.732    0.268    0.486    0.295
1549.804   -0.456    0.280    0.412    0.319
1552.363   -0.499    0.274    0.786    0.277
1554.912   -0.379    0.257    0.753    0.265
1557.462   -0.349    0.235    0.398    0.199
1559.996   -0.332    0.232    0.386    0.194
1562.532   -0.208    0.234    0.792    0.206
1565.004   -0.153    0.229    0.653    0.210
1567.574   -0.226    0.220    0.720    0.201
1570.074   -0.384    0.267    0.231    0.219
1573.823   -0.552    0.263    0.315    0.221
1577.556   -0.389    0.239    0.512    0.199
1580.035   -0.374    0.230    0.566    0.198
1582.509   -0.480    0.230    0.646    0.200
1584.973   -0.301    0.209    0.401    0.209
1587.428   -0.306    0.200    0.473    0.207
1589.891   -0.133    0.209    0.854    0.194
1592.273   -0.556    0.201    0.707    0.192
1594.764   -0.450    0.191    0.636    0.188
1597.186   -0.359    0.179    0.573    0.180
1599.605   -0.349    0.179    0.571    0.178
1602.020   -0.322    0.171    0.611    0.175
1604.425   -0.374    0.159    0.721    0.167
1606.821    0.074    0.196    0.789    0.192
1609.213    0.062    0.196    0.762    0.190
1611.596    0.374    0.171    1.154    0.202
1613.970    0.410    0.183    1.030    0.183
1616.346    0.515    0.179    1.123    0.177
1618.654    0.430    0.203    0.991    0.196
1621.058    0.484    0.204    0.993    0.196
1623.395    0.464    0.181    1.108    0.180
1625.734    0.474    0.166    0.776    0.160
1628.064    0.505    0.170    0.830    0.160
1630.385    0.643    0.164    0.814    0.158
1632.702    0.615    0.163    0.749    0.183
1635.011    0.702    0.166    0.925    0.183
1637.311    0.686    0.168    0.693    0.192
1639.601    0.906    0.170    0.830    0.122
1641.894    1.166    0.176    0.737    0.116
1644.121    1.209    0.179    0.824    0.120
1646.442    1.146    0.180    0.870    0.119
1648.692    1.011    0.160    0.613    0.119
1650.950    1.056    0.158    0.663    0.120
1653.193    0.970    0.171    0.679    0.129
1655.433    0.858    0.167    0.854    0.115
1657.665    1.059    0.184    0.736    0.113
1659.888    0.998    0.185    0.761    0.112
1662.102    0.961    0.194    0.800    0.114
1664.308    1.049    0.189    0.782    0.111
1666.517    0.925    0.167    0.836    0.108
1668.660    1.259    0.229    1.026    0.130
1670.891    1.279    0.226    1.017    0.132
1673.063    1.211    0.227    1.030    0.131
1675.232    1.293    0.262    1.129    0.129
1677.392    0.787    0.247    0.984    0.134
1679.545    0.797    0.260    0.995    0.133
1681.694    0.653    0.210    0.999    0.126
1683.829    0.416    0.184    0.940    0.126
1685.957    0.258    0.171    0.935    0.130
1688.087    0.222    0.172    0.900    0.130
1690.159    0.455    0.196    0.851    0.129
1692.306    0.343    0.178    0.808    0.131
1694.400    0.332    0.176    0.794    0.131
1696.492    0.515    0.183    0.759    0.135
1698.576    0.521    0.183    0.491    0.121
1700.646    0.349    0.180    0.451    0.122
1702.714    0.103    0.175    0.448    0.114
1704.773    0.097    0.176    0.413    0.116
1706.825    0.056    0.170    0.406    0.115
1708.874    0.206    0.197    0.576    0.114
1710.872    0.468    0.188    0.367    0.101
1712.938    0.453    0.176    0.354    0.100
1714.953    0.484    0.172    0.344    0.100
1716.965    0.903    0.157    0.141    0.133
1718.969    0.734    0.160    0.180    0.130
1724.930    0.913    0.142    0.350    0.112
1726.904    0.863    0.146    0.376    0.110
1730.827    0.943    0.139    0.296    0.125
1735.678    1.447    0.137    0.140    0.130
1739.528    1.482    0.155    0.032    0.123
1745.241    1.684    0.222   -0.128    0.146
1749.001    1.704    0.206   -0.037    0.147
1753.678    1.795    0.234    0.516    0.147
1759.212    1.796    0.192    0.403    0.143
1763.766    1.707    0.175    0.444    0.144
1767.385    1.569    0.172    0.175    0.140
1770.965    1.586    0.171    0.232    0.142
1774.511    1.591    0.185    0.528    0.146
1778.029    1.650    0.204    0.364    0.137
1781.509    1.550    0.170    0.708    0.131
1784.971    1.625    0.156    0.472    0.134
1790.094    1.571    0.169   -0.192    0.123
1793.471    1.598    0.161   -0.154    0.121
1796.806    1.527    0.160   -0.226    0.116
1800.129    1.418    0.162    0.387    0.146
1803.415    1.424    0.161    0.331    0.149
1806.669    1.191    0.144   -0.003    0.120
1809.896    1.424    0.173   -0.224    0.122
1813.082    1.408    0.149   -0.232    0.132
1816.251    1.615    0.154   -0.189    0.134
1819.390    1.670    0.157   -0.193    0.136
1822.497    1.478    0.151   -0.331    0.132
1825.562    1.413    0.161   -0.099    0.154
1828.623    1.421    0.163   -0.127    0.157
1831.643    1.432    0.160   -0.102    0.151
1834.637    1.453    0.161   -0.092    0.154
1838.336    1.592    0.200   -0.103    0.159
1841.997    1.551    0.191   -0.124    0.150
1844.898    1.602    0.185   -0.077    0.147
1847.754    1.582    0.185   -0.753    0.119
1852.035    1.578    0.194   -0.728    0.123
1854.976    1.525    0.192   -0.773    0.118
1858.008    1.527    0.190   -0.789    0.116
1861.147    1.512    0.189   -0.784    0.115
1864.365    1.557    0.193   -0.715    0.119
1869.276    1.642    0.225   -0.843    0.092
1872.541    1.591    0.179   -0.888    0.116
1875.750    1.773    0.179   -0.804    0.106
1878.864    1.788    0.173   -0.764    0.102
1887.394    1.792    0.200   -0.789    0.102
1889.902    1.926    0.204   -0.749    0.122
1894.385    1.538    0.172   -0.618    0.096
