   W                 M2-_p1/2
 (MeV)      Re       DRe      Im       DIm
1369.545    0.842    0.102    0.196    0.069
1371.065    0.940    0.155    0.293    0.095
1371.353    0.979    0.114    0.264    0.048
1372.556    0.909    0.161    0.283    0.093
1374.032    0.921    0.152    0.287    0.088
1374.353    0.585    0.131    0.149    0.090
1375.561    0.932    0.122    0.256    0.058
1377.034    0.920    0.126    0.260    0.060
1377.347    1.149    0.140    0.299    0.048
1378.518    1.132    0.150    0.316    0.063
1379.994    1.139    0.152    0.399    0.066
1380.341    1.086    0.145    0.436    0.052
1381.483    0.812    0.079    0.245    0.091
1382.928    0.712    0.078    0.317    0.045
1383.329    0.973    0.178    0.356    0.070
1384.413    1.201    0.180    0.453    0.070
1385.863    1.198    0.180    0.462    0.070
1386.310    0.984    0.178    0.350    0.069
1387.318    0.981    0.182    0.345    0.087
1388.771    0.923    0.141    0.364    0.083
1389.278    0.921    0.136    0.356    0.062
1390.183    0.924    0.144    0.328    0.089
1391.660    1.115    0.140    0.469    0.062
1392.246    0.952    0.135    0.358    0.066
1393.088    1.316    0.196    0.529    0.080
1394.522    1.084    0.196    0.448    0.072
1395.202    1.137    0.195    0.537    0.070
1395.941    1.302    0.196    0.514    0.079
1397.359    0.818    0.100    0.309    0.074
1398.158    0.831    0.094    0.371    0.044
1398.788    0.812    0.100    0.303    0.073
1400.189    0.887    0.111    0.411    0.071
1401.107    0.863    0.093    0.444    0.048
1401.589    0.856    0.106    0.405    0.082
1403.001    1.022    0.199    0.455    0.111
1404.371    1.016    0.198    0.440    0.095
1405.787    1.248    0.195    0.561    0.087
1407.168    1.202    0.146    0.590    0.073
1408.548    1.200    0.146    0.576    0.073
1409.892    1.209    0.205    0.536    0.091
1409.919    1.215    0.207    0.545    0.097
1411.296    1.224    0.207    0.537    0.099
1412.658    1.185    0.206    0.521    0.095
1412.811    1.201    0.205    0.511    0.090
1414.019    0.986    0.084    0.465    0.055
1415.379    0.992    0.083    0.475    0.056
1416.730    1.000    0.082    0.474    0.056
1418.048    1.084    0.099    0.488    0.062
1418.623    1.078    0.096    0.488    0.054
1419.417    1.079    0.099    0.496    0.062
1420.745    1.136    0.102    0.649    0.068
1421.517    1.054    0.101    0.608    0.053
1422.078    0.971    0.108    0.556    0.060
1423.397    1.061    0.235    0.645    0.129
1424.722    1.109    0.235    0.679    0.129
1426.038    1.113    0.235    0.672    0.130
1427.294    1.175    0.231    0.700    0.124
1427.347    1.183    0.173    0.679    0.099
1428.654    1.127    0.178    0.635    0.100
1429.961    1.258    0.181    0.733    0.109
1430.171    1.213    0.179    0.702    0.106
1431.226    1.229    0.185    0.734    0.110
1432.537    1.387    0.146    0.844    0.090
1433.035    1.361    0.142    0.802    0.086
1433.814    1.364    0.150    0.820    0.090
1435.096    1.405    0.143    0.833    0.090
1435.913    1.343    0.146    0.787    0.088
1436.370    1.142    0.175    0.747    0.115
1437.650    1.105    0.178    0.732    0.114
1438.902    1.145    0.174    0.754    0.116
1440.160    1.019    0.172    0.841    0.121
1441.424    1.550    0.104    1.218    0.074
1441.612    1.640    0.095    1.190    0.068
1442.647    1.639    0.103    1.221    0.077
1443.902    1.315    0.147    1.034    0.113
1444.441    1.257    0.144    1.166    0.103
1445.142    1.310    0.150    1.041    0.114
1446.998    0.970    0.132    0.975    0.100
1447.277    1.051    0.130    0.976    0.097
1449.453    1.181    0.148    1.078    0.117
1450.107    1.298    0.144    1.327    0.114
1451.885    1.172    0.148    1.074    0.116
1452.925    1.293    0.145    1.353    0.114
1454.281    1.172    0.088    1.132    0.084
1455.738    1.130    0.087    1.242    0.079
1456.679    1.101    0.089    1.228    0.084
1458.546    1.559    0.111    1.786    0.106
1459.047    1.541    0.118    1.961    0.107
1461.348    1.585    0.113    1.968    0.105
1461.393    1.454    0.111    1.668    0.106
1463.721    1.225    0.083    1.570    0.088
1464.138    1.341    0.086    1.914    0.088
1466.034    1.315    0.093    1.913    0.090
1466.923    1.226    0.085    1.854    0.094
1468.323    1.194    0.092    1.857    0.096
