   W         M2+(eta_p)
 (MeV)      Re      Im
 1890.0    0.231  -0.001
 1891.0    0.231   0.000
 1892.0    0.231   0.001
 1893.0    0.230   0.001
 1894.0    0.230   0.002
 1895.0    0.230   0.003
 1896.0    0.230   0.003
 1897.0    0.230   0.004
 1898.0    0.229   0.005
 1899.0    0.229   0.006
 1900.0    0.229   0.006
 1901.0    0.229   0.007
 1902.0    0.229   0.008
 1903.0    0.228   0.008
 1904.0    0.228   0.009
 1905.0    0.228   0.010
 1906.0    0.228   0.010
 1907.0    0.227   0.011
 1908.0    0.227   0.012
 1909.0    0.227   0.012
 1910.0    0.227   0.013
 1911.0    0.226   0.014
 1912.0    0.226   0.014
 1913.0    0.226   0.015
 1914.0    0.225   0.015
 1915.0    0.225   0.016
 1916.0    0.225   0.017
 1917.0    0.225   0.017
 1918.0    0.224   0.018
 1919.0    0.224   0.019
 1920.0    0.224   0.019
 1921.0    0.223   0.020
 1922.0    0.223   0.020
 1923.0    0.223   0.021
 1924.0    0.222   0.022
 1925.0    0.222   0.022
 1926.0    0.222   0.023
 1927.0    0.221   0.023
 1928.0    0.221   0.024
 1929.0    0.221   0.025
 1930.0    0.220   0.025
 1931.0    0.220   0.026
 1932.0    0.220   0.026
 1933.0    0.219   0.027
 1934.0    0.219   0.027
 1935.0    0.218   0.028
 1936.0    0.218   0.028
 1937.0    0.218   0.029
 1938.0    0.217   0.029
 1939.0    0.217   0.030
 1940.0    0.217   0.030
 1941.0    0.216   0.031
 1942.0    0.216   0.031
 1943.0    0.215   0.032
 1944.0    0.215   0.032
 1945.0    0.215   0.033
 1946.0    0.214   0.033
 1947.0    0.214   0.034
 1948.0    0.213   0.034
 1949.0    0.213   0.035
 1950.0    0.213   0.035
 1951.0    0.212   0.036
 1952.0    0.212   0.036
 1953.0    0.211   0.037
 1954.0    0.211   0.037
 1955.0    0.210   0.038
 1956.0    0.210   0.038
 1957.0    0.210   0.038
 1958.0    0.209   0.039
 1959.0    0.209   0.039
 1960.0    0.208   0.040
 1961.0    0.208   0.040
 1962.0    0.207   0.040
 1963.0    0.207   0.041
 1964.0    0.207   0.041
 1965.0    0.206   0.042
 1966.0    0.206   0.042
 1967.0    0.205   0.042
 1968.0    0.205   0.043
 1969.0    0.204   0.043
 1970.0    0.204   0.043
 1971.0    0.203   0.044
 1972.0    0.203   0.044
 1973.0    0.202   0.044
 1974.0    0.202   0.045
 1975.0    0.202   0.045
 1976.0    0.201   0.045
 1977.0    0.201   0.046
 1978.0    0.200   0.046
 1979.0    0.200   0.046
 1980.0    0.199   0.046
 1981.0    0.199   0.047
 1982.0    0.198   0.047
 1983.0    0.198   0.047
 1984.0    0.197   0.047
 1985.0    0.197   0.048
 1986.0    0.196   0.048
 1987.0    0.196   0.048
 1988.0    0.196   0.048
 1989.0    0.195   0.049
 1990.0    0.195   0.049
 1991.0    0.194   0.049
 1992.0    0.194   0.049
 1993.0    0.193   0.050
 1994.0    0.193   0.050
 1995.0    0.192   0.050
 1996.0    0.192   0.050
 1997.0    0.191   0.050
 1998.0    0.191   0.050
 1999.0    0.190   0.051
 2000.0    0.190   0.051
 2001.0    0.190   0.051
 2002.0    0.189   0.051
 2003.0    0.189   0.051
 2004.0    0.188   0.051
 2005.0    0.188   0.051
 2006.0    0.187   0.052
 2007.0    0.187   0.052
 2008.0    0.186   0.052
 2009.0    0.186   0.052
 2010.0    0.185   0.052
 2011.0    0.185   0.052
 2012.0    0.185   0.052
 2013.0    0.184   0.052
 2014.0    0.184   0.052
 2015.0    0.183   0.053
 2016.0    0.183   0.053
 2017.0    0.182   0.053
 2018.0    0.182   0.053
 2019.0    0.182   0.053
 2020.0    0.181   0.053
 2021.0    0.181   0.053
 2022.0    0.180   0.053
 2023.0    0.180   0.053
 2024.0    0.179   0.053
 2025.0    0.179   0.053
 2026.0    0.179   0.053
 2027.0    0.178   0.053
 2028.0    0.178   0.053
 2029.0    0.177   0.053
 2030.0    0.177   0.053
 2031.0    0.177   0.053
 2032.0    0.176   0.053
 2033.0    0.176   0.053
 2034.0    0.175   0.053
 2035.0    0.175   0.053
 2036.0    0.175   0.053
 2037.0    0.174   0.053
 2038.0    0.174   0.053
 2039.0    0.174   0.053
 2040.0    0.173   0.053
 2041.0    0.173   0.053
 2042.0    0.172   0.053
 2043.0    0.172   0.053
 2044.0    0.172   0.053
 2045.0    0.171   0.053
 2046.0    0.171   0.053
 2047.0    0.171   0.053
 2048.0    0.170   0.053
 2049.0    0.170   0.053
 2050.0    0.170   0.052
 2051.0    0.169   0.052
 2052.0    0.169   0.052
 2053.0    0.169   0.052
 2054.0    0.168   0.052
 2055.0    0.168   0.052
 2056.0    0.168   0.052
 2057.0    0.167   0.052
 2058.0    0.167   0.052
 2059.0    0.167   0.052
 2060.0    0.166   0.052
 2061.0    0.166   0.052
 2062.0    0.166   0.051
 2063.0    0.165   0.051
 2064.0    0.165   0.051
 2065.0    0.165   0.051
 2066.0    0.165   0.051
 2067.0    0.164   0.051
 2068.0    0.164   0.051
 2069.0    0.164   0.051
 2070.0    0.163   0.051
 2071.0    0.163   0.050
 2072.0    0.163   0.050
 2073.0    0.163   0.050
 2074.0    0.162   0.050
 2075.0    0.162   0.050
