   W         M2-(eta_p)
 (MeV)      Re      Im
 1800.0    0.412   0.000
 1801.0    0.413   0.000
 1802.0    0.414   0.000
 1803.0    0.415   0.000
 1804.0    0.416   0.000
 1805.0    0.416   0.000
 1806.0    0.417   0.000
 1807.0    0.418   0.000
 1808.0    0.419   0.000
 1809.0    0.420   0.000
 1810.0    0.420   0.000
 1811.0    0.421   0.000
 1812.0    0.422   0.000
 1813.0    0.423   0.000
 1814.0    0.424   0.000
 1815.0    0.424   0.000
 1816.0    0.425   0.000
 1817.0    0.426   0.000
 1818.0    0.427   0.000
 1819.0    0.428   0.000
 1820.0    0.428   0.000
 1821.0    0.429   0.000
 1822.0    0.430   0.000
 1823.0    0.431   0.000
 1824.0    0.431   0.000
 1825.0    0.432   0.000
 1826.0    0.433   0.000
 1827.0    0.434   0.000
 1828.0    0.434   0.000
 1829.0    0.435   0.000
 1830.0    0.436   0.000
 1831.0    0.437   0.000
 1832.0    0.437   0.000
 1833.0    0.438   0.000
 1834.0    0.439   0.000
 1835.0    0.440   0.000
 1836.0    0.440   0.000
 1837.0    0.441   0.000
 1838.0    0.442   0.000
 1839.0    0.442   0.000
 1840.0    0.443   0.000
 1841.0    0.444   0.000
 1842.0    0.445   0.000
 1843.0    0.445   0.000
 1844.0    0.446   0.000
 1845.0    0.447   0.000
 1846.0    0.447   0.000
 1847.0    0.448   0.000
 1848.0    0.449   0.000
 1849.0    0.450   0.000
 1850.0    0.450   0.000
 1851.0    0.451   0.000
 1852.0    0.452   0.000
 1853.0    0.452   0.000
 1854.0    0.453   0.000
 1855.0    0.454   0.000
 1856.0    0.454   0.000
 1857.0    0.455   0.000
 1858.0    0.456   0.000
 1859.0    0.456   0.000
 1860.0    0.457   0.000
 1861.0    0.458   0.000
 1862.0    0.458   0.000
 1863.0    0.459   0.000
 1864.0    0.460   0.000
 1865.0    0.460   0.000
 1866.0    0.461   0.000
 1867.0    0.462   0.000
 1868.0    0.462   0.000
 1869.0    0.463   0.000
 1870.0    0.463   0.000
 1871.0    0.464   0.000
 1872.0    0.465   0.000
 1873.0    0.465   0.000
 1874.0    0.466   0.000
 1875.0    0.467   0.000
 1876.0    0.467   0.000
 1877.0    0.468   0.000
 1878.0    0.469   0.000
 1879.0    0.469   0.000
 1880.0    0.470   0.000
 1881.0    0.470   0.000
 1882.0    0.471   0.000
 1883.0    0.472   0.000
 1884.0    0.472   0.000
 1885.0    0.473   0.000
 1886.0    0.473   0.000
 1887.0    0.474   0.000
 1888.0    0.475   0.000
 1889.0    0.475   0.000
 1890.0    0.476   0.000
 1891.0    0.476   0.000
 1892.0    0.477   0.000
 1893.0    0.478   0.000
 1894.0    0.478   0.000
 1895.0    0.479   0.000
 1896.0    0.479   0.000
 1897.0    0.480   0.000
 1898.0    0.480   0.000
 1899.0    0.481   0.000
 1900.0    0.482   0.000
 1901.0    0.482   0.000
 1902.0    0.483   0.000
 1903.0    0.483   0.000
 1904.0    0.484   0.000
 1905.0    0.484   0.000
 1906.0    0.485   0.000
 1907.0    0.485   0.000
 1908.0    0.486   0.000
 1909.0    0.487   0.000
 1910.0    0.487   0.000
 1911.0    0.488   0.000
 1912.0    0.488   0.000
 1913.0    0.489   0.000
 1914.0    0.489   0.000
 1915.0    0.490   0.000
 1916.0    0.490   0.000
 1917.0    0.491   0.000
 1918.0    0.491   0.000
 1919.0    0.492   0.000
 1920.0    0.492   0.000
 1921.0    0.493   0.000
 1922.0    0.493   0.000
 1923.0    0.494   0.000
 1924.0    0.495   0.000
 1925.0    0.495   0.000
 1926.0    0.496   0.000
 1927.0    0.496   0.000
 1928.0    0.497   0.000
 1929.0    0.497   0.000
 1930.0    0.498   0.000
 1931.0    0.498   0.000
 1932.0    0.499   0.000
 1933.0    0.499   0.000
 1934.0    0.500   0.000
 1935.0    0.500   0.000
 1936.0    0.500   0.000
 1937.0    0.501   0.000
 1938.0    0.501   0.000
 1939.0    0.502   0.000
 1940.0    0.502   0.000
 1941.0    0.503   0.000
 1942.0    0.503   0.000
 1943.0    0.504   0.000
 1944.0    0.504   0.000
 1945.0    0.505   0.000
 1946.0    0.505   0.000
 1947.0    0.506   0.000
 1948.0    0.506   0.000
 1949.0    0.507   0.000
 1950.0    0.507   0.000
 1951.0    0.508   0.000
 1952.0    0.508   0.000
 1953.0    0.508   0.000
 1954.0    0.509   0.000
 1955.0    0.509   0.000
 1956.0    0.510   0.000
 1957.0    0.510   0.000
 1958.0    0.511   0.000
 1959.0    0.511   0.000
 1960.0    0.512   0.000
 1961.0    0.512   0.000
 1962.0    0.512   0.000
 1963.0    0.513   0.000
 1964.0    0.513   0.000
 1965.0    0.514   0.000
 1966.0    0.514   0.000
 1967.0    0.515   0.000
 1968.0    0.515   0.000
 1969.0    0.515   0.000
 1970.0    0.516   0.000
 1971.0    0.516   0.000
 1972.0    0.517   0.000
 1973.0    0.517   0.000
 1974.0    0.517   0.000
 1975.0    0.518   0.000
 1976.0    0.518   0.000
 1977.0    0.519   0.000
 1978.0    0.519   0.000
 1979.0    0.519   0.000
 1980.0    0.520   0.000
 1981.0    0.520   0.000
 1982.0    0.521   0.000
 1983.0    0.521   0.000
 1984.0    0.521   0.000
 1985.0    0.522   0.000
 1986.0    0.522   0.000
 1987.0    0.523   0.000
 1988.0    0.523   0.000
 1989.0    0.523   0.000
 1990.0    0.524   0.000
 1991.0    0.524   0.000
 1992.0    0.524   0.000
 1993.0    0.525   0.000
 1994.0    0.525   0.000
 1995.0    0.526   0.000
 1996.0    0.526   0.000
 1997.0    0.526   0.000
 1998.0    0.527   0.000
 1999.0    0.527   0.000
 2000.0    0.527   0.000
