   W         M2-(eta_p)
 (MeV)      Re      Im
 1841.0    0.182   0.097
 1842.0    0.182   0.098
 1843.0    0.183   0.098
 1844.0    0.183   0.099
 1845.0    0.183   0.099
 1846.0    0.183   0.099
 1847.0    0.184   0.100
 1848.0    0.184   0.100
 1849.0    0.184   0.101
 1850.0    0.184   0.101
 1851.0    0.185   0.102
 1852.0    0.185   0.102
 1853.0    0.185   0.102
 1854.0    0.185   0.103
 1855.0    0.185   0.103
 1856.0    0.185   0.103
 1857.0    0.186   0.104
 1858.0    0.186   0.104
 1859.0    0.186   0.104
 1860.0    0.186   0.104
 1861.0    0.186   0.105
 1862.0    0.186   0.105
 1863.0    0.187   0.105
 1864.0    0.187   0.105
 1865.0    0.187   0.105
 1866.0    0.187   0.105
 1867.0    0.187   0.106
 1868.0    0.187   0.106
 1869.0    0.187   0.106
 1870.0    0.188   0.106
 1871.0    0.188   0.106
 1872.0    0.188   0.106
 1873.0    0.188   0.106
 1874.0    0.188   0.106
 1875.0    0.188   0.106
 1876.0    0.189   0.106
 1877.0    0.189   0.106
 1878.0    0.189   0.106
 1879.0    0.189   0.106
 1880.0    0.189   0.106
 1881.0    0.189   0.106
 1882.0    0.190   0.106
 1883.0    0.190   0.106
 1884.0    0.190   0.106
 1885.0    0.190   0.106
 1886.0    0.190   0.106
 1887.0    0.190   0.106
 1888.0    0.191   0.106
 1889.0    0.191   0.105
 1890.0    0.191   0.105
 1891.0    0.191   0.105
 1892.0    0.192   0.105
 1893.0    0.192   0.105
 1894.0    0.192   0.105
 1895.0    0.192   0.104
 1896.0    0.193   0.104
 1897.0    0.193   0.104
 1898.0    0.193   0.104
 1899.0    0.193   0.104
 1900.0    0.194   0.104
 1901.0    0.194   0.103
 1902.0    0.194   0.103
 1903.0    0.194   0.103
 1904.0    0.195   0.103
 1905.0    0.195   0.102
 1906.0    0.195   0.102
 1907.0    0.196   0.102
 1908.0    0.196   0.102
 1909.0    0.196   0.102
 1910.0    0.196   0.101
 1911.0    0.197   0.101
 1912.0    0.197   0.101
 1913.0    0.197   0.100
 1914.0    0.198   0.100
 1915.0    0.198   0.100
 1916.0    0.199   0.100
 1917.0    0.199   0.099
 1918.0    0.199   0.099
 1919.0    0.200   0.099
 1920.0    0.200   0.099
 1921.0    0.200   0.098
 1922.0    0.201   0.098
 1923.0    0.201   0.098
 1924.0    0.201   0.097
 1925.0    0.202   0.097
 1926.0    0.202   0.097
 1927.0    0.203   0.097
 1928.0    0.203   0.096
 1929.0    0.203   0.096
 1930.0    0.204   0.096
 1931.0    0.204   0.096
 1932.0    0.205   0.095
 1933.0    0.205   0.095
 1934.0    0.206   0.095
 1935.0    0.206   0.094
 1936.0    0.206   0.094
 1937.0    0.207   0.094
 1938.0    0.207   0.093
 1939.0    0.208   0.093
 1940.0    0.208   0.093
 1941.0    0.209   0.093
 1942.0    0.209   0.092
 1943.0    0.210   0.092
 1944.0    0.210   0.092
 1945.0    0.210   0.091
 1946.0    0.211   0.091
 1947.0    0.211   0.091
 1948.0    0.212   0.091
 1949.0    0.212   0.090
 1950.0    0.213   0.090
