   W          E3-(pi0_p)
 (MeV)       Re        Im
 1690.00   -0.40489   1.85472
 1691.00   -0.42669   1.83949
 1692.00   -0.44781   1.82386
 1693.00   -0.46825   1.80787
 1694.00   -0.48800   1.79155
 1695.00   -0.50708   1.77494
 1696.00   -0.52548   1.75806
 1697.00   -0.54321   1.74095
 1698.00   -0.56026   1.72363
 1699.00   -0.57666   1.70614
 1700.00   -0.59240   1.68850
 1701.00   -0.60750   1.67074
 1702.00   -0.62196   1.65288
 1703.00   -0.63580   1.63495
 1704.00   -0.64902   1.61697
 1705.00   -0.66164   1.59896
 1706.00   -0.67367   1.58094
 1707.00   -0.68513   1.56292
 1708.00   -0.69602   1.54494
 1709.00   -0.70637   1.52700
 1710.00   -0.71618   1.50912
 1711.00   -0.72547   1.49132
 1712.00   -0.73425   1.47361
 1713.00   -0.74254   1.45600
 1714.00   -0.75035   1.43850
 1715.00   -0.75770   1.42112
 1716.00   -0.76460   1.40388
 1717.00   -0.77107   1.38678
 1718.00   -0.77712   1.36984
 1719.00   -0.78277   1.35305
 1720.00   -0.78803   1.33642
 1721.00   -0.79291   1.31997
 1722.00   -0.79742   1.30369
 1723.00   -0.80159   1.28760
 1724.00   -0.80541   1.27169
 1725.00   -0.80892   1.25597
 1726.00   -0.81211   1.24044
 1727.00   -0.81500   1.22511
 1728.00   -0.81760   1.20997
 1729.00   -0.81992   1.19504
 1730.00   -0.82198   1.18031
 1731.00   -0.82378   1.16577
 1732.00   -0.82533   1.15144
 1733.00   -0.82665   1.13732
 1734.00   -0.82774   1.12339
 1735.00   -0.82862   1.10967
 1736.00   -0.82929   1.09615
 1737.00   -0.82977   1.08283
 1738.00   -0.83005   1.06972
 1739.00   -0.83016   1.05680
 1740.00   -0.83009   1.04408
 1741.00   -0.82986   1.03156
 1742.00   -0.82947   1.01924
 1743.00   -0.82893   1.00711
 1744.00   -0.82824   0.99517
 1745.00   -0.82742   0.98342
 1746.00   -0.82647   0.97186
 1747.00   -0.82539   0.96048
 1748.00   -0.82419   0.94929
 1749.00   -0.82288   0.93829
 1750.00   -0.82145   0.92746
 1751.00   -0.81992   0.91681
 1752.00   -0.81830   0.90634
 1753.00   -0.81658   0.89604
 1754.00   -0.81477   0.88591
 1755.00   -0.81288   0.87595
 1756.00   -0.81091   0.86616
 1757.00   -0.80887   0.85653
 1758.00   -0.80676   0.84705
 1759.00   -0.80458   0.83774
 1760.00   -0.80234   0.82858
 1761.00   -0.80005   0.81958
 1762.00   -0.79771   0.81072
 1763.00   -0.79531   0.80202
 1764.00   -0.79287   0.79345
 1765.00   -0.79038   0.78504
 1766.00   -0.78785   0.77676
 1767.00   -0.78527   0.76862
 1768.00   -0.78266   0.76062
 1769.00   -0.78001   0.75275
 1770.00   -0.77732   0.74501
 1771.00   -0.77460   0.73740
 1772.00   -0.77184   0.72992
 1773.00   -0.76906   0.72256
 1774.00   -0.76625   0.71532
 1775.00   -0.76342   0.70821
 1776.00   -0.76057   0.70121
 1777.00   -0.75769   0.69433
 1778.00   -0.75480   0.68757
 1779.00   -0.75190   0.68092
 1780.00   -0.74899   0.67438
 1781.00   -0.74606   0.66794
 1782.00   -0.74313   0.66162
 1783.00   -0.74018   0.65540
 1784.00   -0.73723   0.64928
 1785.00   -0.73427   0.64326
 1786.00   -0.73131   0.63735
 1787.00   -0.72834   0.63153
 1788.00   -0.72537   0.62580
 1789.00   -0.72239   0.62017
 1790.00   -0.71940   0.61463
 1791.00   -0.71642   0.60919
 1792.00   -0.71343   0.60383
 1793.00   -0.71044   0.59855
 1794.00   -0.70745   0.59337
 1795.00   -0.70446   0.58826
 1796.00   -0.70147   0.58324
 1797.00   -0.69849   0.57830
 1798.00   -0.69552   0.57344
 1799.00   -0.69256   0.56866
 1800.00   -0.68960   0.56395
 1801.00   -0.68665   0.55932
 1802.00   -0.68372   0.55477
 1803.00   -0.68079   0.55028
 1804.00   -0.67787   0.54587
 1805.00   -0.67496   0.54153
 1806.00   -0.67206   0.53726
 1807.00   -0.66917   0.53305
 1808.00   -0.66628   0.52891
 1809.00   -0.66341   0.52484
 1810.00   -0.66054   0.52083
 1811.00   -0.65768   0.51688
 1812.00   -0.65483   0.51300
 1813.00   -0.65198   0.50917
 1814.00   -0.64915   0.50540
 1815.00   -0.64633   0.50169
 1816.00   -0.64352   0.49804
 1817.00   -0.64073   0.49444
 1818.00   -0.63795   0.49090
 1819.00   -0.63518   0.48741
 1820.00   -0.63244   0.48398
 1821.00   -0.62971   0.48060
 1822.00   -0.62700   0.47727
 1823.00   -0.62430   0.47399
 1824.00   -0.62162   0.47076
 1825.00   -0.61896   0.46758
 1826.00   -0.61632   0.46444
 1827.00   -0.61369   0.46135
 1828.00   -0.61108   0.45831
 1829.00   -0.60848   0.45532
 1830.00   -0.60590   0.45236
 1831.00   -0.60333   0.44945
 1832.00   -0.60077   0.44658
 1833.00   -0.59823   0.44376
 1834.00   -0.59570   0.44097
 1835.00   -0.59319   0.43822
 1836.00   -0.59069   0.43551
 1837.00   -0.58820   0.43284
 1838.00   -0.58573   0.43021
 1839.00   -0.58328   0.42761
 1840.00   -0.58084   0.42505
 1841.00   -0.57841   0.42252
 1842.00   -0.57600   0.42003
 1843.00   -0.57361   0.41757
 1844.00   -0.57123   0.41514
 1845.00   -0.56887   0.41275
 1846.00   -0.56652   0.41038
 1847.00   -0.56420   0.40805
 1848.00   -0.56189   0.40575
 1849.00   -0.55959   0.40349
 1850.00   -0.55732   0.40125
 1851.00   -0.55507   0.39904
 1852.00   -0.55283   0.39686
 1853.00   -0.55061   0.39471
 1854.00   -0.54841   0.39259
 1855.00   -0.54623   0.39050
 1856.00   -0.54406   0.38843
 1857.00   -0.54190   0.38638
 1858.00   -0.53976   0.38437
 1859.00   -0.53764   0.38238
 1860.00   -0.53553   0.38041
 1861.00   -0.53343   0.37846
 1862.00   -0.53134   0.37654
 1863.00   -0.52927   0.37464
 1864.00   -0.52721   0.37276
 1865.00   -0.52517   0.37091
 1866.00   -0.52314   0.36907
 1867.00   -0.52112   0.36726
 1868.00   -0.51912   0.36547
 1869.00   -0.51713   0.36369
 1870.00   -0.51516   0.36194
 1871.00   -0.51320   0.36021
 1872.00   -0.51125   0.35850
 1873.00   -0.50932   0.35680
 1874.00   -0.50741   0.35512
 1875.00   -0.50550   0.35346
 1876.00   -0.50361   0.35182
 1877.00   -0.50174   0.35020
 1878.00   -0.49987   0.34859
 1879.00   -0.49802   0.34700
 1880.00   -0.49618   0.34543
 1881.00   -0.49435   0.34387
 1882.00   -0.49254   0.34232
 1883.00   -0.49073   0.34080
 1884.00   -0.48894   0.33928
 1885.00   -0.48716   0.33779
 1886.00   -0.48540   0.33630
 1887.00   -0.48364   0.33483
 1888.00   -0.48190   0.33338
 1889.00   -0.48017   0.33193
 1890.00   -0.47846   0.33051
 1891.00   -0.47676   0.32909
 1892.00   -0.47506   0.32769
 1893.00   -0.47339   0.32630
 1894.00   -0.47172   0.32493
 1895.00   -0.47006   0.32356
 1896.00   -0.46842   0.32221
 1897.00   -0.46678   0.32087
 1898.00   -0.46516   0.31955
 1899.00   -0.46354   0.31823
 1900.00   -0.46194   0.31693
 1901.00   -0.46034   0.31564
 1902.00   -0.45875   0.31436
 1903.00   -0.45717   0.31310
 1904.00   -0.45560   0.31184
 1905.00   -0.45404   0.31059
 1906.00   -0.45249   0.30936
 1907.00   -0.45095   0.30813
 1908.00   -0.44941   0.30692
 1909.00   -0.44789   0.30571
 1910.00   -0.44637   0.30451
 1911.00   -0.44487   0.30333
 1912.00   -0.44337   0.30215
 1913.00   -0.44189   0.30098
 1914.00   -0.44041   0.29982
 1915.00   -0.43894   0.29867
 1916.00   -0.43748   0.29752
 1917.00   -0.43603   0.29639
 1918.00   -0.43459   0.29526
