   W          M2+(pi0_p)
 (MeV)       Re        Im
 1422.00    0.19150  -0.01348
 1423.00    0.19336  -0.01350
 1424.00    0.19523  -0.01353
 1425.00    0.19710  -0.01356
 1426.00    0.19897  -0.01358
 1427.00    0.20085  -0.01360
 1428.00    0.20274  -0.01363
 1429.00    0.20463  -0.01365
 1430.00    0.20652  -0.01368
 1431.00    0.20842  -0.01370
 1432.00    0.21033  -0.01373
 1433.00    0.21224  -0.01375
 1434.00    0.21415  -0.01378
 1435.00    0.21607  -0.01380
 1436.00    0.21799  -0.01383
 1437.00    0.21992  -0.01385
 1438.00    0.22185  -0.01388
 1439.00    0.22378  -0.01390
 1440.00    0.22571  -0.01392
 1441.00    0.22765  -0.01395
 1442.00    0.22959  -0.01397
 1443.00    0.23153  -0.01399
 1444.00    0.23348  -0.01401
 1445.00    0.23543  -0.01403
 1446.00    0.23739  -0.01404
 1447.00    0.23935  -0.01406
 1448.00    0.24131  -0.01408
 1449.00    0.24328  -0.01410
 1450.00    0.24526  -0.01412
 1451.00    0.24724  -0.01413
 1452.00    0.24923  -0.01415
 1453.00    0.25122  -0.01417
 1454.00    0.25321  -0.01419
 1455.00    0.25521  -0.01421
 1456.00    0.25722  -0.01422
 1457.00    0.25922  -0.01424
 1458.00    0.26124  -0.01425
 1459.00    0.26325  -0.01427
 1460.00    0.26527  -0.01428
 1461.00    0.26729  -0.01430
 1462.00    0.26931  -0.01431
 1463.00    0.27133  -0.01432
 1464.00    0.27336  -0.01433
 1465.00    0.27539  -0.01434
 1466.00    0.27743  -0.01435
 1467.00    0.27946  -0.01436
 1468.00    0.28150  -0.01437
 1469.00    0.28355  -0.01438
 1470.00    0.28559  -0.01439
 1471.00    0.28764  -0.01439
 1472.00    0.28970  -0.01440
 1473.00    0.29175  -0.01441
 1474.00    0.29381  -0.01441
 1475.00    0.29588  -0.01442
 1476.00    0.29794  -0.01442
 1477.00    0.30001  -0.01442
 1478.00    0.30209  -0.01443
 1479.00    0.30416  -0.01443
 1480.00    0.30624  -0.01443
 1481.00    0.30833  -0.01444
 1482.00    0.31041  -0.01444
 1483.00    0.31250  -0.01444
 1484.00    0.31460  -0.01444
 1485.00    0.31669  -0.01444
 1486.00    0.31879  -0.01445
 1487.00    0.32090  -0.01445
 1488.00    0.32300  -0.01445
 1489.00    0.32511  -0.01444
 1490.00    0.32723  -0.01444
 1491.00    0.32934  -0.01444
 1492.00    0.33146  -0.01444
 1493.00    0.33358  -0.01443
 1494.00    0.33570  -0.01443
 1495.00    0.33783  -0.01442
 1496.00    0.33996  -0.01441
 1497.00    0.34209  -0.01441
 1498.00    0.34422  -0.01440
 1499.00    0.34636  -0.01439
 1500.00    0.34849  -0.01437
 1501.00    0.35063  -0.01436
 1502.00    0.35277  -0.01435
 1503.00    0.35491  -0.01433
 1504.00    0.35705  -0.01432
 1505.00    0.35919  -0.01430
 1506.00    0.36134  -0.01428
 1507.00    0.36349  -0.01426
 1508.00    0.36564  -0.01424
 1509.00    0.36780  -0.01422
 1510.00    0.36996  -0.01420
 1511.00    0.37212  -0.01418
 1512.00    0.37428  -0.01416
 1513.00    0.37645  -0.01414
 1514.00    0.37862  -0.01412
 1515.00    0.38079  -0.01409
 1516.00    0.38296  -0.01407
 1517.00    0.38514  -0.01404
 1518.00    0.38732  -0.01402
 1519.00    0.38950  -0.01399
 1520.00    0.39168  -0.01396
 1521.00    0.39387  -0.01393
 1522.00    0.39605  -0.01390
 1523.00    0.39824  -0.01387
 1524.00    0.40043  -0.01384
 1525.00    0.40262  -0.01381
 1526.00    0.40481  -0.01377
 1527.00    0.40700  -0.01374
 1528.00    0.40920  -0.01370
 1529.00    0.41140  -0.01366
 1530.00    0.41360  -0.01362
 1531.00    0.41580  -0.01358
 1532.00    0.41800  -0.01354
 1533.00    0.42020  -0.01349
 1534.00    0.42241  -0.01345
 1535.00    0.42461  -0.01340
 1536.00    0.42682  -0.01336
 1537.00    0.42903  -0.01331
 1538.00    0.43124  -0.01326
 1539.00    0.43346  -0.01320
 1540.00    0.43567  -0.01315
 1541.00    0.43788  -0.01310
 1542.00    0.44010  -0.01304
 1543.00    0.44232  -0.01298
 1544.00    0.44454  -0.01293
 1545.00    0.44675  -0.01287
 1546.00    0.44898  -0.01280
 1547.00    0.45120  -0.01274
 1548.00    0.45342  -0.01268
 1549.00    0.45564  -0.01261
 1550.00    0.45787  -0.01254
 1551.00    0.46009  -0.01247
 1552.00    0.46231  -0.01240
 1553.00    0.46454  -0.01233
 1554.00    0.46677  -0.01226
 1555.00    0.46899  -0.01218
 1556.00    0.47122  -0.01210
 1557.00    0.47345  -0.01202
 1558.00    0.47568  -0.01194
 1559.00    0.47791  -0.01186
 1560.00    0.48014  -0.01178
 1561.00    0.48237  -0.01169
 1562.00    0.48460  -0.01160
 1563.00    0.48684  -0.01151
 1564.00    0.48907  -0.01142
 1565.00    0.49130  -0.01132
 1566.00    0.49353  -0.01123
 1567.00    0.49577  -0.01113
 1568.00    0.49800  -0.01103
