   W          M2+(pi0_p)
 (MeV)       Re        Im
 1633.00   -0.88706   0.00000
 1634.00   -0.88864   0.00000
 1635.00   -0.89022   0.00000
 1636.00   -0.89179   0.00000
 1637.00   -0.89336   0.00000
 1638.00   -0.89493   0.00000
 1639.00   -0.89651   0.00000
 1640.00   -0.89808   0.00000
 1641.00   -0.89965   0.00000
 1642.00   -0.90121   0.00000
 1643.00   -0.90278   0.00000
 1644.00   -0.90435   0.00000
 1645.00   -0.90591   0.00000
 1646.00   -0.90748   0.00000
 1647.00   -0.90904   0.00000
 1648.00   -0.91061   0.00000
 1649.00   -0.91217   0.00000
 1650.00   -0.91373   0.00000
 1651.00   -0.91529   0.00000
 1652.00   -0.91685   0.00000
 1653.00   -0.91841   0.00000
 1654.00   -0.91997   0.00000
 1655.00   -0.92152   0.00000
 1656.00   -0.92308   0.00000
 1657.00   -0.92463   0.00000
 1658.00   -0.92619   0.00000
 1659.00   -0.92774   0.00000
 1660.00   -0.92929   0.00000
 1661.00   -0.93084   0.00000
 1662.00   -0.93239   0.00000
 1663.00   -0.93394   0.00000
 1664.00   -0.93549   0.00000
 1665.00   -0.93704   0.00000
 1666.00   -0.93858   0.00000
 1667.00   -0.94013   0.00000
 1668.00   -0.94167   0.00000
 1669.00   -0.94322   0.00000
 1670.00   -0.94476   0.00000
 1671.00   -0.94630   0.00000
 1672.00   -0.94784   0.00000
 1673.00   -0.94938   0.00000
 1674.00   -0.95092   0.00000
 1675.00   -0.95246   0.00000
 1676.00   -0.95400   0.00000
 1677.00   -0.95553   0.00000
 1678.00   -0.95707   0.00000
 1679.00   -0.95860   0.00000
 1680.00   -0.96013   0.00000
 1681.00   -0.96167   0.00000
 1682.00   -0.96320   0.00000
 1683.00   -0.96473   0.00000
 1684.00   -0.96626   0.00000
 1685.00   -0.96778   0.00000
 1686.00   -0.96931   0.00000
 1687.00   -0.97084   0.00000
 1688.00   -0.97236   0.00000
 1689.00   -0.97389   0.00000
 1690.00   -0.97541   0.00000
 1691.00   -0.97693   0.00000
 1692.00   -0.97845   0.00000
 1693.00   -0.97997   0.00000
 1694.00   -0.98149   0.00000
 1695.00   -0.98301   0.00000
 1696.00   -0.98453   0.00000
 1697.00   -0.98605   0.00000
 1698.00   -0.98756   0.00000
 1699.00   -0.98908   0.00000
 1700.00   -0.99059   0.00000
 1701.00   -0.99210   0.00000
 1702.00   -0.99361   0.00000
 1703.00   -0.99512   0.00000
 1704.00   -0.99663   0.00000
 1705.00   -0.99814   0.00000
 1706.00   -0.99965   0.00000
 1707.00   -1.00116   0.00000
 1708.00   -1.00266   0.00000
 1709.00   -1.00417   0.00000
 1710.00   -1.00567   0.00000
 1711.00   -1.00717   0.00000
 1712.00   -1.00867   0.00000
 1713.00   -1.01017   0.00000
 1714.00   -1.01167   0.00000
 1715.00   -1.01317   0.00000
 1716.00   -1.01467   0.00000
 1717.00   -1.01617   0.00000
 1718.00   -1.01766   0.00000
 1719.00   -1.01916   0.00000
 1720.00   -1.02065   0.00000
 1721.00   -1.02214   0.00000
 1722.00   -1.02363   0.00000
 1723.00   -1.02512   0.00000
 1724.00   -1.02661   0.00000
 1725.00   -1.02810   0.00000
 1726.00   -1.02959   0.00000
 1727.00   -1.03108   0.00000
 1728.00   -1.03256   0.00000
 1729.00   -1.03405   0.00000
 1730.00   -1.03553   0.00000
 1731.00   -1.03701   0.00000
 1732.00   -1.03849   0.00000
 1733.00   -1.03997   0.00000
 1734.00   -1.04145   0.00000
 1735.00   -1.04293   0.00000
 1736.00   -1.04441   0.00000
 1737.00   -1.04588   0.00000
 1738.00   -1.04736   0.00000
 1739.00   -1.04883   0.00000
 1740.00   -1.05031   0.00000
 1741.00   -1.05178   0.00000
 1742.00   -1.05325   0.00000
 1743.00   -1.05472   0.00000
 1744.00   -1.05619   0.00000
 1745.00   -1.05766   0.00000
 1746.00   -1.05912   0.00000
 1747.00   -1.06059   0.00000
 1748.00   -1.06206   0.00000
 1749.00   -1.06352   0.00000
 1750.00   -1.06498   0.00000
 1751.00   -1.06644   0.00000
 1752.00   -1.06790   0.00000
 1753.00   -1.06936   0.00000
 1754.00   -1.07082   0.00000
 1755.00   -1.07228   0.00000
 1756.00   -1.07374   0.00000
 1757.00   -1.07519   0.00000
 1758.00   -1.07665   0.00000
 1759.00   -1.07810   0.00000
 1760.00   -1.07955   0.00000
 1761.00   -1.08101   0.00000
 1762.00   -1.08246   0.00000
 1763.00   -1.08391   0.00000
 1764.00   -1.08535   0.00000
 1765.00   -1.08680   0.00000
 1766.00   -1.08825   0.00000
 1767.00   -1.08969   0.00000
 1768.00   -1.09114   0.00000
 1769.00   -1.09258   0.00000
 1770.00   -1.09402   0.00000
 1771.00   -1.09546   0.00000
 1772.00   -1.09690   0.00000
 1773.00   -1.09834   0.00000
 1774.00   -1.09978   0.00000
 1775.00   -1.10122   0.00000
 1776.00   -1.10265   0.00000
 1777.00   -1.10409   0.00000
 1778.00   -1.10552   0.00000
 1779.00   -1.10695   0.00000
 1780.00   -1.10838   0.00000
 1781.00   -1.10982   0.00000
 1782.00   -1.11124   0.00000
 1783.00   -1.11267   0.00000
 1784.00   -1.11410   0.00000
 1785.00   -1.11553   0.00000
 1786.00   -1.11695   0.00000
 1787.00   -1.11838   0.00000
 1788.00   -1.11980   0.00000
 1789.00   -1.12122   0.00000
 1790.00   -1.12264   0.00000
 1791.00   -1.12406   0.00000
 1792.00   -1.12548   0.00000
 1793.00   -1.12690   0.00000
 1794.00   -1.12832   0.00000
 1795.00   -1.12973   0.00000
 1796.00   -1.13115   0.00000
 1797.00   -1.13256   0.00000
 1798.00   -1.13397   0.00000
 1799.00   -1.13538   0.00000
 1800.00   -1.13679   0.00000
 1801.00   -1.13820   0.00000
 1802.00   -1.13961   0.00000
 1803.00   -1.14102   0.00000
 1804.00   -1.14243   0.00000
 1805.00   -1.14383   0.00000
 1806.00   -1.14523   0.00000
 1807.00   -1.14664   0.00000
 1808.00   -1.14804   0.00000
 1809.00   -1.14944   0.00000
 1810.00   -1.15084   0.00000
 1811.00   -1.15224   0.00000
 1812.00   -1.15364   0.00000
 1813.00   -1.15503   0.00000
 1814.00   -1.15643   0.00000
 1815.00   -1.15782   0.00000
 1816.00   -1.15922   0.00000
 1817.00   -1.16061   0.00000
 1818.00   -1.16200   0.00000
 1819.00   -1.16339   0.00000
 1820.00   -1.16478   0.00000
 1821.00   -1.16617   0.00000
 1822.00   -1.16755   0.00000
 1823.00   -1.16894   0.00000
 1824.00   -1.17032   0.00000
 1825.00   -1.17171   0.00000
 1826.00   -1.17309   0.00000
 1827.00   -1.17447   0.00000
 1828.00   -1.17585   0.00000
 1829.00   -1.17723   0.00000
 1830.00   -1.17861   0.00000
 1831.00   -1.17999   0.00000
 1832.00   -1.18136   0.00000
 1833.00   -1.18274   0.00000
 1834.00   -1.18411   0.00000
 1835.00   -1.18549   0.00000
 1836.00   -1.18686   0.00000
 1837.00   -1.18823   0.00000
 1838.00   -1.18960   0.00000
 1839.00   -1.19097   0.00000
 1840.00   -1.19234   0.00000
 1841.00   -1.19370   0.00000
 1842.00   -1.19507   0.00000
 1843.00   -1.19643   0.00000
 1844.00   -1.19780   0.00000
 1845.00   -1.19916   0.00000
 1846.00   -1.20052   0.00000
 1847.00   -1.20188   0.00000
 1848.00   -1.20324   0.00000
 1849.00   -1.20460   0.00000
 1850.00   -1.20595   0.00000
 1851.00   -1.20731   0.00000
 1852.00   -1.20866   0.00000
 1853.00   -1.21002   0.00000
 1854.00   -1.21137   0.00000
 1855.00   -1.21272   0.00000
 1856.00   -1.21407   0.00000
 1857.00   -1.21542   0.00000
 1858.00   -1.21677   0.00000
 1859.00   -1.21812   0.00000
 1860.00   -1.21946   0.00000
 1861.00   -1.22081   0.00000
 1862.00   -1.22215   0.00000
 1863.00   -1.22349   0.00000
 1864.00   -1.22484   0.00000
 1865.00   -1.22618   0.00000
 1866.00   -1.22752   0.00000
 1867.00   -1.22885   0.00000
 1868.00   -1.23019   0.00000
 1869.00   -1.23153   0.00000
 1870.00   -1.23286   0.00000
 1871.00   -1.23420   0.00000
 1872.00   -1.23553   0.00000
 1873.00   -1.23686   0.00000
 1874.00   -1.23819   0.00000
 1875.00   -1.23952   0.00000
 1876.00   -1.24085   0.00000
 1877.00   -1.24218   0.00000
 1878.00   -1.24351   0.00000
