   W          E0+(pi0_p)
 (MeV)       Re        Im
 1393.00    0.54777   3.40452
 1394.00    0.56352   3.40761
 1395.00    0.57938   3.41090
 1396.00    0.59534   3.41438
 1397.00    0.61143   3.41802
 1398.00    0.62763   3.42184
 1399.00    0.64396   3.42581
 1400.00    0.66041   3.42993
 1401.00    0.67655   3.43346
 1402.00    0.69282   3.43715
 1403.00    0.70922   3.44102
 1404.00    0.72574   3.44508
 1405.00    0.74238   3.44936
 1406.00    0.75914   3.45387
 1407.00    0.77602   3.45864
 1408.00    0.79302   3.46369
 1409.00    0.81014   3.46902
 1410.00    0.82737   3.47468
 1411.00    0.84436   3.47961
 1412.00    0.86147   3.48486
 1413.00    0.87871   3.49045
 1414.00    0.89608   3.49636
 1415.00    0.91360   3.50259
 1416.00    0.93127   3.50913
 1417.00    0.94910   3.51599
 1418.00    0.96710   3.52316
 1419.00    0.98527   3.53064
 1420.00    1.00363   3.53843
 1421.00    1.02140   3.54537
 1422.00    1.03936   3.55263
 1423.00    1.05750   3.56024
 1424.00    1.07582   3.56821
 1425.00    1.09431   3.57656
 1426.00    1.11297   3.58531
 1427.00    1.13179   3.59448
 1428.00    1.15077   3.60410
 1429.00    1.16990   3.61417
 1430.00    1.18918   3.62473
 1431.00    1.20738   3.63434
 1432.00    1.22574   3.64446
 1433.00    1.24427   3.65511
 1434.00    1.26297   3.66631
 1435.00    1.28186   3.67806
 1436.00    1.30094   3.69038
 1437.00    1.32023   3.70329
 1438.00    1.33973   3.71680
 1439.00    1.35946   3.73093
 1440.00    1.37942   3.74570
 1441.00    1.39815   3.75913
 1442.00    1.41712   3.77324
 1443.00    1.43633   3.78806
 1444.00    1.45579   3.80362
 1445.00    1.47547   3.81993
 1446.00    1.49539   3.83704
 1447.00    1.51554   3.85497
 1448.00    1.53591   3.87375
 1449.00    1.55651   3.89341
 1450.00    1.57732   3.91399
 1451.00    1.59630   3.93271
 1452.00    1.61548   3.95241
 1453.00    1.63481   3.97314
 1454.00    1.65429   3.99494
 1455.00    1.67388   4.01784
 1456.00    1.69356   4.04189
 1457.00    1.71330   4.06712
 1458.00    1.73309   4.09359
 1459.00    1.75288   4.12133
 1460.00    1.77265   4.15038
 1461.00    1.78908   4.17604
 1462.00    1.80552   4.20311
 1463.00    1.82204   4.23167
 1464.00    1.83871   4.26177
 1465.00    1.85558   4.29348
 1466.00    1.87270   4.32688
 1467.00    1.89013   4.36205
 1468.00    1.90791   4.39907
 1469.00    1.92610   4.43803
 1470.00    1.94472   4.47904
 1471.00    1.95872   4.51173
 1472.00    1.97276   4.54668
 1473.00    1.98639   4.58397
 1474.00    1.99916   4.62370
 1475.00    2.01064   4.66594
 1476.00    2.02036   4.71074
 1477.00    2.02789   4.75815
 1478.00    2.03278   4.80817
 1479.00    2.03459   4.86078
 1480.00    2.03289   4.91591
 1481.00    2.04265   4.93707
 1482.00    2.04907   4.96022
 1483.00    2.05276   4.98497
 1484.00    2.05435   5.01101
 1485.00    2.05446   5.03808
 1486.00    2.05371   5.06602
 1487.00    2.05268   5.09474
 1488.00    1.68084   5.23459
 1489.00    1.46702   5.29683
 1490.00    1.30102   5.33525
 1491.00    1.19645   5.38742
 1492.00    1.10423   5.43062
 1493.00    1.01992   5.46696
 1494.00    0.94088   5.49775
 1495.00    0.86538   5.52392
 1496.00    0.79218   5.54613
 1497.00    0.72032   5.56490
 1498.00    0.64910   5.58064
 1499.00    0.57792   5.59369
 1500.00    0.50631   5.60434
 1501.00    0.43536   5.63111
 1502.00    0.36356   5.65556
 1503.00    0.29092   5.67753
 1504.00    0.21747   5.69687
 1505.00    0.14324   5.71341
 1506.00    0.06831   5.72699
 1507.00   -0.00725   5.73746
 1508.00   -0.08334   5.74467
 1509.00   -0.15987   5.74847
 1510.00   -0.23674   5.74873
 1511.00   -0.31628   5.76357
 1512.00   -0.39590   5.77475
 1513.00   -0.47547   5.78229
 1514.00   -0.55485   5.78621
 1515.00   -0.63390   5.78656
 1516.00   -0.71249   5.78337
 1517.00   -0.79048   5.77669
 1518.00   -0.86773   5.76658
 1519.00   -0.94412   5.75309
 1520.00   -1.01950   5.73630
 1521.00   -1.10488   5.73186
 1522.00   -1.18903   5.72427
 1523.00   -1.27187   5.71364
 1524.00   -1.35329   5.70006
 1525.00   -1.43319   5.68363
 1526.00   -1.51143   5.66447
 1527.00   -1.58789   5.64268
 1528.00   -1.66241   5.61838
 1529.00   -1.73485   5.59168
 1530.00   -1.80504   5.56268
 1531.00   -1.89175   5.54023
 1532.00   -1.97601   5.51567
 1533.00   -2.05782   5.48910
 1534.00   -2.13712   5.46062
 1535.00   -2.21388   5.43036
 1536.00   -2.28805   5.39844
 1537.00   -2.35957   5.36501
 1538.00   -2.42839   5.33022
 1539.00   -2.49445   5.29425
 1540.00   -2.55772   5.25728
 1541.00   -2.63831   5.21811
 1542.00   -2.71598   5.17824
 1543.00   -2.79067   5.13776
 1544.00   -2.86234   5.09678
 1545.00   -2.93096   5.05541
 1546.00   -2.99652   5.01377
 1547.00   -3.05902   4.97199
 1548.00   -3.11847   4.93019
 1549.00   -3.17489   4.88851
 1550.00   -3.22832   4.84709
 1551.00   -3.29685   4.79632
 1552.00   -3.36237   4.74607
 1553.00   -3.42481   4.69646
 1554.00   -3.48415   4.64759
 1555.00   -3.54034   4.59957
 1556.00   -3.59334   4.55248
 1557.00   -3.64312   4.50640
 1558.00   -3.68966   4.46141
 1559.00   -3.73292   4.41755
 1560.00   -3.77289   4.37487
 1561.00   -3.82245   4.31638
 1562.00   -3.86870   4.25919
 1563.00   -3.91164   4.20336
 1564.00   -3.95129   4.14895
 1565.00   -3.98768   4.09601
 1566.00   -4.02084   4.04455
 1567.00   -4.05082   3.99460
 1568.00   -4.07767   3.94614
 1569.00   -4.10146   3.89917
 1570.00   -4.12224   3.85365
 1571.00   -4.14376   3.78856
 1572.00   -4.16244   3.72488
 1573.00   -4.17839   3.66259
 1574.00   -4.19171   3.60165
 1575.00   -4.20253   3.54204
 1576.00   -4.21096   3.48371
 1577.00   -4.21715   3.42661
 1578.00   -4.22123   3.37069
 1579.00   -4.22336   3.31591
 1580.00   -4.18680   3.30977
 1581.00   -4.14857   3.30461
 1582.00   -4.10889   3.30040
 1583.00   -4.06799   3.29711
 1584.00   -4.02607   3.29471
 1585.00   -3.98337   3.29318
 1586.00   -3.94007   3.29250
 1587.00   -3.89637   3.29267
 1588.00   -3.85246   3.29368
 1589.00   -3.80851   3.29552
 1590.00   -3.76466   3.29820
 1591.00   -3.72107   3.30171
 1592.00   -3.67789   3.30603
 1593.00   -3.63527   3.31113
 1594.00   -3.59334   3.31700
 1595.00   -3.55222   3.32361
 1596.00   -3.51203   3.33097
 1597.00   -3.47285   3.33907
 1598.00   -3.43478   3.34794
 1599.00   -3.39788   3.35759
 1600.00   -3.36222   3.36803
 1601.00   -3.32784   3.37929
 1602.00   -3.29474   3.39132
 1603.00   -3.26295   3.40408
 1604.00   -3.23246   3.41753
 1605.00   -3.20331   3.43162
 1606.00   -3.17551   3.44634
 1607.00   -3.14909   3.46166
 1608.00   -3.12408   3.47757
 1609.00   -3.10054   3.49404
 1610.00   -3.07851   3.51108
 1611.00   -3.05803   3.52867
 1612.00   -3.03904   3.54680
 1613.00   -3.02149   3.56541
 1614.00   -3.00531   3.58449
 1615.00   -2.99049   3.60397
 1616.00   -2.97699   3.62381
 1617.00   -2.96481   3.64398
 1618.00   -2.95395   3.66440
 1619.00   -2.94444   3.68505
 1620.00   -2.93632   3.70585
 1621.00   -2.92963   3.72677
 1622.00   -2.92434   3.74778
 1623.00   -2.92043   3.76887
 1624.00   -2.91789   3.79002
 1625.00   -2.91668   3.81121
 1626.00   -2.91680   3.83241
 1627.00   -2.91823   3.85359
 1628.00   -2.92097   3.87471
 1629.00   -2.92501   3.89576
 1630.00   -2.93034   3.91668
 1631.00   -2.93696   3.93743
 1632.00   -2.94487   3.95798
 1633.00   -2.95406   3.97828
 1634.00   -2.96454   3.99830
 1635.00   -2.97628   4.01799
 1636.00   -2.98927   4.03731
 1637.00   -3.00350   4.05619
 1638.00   -3.01896   4.07459
 1639.00   -3.03562   4.09246
 1640.00   -3.05345   4.10974
 1641.00   -3.07243   4.12636
 1642.00   -3.09255   4.14231
 1643.00   -3.11380   4.15755
 1644.00   -3.13616   4.17204
 1645.00   -3.15961   4.18575
 1646.00   -3.18413   4.19866
 1647.00   -3.20968   4.21073
 1648.00   -3.23625   4.22193
 1649.00   -3.26377   4.23222
 1650.00   -3.29223   4.24158
 1651.00   -3.32156   4.24997
 1652.00   -3.35171   4.25733
 1653.00   -3.38262   4.26362
 1654.00   -3.41423   4.26879
 1655.00   -3.44647   4.27280
 1656.00   -3.47927   4.27560
 1657.00   -3.51255   4.27716
 1658.00   -3.54625   4.27746
 1659.00   -3.58029   4.27645
 1660.00   -3.61458   4.27413
 1661.00   -3.64906   4.27048
 1662.00   -3.68365   4.26551
 1663.00   -3.71828   4.25924
 1664.00   -3.75288   4.25170
 1665.00   -3.78738   4.24293
 1666.00   -3.82171   4.23295
 1667.00   -3.85581   4.22181
 1668.00   -3.88962   4.20957
 1669.00   -3.92308   4.19626
 1670.00   -3.95612   4.18194
 1671.00   -3.98870   4.16668
 1672.00   -4.02079   4.15053
 1673.00   -4.05236   4.13354
 1674.00   -4.08339   4.11577
 1675.00   -4.11386   4.09728
 1676.00   -4.14377   4.07812
 1677.00   -4.17310   4.05834
 1678.00   -4.20185   4.03800
 1679.00   -4.23002   4.01715
 1680.00   -4.25762   3.99583
 1681.00   -4.28464   3.97408
 1682.00   -4.31112   3.95194
 1683.00   -4.33705   3.92943
 1684.00   -4.36245   3.90658
 1685.00   -4.38734   3.88340
 1686.00   -4.41173   3.85992
 1687.00   -4.43563   3.83615
 1688.00   -4.45905   3.81212
 1689.00   -4.48201   3.78782
 1690.00   -4.50450   3.76329
 1691.00   -4.52654   3.73851
 1692.00   -4.54815   3.71351
 1693.00   -4.56933   3.68827
 1694.00   -4.59010   3.66279
 1695.00   -4.61045   3.63708
 1696.00   -4.63041   3.61112
 1697.00   -4.64997   3.58492
 1698.00   -4.66914   3.55848
 1699.00   -4.68792   3.53179
 1700.00   -4.70632   3.50485
 1701.00   -4.72432   3.47767
 1702.00   -4.74193   3.45024
 1703.00   -4.75912   3.42256
 1704.00   -4.77588   3.39466
 1705.00   -4.79221   3.36652
 1706.00   -4.80808   3.33815
 1707.00   -4.82349   3.30958
 1708.00   -4.83842   3.28081
 1709.00   -4.85286   3.25185
 1710.00   -4.86680   3.22271
 1711.00   -4.88023   3.19342
 1712.00   -4.89314   3.16398
 1713.00   -4.90552   3.13440
 1714.00   -4.91737   3.10472
 1715.00   -4.92868   3.07493
 1716.00   -4.93944   3.04506
 1717.00   -4.94966   3.01512
 1718.00   -4.95932   2.98513
 1719.00   -4.96843   2.95511
 1720.00   -4.97698   2.92506
 1721.00   -4.98497   2.89501
 1722.00   -4.99241   2.86497
 1723.00   -4.99930   2.83494
 1724.00   -5.00564   2.80495
 1725.00   -5.01144   2.77499
 1726.00   -5.01671   2.74509
 1727.00   -5.02146   2.71525
 1728.00   -5.02570   2.68548
 1729.00   -5.02943   2.65579
 1730.00   -5.03266   2.62619
 1731.00   -5.03541   2.59668
 1732.00   -5.03767   2.56730
 1733.00   -5.03945   2.53806
 1734.00   -5.04075   2.50899
 1735.00   -5.04157   2.48010
 1736.00   -5.04190   2.45143
 1737.00   -5.04176   2.42299
 1738.00   -5.04114   2.39481
 1739.00   -5.04005   2.36690
 1740.00   -5.03848   2.33928
 1741.00   -5.03645   2.31197
 1742.00   -5.03396   2.28496
 1743.00   -5.03105   2.25826
 1744.00   -5.02772   2.23186
 1745.00   -5.02400   2.20576
 1746.00   -5.01991   2.17995
 1747.00   -5.01547   2.15442
 1748.00   -5.01070   2.12916
 1749.00   -5.00561   2.10418
 1750.00   -5.00023   2.07946
 1751.00   -4.99458   2.05500
 1752.00   -4.98866   2.03080
 1753.00   -4.98248   2.00689
 1754.00   -4.97604   1.98327
 1755.00   -4.96937   1.95997
 1756.00   -4.96245   1.93699
 1757.00   -4.95530   1.91434
 1758.00   -4.94793   1.89205
 1759.00   -4.94033   1.87011
 1760.00   -4.93251   1.84855
 1761.00   -4.92448   1.82736
 1762.00   -4.91624   1.80655
 1763.00   -4.90781   1.78611
 1764.00   -4.89918   1.76602
 1765.00   -4.89038   1.74628
 1766.00   -4.88141   1.72688
 1767.00   -4.87227   1.70781
 1768.00   -4.86298   1.68905
 1769.00   -4.85354   1.67059
 1770.00   -4.84396   1.65243
 1771.00   -4.83424   1.63456
 1772.00   -4.82441   1.61698
 1773.00   -4.81447   1.59968
 1774.00   -4.80442   1.58268
 1775.00   -4.79428   1.56597
 1776.00   -4.78406   1.54956
 1777.00   -4.77377   1.53345
 1778.00   -4.76341   1.51765
 1779.00   -4.75299   1.50214
 1780.00   -4.74252   1.48695
 1781.00   -4.73201   1.47206
 1782.00   -4.72146   1.45747
 1783.00   -4.71088   1.44318
 1784.00   -4.70027   1.42916
 1785.00   -4.68963   1.41542
 1786.00   -4.67897   1.40195
 1787.00   -4.66829   1.38873
 1788.00   -4.65760   1.37576
 1789.00   -4.64689   1.36302
 1790.00   -4.63618   1.35051
 1791.00   -4.62546   1.33823
 1792.00   -4.61475   1.32616
 1793.00   -4.60403   1.31432
 1794.00   -4.59333   1.30271
 1795.00   -4.58263   1.29132
 1796.00   -4.57194   1.28016
 1797.00   -4.56126   1.26924
 1798.00   -4.55060   1.25856
 1799.00   -4.53996   1.24811
 1800.00   -4.52933   1.23791
 1801.00   -4.51872   1.22794
 1802.00   -4.50814   1.21822
 1803.00   -4.49758   1.20872
 1804.00   -4.48704   1.19945
 1805.00   -4.47654   1.19040
 1806.00   -4.46606   1.18156
 1807.00   -4.45562   1.17292
 1808.00   -4.44521   1.16448
 1809.00   -4.43485   1.15623
 1810.00   -4.42452   1.14817
 1811.00   -4.41424   1.14028
 1812.00   -4.40400   1.13257
 1813.00   -4.39381   1.12503
 1814.00   -4.38366   1.11767
 1815.00   -4.37356   1.11048
 1816.00   -4.36350   1.10346
 1817.00   -4.35349   1.09661
 1818.00   -4.34353   1.08993
 1819.00   -4.33362   1.08341
 1820.00   -4.32375   1.07707
 1821.00   -4.31393   1.07089
 1822.00   -4.30415   1.06487
 1823.00   -4.29443   1.05901
 1824.00   -4.28477   1.05330
 1825.00   -4.27516   1.04775
 1826.00   -4.26561   1.04235
 1827.00   -4.25613   1.03709
 1828.00   -4.24672   1.03197
 1829.00   -4.23738   1.02698
 1830.00   -4.22811   1.02213
 1831.00   -4.21892   1.01741
 1832.00   -4.20981   1.01282
 1833.00   -4.20077   1.00835
 1834.00   -4.19180   1.00401
 1835.00   -4.18290   0.99978
 1836.00   -4.17406   0.99566
 1837.00   -4.16530   0.99166
 1838.00   -4.15659   0.98776
 1839.00   -4.14795   0.98397
 1840.00   -4.13936   0.98029
 1841.00   -4.13083   0.97670
 1842.00   -4.12235   0.97322
 1843.00   -4.11394   0.96982
 1844.00   -4.10559   0.96652
 1845.00   -4.09731   0.96330
 1846.00   -4.08911   0.96017
 1847.00   -4.08097   0.95713
 1848.00   -4.07292   0.95416
 1849.00   -4.06494   0.95126
 1850.00   -4.05705   0.94844
 1851.00   -4.04925   0.94569
 1852.00   -4.04153   0.94301
 1853.00   -4.03388   0.94041
 1854.00   -4.02631   0.93789
 1855.00   -4.01881   0.93544
 1856.00   -4.01137   0.93308
 1857.00   -4.00400   0.93080
 1858.00   -3.99668   0.92861
 1859.00   -3.98941   0.92651
 1860.00   -3.98218   0.92450
 1861.00   -3.97500   0.92259
 1862.00   -3.96786   0.92076
 1863.00   -3.96078   0.91903
 1864.00   -3.95375   0.91737
 1865.00   -3.94677   0.91578
 1866.00   -3.93986   0.91426
 1867.00   -3.93301   0.91281
 1868.00   -3.92623   0.91142
 1869.00   -3.91953   0.91008
 1870.00   -3.91290   0.90879
 1871.00   -3.90635   0.90755
 1872.00   -3.89988   0.90635
 1873.00   -3.89349   0.90520
 1874.00   -3.88716   0.90409
 1875.00   -3.88090   0.90304
 1876.00   -3.87470   0.90203
 1877.00   -3.86856   0.90108
 1878.00   -3.86247   0.90017
 1879.00   -3.85643   0.89932
 1880.00   -3.85044   0.89853
 1881.00   -3.84449   0.89779
 1882.00   -3.83859   0.89711
 1883.00   -3.83273   0.89648
 1884.00   -3.82692   0.89590
 1885.00   -3.82115   0.89539
 1886.00   -3.81544   0.89492
 1887.00   -3.80978   0.89451
 1888.00   -3.80418   0.89416
 1889.00   -3.79863   0.89386
 1890.00   -3.79313   0.89361
 1891.00   -3.78770   0.89342
 1892.00   -3.78233   0.89328
 1893.00   -3.77701   0.89318
 1894.00   -3.77175   0.89312
 1895.00   -3.76654   0.89311
 1896.00   -3.76139   0.89312
 1897.00   -3.75629   0.89316
 1898.00   -3.75124   0.89323
 1899.00   -3.74625   0.89332
 1900.00   -3.74131   0.89342
