   W          M1-(pi0_p)
 (MeV)       Re        Im
 1355.00   -0.22677   2.33078
 1356.00   -0.22963   2.35607
 1357.00   -0.23323   2.38125
 1358.00   -0.23757   2.40627
 1359.00   -0.24265   2.43113
 1360.00   -0.24847   2.45580
 1361.00   -0.25309   2.48022
 1362.00   -0.25844   2.50438
 1363.00   -0.26448   2.52825
 1364.00   -0.27121   2.55180
 1365.00   -0.27859   2.57498
 1366.00   -0.28661   2.59777
 1367.00   -0.29524   2.62012
 1368.00   -0.30446   2.64202
 1369.00   -0.31425   2.66343
 1370.00   -0.32458   2.68432
 1371.00   -0.33366   2.70527
 1372.00   -0.34323   2.72567
 1373.00   -0.35330   2.74550
 1374.00   -0.36385   2.76475
 1375.00   -0.37486   2.78341
 1376.00   -0.38633   2.80147
 1377.00   -0.39824   2.81892
 1378.00   -0.41057   2.83576
 1379.00   -0.42331   2.85198
 1380.00   -0.43645   2.86756
 1381.00   -0.44848   2.88360
 1382.00   -0.46086   2.89899
 1383.00   -0.47358   2.91373
 1384.00   -0.48662   2.92780
 1385.00   -0.49995   2.94120
 1386.00   -0.51356   2.95391
 1387.00   -0.52742   2.96594
 1388.00   -0.54151   2.97728
 1389.00   -0.55581   2.98791
 1390.00   -0.57030   2.99785
 1391.00   -0.58392   3.00844
 1392.00   -0.59769   3.01832
 1393.00   -0.61156   3.02749
 1394.00   -0.62551   3.03596
 1395.00   -0.63951   3.04371
 1396.00   -0.65354   3.05075
 1397.00   -0.66757   3.05709
 1398.00   -0.68156   3.06272
 1399.00   -0.69550   3.06765
 1400.00   -0.70936   3.07188
 1401.00   -0.72260   3.07680
 1402.00   -0.73573   3.08104
 1403.00   -0.74874   3.08462
 1404.00   -0.76163   3.08755
 1405.00   -0.77439   3.08985
 1406.00   -0.78704   3.09154
 1407.00   -0.79955   3.09263
 1408.00   -0.81194   3.09314
 1409.00   -0.82419   3.09308
 1410.00   -0.83631   3.09247
 1411.00   -0.84808   3.09255
 1412.00   -0.85970   3.09209
 1413.00   -0.87115   3.09111
 1414.00   -0.88240   3.08961
 1415.00   -0.89343   3.08759
 1416.00   -0.90424   3.08506
 1417.00   -0.91479   3.08204
 1418.00   -0.92507   3.07851
 1419.00   -0.93508   3.07450
 1420.00   -0.94478   3.07001
 1421.00   -0.95430   3.06603
 1422.00   -0.96351   3.06159
 1423.00   -0.97242   3.05672
 1424.00   -0.98104   3.05144
 1425.00   -0.98938   3.04577
 1426.00   -0.99744   3.03972
 1427.00   -1.00524   3.03331
 1428.00   -1.01278   3.02657
 1429.00   -1.02007   3.01950
 1430.00   -1.02713   3.01213
 1431.00   -1.03408   3.00525
 1432.00   -1.04080   2.99810
 1433.00   -1.04727   2.99066
 1434.00   -1.05350   2.98296
 1435.00   -1.05948   2.97500
 1436.00   -1.06520   2.96679
 1437.00   -1.07066   2.95833
 1438.00   -1.07586   2.94962
 1439.00   -1.08078   2.94069
 1440.00   -1.08544   2.93153
 1441.00   -1.09005   2.92269
 1442.00   -1.09439   2.91364
 1443.00   -1.09845   2.90439
 1444.00   -1.10225   2.89494
 1445.00   -1.10578   2.88531
 1446.00   -1.10904   2.87551
 1447.00   -1.11204   2.86554
 1448.00   -1.11477   2.85542
 1449.00   -1.11725   2.84514
 1450.00   -1.11948   2.83472
 1451.00   -1.12169   2.82455
 1452.00   -1.12365   2.81425
 1453.00   -1.12537   2.80383
 1454.00   -1.12685   2.79330
 1455.00   -1.12809   2.78266
 1456.00   -1.12910   2.77192
 1457.00   -1.12988   2.76108
 1458.00   -1.13044   2.75016
 1459.00   -1.13077   2.73915
 1460.00   -1.13089   2.72807
 1461.00   -1.13096   2.71715
 1462.00   -1.13082   2.70616
 1463.00   -1.13051   2.69512
 1464.00   -1.13002   2.68402
 1465.00   -1.12938   2.67289
 1466.00   -1.12860   2.66171
 1467.00   -1.12769   2.65051
 1468.00   -1.12666   2.63929
 1469.00   -1.12552   2.62805
 1470.00   -1.12430   2.61680
 1471.00   -1.12301   2.60581
 1472.00   -1.12163   2.59481
 1473.00   -1.12014   2.58380
 1474.00   -1.11855   2.57279
 1475.00   -1.11682   2.56176
 1476.00   -1.11496   2.55073
 1477.00   -1.11296   2.53969
 1478.00   -1.11080   2.52863
 1479.00   -1.10847   2.51756
 1480.00   -1.10597   2.50649
 1481.00   -1.10340   2.49546
 1482.00   -1.10064   2.48442
 1483.00   -1.09772   2.47338
 1484.00   -1.09464   2.46233
 1485.00   -1.09141   2.45128
 1486.00   -1.08803   2.44024
 1487.00   -1.08451   2.42920
 1488.00   -1.08085   2.41817
 1489.00   -1.07708   2.40715
 1490.00   -1.07318   2.39614
 1491.00   -1.06920   2.38519
 1492.00   -1.06511   2.37425
 1493.00   -1.06092   2.36334
 1494.00   -1.05666   2.35246
 1495.00   -1.05232   2.34160
 1496.00   -1.04791   2.33078
 1497.00   -1.04345   2.31999
 1498.00   -1.03894   2.30924
 1499.00   -1.03438   2.29853
 1500.00   -1.02980   2.28787
 1501.00   -1.02511   2.27731
 1502.00   -1.02039   2.26680
 1503.00   -1.01561   2.25632
 1504.00   -1.01075   2.24588
 1505.00   -1.00582   2.23546
 1506.00   -1.00078   2.22507
 1507.00   -0.99563   2.21471
 1508.00   -0.99036   2.20436
 1509.00   -0.98495   2.19403
 1510.00   -0.97940   2.18371
 1511.00   -0.97368   2.17331
 1512.00   -0.96784   2.16293
 1513.00   -0.96190   2.15258
 1514.00   -0.95589   2.14226
 1515.00   -0.94984   2.13199
 1516.00   -0.94378   2.12176
 1517.00   -0.93772   2.11159
 1518.00   -0.93170   2.10148
 1519.00   -0.92574   2.09143
 1520.00   -0.91986   2.08146
 1521.00   -0.91387   2.07175
 1522.00   -0.90796   2.06210
 1523.00   -0.90210   2.05252
 1524.00   -0.89625   2.04299
 1525.00   -0.89041   2.03351
 1526.00   -0.88453   2.02407
 1527.00   -0.87860   2.01467
 1528.00   -0.87258   2.00529
 1529.00   -0.86647   1.99595
 1530.00   -0.86024   1.98662
 1531.00   -0.85382   1.97714
 1532.00   -0.84728   1.96768
 1533.00   -0.84064   1.95825
 1534.00   -0.83391   1.94886
 1535.00   -0.82712   1.93949
 1536.00   -0.82027   1.93017
 1537.00   -0.81340   1.92088
 1538.00   -0.80650   1.91165
 1539.00   -0.79961   1.90246
 1540.00   -0.79273   1.89332
 1541.00   -0.78570   1.88429
 1542.00   -0.77870   1.87530
 1543.00   -0.77173   1.86638
 1544.00   -0.76478   1.85750
 1545.00   -0.75785   1.84867
 1546.00   -0.75095   1.83990
 1547.00   -0.74407   1.83118
 1548.00   -0.73721   1.82250
 1549.00   -0.73036   1.81388
 1550.00   -0.72354   1.80530
 1551.00   -0.71656   1.79682
 1552.00   -0.70959   1.78838
 1553.00   -0.70262   1.77998
 1554.00   -0.69563   1.77163
 1555.00   -0.68863   1.76332
 1556.00   -0.68161   1.75504
 1557.00   -0.67454   1.74680
 1558.00   -0.66744   1.73860
 1559.00   -0.66029   1.73043
 1560.00   -0.65309   1.72229
 1561.00   -0.64572   1.71404
 1562.00   -0.63831   1.70582
 1563.00   -0.63087   1.69764
 1564.00   -0.62343   1.68951
 1565.00   -0.61599   1.68142
 1566.00   -0.60857   1.67337
 1567.00   -0.60119   1.66537
 1568.00   -0.59385   1.65743
 1569.00   -0.58658   1.64953
 1570.00   -0.57937   1.64168
 1571.00   -0.57203   1.63407
 1572.00   -0.56476   1.62650
 1573.00   -0.55753   1.61898
 1574.00   -0.55035   1.61150
 1575.00   -0.54319   1.60406
 1576.00   -0.53604   1.59666
 1577.00   -0.52889   1.58929
 1578.00   -0.52173   1.58196
 1579.00   -0.51455   1.57467
 1580.00   -0.51272   1.56836
 1581.00   -0.51085   1.56208
 1582.00   -0.50895   1.55584
 1583.00   -0.50702   1.54962
 1584.00   -0.50508   1.54344
 1585.00   -0.50313   1.53729
 1586.00   -0.50118   1.53117
 1587.00   -0.49923   1.52508
 1588.00   -0.49730   1.51903
 1589.00   -0.49538   1.51300
 1590.00   -0.49348   1.50701
 1591.00   -0.49160   1.50105
 1592.00   -0.48975   1.49511
 1593.00   -0.48792   1.48921
 1594.00   -0.48611   1.48333
 1595.00   -0.48431   1.47749
 1596.00   -0.48254   1.47167
 1597.00   -0.48078   1.46589
 1598.00   -0.47904   1.46013
 1599.00   -0.47732   1.45441
 1600.00   -0.47561   1.44872
 1601.00   -0.47392   1.44307
 1602.00   -0.47224   1.43744
 1603.00   -0.47058   1.43185
 1604.00   -0.46895   1.42629
 1605.00   -0.46733   1.42075
 1606.00   -0.46573   1.41524
 1607.00   -0.46414   1.40976
 1608.00   -0.46258   1.40430
 1609.00   -0.46104   1.39886
 1610.00   -0.45951   1.39344
 1611.00   -0.45800   1.38805
 1612.00   -0.45651   1.38267
 1613.00   -0.45502   1.37731
 1614.00   -0.45355   1.37198
 1615.00   -0.45209   1.36667
 1616.00   -0.45064   1.36139
 1617.00   -0.44921   1.35615
 1618.00   -0.44778   1.35095
 1619.00   -0.44638   1.34578
 1620.00   -0.44500   1.34067
 1621.00   -0.44364   1.33560
 1622.00   -0.44231   1.33058
 1623.00   -0.44102   1.32561
 1624.00   -0.43975   1.32067
