   W         E0+(eta_p)
 (MeV)      Re      Im
 1887.0   -1.657   1.188
 1888.0   -1.653   1.183
 1889.0   -1.649   1.178
 1890.0   -1.645   1.173
 1891.0   -1.641   1.168
 1892.0   -1.638   1.163
 1893.0   -1.634   1.159
 1894.0   -1.630   1.154
 1895.0   -1.626   1.149
 1896.0   -1.623   1.145
 1897.0   -1.619   1.140
 1898.0   -1.615   1.135
 1899.0   -1.611   1.131
 1900.0   -1.608   1.126
 1901.0   -1.604   1.122
 1902.0   -1.600   1.117
 1903.0   -1.597   1.113
 1904.0   -1.593   1.108
 1905.0   -1.589   1.104
 1906.0   -1.586   1.099
 1907.0   -1.582   1.095
 1908.0   -1.578   1.090
 1909.0   -1.575   1.086
 1910.0   -1.571   1.082
 1911.0   -1.568   1.077
 1912.0   -1.564   1.073
 1913.0   -1.560   1.069
 1914.0   -1.557   1.064
 1915.0   -1.553   1.060
 1916.0   -1.550   1.056
 1917.0   -1.546   1.052
 1918.0   -1.543   1.048
 1919.0   -1.539   1.044
 1920.0   -1.535   1.039
 1921.0   -1.532   1.035
 1922.0   -1.528   1.031
 1923.0   -1.525   1.027
 1924.0   -1.521   1.023
 1925.0   -1.518   1.019
 1926.0   -1.514   1.015
 1927.0   -1.511   1.011
 1928.0   -1.508   1.007
 1929.0   -1.504   1.003
 1930.0   -1.501   0.999
 1931.0   -1.497   0.996
 1932.0   -1.494   0.992
 1933.0   -1.490   0.988
 1934.0   -1.487   0.984
 1935.0   -1.484   0.980
 1936.0   -1.480   0.976
 1937.0   -1.477   0.973
 1938.0   -1.474   0.969
 1939.0   -1.470   0.965
 1940.0   -1.467   0.961
 1941.0   -1.464   0.958
 1942.0   -1.460   0.954
 1943.0   -1.457   0.950
 1944.0   -1.454   0.947
 1945.0   -1.450   0.943
 1946.0   -1.447   0.940
 1947.0   -1.444   0.936
 1948.0   -1.440   0.932
 1949.0   -1.437   0.929
 1950.0   -1.434   0.925
 1951.0   -1.431   0.922
 1952.0   -1.427   0.918
 1953.0   -1.424   0.915
 1954.0   -1.421   0.911
 1955.0   -1.418   0.908
 1956.0   -1.415   0.905
 1957.0   -1.411   0.901
 1958.0   -1.408   0.898
 1959.0   -1.405   0.894
 1960.0   -1.402   0.891
 1961.0   -1.399   0.888
 1962.0   -1.396   0.884
 1963.0   -1.393   0.881
 1964.0   -1.389   0.878
 1965.0   -1.386   0.875
 1966.0   -1.383   0.871
 1967.0   -1.380   0.868
 1968.0   -1.377   0.865
 1969.0   -1.374   0.862
 1970.0   -1.371   0.858
 1971.0   -1.368   0.855
