   W         M3-(eta_p)
 (MeV)      Re      Im
 1882.0    0.094   0.020
 1883.0    0.094   0.020
 1884.0    0.095   0.020
 1885.0    0.095   0.020
 1886.0    0.096   0.020
 1887.0    0.096   0.019
 1888.0    0.096   0.019
 1889.0    0.097   0.019
 1890.0    0.097   0.019
 1891.0    0.098   0.019
 1892.0    0.098   0.019
 1893.0    0.099   0.019
 1894.0    0.099   0.019
 1895.0    0.099   0.019
 1896.0    0.100   0.019
 1897.0    0.100   0.019
 1898.0    0.101   0.019
 1899.0    0.101   0.019
 1900.0    0.101   0.018
 1901.0    0.102   0.018
 1902.0    0.102   0.018
 1903.0    0.103   0.018
 1904.0    0.103   0.018
 1905.0    0.103   0.018
 1906.0    0.104   0.018
 1907.0    0.104   0.018
 1908.0    0.105   0.018
 1909.0    0.105   0.018
 1910.0    0.105   0.018
 1911.0    0.106   0.018
 1912.0    0.106   0.018
 1913.0    0.107   0.018
 1914.0    0.107   0.018
 1915.0    0.107   0.017
 1916.0    0.108   0.017
 1917.0    0.108   0.017
 1918.0    0.109   0.017
 1919.0    0.109   0.017
 1920.0    0.109   0.017
 1921.0    0.110   0.017
 1922.0    0.110   0.017
 1923.0    0.111   0.017
 1924.0    0.111   0.017
 1925.0    0.111   0.017
 1926.0    0.112   0.017
 1927.0    0.112   0.017
 1928.0    0.112   0.017
 1929.0    0.113   0.017
 1930.0    0.113   0.017
 1931.0    0.114   0.016
 1932.0    0.114   0.016
 1933.0    0.114   0.016
 1934.0    0.115   0.016
 1935.0    0.115   0.016
 1936.0    0.116   0.016
 1937.0    0.116   0.016
 1938.0    0.116   0.016
 1939.0    0.117   0.016
 1940.0    0.117   0.016
 1941.0    0.117   0.016
 1942.0    0.118   0.016
 1943.0    0.118   0.016
 1944.0    0.119   0.016
 1945.0    0.119   0.016
 1946.0    0.119   0.016
 1947.0    0.120   0.016
 1948.0    0.120   0.016
 1949.0    0.121   0.016
 1950.0    0.121   0.015
 1951.0    0.121   0.015
 1952.0    0.122   0.015
 1953.0    0.122   0.015
 1954.0    0.122   0.015
 1955.0    0.123   0.015
 1956.0    0.123   0.015
 1957.0    0.124   0.015
 1958.0    0.124   0.015
 1959.0    0.124   0.015
 1960.0    0.125   0.015
 1961.0    0.125   0.015
 1962.0    0.125   0.015
 1963.0    0.126   0.015
 1964.0    0.126   0.015
 1965.0    0.127   0.015
 1966.0    0.127   0.015
 1967.0    0.127   0.015
 1968.0    0.128   0.015
 1969.0    0.128   0.015
 1970.0    0.128   0.015
 1971.0    0.129   0.015
