E =  218.370 MeV, E_lo =  216.220 MeV, E_hi =  220.520 MeV
Systematic = 0.0399, Preliminary = 0, CBMAMI_2014_Prakhov
 25.840     4.981500     0.034400     0.062224
 14.840     4.190400     0.042800     0.052454
----------------------------------------------------------
E =  257.190 MeV, E_lo =  255.030 MeV, E_hi =  259.350 MeV
Systematic = 0.1173, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     6.378600     0.033800     0.079732
154.160     7.163600     0.034100     0.089526
146.440     7.873900     0.034500     0.098429
140.060     8.463600     0.035100     0.105831
134.430     8.964600     0.035500     0.112009
129.300     9.476900     0.036300     0.118463
124.520     9.906800     0.036700     0.123878
120.000    10.239100     0.037000     0.127958
115.680    10.629000     0.037500     0.132807
111.510    10.905400     0.037800     0.136358
107.460    11.148900     0.037800     0.139365
103.490    11.321400     0.037900     0.141513
 99.590    11.429300     0.037700     0.142911
 95.740    11.479700     0.037600     0.143454
 91.910    11.522900     0.037500     0.143997
 88.090    11.353300     0.036900     0.141880
 84.260    11.197000     0.036400     0.139944
 80.410    11.129000     0.036200     0.139169
 76.510    10.956000     0.035800     0.137000
 72.540    10.694500     0.035400     0.133693
 68.490    10.386600     0.035000     0.129866
 64.320    10.059200     0.034600     0.125726
 60.000     9.573000     0.034000     0.119664
 55.480     9.047000     0.033600     0.113115
 50.700     8.461600     0.033400     0.105751
 45.570     7.841700     0.033400     0.098068
 39.940     7.179700     0.034000     0.089778
 33.560     6.397100     0.035400     0.079910
 25.840     5.562800     0.038700     0.069559
 14.840     4.664100     0.048300     0.058289
----------------------------------------------------------
E =  261.530 MeV, E_lo =  259.380 MeV, E_hi =  263.680 MeV
Systematic = 0.1317, Preliminary = 0, CBMAMI_2014_Prakhov
165.160     6.956400     0.037300     0.086936
154.160     7.840500     0.037700     0.097999
146.440     8.583700     0.038200     0.107303
140.060     9.371900     0.039400     0.117152
134.430     9.968100     0.040000     0.124534
129.300    10.582700     0.041000     0.132292
124.520    11.097200     0.041600     0.138696
120.000    11.546500     0.042200     0.144358
115.680    11.913300     0.042500     0.148956
111.510    12.242600     0.042900     0.152999
107.460    12.517700     0.043000     0.156500
103.490    12.758400     0.043200     0.159452
 99.590    12.914200     0.043000     0.161473
 95.740    12.982000     0.043000     0.162300
 91.910    12.944200     0.042600     0.161785
 88.090    12.845500     0.042000     0.160599
 84.260    12.729200     0.041600     0.159153
 80.410    12.564100     0.041200     0.157087
 76.510    12.359900     0.040800     0.154504
 72.540    12.138800     0.040400     0.151713
 68.490    11.750800     0.039700     0.146931
 64.320    11.360800     0.039300     0.141961
 60.000    10.835700     0.038500     0.135434
 55.480    10.318200     0.038100     0.128991
 50.700     9.620300     0.037800     0.120301
 45.570     8.907400     0.037600     0.111322
 39.940     8.061000     0.037900     0.100704
 33.560     7.131600     0.039000     0.089142
 25.840     6.185700     0.042100     0.077276
 14.840     4.986700     0.050700     0.062270
----------------------------------------------------------
E =  265.760 MeV, E_lo =  263.600 MeV, E_hi =  267.930 MeV
Systematic = 0.1454, Preliminary = 0, CBMAMI_2014_Prakhov
