!           [syst = 5%]
!--------------------------------------------------------#001
!Tagger channel 308, Eg=146.95+/-1.17, W=1075.23+/- 1.02 MeV, Pol=0.5132
! 5 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
!--------------------------------------------------------#015
! Tagger channel 294, Eg=180.02+/-1.19, W=1103.71+/-1.01 MeV, Pol=0.7087
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    1.85664e-02   1.57141e-02
2  -0.7273    7.46229e-02   1.48600e-02
3  -0.5455    9.04205e-02   1.46227e-02
4  -0.3637    9.64095e-02   1.44310e-02
5  -0.1819    1.29378e-01   1.49263e-02
6   0.0000    1.38359e-01   1.63755e-02
7   0.1819    1.31174e-01   1.76866e-02
8   0.3637    1.91657e-01   2.00547e-02
9   0.5455    1.61052e-01   2.43230e-02
10  0.7273    1.08970e-01   2.80153e-02
11  0.9091    7.77913e-02   3.16919e-02
!--------------------------------------------------------#016
! Tagger channel 293, Eg=182.40+/-1.19, W=1105.73+/-1.01 MeV, Pol=0.7095
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    3.65107e-02   1.41587e-02
2  -0.7273    5.80852e-02   1.37047e-02
3  -0.5455    9.35462e-02   1.30905e-02
4  -0.3637    1.05487e-01   1.28658e-02
5  -0.1819    1.66998e-01   1.35076e-02
6   0.0000    1.53835e-01   1.44680e-02
7   0.1819    1.54519e-01   1.61312e-02
8   0.3637    1.30915e-01   1.86929e-02
9   0.5455    1.72033e-01   2.15348e-02
10  0.7273    1.56120e-01   2.51610e-02
11  0.9091    8.65527e-02   2.84805e-02
!--------------------------------------------------------#017
! Tagger channel 292, Eg=184.79+/-1.19, W=1107.76+/-1.01 MeV, Pol=0.7056
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    9.85896e-03   1.34533e-02
2  -0.7273    1.06320e-01   1.29407e-02
3  -0.5455    1.12354e-01   1.25523e-02
4  -0.3637    1.57901e-01   1.25767e-02
5  -0.1819    1.82101e-01   1.29250e-02
6   0.0000    1.59238e-01   1.35770e-02
7   0.1819    1.76780e-01   1.50804e-02
8   0.3637    1.95649e-01   1.84134e-02
9   0.5455    1.54828e-01   2.03362e-02
10  0.7273    1.74163e-01   2.45620e-02
11  0.9091    7.29174e-02   2.82049e-02
!--------------------------------------------------------#018
! Tagger channel 291, Eg=187.16+/-1.20, W=1109.76+/-1.01 MeV, Pol=0.6939
! 11 bins in cos(theta) from -1 to 1.
! bin     asymmetry      error
1  -0.9091    4.81019e-02   1.47588e-02
2  -0.7273    1.00951e-01   1.39497e-02
3  -0.5455    9.65536e-02   1.38435e-02
4  -0.3637    1.40991e-01   1.37121e-02
5  -0.1819    1.71672e-01   1.37616e-02
6   0.0000    1.88169e-01   1.42958e-02
7   0.1819    1.89042e-01   1.61326e-02
8   0.3637    1.87999e-01   1.83777e-02
9   0.5455    1.55248e-01   2.22526e-02
10  0.7273    1.43586e-01   2.52923e-02
11  0.9091    4.05285e-02   3.01792e-02
!--------------------------------------------------------#019
! Tagger channel 290, Eg=189.57+/-1.20, W=1111.80+/-1.01 MeV , Pol=0.6765
! 11 bins in cos(theta) from -1 to 1.
