E_gamma_low;E_gamma_high;E_gamma_sys;costheta_center;costheta_width;T;stat;sys
900.56;932.75;5.37;-0.125;0.083;-0.1538;0.0450;0.0044
900.56;932.75;5.37;-0.042;0.083;-0.1723;0.0469;0.0050
900.56;932.75;5.37;0.042;0.083;-0.1876;0.0463;0.0056
900.56;932.75;5.37;0.125;0.083;-0.1894;0.0475;0.0052
900.56;932.75;5.37;0.208;0.083;-0.2571;0.0539;0.0089
900.56;932.75;5.37;0.292;0.083;-0.3514;0.0545;0.0124
900.56;932.75;5.37;0.375;0.083;-0.3853;0.0562;0.0122
900.56;932.75;5.37;0.458;0.083;-0.2525;0.0630;0.0099
900.56;932.75;5.37;0.542;0.083;-0.2057;0.0651;0.0077
900.56;932.75;5.37;0.625;0.083;-0.2958;0.0836;0.0154
900.56;932.75;5.37;0.708;0.083;-0.3357;0.2743;0.0445

