E =  150.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  155.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  160.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  165.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  170.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  175.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  180.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  185.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  190.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  195.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  200.000 MeV, Wght = 1.00, Syst = 0.05
-------------------------------------------
E =  220.000 MeV, Wght = 1.00, Syst = 0.05
E =  325.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.11940E+02  0.40000E+00
 20.00  0.12320E+02  0.37000E+00
 25.00  0.12000E+02  0.38000E+00
 30.00  0.12350E+02  0.39000E+00
 35.00  0.13020E+02  0.41000E+00
 40.00  0.13160E+02  0.29000E+00
 45.00  0.13910E+02  0.72000E+00
 50.00  0.15630E+02  0.49000E+00
 60.00  0.17610E+02  0.54000E+00
 70.00  0.18640E+02  0.58000E+00
100.00  0.21020E+02  0.68000E+00
110.00  0.20380E+02  0.64000E+00
120.00  0.20090E+02  0.64000E+00
-------------------------------------------
E =  325.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.11990E+02  0.38000E+00
 20.00  0.12340E+02  0.36000E+00
 25.00  0.12130E+02  0.37000E+00
 30.00  0.12510E+02  0.39000E+00
 35.00  0.13140E+02  0.40000E+00
 40.00  0.13230E+02  0.29000E+00
 45.00  0.13940E+02  0.71000E+00
 50.00  0.15600E+02  0.49000E+00
 60.00  0.17470E+02  0.54000E+00
 70.00  0.18570E+02  0.57000E+00
-------------------------------------------
E =  340.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.13790E+02  0.28000E+00
 20.00  0.14180E+02  0.45000E+00
 25.00  0.13630E+02  0.40000E+00
 30.00  0.13050E+02  0.30000E+00
 35.00  0.13650E+02  0.44000E+00
 40.00  0.13660E+02  0.28000E+00
 45.00  0.14910E+02  0.48000E+00
 50.00  0.15830E+02  0.51000E+00
 55.00  0.16370E+02  0.52000E+00
 60.00  0.17240E+02  0.55000E+00
 65.00  0.18510E+02  0.57000E+00
 70.00  0.17420E+02  0.42000E+00
 75.00  0.19010E+02  0.60000E+00
 80.00  0.19110E+02  0.62000E+00
 85.00  0.17790E+02  0.57000E+00
 90.00  0.18950E+02  0.60000E+00
 95.00  0.19550E+02  0.63000E+00
100.00  0.18560E+02  0.60000E+00
105.00  0.19490E+02  0.63000E+00
110.00  0.17920E+02  0.66000E+00
115.00  0.16920E+02  0.56000E+00
120.00  0.16880E+02  0.55000E+00
125.00  0.17550E+02  0.56000E+00
130.00  0.16990E+02  0.54000E+00
135.00  0.15640E+02  0.52000E+00
140.00  0.15460E+02  0.51000E+00
145.00  0.13800E+02  0.46000E+00
150.00  0.12720E+02  0.38000E+00
155.00  0.12790E+02  0.44000E+00
160.00  0.12400E+02  0.44000E+00
170.00  0.11270E+02  0.42000E+00
180.00  0.12100E+02  0.67000E+00
-------------------------------------------
E =  340.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.13880E+02  0.29000E+00
 20.00  0.14220E+02  0.45000E+00
 25.00  0.13780E+02  0.40000E+00
 30.00  0.13250E+02  0.30000E+00
 35.00  0.13790E+02  0.43000E+00
 40.00  0.13720E+02  0.21000E+00
 45.00  0.14940E+02  0.47000E+00
 50.00  0.15790E+02  0.50000E+00
 60.00  0.17090E+02  0.54000E+00
 70.00  0.17340E+02  0.42000E+00
-------------------------------------------
E =  350.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.15090E+02  0.49000E+00
 20.00  0.15020E+02  0.44000E+00
 25.00  0.13400E+02  0.42000E+00
 30.00  0.14060E+02  0.45000E+00
 35.00  0.13610E+02  0.43000E+00
 40.00  0.14190E+02  0.46000E+00
 45.00  0.14010E+02  0.46000E+00
 50.00  0.15080E+02  0.47000E+00
 60.00  0.15760E+02  0.49000E+00
 70.00  0.16640E+02  0.52000E+00
100.00  0.17830E+02  0.57000E+00
110.00  0.16250E+02  0.54000E+00
130.00  0.14050E+02  0.45000E+00
-------------------------------------------
E =  350.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.15140E+02  0.48000E+00
 20.00  0.15040E+02  0.44000E+00
 25.00  0.13520E+02  0.42000E+00
 30.00  0.14240E+02  0.44000E+00
 35.00  0.13740E+02  0.43000E+00
 40.00  0.14260E+02  0.46000E+00
 45.00  0.14050E+02  0.45000E+00
 50.00  0.15060E+02  0.46000E+00
 60.00  0.15620E+02  0.49000E+00
 70.00  0.16550E+02  0.51000E+00
-------------------------------------------
E =  360.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16490E+02  0.38000E+00
 20.00  0.14840E+02  0.44000E+00
 25.00  0.14090E+02  0.46000E+00
 30.00  0.13560E+02  0.30000E+00
 35.00  0.13220E+02  0.42000E+00
 40.00  0.13450E+02  0.43000E+00
 45.00  0.14150E+02  0.45000E+00
 50.00  0.14180E+02  0.45000E+00
 55.00  0.14510E+02  0.45000E+00
 60.00  0.15060E+02  0.52000E+00
 65.00  0.15310E+02  0.47000E+00
 70.00  0.15200E+02  0.31000E+00
 75.00  0.15950E+02  0.50000E+00
 80.00  0.16270E+02  0.52000E+00
 85.00  0.16730E+02  0.54000E+00
 90.00  0.14870E+02  0.49000E+00
 95.00  0.15790E+02  0.52000E+00
100.00  0.15350E+02  0.50000E+00
105.00  0.14920E+02  0.50000E+00
110.00  0.13700E+02  0.46000E+00
115.00  0.14410E+02  0.48000E+00
120.00  0.13310E+02  0.44000E+00
125.00  0.13000E+02  0.42000E+00
130.00  0.12350E+02  0.40000E+00
135.00  0.11480E+02  0.37000E+00
140.00  0.10740E+02  0.37000E+00
145.00  0.10730E+02  0.36000E+00
150.00  0.10710E+02  0.38000E+00
155.00  0.90600E+01  0.30000E+00
160.00  0.91900E+01  0.29000E+00
170.00  0.83300E+01  0.32000E+00
180.00  0.86200E+01  0.54000E+00
-------------------------------------------
E =  360.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16520E+02  0.37000E+00
 20.00  0.14840E+02  0.43000E+00
 25.00  0.14190E+02  0.45000E+00
 30.00  0.13720E+02  0.30000E+00
 35.00  0.13320E+02  0.41000E+00
 40.00  0.13500E+02  0.43000E+00
 45.00  0.14160E+02  0.45000E+00
 50.00  0.14150E+02  0.45000E+00
 60.00  0.14910E+02  0.51000E+00
 70.00  0.15080E+02  0.31000E+00
-------------------------------------------
E =  375.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16910E+02  0.36000E+00
 20.00  0.15150E+02  0.48000E+00
 25.00  0.14160E+02  0.45000E+00
 30.00  0.12800E+02  0.40000E+00
 35.00  0.12780E+02  0.41000E+00
 40.00  0.13010E+02  0.40000E+00
 45.00  0.12920E+02  0.42000E+00
 50.00  0.13530E+02  0.43000E+00
 60.00  0.13680E+02  0.45000E+00
 70.00  0.13870E+02  0.44000E+00
100.00  0.12270E+02  0.39000E+00
110.00  0.11520E+02  0.38000E+00
130.00  0.10270E+02  0.34000E+00
-------------------------------------------
E =  375.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16940E+02  0.26000E+00
 20.00  0.15140E+02  0.47000E+00
 25.00  0.14240E+02  0.45000E+00
 30.00  0.12930E+02  0.40000E+00
 35.00  0.12860E+02  0.41000E+00
 40.00  0.13030E+02  0.40000E+00
 45.00  0.12890E+02  0.42000E+00
 50.00  0.13500E+02  0.43000E+00
 60.00  0.13540E+02  0.44000E+00
 70.00  0.13800E+02  0.43000E+00
-------------------------------------------
E =  380.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16060E+02  0.30000E+00
 20.00  0.14230E+02  0.42000E+00
 25.00  0.14130E+02  0.45000E+00
 30.00  0.13050E+02  0.33000E+00
 35.00  0.12960E+02  0.40000E+00
 40.00  0.12890E+02  0.40000E+00
 50.00  0.13310E+02  0.30000E+00
 55.00  0.14300E+02  0.46000E+00
 60.00  0.13190E+02  0.42000E+00
 65.00  0.13870E+02  0.44000E+00
 70.00  0.12840E+02  0.40000E+00
 75.00  0.13210E+02  0.42000E+00
 80.00  0.12930E+02  0.42000E+00
 85.00  0.13410E+02  0.42000E+00
 90.00  0.12060E+02  0.39000E+00
 95.00  0.12210E+02  0.40000E+00
100.00  0.11810E+02  0.39000E+00
105.00  0.11560E+02  0.38000E+00
110.00  0.11550E+02  0.37000E+00
115.00  0.10320E+02  0.34000E+00
120.00  0.10300E+02  0.33000E+00
125.00  0.92300E+01  0.30000E+00
130.00  0.96900E+01  0.32000E+00
135.00  0.88800E+01  0.31000E+00
140.00  0.85900E+01  0.29000E+00
145.00  0.81700E+01  0.27000E+00
150.00  0.74900E+01  0.27000E+00
155.00  0.75400E+01  0.27000E+00
160.00  0.67500E+01  0.23000E+00
170.00  0.65000E+01  0.26000E+00
180.00  0.65100E+01  0.46000E+00
-------------------------------------------
E =  380.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16080E+02  0.32000E+00
 20.00  0.14240E+02  0.41000E+00
 25.00  0.14200E+02  0.44000E+00
 30.00  0.13160E+02  0.33000E+00
 35.00  0.13030E+02  0.40000E+00
 40.00  0.12860E+02  0.39000E+00
 50.00  0.13220E+02  0.30000E+00
 60.00  0.13010E+02  0.42000E+00
 70.00  0.12720E+02  0.40000E+00
-------------------------------------------
E =  400.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16790E+02  0.53000E+00
 20.00  0.14760E+02  0.42000E+00
 25.00  0.13890E+02  0.48000E+00
 30.00  0.12470E+02  0.38000E+00
 35.00  0.12380E+02  0.40000E+00
 40.00  0.11640E+02  0.40000E+00
 45.00  0.11800E+02  0.37000E+00
 50.00  0.11520E+02  0.36000E+00
 55.00  0.12130E+02  0.36000E+00
 60.00  0.11230E+02  0.35000E+00
 65.00  0.11900E+02  0.35000E+00
 70.00  0.11110E+02  0.34000E+00
 75.00  0.11280E+02  0.36000E+00
 80.00  0.11340E+02  0.37000E+00
 85.00  0.10360E+02  0.33000E+00
 90.00  0.10880E+02  0.34000E+00
 95.00  0.97800E+01  0.31000E+00
100.00  0.98500E+01  0.32000E+00
105.00  0.93200E+01  0.30000E+00
110.00  0.88600E+01  0.30000E+00
115.00  0.83900E+01  0.27000E+00
120.00  0.78800E+01  0.26000E+00
125.00  0.75700E+01  0.25000E+00
130.00  0.74600E+01  0.25000E+00
135.00  0.68800E+01  0.23000E+00
140.00  0.65600E+01  0.23000E+00
145.00  0.62400E+01  0.21000E+00
150.00  0.56100E+01  0.19000E+00
155.00  0.55600E+01  0.21000E+00
160.00  0.56200E+01  0.20000E+00
170.00  0.52600E+01  0.22000E+00
180.00  0.52500E+01  0.38000E+00
-------------------------------------------
E =  400.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16780E+02  0.52000E+00
 20.00  0.14800E+02  0.41000E+00
 25.00  0.13960E+02  0.47000E+00
 30.00  0.12530E+02  0.38000E+00
 35.00  0.12430E+02  0.40000E+00
 40.00  0.11640E+02  0.39000E+00
 45.00  0.11760E+02  0.36000E+00
 50.00  0.11460E+02  0.36000E+00
 60.00  0.11100E+02  0.34000E+00
 70.00  0.11110E+02  0.34000E+00
-------------------------------------------
E =  420.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16440E+02  0.36000E+00
 20.00  0.14120E+02  0.43000E+00
 25.00  0.12780E+02  0.38000E+00
 30.00  0.11760E+02  0.37000E+00
 35.00  0.10700E+02  0.33000E+00
 40.00  0.11440E+02  0.26000E+00
 45.00  0.11040E+02  0.33000E+00
 50.00  0.10730E+02  0.35000E+00
 55.00  0.10900E+02  0.32000E+00
 60.00  0.10770E+02  0.34000E+00
 65.00  0.10120E+02  0.32000E+00
 70.00  0.97500E+01  0.25000E+00
 75.00  0.98900E+01  0.32000E+00
 80.00  0.96400E+01  0.31000E+00
 85.00  0.95600E+01  0.30000E+00
 90.00  0.88100E+01  0.28000E+00
 95.00  0.82400E+01  0.26000E+00
100.00  0.81000E+01  0.25000E+00
105.00  0.80600E+01  0.27000E+00
110.00  0.71100E+01  0.25000E+00
115.00  0.68300E+01  0.22000E+00
120.00  0.64600E+01  0.22000E+00
125.00  0.64300E+01  0.21000E+00
130.00  0.57100E+01  0.18000E+00
135.00  0.54600E+01  0.19000E+00
140.00  0.55600E+01  0.20000E+00
145.00  0.52100E+01  0.18000E+00
150.00  0.46000E+01  0.15000E+00
155.00  0.46600E+01  0.17000E+00
160.00  0.45500E+01  0.16000E+00
170.00  0.45200E+01  0.18000E+00
180.00  0.42600E+01  0.30000E+00
-------------------------------------------
E =  420.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16470E+02  0.36000E+00
 20.00  0.14170E+02  0.43000E+00
 25.00  0.12820E+02  0.38000E+00
 30.00  0.11760E+02  0.37000E+00
 35.00  0.10700E+02  0.33000E+00
 40.00  0.11420E+02  0.25000E+00
 45.00  0.11000E+02  0.33000E+00
 50.00  0.10670E+02  0.34000E+00
 60.00  0.10650E+02  0.33000E+00
 70.00  0.97800E+01  0.25000E+00
-------------------------------------------
E =  425.000 MeV, Wght = 1.00, Syst = 0.05
 15.00  0.16130E+02  0.52000E+00
 20.00  0.14400E+02  0.44000E+00
 25.00  0.11790E+02  0.37000E+00
 30.00  0.11400E+02  0.37000E+00
 35.00  0.11250E+02  0.37000E+00
 40.00  0.10770E+02  0.27000E+00
 45.00  0.11420E+02  0.39000E+00
 50.00  0.10520E+02  0.36000E+00
 60.00  0.10520E+02  0.33000E+00
 70.00  0.97000E+01  0.31000E+00
 95.00  0.77400E+01  0.25000E+00
