   W         M2+(pi+_n)
 (MeV)      Re      Im
 1448.0   -0.306  -0.003
 1449.0   -0.304  -0.003
 1450.0   -0.303  -0.003
 1451.0   -0.301  -0.003
 1452.0   -0.300  -0.003
 1453.0   -0.298  -0.002
 1454.0   -0.296  -0.002
 1455.0   -0.295  -0.002
 1456.0   -0.293  -0.002
 1457.0   -0.292  -0.002
 1458.0   -0.290  -0.001
 1459.0   -0.288  -0.001
 1460.0   -0.287  -0.001
 1461.0   -0.285  -0.001
 1462.0   -0.284   0.000
 1463.0   -0.282   0.000
 1464.0   -0.280   0.000
 1465.0   -0.279   0.000
 1466.0   -0.277   0.001
 1467.0   -0.275   0.001
 1468.0   -0.274   0.001
 1469.0   -0.272   0.001
 1470.0   -0.270   0.002
 1471.0   -0.269   0.002
 1472.0   -0.267   0.002
 1473.0   -0.265   0.003
 1474.0   -0.264   0.003
 1475.0   -0.262   0.003
 1476.0   -0.260   0.004
 1477.0   -0.258   0.004
 1478.0   -0.257   0.004
 1479.0   -0.255   0.005
 1480.0   -0.253   0.005
 1481.0   -0.251   0.005
 1482.0   -0.250   0.006
 1483.0   -0.248   0.006
 1484.0   -0.246   0.007
 1485.0   -0.244   0.007
 1486.0   -0.242   0.007
 1487.0   -0.241   0.008
 1488.0   -0.239   0.008
 1489.0   -0.237   0.009
 1490.0   -0.235   0.009
 1491.0   -0.233   0.010
 1492.0   -0.231   0.010
 1493.0   -0.230   0.010
 1494.0   -0.228   0.011
 1495.0   -0.226   0.011
 1496.0   -0.224   0.012
 1497.0   -0.222   0.012
 1498.0   -0.220   0.013
 1499.0   -0.218   0.014
 1500.0   -0.216   0.014
 1501.0   -0.214   0.015
 1502.0   -0.212   0.015
 1503.0   -0.210   0.016
 1504.0   -0.208   0.016
 1505.0   -0.206   0.017
 1506.0   -0.204   0.018
 1507.0   -0.202   0.018
 1508.0   -0.200   0.019
 1509.0   -0.198   0.020
 1510.0   -0.196   0.020
 1511.0   -0.194   0.021
 1512.0   -0.192   0.022
 1513.0   -0.190   0.022
 1514.0   -0.188   0.023
 1515.0   -0.186   0.024
 1516.0   -0.184   0.025
 1517.0   -0.182   0.026
 1518.0   -0.180   0.026
 1519.0   -0.178   0.027
 1520.0   -0.176   0.028
 1521.0   -0.173   0.029
 1522.0   -0.171   0.030
 1523.0   -0.169   0.031
 1524.0   -0.167   0.032
 1525.0   -0.165   0.033
 1526.0   -0.163   0.033
 1527.0   -0.160   0.034
 1528.0   -0.158   0.035
 1529.0   -0.156   0.037
 1530.0   -0.154   0.038
 1531.0   -0.152   0.039
 1532.0   -0.149   0.040
 1533.0   -0.147   0.041
 1534.0   -0.145   0.042
 1535.0   -0.143   0.043
 1536.0   -0.140   0.044
 1537.0   -0.138   0.046
 1538.0   -0.136   0.047
 1539.0   -0.134   0.048
 1540.0   -0.131   0.049
 1541.0   -0.129   0.051
 1542.0   -0.127   0.052
 1543.0   -0.124   0.053
 1544.0   -0.122   0.055
 1545.0   -0.120   0.056
 1546.0   -0.117   0.058
 1547.0   -0.115   0.059
 1548.0   -0.113   0.061
 1549.0   -0.110   0.062
 1550.0   -0.108   0.064
 1551.0   -0.105   0.066
 1552.0   -0.103   0.067
 1553.0   -0.101   0.069
 1554.0   -0.098   0.071
 1555.0   -0.096   0.073
 1556.0   -0.094   0.075
 1557.0   -0.091   0.076
 1558.0   -0.089   0.078
 1559.0   -0.086   0.080
 1560.0   -0.084   0.082
 1561.0   -0.081   0.084
 1562.0   -0.079   0.087
 1563.0   -0.077   0.089
 1564.0   -0.074   0.091
 1565.0   -0.072   0.093
 1566.0   -0.069   0.095
 1567.0   -0.067   0.098
 1568.0   -0.065   0.100
 1569.0   -0.062   0.103
 1570.0   -0.060   0.105
 1571.0   -0.058   0.108
 1572.0   -0.055   0.110
 1573.0   -0.053   0.113
 1574.0   -0.051   0.116
 1575.0   -0.048   0.119
 1576.0   -0.046   0.121
 1577.0   -0.044   0.124
 1578.0   -0.041   0.127
 1579.0   -0.039   0.130
 1580.0   -0.037   0.133
 1581.0   -0.035   0.137
 1582.0   -0.032   0.140
 1583.0   -0.030   0.143
 1584.0   -0.028   0.146
 1585.0   -0.026   0.150
 1586.0   -0.024   0.153
 1587.0   -0.022   0.157
 1588.0   -0.020   0.161
 1589.0   -0.018   0.164
 1590.0   -0.016   0.168
 1591.0   -0.014   0.172
 1592.0   -0.012   0.176
 1593.0   -0.010   0.180
 1594.0   -0.009   0.184
 1595.0   -0.007   0.188
 1596.0   -0.005   0.192
 1597.0   -0.004   0.197
 1598.0   -0.002   0.201
 1599.0   -0.001   0.205
 1600.0    0.000   0.210
 1601.0    0.002   0.215
 1602.0    0.003   0.219
 1603.0    0.004   0.224
 1604.0    0.005   0.229
 1605.0    0.006   0.234
 1606.0    0.007   0.239
 1607.0    0.008   0.244
 1608.0    0.008   0.249
 1609.0    0.009   0.254
 1610.0    0.009   0.259
 1611.0    0.010   0.265
 1612.0    0.010   0.270
 1613.0    0.010   0.275
 1614.0    0.010   0.281
 1615.0    0.010   0.287
 1616.0    0.009   0.292
 1617.0    0.009   0.298
 1618.0    0.008   0.303
 1619.0    0.008   0.309
 1620.0    0.007   0.315
 1621.0    0.006   0.321
 1622.0    0.005   0.327
 1623.0    0.003   0.332
 1624.0    0.002   0.338
 1625.0    0.000   0.344
 1626.0   -0.002   0.350
 1627.0   -0.004   0.356
 1628.0   -0.006   0.362
 1629.0   -0.008   0.368
 1630.0   -0.011   0.373
 1631.0   -0.014   0.379
 1632.0   -0.017   0.385
 1633.0   -0.020   0.391
 1634.0   -0.023   0.396
 1635.0   -0.027   0.402
 1636.0   -0.030   0.407
 1637.0   -0.034   0.413
 1638.0   -0.038   0.418
 1639.0   -0.042   0.424
 1640.0   -0.047   0.429
 1641.0   -0.051   0.434
 1642.0   -0.056   0.439
 1643.0   -0.061   0.444
 1644.0   -0.066   0.448
 1645.0   -0.071   0.453
 1646.0   -0.077   0.457
 1647.0   -0.082   0.461
 1648.0   -0.088   0.465
 1649.0   -0.094   0.469
 1650.0   -0.100   0.473
 1651.0   -0.106   0.477
 1652.0   -0.112   0.480
