   W         E1+(pi+_n)
 (MeV)      Re      Im
 1566.0    2.052  -0.028
 1567.0    2.051  -0.024
 1568.0    2.050  -0.021
 1569.0    2.049  -0.017
 1570.0    2.048  -0.013
 1571.0    2.047  -0.010
 1572.0    2.046  -0.006
 1573.0    2.045  -0.002
 1574.0    2.044   0.001
 1575.0    2.043   0.005
 1576.0    2.043   0.009
 1577.0    2.042   0.013
 1578.0    2.041   0.016
 1579.0    2.040   0.020
 1580.0    2.039   0.024
 1581.0    2.038   0.028
 1582.0    2.037   0.032
 1583.0    2.036   0.036
 1584.0    2.035   0.040
 1585.0    2.034   0.044
 1586.0    2.033   0.047
 1587.0    2.032   0.051
 1588.0    2.031   0.055
 1589.0    2.030   0.059
 1590.0    2.029   0.064
 1591.0    2.028   0.068
 1592.0    2.027   0.072
 1593.0    2.026   0.076
 1594.0    2.025   0.080
 1595.0    2.024   0.084
 1596.0    2.023   0.088
 1597.0    2.022   0.093
 1598.0    2.020   0.097
 1599.0    2.019   0.101
 1600.0    2.018   0.105
 1601.0    2.017   0.110
 1602.0    2.016   0.114
 1603.0    2.015   0.119
 1604.0    2.014   0.123
 1605.0    2.012   0.127
 1606.0    2.011   0.132
 1607.0    2.010   0.136
 1608.0    2.009   0.141
 1609.0    2.007   0.146
 1610.0    2.006   0.150
 1611.0    2.005   0.155
 1612.0    2.003   0.160
 1613.0    2.002   0.165
 1614.0    2.000   0.169
 1615.0    1.999   0.174
 1616.0    1.998   0.179
 1617.0    1.996   0.184
 1618.0    1.994   0.189
 1619.0    1.993   0.194
 1620.0    1.991   0.199
 1621.0    1.990   0.204
 1622.0    1.988   0.209
 1623.0    1.986   0.214
 1624.0    1.985   0.220
 1625.0    1.983   0.225
 1626.0    1.981   0.230
 1627.0    1.979   0.235
 1628.0    1.977   0.241
 1629.0    1.975   0.246
 1630.0    1.973   0.252
 1631.0    1.971   0.257
 1632.0    1.969   0.263
 1633.0    1.967   0.268
 1634.0    1.965   0.274
 1635.0    1.963   0.279
 1636.0    1.960   0.285
 1637.0    1.958   0.291
 1638.0    1.956   0.296
 1639.0    1.953   0.302
 1640.0    1.951   0.308
 1641.0    1.948   0.314
 1642.0    1.945   0.320
 1643.0    1.943   0.325
 1644.0    1.940   0.331
 1645.0    1.937   0.337
 1646.0    1.934   0.343
 1647.0    1.931   0.349
 1648.0    1.928   0.355
 1649.0    1.924   0.361
 1650.0    1.921   0.367
 1651.0    1.918   0.373
 1652.0    1.914   0.380
 1653.0    1.911   0.386
 1654.0    1.907   0.392
 1655.0    1.904   0.398
 1656.0    1.900   0.404
 1657.0    1.896   0.410
 1658.0    1.892   0.417
