   W         E3-(pi+_n)
 (MeV)      Re      Im
 1401.0    1.298   0.060
 1402.0    1.300   0.061
 1403.0    1.302   0.062
 1404.0    1.303   0.063
 1405.0    1.305   0.063
 1406.0    1.307   0.064
 1407.0    1.309   0.065
 1408.0    1.311   0.066
 1409.0    1.313   0.067
 1410.0    1.316   0.068
 1411.0    1.318   0.069
 1412.0    1.320   0.070
 1413.0    1.322   0.071
 1414.0    1.324   0.071
 1415.0    1.326   0.072
 1416.0    1.328   0.073
 1417.0    1.330   0.074
 1418.0    1.332   0.075
 1419.0    1.334   0.076
 1420.0    1.337   0.077
 1421.0    1.339   0.078
 1422.0    1.341   0.079
 1423.0    1.343   0.081
 1424.0    1.345   0.082
 1425.0    1.348   0.083
 1426.0    1.350   0.084
 1427.0    1.352   0.085
 1428.0    1.354   0.086
 1429.0    1.357   0.087
 1430.0    1.359   0.088
 1431.0    1.361   0.090
 1432.0    1.363   0.091
 1433.0    1.366   0.092
 1434.0    1.368   0.093
 1435.0    1.371   0.094
 1436.0    1.373   0.096
 1437.0    1.375   0.097
 1438.0    1.378   0.098
 1439.0    1.380   0.100
 1440.0    1.383   0.101
 1441.0    1.385   0.102
 1442.0    1.387   0.104
 1443.0    1.390   0.105
 1444.0    1.392   0.106
 1445.0    1.395   0.108
 1446.0    1.398   0.109
 1447.0    1.400   0.111
 1448.0    1.403   0.112
 1449.0    1.405   0.114
 1450.0    1.408   0.115
 1451.0    1.411   0.117
 1452.0    1.413   0.118
 1453.0    1.416   0.120
 1454.0    1.419   0.121
 1455.0    1.421   0.123
 1456.0    1.424   0.125
 1457.0    1.427   0.126
 1458.0    1.429   0.128
 1459.0    1.432   0.130
 1460.0    1.435   0.131
 1461.0    1.438   0.133
 1462.0    1.441   0.135
 1463.0    1.444   0.137
 1464.0    1.447   0.139
 1465.0    1.449   0.140
 1466.0    1.452   0.142
 1467.0    1.455   0.144
 1468.0    1.458   0.146
 1469.0    1.461   0.148
 1470.0    1.464   0.150
 1471.0    1.468   0.152
 1472.0    1.471   0.154
 1473.0    1.474   0.156
 1474.0    1.477   0.158
 1475.0    1.480   0.161
 1476.0    1.483   0.163
 1477.0    1.487   0.165
 1478.0    1.490   0.167
 1479.0    1.493   0.170
 1480.0    1.496   0.172
 1481.0    1.500   0.174
 1482.0    1.503   0.177
 1483.0    1.506   0.179
 1484.0    1.510   0.181
 1485.0    1.513   0.184
 1486.0    1.517   0.186
 1487.0    1.520   0.189
 1488.0    1.524   0.192
 1489.0    1.527   0.194
 1490.0    1.531   0.197
 1491.0    1.534   0.200
 1492.0    1.538   0.202
 1493.0    1.542   0.205
 1494.0    1.545   0.208
 1495.0    1.549   0.211
 1496.0    1.553   0.214
 1497.0    1.557   0.217
 1498.0    1.560   0.220
 1499.0    1.564   0.223
 1500.0    1.568   0.226
 1501.0    1.572   0.229
 1502.0    1.576   0.233
 1503.0    1.580   0.236
 1504.0    1.584   0.239
 1505.0    1.588   0.243
 1506.0    1.592   0.246
 1507.0    1.596   0.250
 1508.0    1.600   0.253
 1509.0    1.604   0.257
 1510.0    1.609   0.261
 1511.0    1.613   0.265
 1512.0    1.617   0.268
 1513.0    1.621   0.272
 1514.0    1.626   0.276
 1515.0    1.630   0.280
 1516.0    1.634   0.284
 1517.0    1.639   0.289
 1518.0    1.643   0.293
 1519.0    1.648   0.297
 1520.0    1.652   0.302
 1521.0    1.657   0.306
 1522.0    1.662   0.311
 1523.0    1.666   0.315
 1524.0    1.671   0.320
 1525.0    1.676   0.325
 1526.0    1.680   0.330
 1527.0    1.685   0.335
 1528.0    1.690   0.340
 1529.0    1.695   0.345
 1530.0    1.700   0.350
 1531.0    1.705   0.355
 1532.0    1.710   0.361
 1533.0    1.715   0.366
 1534.0    1.720   0.372
 1535.0    1.725   0.378
 1536.0    1.730   0.383
 1537.0    1.735   0.389
 1538.0    1.740   0.395
 1539.0    1.745   0.402
 1540.0    1.751   0.408
 1541.0    1.756   0.414
 1542.0    1.761   0.421
