   W         M3-(pi+_n)
 (MeV)      Re      Im
 1531.0    0.785   0.201
 1532.0    0.790   0.205
 1533.0    0.794   0.208
 1534.0    0.798   0.212
 1535.0    0.802   0.216
 1536.0    0.807   0.219
 1537.0    0.811   0.223
 1538.0    0.816   0.227
 1539.0    0.820   0.231
 1540.0    0.824   0.235
 1541.0    0.829   0.239
 1542.0    0.833   0.243
 1543.0    0.838   0.247
 1544.0    0.843   0.252
 1545.0    0.847   0.256
 1546.0    0.852   0.260
 1547.0    0.856   0.265
 1548.0    0.861   0.270
 1549.0    0.866   0.275
 1550.0    0.871   0.280
 1551.0    0.875   0.285
 1552.0    0.880   0.290
 1553.0    0.885   0.295
 1554.0    0.890   0.300
 1555.0    0.895   0.306
 1556.0    0.900   0.311
 1557.0    0.905   0.317
 1558.0    0.910   0.323
 1559.0    0.915   0.329
 1560.0    0.920   0.335
 1561.0    0.925   0.341
 1562.0    0.930   0.347
 1563.0    0.935   0.354
 1564.0    0.940   0.360
 1565.0    0.945   0.367
 1566.0    0.950   0.374
 1567.0    0.955   0.381
 1568.0    0.960   0.388
 1569.0    0.965   0.395
 1570.0    0.971   0.403
 1571.0    0.976   0.410
 1572.0    0.981   0.418
 1573.0    0.986   0.426
 1574.0    0.991   0.434
 1575.0    0.996   0.443
 1576.0    1.001   0.451
 1577.0    1.006   0.460
 1578.0    1.011   0.469
 1579.0    1.016   0.478
 1580.0    1.021   0.487
 1581.0    1.026   0.497
 1582.0    1.031   0.507
 1583.0    1.036   0.516
 1584.0    1.041   0.527
 1585.0    1.046   0.537
 1586.0    1.050   0.548
 1587.0    1.055   0.558
 1588.0    1.059   0.569
 1589.0    1.064   0.581
 1590.0    1.068   0.592
 1591.0    1.073   0.604
 1592.0    1.077   0.616
 1593.0    1.081   0.628
 1594.0    1.085   0.641
 1595.0    1.089   0.654
 1596.0    1.093   0.667
 1597.0    1.097   0.680
 1598.0    1.100   0.694
 1599.0    1.103   0.708
 1600.0    1.107   0.722
 1601.0    1.110   0.736
 1602.0    1.112   0.751
 1603.0    1.115   0.766
 1604.0    1.117   0.781
 1605.0    1.120   0.797
 1606.0    1.121   0.813
 1607.0    1.123   0.829
 1608.0    1.124   0.845
 1609.0    1.126   0.862
 1610.0    1.126   0.879
 1611.0    1.127   0.897
 1612.0    1.127   0.914
 1613.0    1.127   0.932
 1614.0    1.126   0.950
 1615.0    1.125   0.969
 1616.0    1.124   0.988
 1617.0    1.122   1.007
 1618.0    1.120   1.026
 1619.0    1.118   1.046
 1620.0    1.114   1.065
 1621.0    1.111   1.085
 1622.0    1.107   1.106
 1623.0    1.102   1.126
 1624.0    1.097   1.147
 1625.0    1.091   1.168
 1626.0    1.085   1.189
 1627.0    1.078   1.210
 1628.0    1.070   1.231
 1629.0    1.062   1.252
 1630.0    1.053   1.274
 1631.0    1.044   1.295
 1632.0    1.033   1.317
 1633.0    1.023   1.338
 1634.0    1.011   1.360
 1635.0    0.998   1.381
 1636.0    0.985   1.403
 1637.0    0.971   1.424
 1638.0    0.957   1.445
 1639.0    0.941   1.466
 1640.0    0.925   1.487
 1641.0    0.908   1.507
 1642.0    0.890   1.527
 1643.0    0.872   1.547
 1644.0    0.853   1.567
 1645.0    0.832   1.586
 1646.0    0.812   1.604
 1647.0    0.790   1.622
 1648.0    0.768   1.640
 1649.0    0.745   1.657
 1650.0    0.721   1.673
 1651.0    0.697   1.689
 1652.0    0.672   1.704
 1653.0    0.646   1.718
 1654.0    0.620   1.732
 1655.0    0.593   1.745
 1656.0    0.565   1.756
 1657.0    0.538   1.767
 1658.0    0.509   1.778
 1659.0    0.481   1.787
 1660.0    0.452   1.795
 1661.0    0.422   1.802
 1662.0    0.393   1.809
 1663.0    0.363   1.814
 1664.0    0.333   1.818
 1665.0    0.303   1.822
 1666.0    0.273   1.824
 1667.0    0.243   1.825
 1668.0    0.213   1.826
 1669.0    0.183   1.825
 1670.0    0.153   1.824
 1671.0    0.123   1.821
 1672.0    0.093   1.817
 1673.0    0.064   1.813
 1674.0    0.035   1.807
 1675.0    0.007   1.801
 1676.0   -0.021   1.794
 1677.0   -0.049   1.786
 1678.0   -0.076   1.777
 1679.0   -0.103   1.767
 1680.0   -0.129   1.757
 1681.0   -0.155   1.746
 1682.0   -0.180   1.734
 1683.0   -0.204   1.721
 1684.0   -0.228   1.708
 1685.0   -0.251   1.695
 1686.0   -0.274   1.681
 1687.0   -0.296   1.666
 1688.0   -0.317   1.651
 1689.0   -0.338   1.635
 1690.0   -0.357   1.619
 1691.0   -0.376   1.603
 1692.0   -0.395   1.587
 1693.0   -0.412   1.570
 1694.0   -0.430   1.553
 1695.0   -0.446   1.535
 1696.0   -0.462   1.518
 1697.0   -0.476   1.500
 1698.0   -0.491   1.483
 1699.0   -0.504   1.465
 1700.0   -0.517   1.447
 1701.0   -0.530   1.429
 1702.0   -0.542   1.411
 1703.0   -0.553   1.393
 1704.0   -0.563   1.375
 1705.0   -0.573   1.357
 1706.0   -0.583   1.340
 1707.0   -0.592   1.322
 1708.0   -0.600   1.304
 1709.0   -0.608   1.287
 1710.0   -0.615   1.270
 1711.0   -0.622   1.252
 1712.0   -0.629   1.235
 1713.0   -0.635   1.218
 1714.0   -0.640   1.202
 1715.0   -0.646   1.185
 1716.0   -0.650   1.169
 1717.0   -0.655   1.152
 1718.0   -0.659   1.136
 1719.0   -0.662   1.120
 1720.0   -0.666   1.105
 1721.0   -0.669   1.089
 1722.0   -0.671   1.074
 1723.0   -0.674   1.059
 1724.0   -0.676   1.044
 1725.0   -0.678   1.030
 1726.0   -0.679   1.015
 1727.0   -0.681   1.001
 1728.0   -0.682   0.987
 1729.0   -0.683   0.974
 1730.0   -0.683   0.960
 1731.0   -0.684   0.947
 1732.0   -0.684   0.934
 1733.0   -0.684   0.921
 1734.0   -0.684   0.909
 1735.0   -0.684   0.896
 1736.0   -0.684   0.884
 1737.0   -0.683   0.872
 1738.0   -0.682   0.860
 1739.0   -0.682   0.849
 1740.0   -0.681   0.837
 1741.0   -0.680   0.826
 1742.0   -0.679   0.815
 1743.0   -0.677   0.804
 1744.0   -0.676   0.794
 1745.0   -0.675   0.783
 1746.0   -0.673   0.773
 1747.0   -0.671   0.763
 1748.0   -0.670   0.753
 1749.0   -0.668   0.743
 1750.0   -0.666   0.734
 1751.0   -0.664   0.724
 1752.0   -0.662   0.715
 1753.0   -0.660   0.706
 1754.0   -0.658   0.697
 1755.0   -0.656   0.688
 1756.0   -0.654   0.680
 1757.0   -0.652   0.671
 1758.0   -0.650   0.663
 1759.0   -0.648   0.654
 1760.0   -0.645   0.646
 1761.0   -0.643   0.638
 1762.0   -0.641   0.631
 1763.0   -0.639   0.623
 1764.0   -0.636   0.615
 1765.0   -0.634   0.608
 1766.0   -0.631   0.600
 1767.0   -0.629   0.593
 1768.0   -0.627   0.586
 1769.0   -0.624   0.579
 1770.0   -0.622   0.572
 1771.0   -0.619   0.565
 1772.0   -0.617   0.558
 1773.0   -0.614   0.551
 1774.0   -0.612   0.545
 1775.0   -0.610   0.538
 1776.0   -0.607   0.532
 1777.0   -0.605   0.526
 1778.0   -0.602   0.519
 1779.0   -0.600   0.513
 1780.0   -0.597   0.507
 1781.0   -0.595   0.501
 1782.0   -0.592   0.495
 1783.0   -0.590   0.489
 1784.0   -0.587   0.483
 1785.0   -0.585   0.478
 1786.0   -0.582   0.472
 1787.0   -0.579   0.466
 1788.0   -0.577   0.461
 1789.0   -0.574   0.455
 1790.0   -0.572   0.450
 1791.0   -0.569   0.444
 1792.0   -0.567   0.439
 1793.0   -0.564   0.434
 1794.0   -0.561   0.429
 1795.0   -0.559   0.423
 1796.0   -0.556   0.418
 1797.0   -0.554   0.413
 1798.0   -0.551   0.408
 1799.0   -0.548   0.403
 1800.0   -0.546   0.398
 1801.0   -0.543   0.393
 1802.0   -0.540   0.389
 1803.0   -0.538   0.384
 1804.0   -0.535   0.379
 1805.0   -0.532   0.374
 1806.0   -0.530   0.370
 1807.0   -0.527   0.365
 1808.0   -0.524   0.361
