   W         E2+(pi+_n)
 (MeV)      Re      Im
 1621.0    0.598   0.000
 1622.0    0.597   0.000
 1623.0    0.597   0.000
 1624.0    0.596   0.000
 1625.0    0.596   0.000
 1626.0    0.595   0.000
 1627.0    0.595   0.000
 1628.0    0.594   0.000
 1629.0    0.594   0.000
 1630.0    0.593   0.000
 1631.0    0.593   0.000
 1632.0    0.592   0.000
 1633.0    0.592   0.000
 1634.0    0.591   0.000
 1635.0    0.591   0.000
 1636.0    0.590   0.000
 1637.0    0.590   0.000
 1638.0    0.589   0.000
 1639.0    0.589   0.000
 1640.0    0.588   0.000
 1641.0    0.588   0.000
 1642.0    0.587   0.000
 1643.0    0.587   0.000
 1644.0    0.586   0.000
 1645.0    0.586   0.000
 1646.0    0.585   0.000
 1647.0    0.584   0.000
 1648.0    0.584   0.000
 1649.0    0.583   0.000
 1650.0    0.583   0.000
 1651.0    0.582   0.000
 1652.0    0.582   0.000
 1653.0    0.581   0.000
 1654.0    0.581   0.000
 1655.0    0.580   0.000
 1656.0    0.580   0.000
 1657.0    0.579   0.000
 1658.0    0.579   0.000
 1659.0    0.578   0.000
 1660.0    0.578   0.000
 1661.0    0.578   0.000
 1662.0    0.577   0.000
 1663.0    0.577   0.000
 1664.0    0.576   0.000
 1665.0    0.576   0.000
 1666.0    0.575   0.000
 1667.0    0.575   0.000
 1668.0    0.574   0.000
 1669.0    0.574   0.000
 1670.0    0.573   0.000
 1671.0    0.573   0.000
 1672.0    0.572   0.000
 1673.0    0.572   0.000
 1674.0    0.571   0.000
 1675.0    0.571   0.000
 1676.0    0.570   0.000
 1677.0    0.570   0.000
 1678.0    0.569   0.000
 1679.0    0.569   0.000
 1680.0    0.568   0.000
 1681.0    0.568   0.000
 1682.0    0.567   0.000
 1683.0    0.567   0.000
 1684.0    0.566   0.000
 1685.0    0.566   0.000
 1686.0    0.565   0.000
 1687.0    0.565   0.000
 1688.0    0.564   0.000
 1689.0    0.564   0.000
 1690.0    0.563   0.000
 1691.0    0.563   0.000
 1692.0    0.563   0.000
 1693.0    0.562   0.000
 1694.0    0.562   0.000
 1695.0    0.561   0.000
 1696.0    0.561   0.000
 1697.0    0.560   0.000
 1698.0    0.560   0.000
 1699.0    0.559   0.000
 1700.0    0.559   0.000
 1701.0    0.558   0.000
 1702.0    0.558   0.000
 1703.0    0.557   0.000
 1704.0    0.557   0.000
 1705.0    0.556   0.000
 1706.0    0.556   0.000
 1707.0    0.555   0.000
 1708.0    0.555   0.000
 1709.0    0.555   0.000
 1710.0    0.554   0.000
 1711.0    0.554   0.000
 1712.0    0.553   0.000
 1713.0    0.553   0.000
 1714.0    0.552   0.000
 1715.0    0.552   0.000
 1716.0    0.551   0.000
 1717.0    0.551   0.000
 1718.0    0.550   0.000
 1719.0    0.550   0.000
 1720.0    0.550   0.000
 1721.0    0.549   0.000
 1722.0    0.549   0.000
 1723.0    0.548   0.000
 1724.0    0.548   0.000
 1725.0    0.547   0.000
 1726.0    0.547   0.000
 1727.0    0.546   0.000
 1728.0    0.546   0.000
 1729.0    0.545   0.000
 1730.0    0.545   0.000
 1731.0    0.545   0.000
 1732.0    0.544   0.000
 1733.0    0.544   0.000
 1734.0    0.543   0.000
 1735.0    0.543   0.000
 1736.0    0.542   0.000
 1737.0    0.542   0.000
 1738.0    0.542   0.000
 1739.0    0.541   0.000
 1740.0    0.541   0.000
 1741.0    0.540   0.000
 1742.0    0.540   0.000
 1743.0    0.539   0.000
 1744.0    0.539   0.000
 1745.0    0.538   0.000
 1746.0    0.538   0.000
 1747.0    0.538   0.000
 1748.0    0.537   0.000
 1749.0    0.537   0.000
 1750.0    0.536   0.000
 1751.0    0.536   0.000
 1752.0    0.535   0.000
 1753.0    0.535   0.000
 1754.0    0.535   0.000
 1755.0    0.534   0.000
 1756.0    0.534   0.000
 1757.0    0.533   0.000
 1758.0    0.533   0.000
 1759.0    0.532   0.000
 1760.0    0.532   0.000
 1761.0    0.532   0.000
 1762.0    0.531   0.000
 1763.0    0.531   0.000
 1764.0    0.530   0.000
 1765.0    0.530   0.000
 1766.0    0.529   0.000
 1767.0    0.529   0.000
 1768.0    0.529   0.000
 1769.0    0.528   0.000
 1770.0    0.528   0.000
 1771.0    0.527   0.000
 1772.0    0.527   0.000
 1773.0    0.527   0.000
 1774.0    0.526   0.000
 1775.0    0.526   0.000
