   W         E0+(pi0_p)
 (MeV)      Re         Im
 1404.0   -0.59555    4.52439
 1405.0   -0.58046    4.54066
 1406.0   -0.56608    4.55740
 1407.0   -0.55170    4.57437
 1408.0   -0.53779    4.59182
 1409.0   -0.52270    4.60880
 1410.0   -0.50879    4.62648
 1411.0   -0.49417    4.64416
 1412.0   -0.48026    4.66232
 1413.0   -0.46564    4.68071
 1414.0   -0.45150    4.69839
 1415.0   -0.43664    4.71796
 1416.0   -0.42203    4.73635
 1417.0   -0.40788    4.75568
 1418.0   -0.39373    4.77478
 1419.0   -0.37888    4.79411
 1420.0   -0.36450    4.81415
 1421.0   -0.35082    4.83466
 1422.0   -0.33644    4.85423
 1423.0   -0.32206    4.87498
 1424.0   -0.30815    4.89573
 1425.0   -0.29424    4.91671
 1426.0   -0.28033    4.93816
 1427.0   -0.26642    4.96033
 1428.0   -0.25180    4.98249
 1429.0   -0.23789    5.00489
 1430.0   -0.22327    5.02776
 1431.0   -0.20983    5.05086
 1432.0   -0.19569    5.07444
 1433.0   -0.18154    5.09754
 1434.0   -0.16857    5.12159
 1435.0   -0.15443    5.14540
 1436.0   -0.14075    5.17063
 1437.0   -0.12708    5.19586
 1438.0   -0.11340    5.22132
 1439.0   -0.09949    5.24796
 1440.0   -0.08582    5.27413
 1441.0   -0.07262    5.30148
 1442.0   -0.05989    5.32907
 1443.0   -0.04715    5.35665
 1444.0   -0.03442    5.38447
 1445.0   -0.02169    5.41347
 1446.0   -0.00896    5.44318
 1447.0    0.00448    5.47312
 1448.0    0.01721    5.50424
 1449.0    0.02947    5.53489
 1450.0    0.04173    5.56743
 1451.0    0.05399    5.59949
 1452.0    0.06625    5.63297
 1453.0    0.07804    5.66716
 1454.0    0.08983    5.70135
 1455.0    0.10114    5.73648
 1456.0    0.11293    5.77231
 1457.0    0.12354    5.80956
 1458.0    0.13368    5.84681
 1459.0    0.14429    5.88548
 1460.0    0.15443    5.92438
 1461.0    0.16457    5.96470
 1462.0    0.17423    6.00572
 1463.0    0.18437    6.04816
 1464.0    0.19333    6.09201
 1465.0    0.20300    6.13657
 1466.0    0.21125    6.18326
 1467.0    0.21903    6.23159
 1468.0    0.22657    6.28110
 1469.0    0.23317    6.33155
 1470.0    0.24025    6.38413
 1471.0    0.24543    6.43836
 1472.0    0.24991    6.49471
 1473.0    0.25392    6.55318
 1474.0    0.25699    6.61306
 1475.0    0.25911    6.67530
 1476.0    0.26029    6.74226
 1477.0    0.25887    6.81158
 1478.0    0.25746    6.88325
 1479.0    0.25463    6.95893
 1480.0    0.25062    7.03626
 1481.0    0.23860    7.12680
 1482.0    0.22186    7.22205
 1483.0    0.20229    7.32343
 1484.0    0.17918    7.43047
 1485.0    0.15278    7.54340
 1486.0    0.07969    7.62734
 1487.0   -0.01155    7.70514
 1488.0   -0.12048    7.77799
 1489.0   -0.24826    7.84542
 1490.0   -0.39373    7.90837
 1491.0   -0.46706    7.94067
 1492.0   -0.54085    7.97226
 1493.0   -0.61488    8.00386
 1494.0   -0.68868    8.03545
 1495.0   -0.76318    8.06704
 1496.0   -0.83981    8.09604
 1497.0   -0.91832    8.12316
 1498.0   -0.99683    8.15074
 1499.0   -1.07675    8.17644
 1500.0   -1.15715    8.20096
 1501.0   -1.23896    8.21982
 1502.0   -1.32148    8.23680
 1503.0   -1.40518    8.25047
 1504.0   -1.49005    8.26202
 1505.0   -1.57564    8.27075
 1506.0   -1.66004    8.27476
 1507.0   -1.74421    8.27546
 1508.0   -1.82838    8.27263
 1509.0   -1.91326    8.26627
 1510.0   -1.99743    8.25731
 1511.0   -2.07995    8.24576
 1512.0   -2.16176    8.23137
 1513.0   -2.24333    8.21440
 1514.0   -2.32420    8.19459
 1515.0   -2.40436    8.17149
 1516.0   -2.48240    8.14650
 1517.0   -2.55879    8.11868
 1518.0   -2.63447    8.08897
 1519.0   -2.70945    8.05596
 1520.0   -2.78230    8.02036
 1521.0   -2.85279    7.98429
 1522.0   -2.92140    7.94680
 1523.0   -2.98836    7.90696
 1524.0   -3.05390    7.86570
 1525.0   -3.11733    7.82255
 1526.0   -3.17933    7.77823
 1527.0   -3.23922    7.73272
 1528.0   -3.29745    7.68581
 1529.0   -3.35380    7.63653
 1530.0   -3.40921    7.58726
 1531.0   -3.46202    7.53680
 1532.0   -3.51271    7.48399
 1533.0   -3.56151    7.43118
 1534.0   -3.60937    7.37671
 1535.0   -3.65582    7.32037
 1536.0   -3.69967    7.26567
 1537.0   -3.74188    7.20979
 1538.0   -3.78266    7.15415
 1539.0   -3.82086    7.09733
 1540.0   -3.85811    7.04004
 1541.0   -3.89371    6.98298
 1542.0   -3.92837    6.92545
 1543.0   -3.96067    6.86698
 1544.0   -3.99273    6.80851
 1545.0   -4.02220    6.74910
 1546.0   -4.05050    6.69063
 1547.0   -4.07808    6.63098
 1548.0   -4.10425    6.57180
 1549.0   -4.12854    6.51215
 1550.0   -4.15164    6.45203
 1551.0   -4.17286    6.39167
 1552.0   -4.19290    6.33203
 1553.0   -4.21223    6.27143
 1554.0   -4.22992    6.21108
 1555.0   -4.24618    6.15025
 1556.0   -4.26080    6.08966
 1557.0   -4.27495    6.02883
 1558.0   -4.28768    5.96871
 1559.0   -4.29947    5.90811
 1560.0   -4.31008    5.84729
 1561.0   -4.31904    5.78669
 1562.0   -4.32635    5.72563
 1563.0   -4.33248    5.66480
 1564.0   -4.33743    5.60421
 1565.0   -4.34073    5.54315
 1566.0   -4.34309    5.48302
 1567.0   -4.34426    5.42290
 1568.0   -4.34403    5.36231
 1569.0   -4.34332    5.30195
 1570.0   -4.34096    5.24183
 1571.0   -4.33696    5.18171
 1572.0   -4.33153    5.12230
 1573.0   -4.32493    5.06312
 1574.0   -4.31668    5.00394
 1575.0   -4.30772    4.94500
 1576.0   -4.29687    4.88724
 1577.0   -4.28532    4.82947
 1578.0   -4.27212    4.77265
 1579.0   -4.25797    4.71513
 1580.0   -4.24288    4.65949
 1581.0   -4.22567    4.60384
 1582.0   -4.20752    4.54868
 1583.0   -4.18724    4.49468
 1584.0   -4.16602    4.44093
 1585.0   -4.14386    4.38765
 1586.0   -4.12076    4.33648
 1587.0   -4.09553    4.28485
 1588.0   -4.07007    4.23487
 1589.0   -4.04295    4.18606
 1590.0   -4.01442    4.13702
 1591.0   -3.98542    4.09034
 1592.0   -3.95478    4.04484
 1593.0   -3.92436    4.00028
 1594.0   -3.89183    3.95619
 1595.0   -3.85835    3.91328
 1596.0   -3.82440    3.87296
 1597.0   -3.78950    3.83383
 1598.0   -3.75414    3.79563
 1599.0   -3.71736    3.75838
 1600.0   -3.68011    3.72207
 1601.0   -3.64285    3.68859
 1602.0   -3.60442    3.65559
 1603.0   -3.56623    3.62470
 1604.0   -3.52709    3.59405
 1605.0   -3.48795    3.56505
 1606.0   -3.44835    3.53888
 1607.0   -3.40874    3.51483
 1608.0   -3.36866    3.49196
 1609.0   -3.32881    3.46980
 1610.0   -3.28826    3.44976
 1611.0   -3.24841    3.43090
 1612.0   -3.20786    3.41416
 1613.0   -3.16849    3.39883
 1614.0   -3.12864    3.38445
 1615.0   -3.08833    3.37031
 1616.0   -3.05037    3.35993
 1617.0   -3.01288    3.35050
 1618.0   -2.97492    3.34249
 1619.0   -2.93744    3.33494
 1620.0   -2.90042    3.32881
 1621.0   -2.86482    3.32504
 1622.0   -2.83087    3.32244
 1623.0   -2.79621    3.32079
 1624.0   -2.76273    3.31985
 1625.0   -2.72854    3.31938
 1626.0   -2.69790    3.32197
 1627.0   -2.66795    3.32575
 1628.0   -2.63895    3.32975
 1629.0   -2.61043    3.33541
 1630.0   -2.58190    3.34083
 1631.0   -2.55785    3.34744
 1632.0   -2.53427    3.35522
 1633.0   -2.51187    3.36276
 1634.0   -2.48924    3.37125
 1635.0   -2.46755    3.37950
 1636.0   -2.44987    3.38822
 1637.0   -2.43336    3.39742
 1638.0   -2.41710    3.40685
 1639.0   -2.40059    3.41628
 1640.0   -2.38432    3.42665
 1641.0   -2.37419    3.43585
 1642.0   -2.36452    3.44552
 1643.0   -2.35532    3.45518
 1644.0   -2.34707    3.46579
