   W         M2+(pi0_p)
 (MeV)      Re         Im
 1382.0   -0.13722   -0.01627
 1383.0   -0.13698   -0.01627
 1384.0   -0.13675   -0.01627
 1385.0   -0.13651   -0.01627
 1386.0   -0.13627   -0.01627
 1387.0   -0.13604   -0.01627
 1388.0   -0.13580   -0.01627
 1389.0   -0.13557   -0.01627
 1390.0   -0.13533   -0.01627
 1391.0   -0.13510   -0.01627
 1392.0   -0.13486   -0.01627
 1393.0   -0.13510   -0.01627
 1394.0   -0.13557   -0.01627
 1395.0   -0.13533   -0.01627
 1396.0   -0.13510   -0.01627
 1397.0   -0.13415   -0.01627
 1398.0   -0.13392   -0.01627
 1399.0   -0.13368   -0.01627
 1400.0   -0.13344   -0.01627
 1401.0   -0.13321   -0.01627
 1402.0   -0.13344   -0.01627
 1403.0   -0.13321   -0.01627
 1404.0   -0.13297   -0.01627
 1405.0   -0.13274   -0.01627
 1406.0   -0.13250   -0.01627
 1407.0   -0.13227   -0.01627
 1408.0   -0.13203   -0.01627
 1409.0   -0.13227   -0.01627
 1410.0   -0.13203   -0.01627
 1411.0   -0.13179   -0.01627
 1412.0   -0.13085   -0.01627
 1413.0   -0.13062   -0.01627
 1414.0   -0.13038   -0.01627
 1415.0   -0.13062   -0.01627
 1416.0   -0.13038   -0.01627
 1417.0   -0.13014   -0.01627
 1418.0   -0.12991   -0.01627
 1419.0   -0.12897   -0.01627
 1420.0   -0.12873   -0.01627
 1421.0   -0.12897   -0.01627
 1422.0   -0.12873   -0.01627
 1423.0   -0.12849   -0.01627
 1424.0   -0.12755   -0.01627
 1425.0   -0.12731   -0.01627
 1426.0   -0.12755   -0.01627
 1427.0   -0.12731   -0.01627
 1428.0   -0.12708   -0.01627
 1429.0   -0.12614   -0.01627
 1430.0   -0.12590   -0.01627
 1431.0   -0.12614   -0.01627
 1432.0   -0.12519   -0.01627
 1433.0   -0.12496   -0.01627
 1434.0   -0.12472   -0.01556
 1435.0   -0.12449   -0.01556
 1436.0   -0.12401   -0.01556
 1437.0   -0.12378   -0.01556
 1438.0   -0.12354   -0.01556
 1439.0   -0.12331   -0.01556
 1440.0   -0.12284   -0.01556
 1441.0   -0.12260   -0.01556
 1442.0   -0.12236   -0.01556
 1443.0   -0.12142   -0.01556
 1444.0   -0.12166   -0.01556
 1445.0   -0.12071   -0.01556
 1446.0   -0.12048   -0.01556
 1447.0   -0.12024   -0.01556
 1448.0   -0.11977   -0.01556
 1449.0   -0.11953   -0.01485
 1450.0   -0.11859   -0.01485
 1451.0   -0.11836   -0.01485
 1452.0   -0.11859   -0.01485
 1453.0   -0.11765   -0.01485
 1454.0   -0.11741   -0.01485
 1455.0   -0.11647   -0.01485
 1456.0   -0.11671   -0.01485
 1457.0   -0.11576   -0.01485
 1458.0   -0.11553   -0.01485
 1459.0   -0.11529   -0.01415
 1460.0   -0.11482   -0.01415
 1461.0   -0.11458   -0.01415
 1462.0   -0.11364   -0.01415
 1463.0   -0.11388   -0.01415
 1464.0   -0.11293   -0.01415
 1465.0   -0.11199   -0.01415
 1466.0   -0.11175   -0.01415
 1467.0   -0.11128   -0.01344
 1468.0   -0.11105   -0.01297
 1469.0   -0.11010   -0.01297
 1470.0   -0.11034   -0.01297
 1471.0   -0.10940   -0.01297
