   W         E0+(pi0_p)
 (MeV)      Re         Im
 1784.0   -1.565664   1.631692
 1785.0   -1.559442   1.618522
 1786.0   -1.552830   1.605596
 1787.0   -1.546219   1.592671
 1788.0   -1.539607   1.579746
 1789.0   -1.532995   1.566820
 1790.0   -1.526384   1.553895
 1791.0   -1.519379   1.541238
 1792.0   -1.512374   1.528582
 1793.0   -1.505369   1.515925
 1794.0   -1.498364   1.503269
 1795.0   -1.491359   1.490613
 1796.0   -1.483960   1.478254
 1797.0   -1.476561   1.465895
 1798.0   -1.469162   1.453536
 1799.0   -1.461762   1.441177
 1800.0   -1.454363   1.428819
 1801.0   -1.446571   1.416784
 1802.0   -1.438778   1.404750
 1803.0   -1.430985   1.392716
 1804.0   -1.423192   1.380682
 1805.0   -1.415400   1.368647
 1806.0   -1.407219   1.356975
 1807.0   -1.399038   1.345303
 1808.0   -1.390857   1.333631
 1809.0   -1.382676   1.321958
 1810.0   -1.374496   1.310286
 1811.0   -1.365934   1.299007
 1812.0   -1.357372   1.287728
 1813.0   -1.348811   1.276449
 1814.0   -1.340249   1.265170
 1815.0   -1.331688   1.253891
 1816.0   -1.322757   1.243037
 1817.0   -1.313826   1.232183
 1818.0   -1.304895   1.221330
 1819.0   -1.295964   1.210476
 1820.0   -1.287033   1.199622
 1821.0   -1.277750   1.189231
 1822.0   -1.268466   1.178840
 1823.0   -1.259183   1.168450
 1824.0   -1.249899   1.158059
 1825.0   -1.240616   1.147668
 1826.0   -1.231000   1.137775
 1827.0   -1.221385   1.127883
 1828.0   -1.211770   1.117990
 1829.0   -1.202155   1.108098
 1830.0   -1.192540   1.098205
 1831.0   -1.182619   1.088846
 1832.0   -1.172698   1.079487
 1833.0   -1.162778   1.070128
 1834.0   -1.152857   1.060769
 1835.0   -1.142936   1.051410
 1836.0   -1.132744   1.042608
 1837.0   -1.122551   1.033805
 1838.0   -1.112358   1.025003
 1839.0   -1.102165   1.016201
 1840.0   -1.091973   1.007398
 1841.0   -1.081538   0.999213
 1842.0   -1.071104   0.991027
 1843.0   -1.060669   0.982842
 1844.0   -1.050235   0.974656
 1845.0   -1.039801   0.966471
 1846.0   -1.029172   0.958910
 1847.0   -1.018543   0.951349
 1848.0   -1.007913   0.943789
 1849.0   -0.997284   0.936228
 1850.0   -0.986655   0.928668
 1851.0   -0.975877   0.921757
 1852.0   -0.965099   0.914845
 1853.0   -0.954320   0.907934
 1854.0   -0.943542   0.901023
 1855.0   -0.932764   0.894112
 1856.0   -0.921887   0.887872
 1857.0   -0.911010   0.881633
 1858.0   -0.900134   0.875393
 1859.0   -0.889257   0.869154
 1860.0   -0.878381   0.862914
 1861.0   -0.867460   0.857365
 1862.0   -0.856539   0.851815
 1863.0   -0.845618   0.846266
 1864.0   -0.834697   0.840716
 1865.0   -0.823777   0.835167
 1866.0   -0.812870   0.830320
 1867.0   -0.801963   0.825474
 1868.0   -0.791057   0.820628
 1869.0   -0.780150   0.815781
 1870.0   -0.769244   0.810935
 1871.0   -0.758413   0.806786
 1872.0   -0.747582   0.802636
 1873.0   -0.736752   0.798486
 1874.0   -0.725921   0.794337
 1875.0   -0.715090   0.790187
 1876.0   -0.704398   0.786733
 1877.0   -0.693705   0.783280
 1878.0   -0.683013   0.779826
 1879.0   -0.672320   0.776373
 1880.0   -0.661628   0.772919
 1881.0   -0.651137   0.770148
 1882.0   -0.640646   0.767377
 1883.0   -0.630155   0.764607
 1884.0   -0.619664   0.761836
 1885.0   -0.609173   0.759065
 1886.0   -0.598947   0.756956
 1887.0   -0.588721   0.754847
 1888.0   -0.578495   0.752737
 1889.0   -0.568270   0.750628
 1890.0   -0.558044   0.748519
 1891.0   -0.548144   0.747042
 1892.0   -0.538245   0.745564
 1893.0   -0.528345   0.744087
 1894.0   -0.518445   0.742609
 1895.0   -0.508546   0.741132
 1896.0   -0.499030   0.740248
 1897.0   -0.489515   0.739364
 1898.0   -0.479999   0.738480
 1899.0   -0.470484   0.737595
