   W          M2+(pi+_n)
 (MeV)       Re        Im
 1403.00   -0.35429   0.00000
 1404.00   -0.35309   0.00000
 1405.00   -0.35188   0.00000
 1406.00   -0.35067   0.00000
 1407.00   -0.34945   0.00000
 1408.00   -0.34823   0.00000
 1409.00   -0.34701   0.00000
 1410.00   -0.34578   0.00000
 1411.00   -0.34455   0.00000
 1412.00   -0.34332   0.00000
 1413.00   -0.34208   0.00000
 1414.00   -0.34084   0.00000
 1415.00   -0.33960   0.00000
 1416.00   -0.33835   0.00000
 1417.00   -0.33710   0.00000
 1418.00   -0.33585   0.00000
 1419.00   -0.33459   0.00000
 1420.00   -0.33333   0.00000
 1421.00   -0.33207   0.00000
 1422.00   -0.33080   0.00000
 1423.00   -0.32953   0.00000
 1424.00   -0.32826   0.00000
 1425.00   -0.32699   0.00000
 1426.00   -0.32571   0.00000
 1427.00   -0.32443   0.00000
 1428.00   -0.32314   0.00000
 1429.00   -0.32185   0.00000
 1430.00   -0.32056   0.00000
 1431.00   -0.31927   0.00000
 1432.00   -0.31797   0.00000
 1433.00   -0.31667   0.00000
 1434.00   -0.31537   0.00000
 1435.00   -0.31407   0.00000
 1436.00   -0.31276   0.00000
 1437.00   -0.31145   0.00000
 1438.00   -0.31013   0.00000
 1439.00   -0.30882   0.00000
 1440.00   -0.30750   0.00000
 1441.00   -0.30618   0.00000
 1442.00   -0.30485   0.00000
 1443.00   -0.30353   0.00000
 1444.00   -0.30220   0.00000
 1445.00   -0.30087   0.00000
 1446.00   -0.29953   0.00000
 1447.00   -0.29820   0.00000
 1448.00   -0.29686   0.00000
 1449.00   -0.29551   0.00000
 1450.00   -0.29417   0.00000
 1451.00   -0.29282   0.00000
 1452.00   -0.29148   0.00000
 1453.00   -0.29012   0.00000
 1454.00   -0.28877   0.00000
 1455.00   -0.28742   0.00000
 1456.00   -0.28606   0.00000
 1457.00   -0.28470   0.00000
 1458.00   -0.28333   0.00000
 1459.00   -0.28197   0.00000
 1460.00   -0.28060   0.00000
 1461.00   -0.27923   0.00000
 1462.00   -0.27786   0.00000
 1463.00   -0.27649   0.00000
 1464.00   -0.27511   0.00000
 1465.00   -0.27374   0.00000
 1466.00   -0.27236   0.00000
 1467.00   -0.27098   0.00000
 1468.00   -0.26959   0.00000
 1469.00   -0.26821   0.00000
 1470.00   -0.26682   0.00000
 1471.00   -0.26543   0.00000
 1472.00   -0.26404   0.00000
 1473.00   -0.26264   0.00000
 1474.00   -0.26125   0.00000
 1475.00   -0.25985   0.00000
 1476.00   -0.25845   0.00000
 1477.00   -0.25705   0.00000
 1478.00   -0.25565   0.00000
 1479.00   -0.25425   0.00000
 1480.00   -0.25284   0.00000
 1481.00   -0.25143   0.00000
 1482.00   -0.25002   0.00000
 1483.00   -0.24861   0.00000
 1484.00   -0.24720   0.00000
 1485.00   -0.24578   0.00000
 1486.00   -0.24437   0.00000
 1487.00   -0.24295   0.00000
 1488.00   -0.24153   0.00000
 1489.00   -0.24011   0.00000
 1490.00   -0.23869   0.00000
 1491.00   -0.23726   0.00000
 1492.00   -0.23584   0.00000
 1493.00   -0.23441   0.00000
 1494.00   -0.23298   0.00000
 1495.00   -0.23155   0.00000
 1496.00   -0.23012   0.00000
 1497.00   -0.22869   0.00000
 1498.00   -0.22725   0.00000
 1499.00   -0.22582   0.00000
 1500.00   -0.22438   0.00000
 1501.00   -0.22294   0.00000
 1502.00   -0.22150   0.00000
 1503.00   -0.22006   0.00000
 1504.00   -0.21862   0.00000
 1505.00   -0.21717   0.00000
 1506.00   -0.21573   0.00000
 1507.00   -0.21428   0.00000
 1508.00   -0.21283   0.00000
 1509.00   -0.21138   0.00000
 1510.00   -0.20993   0.00000
 1511.00   -0.20848   0.00000
 1512.00   -0.20703   0.00000
 1513.00   -0.20557   0.00000
 1514.00   -0.20412   0.00000
 1515.00   -0.20266   0.00000
 1516.00   -0.20120   0.00000
 1517.00   -0.19974   0.00000
 1518.00   -0.19828   0.00000
 1519.00   -0.19682   0.00000
 1520.00   -0.19536   0.00000
 1521.00   -0.19390   0.00000
 1522.00   -0.19243   0.00000
 1523.00   -0.19097   0.00000
 1524.00   -0.18950   0.00000
 1525.00   -0.18804   0.00000
 1526.00   -0.18657   0.00000
 1527.00   -0.18510   0.00000
 1528.00   -0.18363   0.00000
 1529.00   -0.18216   0.00000
 1530.00   -0.18068   0.00000
 1531.00   -0.17921   0.00000
 1532.00   -0.17774   0.00000
 1533.00   -0.17626   0.00000
 1534.00   -0.17479   0.00000
 1535.00   -0.17331   0.00000
 1536.00   -0.17183   0.00000
 1537.00   -0.17035   0.00000
 1538.00   -0.16887   0.00000
 1539.00   -0.16739   0.00000
 1540.00   -0.16591   0.00000
 1541.00   -0.16443   0.00000
 1542.00   -0.16295   0.00000
 1543.00   -0.16146   0.00000
 1544.00   -0.15998   0.00000
 1545.00   -0.15850   0.00000
 1546.00   -0.15701   0.00000
 1547.00   -0.15552   0.00000
 1548.00   -0.15404   0.00000
 1549.00   -0.15255   0.00000
 1550.00   -0.15106   0.00000
 1551.00   -0.14957   0.00000
 1552.00   -0.14808   0.00000
 1553.00   -0.14659   0.00000
 1554.00   -0.14510   0.00000
 1555.00   -0.14361   0.00000
 1556.00   -0.14212   0.00000
 1557.00   -0.14062   0.00000
 1558.00   -0.13913   0.00000
 1559.00   -0.13763   0.00000
 1560.00   -0.13614   0.00000
 1561.00   -0.13464   0.00000
 1562.00   -0.13315   0.00000
 1563.00   -0.13165   0.00000
 1564.00   -0.13015   0.00000
 1565.00   -0.12866   0.00000
 1566.00   -0.12716   0.00000
 1567.00   -0.12566   0.00000
 1568.00   -0.12416   0.00000
 1569.00   -0.12266   0.00000
 1570.00   -0.12116   0.00000
 1571.00   -0.11966   0.00000
 1572.00   -0.11816   0.00000
 1573.00   -0.11666   0.00000
 1574.00   -0.11515   0.00000
 1575.00   -0.11365   0.00000
 1576.00   -0.11215   0.00000
 1577.00   -0.11065   0.00000
 1578.00   -0.10914   0.00000
 1579.00   -0.10764   0.00000
 1580.00   -0.10613   0.00000
 1581.00   -0.10463   0.00000
 1582.00   -0.10312   0.00000
 1583.00   -0.10162   0.00000
 1584.00   -0.10011   0.00000
 1585.00   -0.09861   0.00000
 1586.00   -0.09710   0.00000
 1587.00   -0.09559   0.00000
 1588.00   -0.09408   0.00000
 1589.00   -0.09258   0.00000
 1590.00   -0.09107   0.00000
 1591.00   -0.08956   0.00000
 1592.00   -0.08805   0.00000
 1593.00   -0.08654   0.00000
 1594.00   -0.08504   0.00000
 1595.00   -0.08353   0.00000
 1596.00   -0.08202   0.00000
 1597.00   -0.08051   0.00000
 1598.00   -0.07900   0.00000
 1599.00   -0.07749   0.00000
 1600.00   -0.07598   0.00000
 1601.00   -0.07447   0.00000
 1602.00   -0.07296   0.00000
 1603.00   -0.07144   0.00000
 1604.00   -0.06993   0.00000
 1605.00   -0.06842   0.00000
 1606.00   -0.06691   0.00000
 1607.00   -0.06540   0.00000
 1608.00   -0.06389   0.00000
 1609.00   -0.06238   0.00000
 1610.00   -0.06086   0.00000
 1611.00   -0.05935   0.00000
 1612.00   -0.05784   0.00000
 1613.00   -0.05633   0.00000
 1614.00   -0.05481   0.00000
 1615.00   -0.05330   0.00000
 1616.00   -0.05179   0.00000
 1617.00   -0.05028   0.00000
 1618.00   -0.04876   0.00000
 1619.00   -0.04725   0.00000
 1620.00   -0.04574   0.00000
 1621.00   -0.04423   0.00000
 1622.00   -0.04271   0.00000
 1623.00   -0.04120   0.00000
 1624.00   -0.03969   0.00000
 1625.00   -0.03817   0.00000
 1626.00   -0.03666   0.00000
 1627.00   -0.03515   0.00000
 1628.00   -0.03363   0.00000
 1629.00   -0.03212   0.00000
 1630.00   -0.03061   0.00000
 1631.00   -0.02909   0.00000
 1632.00   -0.02758   0.00000
 1633.00   -0.02607   0.00000
 1634.00   -0.02456   0.00000
 1635.00   -0.02304   0.00000
 1636.00   -0.02153   0.00000
 1637.00   -0.02002   0.00000
 1638.00   -0.01850   0.00000
 1639.00   -0.01699   0.00000
 1640.00   -0.01548   0.00000
 1641.00   -0.01397   0.00000
 1642.00   -0.01245   0.00000
 1643.00   -0.01094   0.00000
 1644.00   -0.00943   0.00000
 1645.00   -0.00792   0.00000
 1646.00   -0.00640   0.00000
 1647.00   -0.00489   0.00000
 1648.00   -0.00338   0.00000
 1649.00   -0.00187   0.00000
