   W          E0+(pi+_n)
 (MeV)       Re        Im
 1592.00    1.87292   3.18201
 1593.00    1.83784   3.15446
 1594.00    1.80331   3.12823
 1595.00    1.76937   3.10328
 1596.00    1.73602   3.07962
 1597.00    1.70328   3.05721
 1598.00    1.67116   3.03603
 1599.00    1.63963   3.01602
 1600.00    1.60870   2.99716
 1601.00    1.57833   2.97941
 1602.00    1.54849   2.96277
 1603.00    1.51914   2.94726
 1604.00    1.49023   2.93288
 1605.00    1.46174   2.91964
 1606.00    1.43363   2.90753
 1607.00    1.40589   2.89655
 1608.00    1.37848   2.88668
 1609.00    1.35139   2.87791
 1610.00    1.32462   2.87021
 1611.00    1.29813   2.86357
 1612.00    1.27184   2.85795
 1613.00    1.24564   2.85335
 1614.00    1.21942   2.84975
 1615.00    1.19310   2.84713
 1616.00    1.16660   2.84546
 1617.00    1.13987   2.84475
 1618.00    1.11285   2.84495
 1619.00    1.08550   2.84606
 1620.00    1.05779   2.84806
 1621.00    1.02970   2.85090
 1622.00    1.00118   2.85458
 1623.00     .97216   2.85903
 1624.00     .94259   2.86425
 1625.00     .91242   2.87018
 1626.00     .88159   2.87679
 1627.00     .85006   2.88406
 1628.00     .81778   2.89194
 1629.00     .78470   2.90041
 1630.00     .75078   2.90942
 1631.00     .71597   2.91893
 1632.00     .68026   2.92888
 1633.00     .64359   2.93920
 1634.00     .60593   2.94983
 1635.00     .56725   2.96070
 1636.00     .52753   2.97172
 1637.00     .48673   2.98284
 1638.00     .44484   2.99399
 1639.00     .40182   3.00508
 1640.00     .35765   3.01605
 1641.00     .31233   3.02682
 1642.00     .26586   3.03730
 1643.00     .21827   3.04741
 1644.00     .16956   3.05706
 1645.00     .11977   3.06616
 1646.00     .06891   3.07462
 1647.00     .01702   3.08235
 1648.00    -.03588   3.08928
 1649.00    -.08977   3.09533
 1650.00    -.14460   3.10040
 1651.00    -.20035   3.10443
 1652.00    -.25694   3.10734
 1653.00    -.31430   3.10906
 1654.00    -.37237   3.10954
 1655.00    -.43105   3.10872
 1656.00    -.49027   3.10655
 1657.00    -.54995   3.10300
 1658.00    -.60999   3.09804
 1659.00    -.67031   3.09163
 1660.00    -.73082   3.08377
 1661.00    -.79142   3.07445
 1662.00    -.85202   3.06365
 1663.00    -.91250   3.05138
 1664.00    -.97278   3.03763
 1665.00   -1.03274   3.02243
 1666.00   -1.09230   3.00580
 1667.00   -1.15137   2.98775
 1668.00   -1.20987   2.96834
 1669.00   -1.26771   2.94761
 1670.00   -1.32484   2.92560
 1671.00   -1.38117   2.90237
 1672.00   -1.43668   2.87799
 1673.00   -1.49131   2.85254
 1674.00   -1.54506   2.82610
 1675.00   -1.59789   2.79873
 1676.00   -1.64979   2.77051
 1677.00   -1.70075   2.74152
 1678.00   -1.75078   2.71182
 1679.00   -1.79987   2.68149
 1680.00   -1.84803   2.65058
 1681.00   -1.89528   2.61916
 1682.00   -1.94164   2.58727
 1683.00   -1.98713   2.55494
 1684.00   -2.03177   2.52219
 1685.00   -2.07559   2.48905
 1686.00   -2.11860   2.45554
 1687.00   -2.16082   2.42168
 1688.00   -2.20228   2.38749
 1689.00   -2.24299   2.35298
 1690.00   -2.28297   2.31818
 1691.00   -2.32224   2.28308
 1692.00   -2.36082   2.24769
 1693.00   -2.39871   2.21201
 1694.00   -2.43594   2.17604
 1695.00   -2.47251   2.13976
 1696.00   -2.50844   2.10318
 1697.00   -2.54372   2.06630
