   W          E2-(pi+_n)
 (MeV)       Re        Im
 1375.00    6.71537   1.11250
 1376.00    6.73164   1.13034
 1377.00    6.74805   1.14852
 1378.00    6.76460   1.16706
 1379.00    6.78130   1.18595
 1380.00    6.79814   1.20520
 1381.00    6.81513   1.22483
 1382.00    6.83226   1.24485
 1383.00    6.84953   1.26525
 1384.00    6.86695   1.28606
 1385.00    6.88451   1.30728
 1386.00    6.90221   1.32893
 1387.00    6.92005   1.35101
 1388.00    6.93803   1.37353
 1389.00    6.95615   1.39650
 1390.00    6.97440   1.41994
 1391.00    6.99279   1.44386
 1392.00    7.01132   1.46826
 1393.00    7.02997   1.49317
 1394.00    7.04875   1.51859
 1395.00    7.06766   1.54454
 1396.00    7.08668   1.57103
 1397.00    7.10583   1.59807
 1398.00    7.12509   1.62567
 1399.00    7.14447   1.65386
 1400.00    7.16395   1.68264
 1401.00    7.18353   1.71204
 1402.00    7.20321   1.74206
 1403.00    7.22298   1.77272
 1404.00    7.24283   1.80403
 1405.00    7.26277   1.83603
 1406.00    7.28277   1.86871
 1407.00    7.30284   1.90210
 1408.00    7.32296   1.93621
 1409.00    7.34313   1.97107
 1410.00    7.36333   2.00669
 1411.00    7.38356   2.04309
 1412.00    7.40381   2.08029
 1413.00    7.42406   2.11830
 1414.00    7.44430   2.15716
 1415.00    7.46452   2.19688
 1416.00    7.48471   2.23747
 1417.00    7.50484   2.27897
 1418.00    7.52490   2.32139
 1419.00    7.54488   2.36476
 1420.00    7.56475   2.40909
 1421.00    7.58451   2.45441
 1422.00    7.60411   2.50074
 1423.00    7.62356   2.54810
 1424.00    7.64281   2.59653
 1425.00    7.66185   2.64603
 1426.00    7.68065   2.69664
 1427.00    7.69918   2.74837
 1428.00    7.71742   2.80126
 1429.00    7.73533   2.85532
 1430.00    7.75287   2.91058
 1431.00    7.77002   2.96707
 1432.00    7.78674   3.02480
 1433.00    7.80299   3.08380
 1434.00    7.81873   3.14409
 1435.00    7.83392   3.20569
 1436.00    7.84850   3.26863
 1437.00    7.86244   3.33293
 1438.00    7.87569   3.39861
 1439.00    7.88819   3.46568
 1440.00    7.89988   3.53416
 1441.00    7.91072   3.60408
 1442.00    7.92064   3.67545
 1443.00    7.92958   3.74828
 1444.00    7.93747   3.82258
 1445.00    7.94425   3.89837
 1446.00    7.94985   3.97565
 1447.00    7.95418   4.05443
 1448.00    7.95718   4.13471
 1449.00    7.95877   4.21650
 1450.00    7.95886   4.29979
 1451.00    7.95736   4.38457
 1452.00    7.95420   4.47083
 1453.00    7.94928   4.55857
 1454.00    7.94250   4.64775
 1455.00    7.93377   4.73836
 1456.00    7.92300   4.83038
 1457.00    7.91008   4.92376
 1458.00    7.89492   5.01846
 1459.00    7.87740   5.11445
 1460.00    7.85742   5.21166
 1461.00    7.83489   5.31004
 1462.00    7.80968   5.40952
 1463.00    7.78170   5.51004
 1464.00    7.75085   5.61150
 1465.00    7.71700   5.71381
 1466.00    7.68007   5.81689
 1467.00    7.63995   5.92061
 1468.00    7.59654   6.02487
 1469.00    7.54974   6.12954
 1470.00    7.49947   6.23449
 1471.00    7.44563   6.33957
 1472.00    7.38816   6.44463
 1473.00    7.32697   6.54951
 1474.00    7.26200   6.65405
 1475.00    7.19319   6.75805
 1476.00    7.12049   6.86134
 1477.00    7.04387   6.96372
 1478.00    6.96330   7.06499
 1479.00    6.87877   7.16495
 1480.00    6.79027   7.26338
 1481.00    6.69782   7.36006
 1482.00    6.60145   7.45477
 1483.00    6.50120   7.54729
 1484.00    6.39712   7.63740
 1485.00    6.28930   7.72486
 1486.00    6.17782   7.80946
 1487.00    6.06280   7.89098
 1488.00    5.94435   7.96920
 1489.00    5.82262   8.04391
 1490.00    5.69777   8.11491
 1491.00    5.56997   8.18200
 1492.00    5.43941   8.24501
 1493.00    5.30629   8.30376
