   W          M2-(pi+_n)
 (MeV)       Re        Im
 1547.00    1.07921   0.00000
 1548.00    1.07867   0.00000
 1549.00    1.07812   0.00000
 1550.00    1.07758   0.00000
 1551.00    1.07702   0.00000
 1552.00    1.07647   0.00000
 1553.00    1.07592   0.00000
 1554.00    1.07536   0.00000
 1555.00    1.07480   0.00000
 1556.00    1.07424   0.00000
 1557.00    1.07367   0.00000
 1558.00    1.07310   0.00000
 1559.00    1.07254   0.00000
 1560.00    1.07196   0.00000
 1561.00    1.07139   0.00000
 1562.00    1.07082   0.00000
 1563.00    1.07024   0.00000
 1564.00    1.06966   0.00000
 1565.00    1.06908   0.00000
 1566.00    1.06849   0.00000
 1567.00    1.06791   0.00000
 1568.00    1.06732   0.00000
 1569.00    1.06673   0.00000
 1570.00    1.06613   0.00000
 1571.00    1.06554   0.00000
 1572.00    1.06494   0.00000
 1573.00    1.06434   0.00000
 1574.00    1.06374   0.00000
 1575.00    1.06314   0.00000
 1576.00    1.06254   0.00000
 1577.00    1.06193   0.00000
 1578.00    1.06132   0.00000
 1579.00    1.06071   0.00000
 1580.00    1.06010   0.00000
 1581.00    1.05948   0.00000
 1582.00    1.05887   0.00000
 1583.00    1.05825   0.00000
 1584.00    1.05763   0.00000
 1585.00    1.05701   0.00000
 1586.00    1.05638   0.00000
 1587.00    1.05576   0.00000
 1588.00    1.05513   0.00000
 1589.00    1.05450   0.00000
 1590.00    1.05387   0.00000
 1591.00    1.05324   0.00000
 1592.00    1.05260   0.00000
 1593.00    1.05197   0.00000
 1594.00    1.05133   0.00000
 1595.00    1.05069   0.00000
 1596.00    1.05005   0.00000
 1597.00    1.04940   0.00000
 1598.00    1.04876   0.00000
 1599.00    1.04811   0.00000
 1600.00    1.04746   0.00000
 1601.00    1.04681   0.00000
 1602.00    1.04616   0.00000
 1603.00    1.04551   0.00000
 1604.00    1.04485   0.00000
 1605.00    1.04420   0.00000
 1606.00    1.04354   0.00000
 1607.00    1.04288   0.00000
 1608.00    1.04222   0.00000
 1609.00    1.04155   0.00000
 1610.00    1.04089   0.00000
 1611.00    1.04022   0.00000
 1612.00    1.03956   0.00000
 1613.00    1.03889   0.00000
 1614.00    1.03822   0.00000
 1615.00    1.03754   0.00000
 1616.00    1.03687   0.00000
 1617.00    1.03620   0.00000
 1618.00    1.03552   0.00000
 1619.00    1.03484   0.00000
 1620.00    1.03416   0.00000
 1621.00    1.03348   0.00000
 1622.00    1.03280   0.00000
 1623.00    1.03211   0.00000
 1624.00    1.03143   0.00000
 1625.00    1.03074   0.00000
 1626.00    1.03005   0.00000
 1627.00    1.02937   0.00000
 1628.00    1.02867   0.00000
 1629.00    1.02798   0.00000
 1630.00    1.02729   0.00000
 1631.00    1.02659   0.00000
 1632.00    1.02590   0.00000
 1633.00    1.02520   0.00000
 1634.00    1.02450   0.00000
 1635.00    1.02380   0.00000
 1636.00    1.02310   0.00000
 1637.00    1.02240   0.00000
 1638.00    1.02169   0.00000
 1639.00    1.02099   0.00000
 1640.00    1.02028   0.00000
 1641.00    1.01957   0.00000
 1642.00    1.01886   0.00000
 1643.00    1.01815   0.00000
 1644.00    1.01744   0.00000
 1645.00    1.01673   0.00000
 1646.00    1.01602   0.00000
 1647.00    1.01530   0.00000
 1648.00    1.01458   0.00000
 1649.00    1.01387   0.00000
 1650.00    1.01315   0.00000
 1651.00    1.01243   0.00000
 1652.00    1.01171   0.00000
 1653.00    1.01099   0.00000
 1654.00    1.01026   0.00000
 1655.00    1.00954   0.00000
