   W          E2-(pi+_n)
 (MeV)       Re        Im
 1524.00    4.60453   0.00000
 1525.00    4.60099   0.00000
 1526.00    4.59744   0.00000
 1527.00    4.59389   0.00000
 1528.00    4.59034   0.00000
 1529.00    4.58679   0.00000
 1530.00    4.58323   0.00000
 1531.00    4.57967   0.00000
 1532.00    4.57610   0.00000
 1533.00    4.57254   0.00000
 1534.00    4.56896   0.00000
 1535.00    4.56539   0.00000
 1536.00    4.56181   0.00000
 1537.00    4.55823   0.00000
 1538.00    4.55465   0.00000
 1539.00    4.55107   0.00000
 1540.00    4.54748   0.00000
 1541.00    4.54388   0.00000
 1542.00    4.54029   0.00000
 1543.00    4.53669   0.00000
 1544.00    4.53309   0.00000
 1545.00    4.52949   0.00000
 1546.00    4.52589   0.00000
 1547.00    4.52228   0.00000
 1548.00    4.51867   0.00000
 1549.00    4.51506   0.00000
 1550.00    4.51144   0.00000
 1551.00    4.50782   0.00000
 1552.00    4.50420   0.00000
 1553.00    4.50058   0.00000
 1554.00    4.49696   0.00000
 1555.00    4.49333   0.00000
 1556.00    4.48970   0.00000
 1557.00    4.48607   0.00000
 1558.00    4.48244   0.00000
 1559.00    4.47880   0.00000
 1560.00    4.47516   0.00000
 1561.00    4.47152   0.00000
 1562.00    4.46788   0.00000
 1563.00    4.46424   0.00000
 1564.00    4.46059   0.00000
 1565.00    4.45694   0.00000
 1566.00    4.45329   0.00000
 1567.00    4.44964   0.00000
 1568.00    4.44599   0.00000
 1569.00    4.44233   0.00000
 1570.00    4.43868   0.00000
 1571.00    4.43502   0.00000
 1572.00    4.43136   0.00000
 1573.00    4.42770   0.00000
 1574.00    4.42403   0.00000
 1575.00    4.42037   0.00000
 1576.00    4.41670   0.00000
 1577.00    4.41303   0.00000
 1578.00    4.40936   0.00000
 1579.00    4.40569   0.00000
 1580.00    4.40202   0.00000
 1581.00    4.39834   0.00000
 1582.00    4.39467   0.00000
 1583.00    4.39099   0.00000
 1584.00    4.38731   0.00000
 1585.00    4.38363   0.00000
 1586.00    4.37995   0.00000
 1587.00    4.37627   0.00000
 1588.00    4.37258   0.00000
 1589.00    4.36890   0.00000
 1590.00    4.36521   0.00000
 1591.00    4.36153   0.00000
 1592.00    4.35784   0.00000
 1593.00    4.35415   0.00000
 1594.00    4.35046   0.00000
 1595.00    4.34677   0.00000
 1596.00    4.34307   0.00000
 1597.00    4.33938   0.00000
 1598.00    4.33568   0.00000
 1599.00    4.33199   0.00000
 1600.00    4.32829   0.00000
 1601.00    4.32459   0.00000
 1602.00    4.32090   0.00000
 1603.00    4.31720   0.00000
 1604.00    4.31350   0.00000
 1605.00    4.30980   0.00000
 1606.00    4.30609   0.00000
 1607.00    4.30239   0.00000
 1608.00    4.29869   0.00000
 1609.00    4.29498   0.00000
 1610.00    4.29128   0.00000
 1611.00    4.28757   0.00000
 1612.00    4.28387   0.00000
 1613.00    4.28016   0.00000
 1614.00    4.27645   0.00000
 1615.00    4.27275   0.00000
 1616.00    4.26904   0.00000
 1617.00    4.26533   0.00000
 1618.00    4.26162   0.00000
 1619.00    4.25791   0.00000
 1620.00    4.25420   0.00000
 1621.00    4.25049   0.00000
 1622.00    4.24678   0.00000
 1623.00    4.24306   0.00000
 1624.00    4.23935   0.00000
 1625.00    4.23564   0.00000
 1626.00    4.23193   0.00000
 1627.00    4.22821   0.00000
 1628.00    4.22450   0.00000
 1629.00    4.22078   0.00000
 1630.00    4.21707   0.00000
 1631.00    4.21336   0.00000
 1632.00    4.20964   0.00000
 1633.00    4.20593   0.00000
 1634.00    4.20221   0.00000
 1635.00    4.19849   0.00000
 1636.00    4.19478   0.00000
 1637.00    4.19106   0.00000
 1638.00    4.18735   0.00000
 1639.00    4.18363   0.00000
 1640.00    4.17991   0.00000
 1641.00    4.17620   0.00000
 1642.00    4.17248   0.00000
 1643.00    4.16876   0.00000
 1644.00    4.16505   0.00000
 1645.00    4.16133   0.00000
 1646.00    4.15761   0.00000
 1647.00    4.15390   0.00000
 1648.00    4.15018   0.00000
 1649.00    4.14646   0.00000
 1650.00    4.14275   0.00000
 1651.00    4.13903   0.00000
 1652.00    4.13532   0.00000
 1653.00    4.13160   0.00000
 1654.00    4.12788   0.00000
 1655.00    4.12417   0.00000
 1656.00    4.12045   0.00000
 1657.00    4.11673   0.00000
 1658.00    4.11302   0.00000
 1659.00    4.10930   0.00000
 1660.00    4.10559   0.00000
 1661.00    4.10187   0.00000
 1662.00    4.09816   0.00000
 1663.00    4.09444   0.00000
 1664.00    4.09073   0.00000
 1665.00    4.08702   0.00000
 1666.00    4.08330   0.00000
 1667.00    4.07959   0.00000
 1668.00    4.07588   0.00000
 1669.00    4.07216   0.00000
 1670.00    4.06845   0.00000
 1671.00    4.06474   0.00000
 1672.00    4.06103   0.00000
 1673.00    4.05732   0.00000
 1674.00    4.05361   0.00000
 1675.00    4.04989   0.00000
 1676.00    4.04618   0.00000
 1677.00    4.04248   0.00000
 1678.00    4.03877   0.00000
 1679.00    4.03506   0.00000
 1680.00    4.03135   0.00000
 1681.00    4.02764   0.00000
 1682.00    4.02393   0.00000
 1683.00    4.02023   0.00000
 1684.00    4.01652   0.00000
 1685.00    4.01282   0.00000
 1686.00    4.00911   0.00000
 1687.00    4.00541   0.00000
 1688.00    4.00170   0.00000
 1689.00    3.99800   0.00000
 1690.00    3.99430   0.00000
 1691.00    3.99059   0.00000
 1692.00    3.98689   0.00000
 1693.00    3.98319   0.00000
 1694.00    3.97949   0.00000
 1695.00    3.97579   0.00000
 1696.00    3.97209   0.00000
 1697.00    3.96839   0.00000
 1698.00    3.96470   0.00000
 1699.00    3.96100   0.00000
 1700.00    3.95730   0.00000
 1701.00    3.95361   0.00000
 1702.00    3.94991   0.00000
 1703.00    3.94622   0.00000
 1704.00    3.94252   0.00000
 1705.00    3.93883   0.00000
 1706.00    3.93514   0.00000
 1707.00    3.93145   0.00000
 1708.00    3.92776   0.00000
 1709.00    3.92407   0.00000
 1710.00    3.92038   0.00000
 1711.00    3.91669   0.00000
 1712.00    3.91301   0.00000
 1713.00    3.90932   0.00000
 1714.00    3.90563   0.00000
 1715.00    3.90195   0.00000
 1716.00    3.89827   0.00000
 1717.00    3.89458   0.00000
 1718.00    3.89090   0.00000
 1719.00    3.88722   0.00000
 1720.00    3.88354   0.00000
 1721.00    3.87986   0.00000
 1722.00    3.87618   0.00000
 1723.00    3.87250   0.00000
 1724.00    3.86883   0.00000
 1725.00    3.86515   0.00000
 1726.00    3.86148   0.00000
 1727.00    3.85780   0.00000
 1728.00    3.85413   0.00000
 1729.00    3.85046   0.00000
 1730.00    3.84679   0.00000
 1731.00    3.84312   0.00000
 1732.00    3.83945   0.00000
 1733.00    3.83578   0.00000
 1734.00    3.83212   0.00000
 1735.00    3.82845   0.00000
 1736.00    3.82478   0.00000
 1737.00    3.82112   0.00000
 1738.00    3.81746   0.00000
 1739.00    3.81380   0.00000
 1740.00    3.81014   0.00000
 1741.00    3.80648   0.00000
 1742.00    3.80282   0.00000
 1743.00    3.79916   0.00000
 1744.00    3.79550   0.00000
 1745.00    3.79185   0.00000
 1746.00    3.78820   0.00000
 1747.00    3.78454   0.00000
 1748.00    3.78089   0.00000
 1749.00    3.77724   0.00000
 1750.00    3.77359   0.00000
 1751.00    3.76994   0.00000
 1752.00    3.76629   0.00000
 1753.00    3.76265   0.00000
 1754.00    3.75900   0.00000
 1755.00    3.75536   0.00000
 1756.00    3.75172   0.00000
 1757.00    3.74807   0.00000
 1758.00    3.74443   0.00000
 1759.00    3.74079   0.00000
 1760.00    3.73716   0.00000
 1761.00    3.73352   0.00000
 1762.00    3.72988   0.00000
 1763.00    3.72625   0.00000
 1764.00    3.72262   0.00000
 1765.00    3.71899   0.00000
 1766.00    3.71535   0.00000
 1767.00    3.71173   0.00000
 1768.00    3.70810   0.00000
 1769.00    3.70447   0.00000
 1770.00    3.70084   0.00000
 1771.00    3.69722   0.00000
 1772.00    3.69360   0.00000
 1773.00    3.68997   0.00000
 1774.00    3.68635   0.00000
 1775.00    3.68273   0.00000
 1776.00    3.67912   0.00000
 1777.00    3.67550   0.00000
 1778.00    3.67188   0.00000
 1779.00    3.66827   0.00000
 1780.00    3.66466   0.00000
 1781.00    3.66105   0.00000
 1782.00    3.65744   0.00000
 1783.00    3.65383   0.00000
 1784.00    3.65022   0.00000
 1785.00    3.64661   0.00000
 1786.00    3.64301   0.00000
 1787.00    3.63940   0.00000
 1788.00    3.63580   0.00000
 1789.00    3.63220   0.00000
 1790.00    3.62860   0.00000
 1791.00    3.62500   0.00000
 1792.00    3.62141   0.00000
 1793.00    3.61781   0.00000
 1794.00    3.61422   0.00000
 1795.00    3.61062   0.00000
 1796.00    3.60703   0.00000
 1797.00    3.60344   0.00000
 1798.00    3.59985   0.00000
 1799.00    3.59627   0.00000
 1800.00    3.59268   0.00000
 1801.00    3.58910   0.00000
 1802.00    3.58551   0.00000
 1803.00    3.58193   0.00000
 1804.00    3.57835   0.00000
 1805.00    3.57477   0.00000
 1806.00    3.57120   0.00000
 1807.00    3.56762   0.00000
 1808.00    3.56405   0.00000
 1809.00    3.56048   0.00000
 1810.00    3.55690   0.00000
 1811.00    3.55333   0.00000
 1812.00    3.54977   0.00000
 1813.00    3.54620   0.00000
 1814.00    3.54263   0.00000
 1815.00    3.53907   0.00000
 1816.00    3.53551   0.00000
 1817.00    3.53194   0.00000
 1818.00    3.52839   0.00000
 1819.00    3.52483   0.00000
 1820.00    3.52127   0.00000
 1821.00    3.51772   0.00000
 1822.00    3.51416   0.00000
 1823.00    3.51061   0.00000
 1824.00    3.50706   0.00000
 1825.00    3.50351   0.00000
 1826.00    3.49996   0.00000
 1827.00    3.49642   0.00000
 1828.00    3.49287   0.00000
 1829.00    3.48933   0.00000
 1830.00    3.48579   0.00000
 1831.00    3.48225   0.00000
 1832.00    3.47871   0.00000
 1833.00    3.47517   0.00000
 1834.00    3.47164   0.00000
 1835.00    3.46810   0.00000
 1836.00    3.46457   0.00000
 1837.00    3.46104   0.00000
 1838.00    3.45751   0.00000
 1839.00    3.45398   0.00000
 1840.00    3.45045   0.00000
 1841.00    3.44693   0.00000
 1842.00    3.44341   0.00000
 1843.00    3.43989   0.00000
 1844.00    3.43637   0.00000
 1845.00    3.43285   0.00000
 1846.00    3.42933   0.00000
 1847.00    3.42582   0.00000
 1848.00    3.42230   0.00000
 1849.00    3.41879   0.00000
 1850.00    3.41528   0.00000
 1851.00    3.41177   0.00000
 1852.00    3.40826   0.00000
 1853.00    3.40476   0.00000
 1854.00    3.40125   0.00000
 1855.00    3.39775   0.00000
 1856.00    3.39425   0.00000
 1857.00    3.39075   0.00000
 1858.00    3.38725   0.00000
 1859.00    3.38376   0.00000
 1860.00    3.38026   0.00000
 1861.00    3.37677   0.00000
 1862.00    3.37328   0.00000
 1863.00    3.36979   0.00000
 1864.00    3.36630   0.00000
 1865.00    3.36281   0.00000
 1866.00    3.35933   0.00000
 1867.00    3.35585   0.00000
 1868.00    3.35236   0.00000
 1869.00    3.34888   0.00000
 1870.00    3.34541   0.00000
 1871.00    3.34193   0.00000
 1872.00    3.33845   0.00000
 1873.00    3.33498   0.00000
 1874.00    3.33151   0.00000
 1875.00    3.32804   0.00000
 1876.00    3.32457   0.00000
 1877.00    3.32110   0.00000
 1878.00    3.31764   0.00000
 1879.00    3.31417   0.00000
 1880.00    3.31071   0.00000
 1881.00    3.30725   0.00000
 1882.00    3.30379   0.00000
 1883.00    3.30034   0.00000
 1884.00    3.29688   0.00000
 1885.00    3.29343   0.00000
 1886.00    3.28998   0.00000
 1887.00    3.28653   0.00000
 1888.00    3.28308   0.00000
 1889.00    3.27963   0.00000
 1890.00    3.27619   0.00000
 1891.00    3.27274   0.00000
 1892.00    3.26930   0.00000
 1893.00    3.26586   0.00000
 1894.00    3.26242   0.00000
 1895.00    3.25898   0.00000
 1896.00    3.25555   0.00000
 1897.00    3.25212   0.00000
 1898.00    3.24868   0.00000
 1899.00    3.24525   0.00000
 1900.00    3.24183   0.00000
 1901.00    3.23840   0.00000
 1902.00    3.23497   0.00000
 1903.00    3.23155   0.00000
 1904.00    3.22813   0.00000
 1905.00    3.22471   0.00000
 1906.00    3.22129   0.00000
 1907.00    3.21787   0.00000
 1908.00    3.21446   0.00000
 1909.00    3.21105   0.00000
 1910.00    3.20764   0.00000
 1911.00    3.20423   0.00000
 1912.00    3.20082   0.00000
 1913.00    3.19741   0.00000
 1914.00    3.19401   0.00000
 1915.00    3.19060   0.00000
 1916.00    3.18720   0.00000
 1917.00    3.18380   0.00000
 1918.00    3.18041   0.00000
 1919.00    3.17701   0.00000
 1920.00    3.17362   0.00000
 1921.00    3.17022   0.00000
 1922.00    3.16683   0.00000
 1923.00    3.16344   0.00000
 1924.00    3.16006   0.00000
 1925.00    3.15667   0.00000
 1926.00    3.15329   0.00000
 1927.00    3.14990   0.00000
 1928.00    3.14652   0.00000
 1929.00    3.14314   0.00000
 1930.00    3.13977   0.00000
 1931.00    3.13639   0.00000
 1932.00    3.13302   0.00000
 1933.00    3.12965   0.00000
 1934.00    3.12628   0.00000
 1935.00    3.12291   0.00000
 1936.00    3.11954   0.00000
 1937.00    3.11618   0.00000
 1938.00    3.11281   0.00000
 1939.00    3.10945   0.00000
 1940.00    3.10609   0.00000
 1941.00    3.10273   0.00000
 1942.00    3.09938   0.00000
 1943.00    3.09602   0.00000
 1944.00    3.09267   0.00000
 1945.00    3.08932   0.00000
 1946.00    3.08597   0.00000
 1947.00    3.08262   0.00000
 1948.00    3.07928   0.00000
